代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13594680.439999999478459
真實報酬,3594680.439999999478459

夏普值報酬,0.350768044000000
夏普值風險,0.090848386573960
夏普值,3.861026675629931

預期報酬,14006.311732160796964
風險,176156.311416271928465
趨勢值,0.079510700579230
找到最佳解世代,1846
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,5
AAPL[0](2),CAT[3](5),JPM[13](6),MSFT[18](1),V[25](8),
Stock#,AAPL[0](2),CAT[3](5),JPM[13](6),MSFT[18](1),V[25](8),
張數,19192,24166,31264,35285,25624,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,1.680000000167638,21.839999999850988,41.919999999925494,46.199999999953434,46.800000000046566,
20160801,2035313.280000000027940,1980425.539999999804422,1994685.119999999878928,1996471.500000000000000,2005381.040000000270084,10012276.480000000447035
20160802,2005181.840000000316650,1963267.679999999701977,1989995.519999999785796,1996471.500000000000000,2005893.520000000018626,9960810.060000000521541
20160803,2030323.360000000335276,1982358.819999999832362,2021572.159999999916181,2010232.649999999906868,2016911.839999999850988,10061398.830000000074506
20160804,2031858.720000000204891,1976075.659999999683350,2018445.760000000009313,2025052.349999999860302,2036642.320000000065193,10088074.809999998658895
20160805,2062757.840000000316650,1995166.799999999813735,2072845.119999999878928,2045164.800000000046566,2053554.160000000149012,10229488.719999998807907
20160808,2079838.720000000204891,2016432.879999999888241,2066592.319999999832362,2048693.300000000046566,2048685.600000000093132,10260242.820000000298023
20160809,2088283.200000000186265,2001691.619999999878928,2059401.600000000093132,2053633.199999999953434,2051504.239999999990687,10254513.859999999403954
20160810,2072737.680000000167638,1997341.739999999990687,2040955.839999999850988,2047281.900000000139698,2041767.120000000111759,10200084.280000001192093
20160811,2071394.240000000223517,2011599.679999999701977,2046583.359999999636784,2057161.699999999953434,2053041.680000000167638,10239780.660000000149012
20160812,2076192.240000000223517,2005799.839999999850988,2042206.399999999674037,2044459.099999999860302,2050479.280000000027940,10219136.859999999403954
20160815,2101141.840000000316650,2033590.739999999990687,2054712.000000000000000,2050810.399999999906868,2073284.639999999897555,10313539.620000001043081
20160816,2099222.640000000130385,2036973.979999999981374,2054399.359999999636784,2026816.599999999860302,2070722.239999999990687,10288134.819999998435378
20160817,2096151.920000000158325,2039873.899999999674037,2060026.879999999888241,2031050.800000000046566,2071490.960000000195578,10298594.459999999031425
20160818,2093465.040000000037253,2014982.919999999692664,2061902.719999999972060,2032462.199999999953434,2056885.280000000027940,10259698.160000000149012
20160819,2098838.800000000279397,2026099.280000000027940,2059088.959999999962747,2033167.899999999906868,2062010.080000000074506,10279205.019999999552965
20160822,2082525.600000000325963,2020057.780000000027940,2057213.119999999878928,2034932.149999999906868,2077128.239999999990687,10271856.890000000596046
20160823,2089050.880000000121072,2030207.500000000000000,2056275.199999999720603,2042694.849999999860302,2070466.000000000000000,10288694.429999999701977
