代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15796318.800000000745058
真實報酬,5796318.800000000745058

夏普值報酬,0.570931880000000
夏普值風險,0.122537678128197
夏普值,4.659235336601536

預期報酬,22658.194535372789687
風險,279768.585891280614305
趨勢值,0.080989059093925
找到最佳解世代,2121
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),BA[2](10),JNJ[12](8),MCD[15](23),MRK[17](20),PG[21](3),
Stock#,AAPL[0](1),BA[2](10),JNJ[12](8),MCD[15](23),MRK[17](20),PG[21](3),
張數,110963,46842,31685,30541,62305,35393,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,1.739999999990687,27.640000000130385,35.000000000000000,43.629999999888241,7.250000000000000,9.629999999888241,
20090401,1723257.129999999888241,1660108.120000000111759,1680607.399999999906868,1687128.469999999972060,1681619.199999999953434,1706306.159999999916181,10139030.480000000447035
20090402,1786506.040000000037253,1742550.040000000270084,1678389.449999999953434,1721028.979999999981374,1682242.250000000000000,1749131.689999999944121,10359852.449999999254942
20090403,1838658.649999999906868,1765502.620000000111759,1652407.750000000000000,1729885.869999999878928,1648597.550000000046566,1756564.219999999972060,10391620.660000000149012
20090406,1877495.700000000186265,1787518.359999999869615,1653992.000000000000000,1708507.169999999925494,1661681.600000000093132,1757272.079999999841675,10446470.910000000149012
20090407,1823123.830000000074506,1716318.520000000251457,1627376.600000000093132,1692015.029999999795109,1636759.599999999860302,1722940.869999999878928,10218538.449999999254942
20090408,1844206.800000000046566,1727092.179999999934807,1630228.250000000000000,1696901.589999999850988,1667289.050000000046566,1715508.339999999850988,10281230.210000000894070
20090409,1895249.779999999795109,1833891.940000000176951,1628960.849999999860302,1730802.099999999860302,1638628.750000000000000,1740991.299999999813735,10468528.719999998807907
20090413,1905236.450000000186265,1740207.940000000176951,1620722.750000000000000,1713699.139999999897555,1623052.500000000000000,1700289.349999999860302,10303212.130000000819564
20090414,1875276.439999999944121,1735055.320000000065193,1627693.449999999953434,1674301.250000000000000,1599999.649999999906868,1672328.879999999888241,10184658.989999998360872
20090415,1865289.769999999785796,1759881.580000000074506,1640367.450000000186265,1647730.580000000074506,1635513.500000000000000,1725418.379999999888241,10274205.259999997913837
20090416,1925209.790000000037253,1798292.020000000251457,1653992.000000000000000,1670636.330000000074506,1610591.500000000000000,1784878.619999999878928,10443604.259999999776483
20090417,1956279.429999999934807,1795013.080000000074506,1680924.250000000000000,1713088.320000000065193,1603114.900000000139698,1828412.009999999776483,10576835.990000000223517
20090420,1909674.969999999972060,1708823.800000000046566,1662546.949999999953434,1689877.159999999916181,1571339.349999999860302,1795496.519999999785796,10337762.750000000000000
20090421,1929648.310000000055879,1716786.940000000176951,1662230.100000000093132,1699039.459999999962747,1466666.949999999953434,1818148.039999999804422,10292523.799999998882413
20090422,1926319.419999999925494,1747234.239999999990687,1621673.300000000046566,1656892.879999999888241,1431153.099999999860302,1755502.429999999934807,10138779.369999999180436
20090423,1987349.070000000065193,1776744.700000000186265,1628644.000000000000000,1688960.929999999701977,1447352.400000000139698,1745592.389999999897555,10274647.490000000223517
20090424,1964046.839999999850988,1813749.880000000121072,1613435.199999999953434,1658725.339999999850988,1461059.500000000000000,1752317.059999999823049,10263337.820000000298023
20090427,1977362.399999999906868,1848881.380000000121072,1611534.100000000093132,1664222.719999999972060,1460436.450000000186265,1768597.839999999850988,10331038.890000000596046
20090428,1964046.839999999850988,1819839.340000000083819,1604880.250000000000000,1665444.359999999869615,1443614.100000000093132,1758687.799999999813735,10256516.689999997615814
20090429,1984020.179999999934807,1899470.739999999990687,1616920.550000000046566,1661779.439999999711290,1489096.750000000000000,1784524.689999999944121,10435816.349999999627471
20090430,1995116.479999999981374,1876049.739999999990687,1659061.600000000093132,1627573.519999999785796,1510280.449999999953434,1749839.549999999813735,10417925.339999999850988
20090501,2017309.080000000074506,1930386.460000000195578,1666349.150000000139698,1600392.029999999795109,1514018.750000000000000,1751963.129999999888241,10480422.600000001490116
20090504,2093873.550000000046566,1975823.200000000186265,1703420.599999999860302,1611692.199999999953434,1533956.350000000093132,1804698.699999999953434,10723468.599999999627471
20090505,2103860.219999999739230,2021259.940000000176951,1722431.600000000093132,1623603.189999999711290,1532087.199999999953434,1762227.099999999860302,10765473.249999998137355
20090506,2100531.330000000074506,2070444.040000000270084,1717678.850000000093132,1639789.919999999925494,1533333.300000000046566,1799389.750000000000000,10861171.190000001341105
20090507,2046159.460000000195578,2039059.900000000139698,1739224.649999999906868,1630627.619999999878928,1570716.300000000046566,1817086.250000000000000,10842878.179999999701977
20090508,2048378.719999999972060,2146796.500000000000000,1742076.299999999813735,1677355.349999999860302,1546417.350000000093132,1825226.639999999897555,10986254.859999999403954
20090511,2053926.870000000111759,2094801.880000000121072,1714510.350000000093132,1661474.029999999795109,1520249.250000000000000,1782755.039999999804422,10827721.419999998062849
20090512,1971814.250000000000000,2065759.840000000083819,1742710.000000000000000,1648341.399999999906868,1556386.150000000139698,1802929.049999999813735,10787944.690000001341105
20090513,1894140.149999999906868,2011891.540000000270084,1747462.750000000000000,1633681.719999999972060,1599376.600000000093132,1803636.909999999916181,10690193.669999999925494
20090514,1948512.019999999785796,2034844.120000000111759,1743343.700000000186265,1636125.000000000000000,1623052.500000000000000,1797974.029999999795109,10783855.369999999180436
20090515,1940744.609999999869615,2014233.640000000130385,1755700.849999999860302,1632765.489999999990687,1586915.599999999860302,1793372.939999999944121,10723737.129999998956919
20090518,2007322.409999999916181,2078407.179999999934807,1775979.250000000000000,1655365.830000000074506,1603737.949999999953434,1858849.989999999990687,10979666.609999999403954
20090519,2020637.969999999972060,2090117.679999999934807,1770909.649999999906868,1645287.299999999813735,1605607.099999999860302,1874068.979999999981374,11006632.679999999701977
20090520,1995116.479999999981374,2088244.000000000000000,1770275.949999999953434,1717974.879999999888241,1625544.699999999953434,1911939.489999999990687,11109099.500000000000000
20090521,1968485.359999999869615,2027817.820000000065193,1742393.150000000139698,1700871.919999999925494,1627413.850000000093132,1876546.489999999990687,10943532.589999999850988
20090522,1941854.239999999990687,2011423.120000000111759,1735422.450000000186265,1743323.909999999916181,1630529.100000000093132,1876900.419999999925494,10939457.240000000223517
20090526,2072790.580000000074506,2068570.359999999869615,1750948.099999999860302,1797076.070000000065193,1654828.049999999813735,1903445.169999999925494,11247662.330000000074506
20090527,2109408.370000000111759,2040933.580000000074506,1717995.699999999953434,1765924.250000000000000,1659189.399999999906868,1832659.169999999925494,11126114.470000000670552
20090528,2141587.639999999664724,2076065.080000000074506,1727818.050000000046566,1775391.959999999962747,1667912.099999999860302,1861327.500000000000000,11250106.330000000074506
20090529,2152683.939999999478459,2100891.340000000316650,1747779.599999999860302,1801657.219999999972060,1718379.149999999906868,1838322.049999999813735,11359717.299999997019768
20090601,2209275.070000000298023,2234391.040000000037253,1767424.300000000046566,1827922.479999999981374,1715263.900000000139698,1888580.109999999869615,11642860.900000000372529
20090602,2211494.330000000074506,2304654.040000000037253,1781048.850000000093132,1844109.209999999962747,1725855.750000000000000,1900967.659999999916181,11768133.839999999850988
20090603,2234796.559999999590218,2265775.180000000167638,1779464.599999999860302,1862739.219999999972060,1719002.199999999953434,1904506.959999999962747,11766288.719999998807907
20090604,2278072.129999999888241,2368827.580000000074506,1769325.400000000139698,1839833.469999999972060,1656074.149999999906868,1888226.179999999934807,11800362.910000000149012
20090605,2293606.950000000186265,2466258.939999999944121,1772177.050000000046566,1828533.299999999813735,1624298.600000000093132,1882209.369999999878928,11867088.209999999031425
20090608,2280291.389999999664724,2474690.500000000000000,1762671.550000000046566,1793411.149999999906868,1615575.899999999906868,1880793.649999999906868,11807438.140000000596046
20090609,2262537.309999999590218,2452206.340000000316650,1764889.500000000000000,1804405.909999999916181,1602491.849999999860302,1854956.759999999776483,11741491.669999999925494
20090610,2223700.259999999776483,2449864.240000000223517,1763622.099999999860302,1782416.389999999897555,1594392.199999999953434,1843277.069999999832362,11657276.259999999776483
20090611,2218152.109999999403954,2373043.359999999869615,1775979.250000000000000,1761343.099999999860302,1631775.200000000186265,1840799.559999999823049,11601096.580000000074506
20090612,2171547.650000000372529,2409580.120000000111759,1776296.100000000093132,1782416.389999999897555,1624921.649999999906868,1859911.779999999795109,11624677.689999999478459
20090615,2157122.459999999962747,2319643.480000000447035,1734788.750000000000000,1764702.609999999869615,1555140.050000000046566,1816732.319999999832362,11348133.670000001788139
20090616,2161560.980000000447035,2287322.500000000000000,1730669.699999999953434,1743018.500000000000000,1522118.399999999906868,1773198.929999999934807,11217893.009999999776483
20090617,2149355.049999999813735,2274206.740000000223517,1749047.000000000000000,1752180.799999999813735,1543302.099999999860302,1770013.559999999823049,11238109.250000000000000
20090618,2153793.570000000298023,2293411.959999999962747,1767741.149999999906868,1776308.189999999711290,1598130.500000000000000,1811069.439999999944121,11400458.809999998658895
20090619,2211494.330000000074506,2269054.120000000111759,1777246.650000000139698,1776613.599999999860302,1614329.800000000046566,1792311.149999999906868,11441053.650000000372529
20090622,2177095.799999999813735,2196917.439999999944121,1758235.650000000139698,1746988.830000000074506,1568847.149999999906868,1789479.709999999962747,11237568.580000001937151
20090623,2123833.559999999590218,2054986.179999999934807,1743026.849999999860302,1733550.789999999804422,1564485.800000000046566,1789125.779999999795109,11009012.959999999031425
20090624,2159341.719999999739230,1935539.080000000074506,1757285.100000000093132,1719501.929999999701977,1585669.500000000000000,1789125.779999999795109,10946467.109999999403954
20090625,2217042.480000000447035,1992217.900000000139698,1782949.950000000186265,1754929.489999999990687,1655451.100000000093132,1829119.869999999878928,11231714.790000000968575
20090626,2258098.790000000037253,1961770.600000000325963,1793406.000000000000000,1740880.629999999888241,1682242.250000000000000,1831597.379999999888241,11267999.649999998509884
20090629,2250331.379999999888241,1997838.940000000176951,1804812.600000000093132,1747905.059999999823049,1735201.500000000000000,1848586.019999999785796,11384679.500000000000000
20090630,2258098.790000000037253,1990812.640000000130385,1799743.000000000000000,1755845.719999999972060,1742055.050000000046566,1808591.929999999934807,11355151.129999998956919
20090701,2263646.939999999478459,1978165.300000000046566,1808297.949999999953434,1778140.649999999906868,1747662.500000000000000,1840445.629999999888241,11416362.969999998807907
20090702,2219261.740000000223517,1912586.500000000000000,1773761.299999999813735,1754624.080000000074506,1682865.300000000046566,1808945.859999999869615,11152048.779999999329448
20090706,2197069.139999999664724,1899939.160000000149012,1794039.699999999953434,1771116.219999999972060,1737693.699999999953434,1846462.439999999944121,11246324.359999999403954
20090707,2146026.160000000149012,1828739.320000000065193,1781682.549999999813735,1734772.429999999701977,1720871.350000000093132,1837260.259999999776483,11049356.070000000298023
