代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12557086.500000000000000
真實報酬,2557086.500000000000000

夏普值報酬,0.247008650000000
夏普值風險,0.063447513679099
夏普值,3.893117880856702

預期報酬,10750.254363155159808
風險,314191.347915690217633
趨勢值,0.034215628261157
找到最佳解世代,2319
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](5),NKE[19](1),UNH[23](7),
Stock#,MCD[15](5),NKE[19](1),UNH[23](7),
張數,36059,72259,31372,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,39.040000000037253,25.329999999608845,58.000000000000000,
20150202,3335857.130000000353903,3321048.969999999739230,3365959.880000000353903,10022866.980000000447035
20150203,3386700.320000000298023,3373075.449999999720603,3382273.320000000298023,10142050.089999999850988
20150204,3391387.989999999757856,3343449.259999999776483,3385724.240000000223517,10120562.490000000223517
20150205,3401845.100000000093132,3372352.859999999869615,3413959.039999999571592,10188158.000000000000000
20150206,3389224.449999999720603,3316713.429999999701977,3375685.199999999720603,10081624.079999998211861
20150209,3343429.520000000018626,3294313.139999999664724,3340862.279999999795109,9978605.939999999478459
20150210,3390306.219999999739230,3351397.750000000000000,3418664.839999999850988,10160369.809999998658895
20150211,3397157.429999999701977,3299371.269999999552965,3446272.199999999720603,10142801.899999998509884
20150212,3428889.350000000093132,3323939.329999999608845,3445958.479999999981374,10198788.160000000149012
20150213,3449082.390000000130385,3325384.509999999776483,3433409.679999999701977,10207877.580000000074506
20150217,3402205.689999999944121,3318881.199999999720603,3443448.720000000204891,10164536.609999999403954
20150218,3410499.259999999776483,3382469.119999999646097,3443762.439999999944121,10236731.819999998435378
20150219,3396436.250000000000000,3385359.479999999515712,3451919.160000000149012,10233715.890000000596046
20150220,3396436.250000000000000,3430160.059999999590218,3533172.640000000130385,10359769.949999999254942
20150223,3400763.330000000074506,3433050.419999999459833,3651758.800000000279397,10485573.550000000745058
20150224,3424922.860000000335276,3447502.219999999739230,3621327.960000000428408,10493754.040000000968575
20150225,3557619.979999999981374,3498083.519999999552965,3578034.600000000093132,10633739.099999999627471
20150226,3588270.130000000353903,3504586.829999999608845,3565799.520000000018626,10658657.480000000447035
20150227,3566274.140000000130385,3508922.369999999646097,3564858.359999999869615,10640055.869999999180436
20150302,3605939.040000000037253,3568174.750000000000000,3589014.800000000279397,10763129.589999999850988
20150303,3596563.699999999720603,3539993.739999999757856,3540701.919999999925494,10677260.359999999403954
20150304,3614953.790000000037253,3523374.169999999459833,3570819.039999999571592,10709147.999999998137355
20150305,3573846.529999999795109,3557335.899999999441206,3601249.880000000353903,10732433.310000000521541
20150306,3502449.709999999962747,3501696.469999999739230,3541329.359999999869615,10545476.539999999105930
20150309,3523363.929999999701977,3520483.809999999590218,3604700.800000000279397,10648549.539999999105930
20150310,3472160.150000000372529,3487244.669999999459833,3528153.119999999646097,10487558.939999999478459
20150311,3424201.679999999701977,3444611.859999999869615,3536309.839999999850988,10405124.379999998956919
20150312,3470717.790000000037253,3506032.009999999776483,3604073.359999999869615,10580824.160000000149012
20150313,3474323.689999999944121,3461954.019999999552965,3615681.000000000000000,10551959.709999999031425
20150316,3503170.890000000130385,3484354.309999999590218,3718267.439999999944121,10705793.639999998733401
20150317,3467833.070000000298023,3487967.259999999776483,3689405.199999999720603,10645206.529999999329448
20150318,3497762.040000000037253,3523374.169999999459833,3763443.119999999646097,10784580.329999998211861
20150319,3460981.860000000335276,3552277.769999999552965,3788540.720000000204891,10801801.349999999627471
20150320,3499564.989999999757856,3684511.739999999757856,3737718.080000000074506,10921795.809999998658895
20150323,3556177.620000000111759,3665724.399999999441206,3734580.880000000353903,10956483.900000000372529
20150324,3582861.279999999795109,3636820.799999999348074,3705718.640000000130385,10925401.719999998807907
20150325,3538869.300000000279397,3576845.829999999608845,3656150.880000000353903,10771867.009999999776483
20150326,3520839.800000000279397,3589129.859999999869615,3647053.000000000000000,10757023.660000000149012
20150327,3496319.679999999701977,3608639.789999999571592,3702267.720000000204891,10807228.189999999478459
20150330,3529493.959999999962747,3645491.879999999888241,3796070.000000000000000,10971056.839999999850988
20150331,3513628.000000000000000,3625259.359999999869615,3711051.880000000353903,10849940.240000000223517
20150401,3472160.150000000372529,3597078.349999999627471,3684699.399999999906868,10753938.900000000372529
20150402,3455573.009999999776483,3600691.299999999348074,3681875.919999999925494,10738141.229999998584390
20150406,3471799.560000000055879,3603581.659999999217689,3692542.399999999906868,10767924.619999999180436
20150407,3474323.689999999944121,3599246.119999999646097,3681562.199999999720603,10755133.009999999776483
20150408,3492353.189999999944121,3643324.109999999869615,3707914.679999999701977,10843592.980000000447035
20150409,3481535.489999999757856,3638988.569999999366701,3719208.600000000093132,10839733.659999998286366
20150410,3526609.239999999757856,3612252.739999999757856,3733326.000000000000000,10872188.980000000447035
20150413,3513628.000000000000000,3586962.089999999850988,3744933.640000000130385,10845524.730000000447035
20150414,3518676.259999999776483,3596355.759999999776483,3762188.240000000223517,10877221.259999999776483
20150415,3477569.000000000000000,3607194.609999999869615,3680621.039999999571592,10765385.649999998509884
20150416,3448361.209999999962747,3609362.379999999888241,3814893.199999999720603,10872617.789999999105930
20150417,3421316.959999999962747,3560948.849999999627471,3724228.119999999646097,10706494.929999999701977
20150420,3468193.660000000149012,3612975.329999999608845,3720149.759999999776483,10801319.750000000000000
20150421,3420956.370000000111759,3623814.179999999701977,3742110.160000000149012,10786881.710000000894070
20150422,3528051.600000000093132,3618756.049999999348074,3695993.320000000298023,10842801.969999998807907
20150423,3497762.040000000037253,3653440.369999999646097,3710110.720000000204891,10861314.130000000819564
20150424,3560504.699999999720603,3647659.649999999441206,3723600.679999999701977,10931766.029999999329448
20150427,3477569.000000000000000,3646937.059999999590218,3646739.279999999795109,10771246.339999999850988
20150428,3491632.009999999776483,3607917.199999999720603,3689091.479999999981374,10788641.689999999478459
20150429,3498483.219999999739230,3619478.639999999664724,3564230.919999999925494,10682193.779999999329448
20150430,3481535.489999999757856,3571065.109999999869615,3494898.800000000279397,10547500.400000000372529
20150501,3526609.239999999757856,3641156.339999999850988,3551368.399999999906868,10719134.980000000447035
20150504,3466390.709999999962747,3643324.109999999869615,3594034.320000000298023,10703750.140000000596046
20150505,3466390.709999999962747,3628149.719999999739230,3556701.640000000130385,10651243.070000000298023
20150506,3475766.050000000279397,3620923.819999999366701,3560466.279999999795109,10657157.149999998509884
20150507,3489829.060000000055879,3665724.399999999441206,3600308.720000000204891,10755863.179999999701977
20150508,3542114.610000000335276,3701131.309999999590218,3629170.960000000428408,10872417.880000000819564
20150511,3516152.130000000353903,3714137.929999999701977,3600622.439999999944121,10830913.500000000000000
20150512,3532018.090000000316650,3698963.539999999571592,3596544.080000000074506,10827526.710000000894070
20150513,3510382.689999999944121,3691015.049999999348074,3634817.919999999925494,10836216.660000000149012
20150514,3523363.929999999701977,3737260.809999999590218,3718581.160000000149012,10979206.899999998509884
20150515,3535263.400000000372529,3792900.239999999757856,3743678.759999999776483,11071843.400000000372529
20150518,3534542.219999999739230,3784951.750000000000000,3758423.600000000093132,11077918.570000000298023
20150519,3630459.160000000149012,3780616.209999999497086,3781952.600000000093132,11193028.969999998807907
20150520,3609905.529999999795109,3779893.619999999646097,3803599.279999999795109,11193399.429999999701977
20150521,3579976.560000000055879,3771945.129999999888241,3779129.119999999646097,11131051.809999998658895
20150522,3569519.449999999720603,3773390.309999999590218,3751835.479999999981374,11094746.240000000223517
20150526,3550408.179999999701977,3736538.219999999739230,3709483.279999999795109,10996430.679999999701977
20150527,3557619.979999999981374,3715583.109999999869615,3747443.399999999906868,11020647.490000000223517
20150528,3479011.360000000335276,3696073.179999999701977,3752776.640000000130385,10927862.179999999701977
20150529,3459178.910000000149012,3673672.889999999664724,3771286.119999999646097,10904138.919999999925494
20150601,3469636.020000000018626,3676563.250000000000000,3760305.919999999925494,10906506.189999999478459
20150602,3472160.150000000372529,3689569.869999999646097,3694111.000000000000000,10855842.019999999552965
20150603,3480453.719999999739230,3704021.669999999459833,3712934.199999999720603,10897410.589999997988343
20150604,3472881.330000000074506,3683789.149999999441206,3659601.800000000279397,10816273.279999999329448
20150605,3445115.900000000372529,3686679.509999999776483,3655837.160000000149012,10787633.570000000298023
20150608,3437182.919999999925494,3665001.809999999590218,3667758.520000000018626,10769944.250000000000000
20150609,3415908.110000000335276,3662111.449999999720603,3670268.279999999795109,10748288.839999999850988
20150610,3436461.739999999757856,3733647.859999999869615,3719208.600000000093132,10889319.199999999254942
20150611,3446918.850000000093132,3753157.789999999571592,3743365.039999999571592,10943442.679999999701977
20150612,3427807.580000000074506,3749544.839999999850988,3690973.800000000279397,10868327.220000000670552
20150615,3400402.739999999757856,3734370.449999999720603,3732698.560000000055879,10867472.750000000000000
20150616,3412302.209999999962747,3777725.849999999627471,3813324.600000000093132,11003353.660000000149012
20150617,3433577.020000000018626,3784951.750000000000000,3756541.279999999795109,10975071.049999998882413
20150618,3467833.070000000298023,3829752.329999999608845,3792619.080000000074506,11090205.480000000447035
20150619,3464587.759999999776483,3849262.259999999776483,3775050.759999999776483,11088901.779999999329448
20150622,3493074.370000000111759,3858655.929999999701977,3772541.000000000000000,11124272.300000000745058
20150623,3504252.660000000149012,3873107.729999999515712,3850657.279999999795109,11228018.669999999925494
20150624,3484780.800000000279397,3837700.819999999366701,3738659.240000000223517,11061141.859999999403954
20150625,3454130.650000000372529,3801571.319999999366701,3837794.759999999776483,11093497.730000000447035
20150626,3508219.150000000372529,3964154.069999999366701,3866657.000000000000000,11339031.219999998807907
20150629,3441510.000000000000000,3890449.889999999664724,3802030.679999999701977,11133991.570000000298023
20150630,3428168.169999999925494,3902733.919999999459833,3827442.000000000000000,11158345.089999999850988
20150701,3453048.880000000353903,3954037.809999999590218,3870735.359999999869615,11277823.049999998882413
20150702,3467833.070000000298023,3969934.789999999571592,3821481.320000000298023,11259250.179999999701977
20150706,3449082.390000000130385,3968489.609999999869615,3832461.520000000018626,11250034.519999999552965
20150707,3486223.160000000149012,4021238.679999999701977,3786658.399999999906868,11294121.240000000223517
20150708,3455933.600000000093132,3948257.089999999850988,3726424.160000000149012,11130615.849999999627471
20150709,3479371.949999999720603,3954037.809999999590218,3743992.479999999981374,11177403.240000000223517
20150710,3521200.390000000130385,3993057.669999999459833,3832147.800000000279397,11346406.859999999403954
20150713,3549326.410000000149012,4061703.719999999739230,3841559.399999999906868,11452590.529999999329448
20150714,3561947.060000000055879,4058813.359999999869615,3921558.000000000000000,11542319.419999999925494
20150715,3572404.169999999925494,4042916.379999999888241,3948537.919999999925494,11563859.469999998807907
20150716,3528772.779999999795109,4058813.359999999869615,3919361.960000000428408,11506949.099999999627471
20150717,3515791.540000000037253,4075432.929999999701977,3885480.199999999720603,11476705.669999999925494
20150720,3515430.949999999720603,4087716.959999999497086,3847833.800000000279397,11450982.709999999031425
20150721,3509300.919999999925494,4082658.829999999608845,3791677.919999999925494,11383638.669999999925494
20150722,3518676.259999999776483,4122401.279999999329448,3783834.919999999925494,11424913.459999999031425
20150723,3501007.350000000093132,4118788.329999999608845,3743678.759999999776483,11363475.439999999478459
20150724,3465308.939999999944121,4082658.829999999608845,3700071.679999999701977,11248040.449999999254942
20150727,3463145.400000000372529,4037135.659999999217689,3698189.359999999869615,11198471.419999999925494
20150728,3509661.509999999776483,4100000.989999999757856,3812383.439999999944121,11422046.939999999478459
20150729,3541393.429999999701977,4152027.469999999739230,3812383.439999999944121,11505805.339999999850988
20150730,3576010.070000000298023,4155640.419999999459833,3782266.320000000298023,11513917.810000000521541
20150731,3600890.779999999795109,4162866.319999999366701,3808618.800000000279397,11572376.900000000372529
20150803,3585024.820000000298023,4149137.109999999869615,3792619.080000000074506,11526782.009999999776483
20150804,3574928.300000000279397,4183098.839999999850988,3791050.479999999981374,11549078.620000001043081
20150805,3598727.239999999757856,4218505.750000000000000,3887676.240000000223517,11704910.230000000447035
20150806,3582500.689999999944121,4159253.369999999646097,3828696.880000000353903,11570451.939999999478459
20150807,3566995.320000000298023,4137575.669999999459833,3821795.039999999571592,11526367.029999999329448
20150810,3583943.050000000279397,4167924.449999999720603,3842500.560000000055879,11594369.060000000521541
20150811,3563028.830000000074506,4135407.899999999441206,3835598.720000000204891,11534036.449999999254942
20150812,3543917.560000000055879,4084826.599999999627471,3802344.399999999906868,11431089.560000000521541
20150813,3583221.870000000111759,4104336.529999999329448,3781011.439999999944121,11468570.839999999850988
