代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15139549.200000001117587
真實報酬,5139549.200000001117587

夏普值報酬,0.505254920000000
夏普值風險,0.126675856606631
夏普值,3.988565252564084

預期報酬,21570.048814695135661
風險,317473.205044192378409
趨勢值,0.067942895564029
找到最佳解世代,1867
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AXP[1](8),BA[2](2),INTC[11](9),V[25](1),
Stock#,AXP[1](8),BA[2](2),INTC[11](9),V[25](1),
張數,32492,13324,69232,26252,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,65.520000000018626,17.879999999888241,32.479999999981374,22.040000000037253,
20170601,2543539.280000000260770,2495869.559999999590218,2500692.319999999832362,2504462.840000000316650,10044564.000000000000000
20170602,2550362.599999999627471,2534642.399999999906868,2514538.720000000204891,2524151.840000000316650,10123695.560000000521541
20170605,2565958.759999999776483,2517587.679999999701977,2515923.360000000335276,2534652.640000000130385,10134122.439999999478459
20170606,2562059.719999999739230,2488274.879999999888241,2501384.640000000130385,2514701.120000000111759,10066420.359999999403954
20170607,2593252.040000000037253,2506262.279999999795109,2510384.799999999813735,2522576.720000000204891,10132475.839999999850988
20170608,2597800.919999999925494,2530645.200000000186265,2525615.839999999850988,2522576.720000000204891,10176638.679999999701977
20170609,2609498.040000000037253,2531977.600000000093132,2472307.200000000186265,2482411.160000000149012,10096194.000000000000000
20170612,2604949.160000000149012,2531577.879999999888241,2473691.839999999850988,2454584.040000000037253,10064802.919999999925494
20170613,2618595.800000000279397,2546101.040000000037253,2484076.640000000130385,2496062.200000000186265,10144835.679999999701977
20170614,2626718.800000000279397,2563289.000000000000000,2459845.439999999944121,2502362.679999999701977,10152215.919999999925494
20170615,2622169.919999999925494,2604193.679999999701977,2444614.399999999906868,2472172.879999999888241,10143150.879999998956919
20170616,2646538.919999999925494,2617384.439999999944121,2437691.200000000186265,2472172.879999999888241,10173787.439999999478459
20170619,2660510.479999999981374,2652559.800000000279397,2458460.799999999813735,2488449.120000000111759,10259980.199999999254942
20170620,2680980.440000000409782,2642566.800000000279397,2413460.000000000000000,2477685.799999999813735,10214693.039999999105930
20170621,2671232.839999999850988,2653758.959999999497086,2394075.040000000037253,2481886.120000000111759,10200952.959999999031425
20170622,2672532.520000000018626,2657356.439999999944121,2378844.000000000000000,2466397.439999999944121,10175130.400000000372529
20170623,2671557.759999999776483,2694530.399999999906868,2367074.560000000055879,2509188.200000000186265,10242350.920000001788139
20170626,2695601.839999999850988,2664551.399999999906868,2358766.720000000204891,2499737.479999999981374,10218657.440000001341105
20170627,2699500.879999999888241,2650028.239999999757856,2329689.279999999795109,2491336.840000000316650,10170555.239999998360872
20170628,2728418.759999999776483,2659754.759999999776483,2367766.880000000353903,2526252.000000000000000,10282192.400000000372529
20170629,2717371.479999999981374,2630974.919999999925494,2322073.759999999776483,2478735.879999999888241,10149156.039999999105930
20170630,2737191.599999999627471,2634838.879999999888241,2335920.160000000149012,2461934.600000000093132,10169885.240000000223517
20170703,2765134.719999999739230,2646031.040000000037253,2316535.200000000186265,2450646.239999999757856,10178347.199999999254942
20170705,2758311.399999999906868,2688934.319999999832362,2377459.360000000335276,2467972.560000000055879,10292677.640000000596046
20170706,2720945.599999999627471,2684537.399999999906868,2328304.640000000130385,2448021.040000000037253,10181808.679999999701977
20170707,2740115.879999999888241,2696395.759999999776483,2345612.640000000130385,2465609.879999999888241,10247734.160000000149012
20170710,2739141.120000000111759,2717580.919999999925494,2329689.279999999795109,2496324.720000000204891,10282736.040000000968575
20170711,2734592.239999999757856,2748359.359999999869615,2348381.919999999925494,2504725.359999999869615,10336058.879999998956919
20170712,2756036.959999999962747,2750624.439999999944121,2371228.479999999981374,2524939.400000000372529,10402829.280000001192093
20170713,2773907.560000000055879,2747826.399999999906868,2370536.160000000149012,2518638.919999999925494,10410909.039999999105930
20170714,2770983.280000000260770,2778205.119999999646097,2400998.239999999757856,2544628.400000000372529,10494815.040000000968575
20170717,2769033.759999999776483,2784733.879999999888241,2386459.520000000018626,2542003.200000000186265,10482230.359999999403954
20170718,2778781.359999999869615,2774607.640000000130385,2390613.439999999944121,2561692.200000000186265,10505694.640000000596046
20170719,2792103.080000000074506,2809783.000000000000000,2392690.399999999906868,2579281.040000000037253,10573857.519999999552965
20170720,2773257.719999999739230,2801788.600000000093132,2405844.479999999981374,2575605.760000000242144,10556496.560000000521541
20170721,2781055.800000000279397,2826571.239999999757856,2404459.839999999850988,2614721.239999999757856,10626808.119999999180436
20170724,2761885.520000000018626,2827104.200000000186265,2388536.479999999981374,2634935.280000000260770,10612461.480000000447035
20170725,2775207.239999999757856,2830834.919999999925494,2400305.919999999925494,2624959.520000000018626,10631307.599999999627471
20170726,2771633.120000000111759,3110505.679999999701977,2405844.479999999981374,2647536.239999999757856,10935519.519999999552965
20170727,2724519.719999999739230,3211101.879999999888241,2421075.520000000018626,2613933.679999999701977,10970630.799999998882413
