代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13147997.100000001490116
真實報酬,3147997.100000001490116

夏普值報酬,0.306099710000000
夏普值風險,0.083677060727557
夏普值,3.658107817584886

預期報酬,13398.817415103623716
風險,133302.982195472344756
趨勢值,0.100514010972807
找到最佳解世代,1912
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
DIS[6](1),DD[7](2),INTC[11](9),MCD[15](30),MRK[17](4),MSFT[18](3),
Stock#,DIS[6](1),DD[7](2),INTC[11](9),MCD[15](30),MRK[17](4),MSFT[18](3),
張數,25843,30474,72716,17323,35006,50080,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,50.930000000167638,42.940000000176951,15.279999999795109,20.170000000158325,30.340000000083819,3.599999999860302,
20131001,1675452.620000000111759,1662704.380000000353903,1660121.559999999590218,1665280.160000000149012,1706222.780000000260770,1681689.999999999767169,10051475.500000000000000
20131002,1676744.770000000018626,1679465.080000000074506,1664484.519999999785796,1650555.610000000102445,1693270.560000000055879,1698717.199999999953434,10063241.740000000223517
20131003,1654519.790000000037253,1682512.480000000214204,1643396.879999999888241,1639988.580000000074506,1692920.500000000000000,1695712.399999999906868,10009054.630000000819564
20131004,1687598.830000000074506,1735537.240000000223517,1658667.239999999757856,1640508.270000000251457,1688369.719999999972060,1696714.000000000000000,10107399.300000000745058
20131007,1669250.300000000279397,1707805.900000000139698,1660121.559999999590218,1634618.450000000186265,1676467.680000000167638,1667667.599999999627471,10015935.490000000223517
20131008,1654002.930000000167638,1671846.580000000074506,1634670.959999999729916,1627342.790000000037253,1671566.840000000083819,1653144.399999999674037,9912578.500000000000000
20131009,1643407.300000000279397,1689216.760000000242144,1642669.719999999739230,1615736.380000000121072,1654763.960000000195578,1656149.199999999953434,9901947.320000000298023
