代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13765232.529999999329448
真實報酬,3765232.529999999329448

夏普值報酬,0.367823253000000
夏普值風險,0.105276604388226
夏普值,3.493874590061687

預期報酬,17725.801347158932913
風險,227972.588888460770249
趨勢值,0.077754090671978
找到最佳解世代,1597
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](5),HD[9](4),INTC[11](11),NKE[19](3),UNH[23](2),
Stock#,AAPL[0](1),DIS[6](5),HD[9](4),INTC[11](11),NKE[19](3),UNH[23](2),
張數,19770,21006,20961,62445,45687,22210,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,55.000000000000000,49.959999999962747,56.889999999897555,8.949999999953434,4.240000000223517,27.599999999860302,
20140501,1670620.000000000000000,1671287.320000000065193,1662893.019999999785796,1651679.199999999953434,1665752.260000000242144,1664667.099999999860302,9986902.900000000372529
20140502,1673585.500000000000000,1687041.820000000065193,1664360.290000000037253,1649181.399999999906868,1667122.870000000344589,1666443.899999999906868,10007739.779999999329448
20140505,1697309.500000000000000,1706157.280000000027940,1649477.979999999748543,1634194.600000000093132,1674432.790000000270084,1670885.899999999906868,10032462.049999998882413
20140506,1678923.400000000139698,1702166.139999999897555,1622857.510000000009313,1636067.949999999953434,1650675.550000000279397,1671552.199999999953434,9962246.750000000000000
20140507,1672992.400000000139698,1686621.700000000186265,1615730.769999999785796,1646683.600000000093132,1648848.070000000298023,1730408.699999999720603,10001289.240000000223517
20140508,1660735.000000000000000,1714139.559999999823049,1615101.939999999944121,1644810.250000000000000,1668950.350000000325963,1707754.499999999767169,10011495.599999999627471
20140509,1653815.500000000000000,1721491.659999999916181,1628936.199999999720603,1642312.449999999953434,1678087.750000000000000,1709087.099999999860302,10033734.660000000149012
20140512,1674376.300000000046566,1731364.479999999981374,1640674.359999999869615,1646683.600000000093132,1705043.080000000307336,1726632.999999999767169,10124778.820000000298023
20140513,1676946.399999999906868,1724222.439999999944121,1619713.359999999869615,1651679.199999999953434,1704129.340000000083819,1733296.000000000000000,10109990.739999998360872
20140514,1677341.800000000046566,1699855.479999999981374,1599590.800000000046566,1644185.799999999813735,1680828.970000000204891,1713973.299999999813735,10015780.149999998509884
20140515,1663107.400000000139698,1683680.860000000102445,1598123.529999999795109,1624203.400000000139698,1666209.130000000121072,1698648.399999999906868,9933976.720000000670552
20140516,1687622.199999999953434,1688722.300000000046566,1621599.849999999860302,1612338.849999999860302,1689052.630000000121072,1702424.100000000093132,10001763.929999999701977
