代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14186926.010000001639128
真實報酬,4186926.010000001639128

夏普值報酬,0.409992601000000
夏普值風險,0.096879395370043
夏普值,4.231989675761090

預期報酬,15859.486809413863739
風險,111655.551470103804604
趨勢值,0.142039393479332
找到最佳解世代,3866
找到最佳解實驗#,2
找到最佳解次數,24

stock[index](rank)
投資組合檔數,6
BA[2](4),HD[9](12),JNJ[12](7),KO[14](6),MCD[15](2),V[25](1),
Stock#,BA[2](4),HD[9](12),JNJ[12](7),KO[14](6),MCD[15](2),V[25](1),
張數,11069,12879,14974,41305,13973,21555,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,117.359999999869615,123.399999999906868,59.800000000046566,9.250000000000000,106.290000000037253,33.400000000139698,
20161201,1686922.269999999785796,1667567.529999999795109,1667863.919999999925494,1659231.100000000093132,1655487.600000000093132,1625927.050000000279397,9963003.470000000670552
20161202,1685372.609999999869615,1672719.129999999888241,1676548.839999999850988,1667079.050000000046566,1652273.810000000055879,1632178.000000000000000,9986175.439999999478459
20161205,1684376.399999999906868,1670272.119999999878928,1676249.360000000102445,1677818.349999999860302,1666945.460000000195578,1666450.450000000186265,10042116.140000000596046
20161206,1685261.919999999925494,1658165.860000000102445,1678046.239999999990687,1675753.100000000093132,1666386.540000000037253,1662139.450000000186265,10025757.110000001266599
20161207,1706293.019999999785796,1706075.739999999990687,1663671.199999999953434,1705492.699999999953434,1675748.449999999953434,1709560.450000000186265,10166845.559999998658895
20161208,1720129.269999999785796,1706977.270000000018626,1662024.060000000055879,1692688.149999999906868,1683154.140000000130385,1708913.800000000279397,10173890.690000001341105
20161209,1732305.169999999925494,1718053.209999999729916,1681041.040000000037253,1734819.250000000000000,1694472.270000000018626,1705896.100000000093132,10266591.039999999105930
20161212,1739721.399999999906868,1733379.219999999972060,1727460.439999999944121,1730688.750000000000000,1701179.310000000055879,1692100.900000000139698,10324534.020000001415610
20161213,1734186.899999999906868,1758622.059999999823049,1735396.660000000149012,1724906.049999999813735,1714313.930000000167638,1707189.400000000139698,10374619.000000000000000
20161214,1709945.789999999804422,1751409.819999999832362,1721920.060000000055879,1702188.300000000046566,1716549.610000000102445,1705680.550000000046566,10307698.130000000819564
20161215,1702197.489999999990687,1749606.760000000009313,1735396.660000000149012,1716231.999999999767169,1709842.570000000065193,1713655.900000000139698,10326935.380000000819564
20161216,1710277.859999999869615,1740205.090000000083819,1735246.919999999925494,1724079.950000000186265,1722138.810000000055879,1688867.649999999906868,10320820.280000001192093
20161219,1728873.780000000027940,1744455.159999999916181,1737343.280000000027940,1721188.600000000093132,1718645.560000000055879,1683478.899999999906868,10333989.280000001192093
20161220,1731198.269999999785796,1765963.090000000083819,1731952.639999999897555,1720775.549999999813735,1723396.380000000121072,1689083.200000000186265,10362373.129999998956919
20161221,1743263.479999999748543,1762356.969999999972060,1726711.739999999990687,1717058.100000000093132,1721300.430000000167638,1684341.100000000093132,10355035.819999998435378
20161222,1743042.099999999860302,1744326.369999999878928,1728658.360000000102445,1716231.999999999767169,1728845.850000000093132,1679167.900000000372529,10340276.580000000074506
20161223,1746916.250000000000000,1739432.350000000093132,1736444.839999999850988,1718297.250000000000000,1720741.510000000009313,1684556.650000000372529,10346392.849999999627471
20161227,1743263.479999999748543,1742136.939999999711290,1735696.139999999897555,1718710.300000000046566,1719763.399999999906868,1688867.649999999906868,10348441.910000000149012
20161228,1727988.259999999776483,1739689.929999999934807,1723567.199999999953434,1709623.199999999953434,1714313.930000000167638,1687789.900000000139698,10302976.419999999925494
20161229,1723449.969999999739230,1740076.299999999813735,1729407.060000000055879,1718297.250000000000000,1715850.960000000195578,1688436.550000000046566,10315522.090000001713634
20161230,1723339.280000000027940,1726939.719999999972060,1725214.339999999850988,1712514.550000000046566,1700899.850000000093132,1681754.500000000000000,10270666.240000000223517
20170103,1737618.289999999804422,1729901.889999999897555,1734647.960000000195578,1726558.249999999767169,1671556.550000000046566,1713655.900000000139698,10313942.839999999850988
20170104,1755882.139999999897555,1745227.899999999906868,1731802.900000000139698,1720362.500000000000000,1669600.330000000074506,1727666.650000000372529,10350546.419999999925494
20170105,1756878.349999999860302,1724621.500000000000000,1749921.439999999944121,1724493.000000000000000,1672674.390000000130385,1747928.350000000325963,10376521.029999999329448
20170106,1761195.259999999776483,1719856.270000000018626,1741536.000000000000000,1724079.950000000186265,1687485.770000000018626,1772069.949999999953434,10406227.199999999254942
20170109,1752561.439999999711290,1729901.889999999897555,1741236.520000000018626,1706731.850000000093132,1682874.680000000167638,1762154.650000000139698,10375465.029999999329448
20170110,1760863.189999999711290,1752955.299999999813735,1739439.639999999897555,1695166.449999999953434,1680359.540000000037253,1752670.450000000186265,10381458.570000000298023
20170111,1764515.959999999962747,1747803.699999999720603,1718026.820000000065193,1695579.499999999767169,1689162.530000000027940,1763232.400000000139698,10378324.910000000149012
20170112,1752229.369999999878928,1739689.929999999934807,1716379.680000000167638,1691449.000000000232831,1706209.589999999850988,1753963.750000000232831,10359925.320000000298023
20170113,1758206.630000000121072,1739303.559999999823049,1716080.199999999953434,1688557.650000000139698,1697825.790000000037253,1749652.750000000232831,10349630.580000000074506
20170117,1745366.589999999618158,1750765.869999999878928,1720123.180000000167638,1702601.349999999860302,1715292.040000000037253,1751592.700000000186265,10385745.730000000447035
20170118,1752561.439999999711290,1753728.039999999804422,1717577.600000000093132,1705492.699999999953434,1714733.119999999878928,1758705.850000000325963,10402802.750000000000000
20170119,1760088.359999999869615,1743811.209999999729916,1710090.600000000093132,1699296.949999999953434,1707327.430000000167638,1761723.550000000279397,10382342.100000001490116
20170120,1765954.929999999934807,1746515.799999999813735,1709341.900000000139698,1706731.850000000093132,1708445.270000000018626,1764094.600000000325963,10401088.349999999627471
20170123,1747248.319999999832362,1778326.929999999934807,1705748.139999999897555,1711275.399999999906868,1696149.030000000027940,1770776.650000000372529,10409528.469999998807907
20170124,1777245.310000000055879,1778198.139999999897555,1673554.040000000037253,1730688.750000000000000,1691537.939999999944121,1794056.050000000279397,10445284.230000000447035
20170125,1852625.199999999953434,1770728.319999999832362,1689127.000000000000000,1739775.849999999860302,1701877.960000000195578,1808497.900000000372529,10562636.230000000447035
20170126,1872106.639999999897555,1783349.739999999990687,1674751.960000000195578,1726971.300000000046566,1703135.530000000027940,1794271.600000000093132,10554590.769999999552965
20170127,1856388.659999999683350,1781675.469999999972060,1697811.919999999925494,1712101.500000000232831,1716829.070000000065193,1805695.750000000000000,10570506.369999999180436
20170130,1832811.689999999711290,1783478.529999999795109,1694068.419999999925494,1709210.150000000139698,1719064.750000000000000,1804186.900000000139698,10542824.439999999478459
20170131,1809013.339999999618158,1772016.219999999972060,1695865.300000000046566,1717058.100000000093132,1712776.899999999906868,1782847.449999999953434,10489581.309999998658895
20170201,1815101.289999999804422,1770213.159999999916181,1695565.820000000065193,1704253.549999999813735,1710680.949999999953434,1777027.600000000093132,10472846.369999999180436
20170202,1796173.299999999813735,1763902.449999999720603,1700656.979999999981374,1710036.250000000000000,1721859.350000000093132,1774009.900000000139698,10466642.230000000447035
20170203,1797722.959999999962747,1777167.819999999832362,1701705.160000000149012,1715818.949999999953434,1736111.810000000055879,1855487.800000000046566,10584018.500000000000000
20170206,1815211.979999999748543,1757978.110000000102445,1698111.400000000139698,1716645.050000000046566,1739046.140000000130385,1850099.050000000046566,10577095.730000000447035
20170207,1843105.859999999869615,1760038.750000000000000,1699309.320000000065193,1730688.750000000000000,1741002.360000000102445,1849021.300000000279397,10623170.339999999850988
20170208,1813330.250000000000000,1775879.919999999925494,1698111.400000000139698,1735645.350000000093132,1742120.199999999953434,1834148.350000000325963,10599239.469999998807907
20170209,1818532.679999999934807,1786569.489999999990687,1708293.719999999972060,1703840.500000000000000,1739465.330000000074506,1844710.300000000046566,10601416.019999999552965
20170210,1840117.229999999748543,1801251.549999999813735,1725663.560000000055879,1676166.149999999906868,1758189.149999999906868,1851607.900000000372529,10652999.540000000968575
20170213,1860041.429999999934807,1801509.129999999888241,1735246.919999999925494,1677818.349999999860302,1754276.710000000195578,1863247.600000000093132,10692144.139999998733401
20170214,1865243.859999999869615,1820698.840000000083819,1742434.439999999944121,1674100.900000000139698,1758049.420000000158325,1872085.149999999906868,10732616.610000001266599
20170215,1874099.060000000055879,1831388.409999999916181,1755012.600000000093132,1670383.449999999953434,1767411.330000000074506,1886958.100000000325963,10785256.950000001117587
20170216,1890813.250000000000000,1823017.059999999823049,1768189.719999999972060,1701775.250000000232831,1770485.390000000130385,1884155.949999999953434,10838440.619999999180436
20170217,1911844.349999999860302,1841820.399999999906868,1779869.439999999944121,1703014.399999999906868,1785855.689999999944121,1885233.699999999953434,10907641.979999998584390
20170221,1943391.000000000000000,1867835.979999999981374,1791848.639999999897555,1712514.550000000046566,1789209.209999999962747,1895149.000000000232831,10999952.379999998956919
20170222,1941177.199999999953434,1870798.149999999906868,1789752.280000000027940,1718297.250000000000000,1786554.339999999850988,1892562.400000000139698,10999145.619999999180436
20170223,1957780.699999999953434,1863843.489999999990687,1822395.600000000093132,1720775.549999999813735,1792423.000000000232831,1900753.300000000279397,11057975.640000000596046
20170224,1964200.719999999739230,1879813.449999999720603,1837818.820000000065193,1725732.150000000139698,1797732.740000000223517,1906142.050000000279397,11111443.929999999701977
20170227,1986228.030000000027940,1871442.100000000093132,1832877.400000000139698,1721188.600000000093132,1774537.560000000055879,1896873.400000000139698,11083151.090000001713634
20170228,1995083.229999999748543,1866419.289999999804422,1830032.339999999850988,1733167.050000000046566,1783759.740000000223517,1895580.100000000093132,11104045.749999998137355
20170301,2035817.149999999906868,1889215.119999999878928,1854739.439999999944121,1741428.049999999813735,1803321.940000000176951,1918212.850000000093132,11242738.549999998882413
20170302,2025633.669999999925494,1905571.449999999720603,1851295.419999999925494,1754232.599999999860302,1791864.079999999841675,1908297.550000000279397,11236898.769999999552965
20170303,2016667.780000000027940,1903768.389999999897555,1853691.260000000242144,1754645.649999999906868,1787252.990000000223517,1913901.850000000325963,11229931.919999999925494
20170306,2002831.530000000027940,1895010.669999999925494,1852493.339999999850988,1742254.149999999906868,1789069.479999999981374,1917135.100000000093132,11198798.269999999552965
20170307,2014896.739999999990687,1880714.979999999981374,1854290.219999999972060,1734406.200000000186265,1789628.399999999906868,1919721.700000000186265,11193662.239999998360872
20170308,2011797.419999999925494,1892306.079999999841675,1858333.199999999953434,1734406.200000000186265,1789907.860000000102445,1917566.199999999953434,11204320.959999999031425
20170309,1998846.689999999711290,1888442.379999999888241,1886035.100000000093132,1736058.400000000139698,1790606.509999999776483,1920799.450000000186265,11220792.530000001192093
20170310,1978147.659999999683350,1891404.549999999813735,1889928.339999999850988,1746797.699999999953434,1788370.830000000074506,1934163.550000000279397,11228816.629999998956919
20170313,1982021.810000000055879,1898874.369999999878928,1896966.120000000111759,1736058.400000000139698,1783200.820000000065193,1942354.450000000186265,11239479.969999998807907
20170314,1978479.729999999748543,1895397.039999999804422,1902506.500000000000000,1733580.099999999860302,1785855.689999999944121,1930283.650000000139698,11226106.709999999031425
20170315,1978258.349999999860302,1905571.449999999720603,1931106.840000000083819,1739775.849999999860302,1786973.530000000027940,1938259.000000000232831,11279949.019999999552965
20170316,1972502.469999999739230,1915617.069999999832362,1923619.840000000083819,1745145.500000000000000,1788370.830000000074506,1940845.600000000325963,11286105.310000000521541
20170317,1993644.259999999776483,1926821.799999999813735,1917630.239999999990687,1736058.400000000139698,1797593.009999999776483,1945156.600000000093132,11316908.310000000521541
20170320,1985785.269999999785796,1903639.600000000093132,1917779.979999999981374,1742254.149999999906868,1799549.229999999981374,1922308.300000000279397,11271320.530000001192093
20170321,1947818.599999999860302,1888313.590000000083819,1905501.300000000046566,1755471.750000000000000,1795916.250000000232831,1898166.700000000186265,11191192.190000001341105
