代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14629208.540000002831221
真實報酬,4629208.540000002831221

夏普值報酬,0.454220854000000
夏普值風險,0.107139640241613
夏普值,4.239521926484687

預期報酬,18390.974765518170898
風險,221599.329144337389152
趨勢值,0.082992014626269
找到最佳解世代,2266
找到最佳解實驗#,1
找到最佳解次數,31

stock[index](rank)
投資組合檔數,3
DIS[6](3),NKE[19](2),UNH[23](1),
Stock#,DIS[6](3),NKE[19](2),UNH[23](1),
張數,38813,86422,41126,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,72.560000000055879,36.459999999962747,70.700000000186265,
20140801,3313926.500000000000000,3317777.040000000037253,3351428.439999999944121,9983132.980000000447035
20140804,3386118.679999999701977,3334197.219999999739230,3383506.720000000204891,10103823.619999999180436
20140805,3367100.310000000055879,3323826.580000000074506,3330865.439999999944121,10021793.330000000074506
20140806,3360890.229999999981374,3333333.000000000000000,3351839.700000000186265,10046063.929999999701977
20140807,3318972.190000000409782,3298764.200000000186265,3259717.460000000428408,9877454.850000001490116
20140808,3370981.609999999869615,3329876.120000000111759,3295085.820000000298023,9995944.550000000745058
20140811,3396210.060000000055879,3329876.120000000111759,3284804.320000000298023,10010891.500000000000000
20140812,3384954.290000000037253,3316048.599999999627471,3299198.419999999925494,10000202.309999998658895
20140813,3400091.359999999869615,3338518.320000000298023,3352250.960000000428408,10090861.640000000596046
20140814,3439292.490000000223517,3340246.759999999776483,3365000.020000000018626,10144540.269999999552965
20140815,3465297.200000000186265,3333333.000000000000000,3350605.919999999925494,10149237.120000001043081
20140818,3492078.169999999925494,3394692.620000000111759,3386385.540000000502914,10273157.330000000074506
20140819,3496735.729999999981374,3392964.179999999701977,3432857.919999999925494,10322558.830000000074506
20140820,3487032.479999999981374,3410248.580000000074506,3431212.880000000353903,10328494.940000001341105
20140821,3507991.500000000000000,3411112.799999999813735,3445195.720000000204891,10364301.019999999552965
20140822,3512260.929999999701977,3426668.759999999776483,3445606.980000000447035,10384537.669999999925494
20140825,3507991.500000000000000,3457780.679999999701977,3464524.939999999944121,10430298.119999999180436
20140826,3494018.819999999832362,3434446.740000000223517,3500715.820000000298023,10429182.380000000819564
20140827,3507603.370000000111759,3444817.379999999888241,3552534.580000000074506,10504956.330000000074506
20140828,3502169.550000000279397,3405927.479999999515712,3550889.540000000502914,10458987.570000000298023
20140829,3488585.000000000000000,3394692.620000000111759,3564872.380000000353903,10448151.000000000000000
20140902,3524292.959999999962747,3425804.540000000037253,3552945.840000000316650,10503044.339999999850988
20140903,3529726.779999999795109,3405927.479999999515712,3569396.240000000223517,10505051.500000000000000
20140904,3498676.379999999888241,3453459.580000000074506,3580500.260000000242144,10532637.220000000670552
20140905,3529726.779999999795109,3545066.900000000372529,3608877.200000000186265,10683671.879999998956919
20140908,3514977.840000000316650,3560622.860000000335276,3615457.359999999869615,10691059.060000000521541
20140909,3477717.359999999869615,3536424.700000000186265,3642189.260000000242144,10656332.320000000298023
20140910,3474612.319999999832362,3564079.740000000223517,3588314.200000000186265,10627007.260000001639128
20140911,3492078.169999999925494,3535560.479999999515712,3581322.780000000260770,10608962.429999999701977
20140912,3480434.270000000018626,3536424.700000000186265,3544309.380000000353903,10561169.350000001490116
20140915,3496347.600000000093132,3526918.280000000260770,3538140.480000000447035,10561407.360000001266599
20140916,3503722.069999999832362,3508769.660000000149012,3584612.859999999869615,10597105.589999999850988
20140917,3506050.850000000093132,3522597.179999999701977,3577621.439999999944121,10606270.469999998807907
20140918,3506438.979999999981374,3542474.240000000223517,3603942.080000000074506,10652856.300000000745058
20140919,3512260.929999999701977,3535560.479999999515712,3610933.500000000000000,10658755.910000000149012
20140922,3465685.330000000074506,3487164.160000000149012,3609699.720000000204891,10562550.210000000894070
20140923,3427648.590000000316650,3462101.780000000260770,3561171.040000000502914,10450922.410000002011657
20140924,3471895.410000000149012,3493213.700000000186265,3627795.160000000149012,10592905.269999999552965
20140925,3418333.469999999739230,3446545.820000000298023,3544309.380000000353903,10409189.669999999925494
20140926,3444338.179999999701977,3867420.959999999962747,3561582.299999999813735,10873342.439999999478459
20140929,3447831.350000000093132,3851000.780000000260770,3557880.960000000428408,10856714.090000001713634
20140930,3455593.950000000186265,3854457.660000000149012,3547188.200000000186265,10857240.810000000521541
