代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13575511.740000002086163
真實報酬,3575511.740000002086163

夏普值報酬,0.348851174000000
夏普值風險,0.104188773756190
夏普值,3.348260675534390

預期報酬,16966.477524989135418
風險,282615.071044877578970
趨勢值,0.060033873856271
找到最佳解世代,1676
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),HD[9](3),MCD[15](27),MMM[16](6),PG[21](8),UNH[23](25),
Stock#,AAPL[0](1),HD[9](3),MCD[15](27),MMM[16](6),PG[21](8),UNH[23](25),
張數,85910,71963,28253,29188,32088,62656,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,12.000000000232831,2.919999999925494,21.530000000027940,31.199999999953434,15.280000000027940,16.399999999906868,
20090601,1710480.100000000325963,1738629.000000000000000,1690963.580000000074506,1730587.719999999972060,1712230.959999999962747,1723056.399999999906868,10305951.759999999776483
20090602,1712198.300000000279397,1763096.419999999925494,1705937.670000000158325,1750143.679999999934807,1723461.760000000009313,1760650.000000000000000,10415491.830000000074506
20090603,1730239.400000000372529,1753741.229999999981374,1723172.000000000000000,1736717.199999999953434,1726670.560000000055879,1723056.399999999906868,10393600.790000000968575
20090604,1763744.300000000279397,1768133.829999999841675,1701982.250000000000000,1746933.000000000000000,1711910.080000000074506,1708645.519999999785796,10401352.980000000447035
20090605,1775771.700000000419095,1739348.630000000121072,1691528.639999999897555,1778747.919999999925494,1706455.120000000111759,1697994.000000000000000,10389850.010000001639128
20090608,1765462.500000000232831,1767414.199999999720603,1659037.689999999944121,1771450.919999999925494,1705171.600000000093132,1632205.199999999953434,10300746.109999999403954
20090609,1751716.900000000372529,1752301.969999999972060,1669208.770000000018626,1761235.120000000111759,1681747.359999999869615,1627819.280000000027940,10244033.400000000372529
20090610,1721648.400000000139698,1755180.489999999990687,1648866.610000000102445,1764737.679999999934807,1671158.320000000065193,1612155.280000000027940,10173750.779999999329448
20090611,1717352.900000000139698,1743666.409999999916181,1629372.040000000037253,1768240.239999999990687,1668912.159999999916181,1506893.199999999953434,10034440.949999999254942
20090612,1681270.700000000186265,1737909.369999999878928,1648866.610000000102445,1780499.199999999953434,1686239.679999999934807,1516918.159999999916181,10051707.720000000670552
20090615,1670102.400000000372529,1716320.469999999972060,1632479.870000000111759,1731171.479999999981374,1647092.320000000065193,1473058.959999999962747,9870229.500000000000000
20090616,1673538.800000000279397,1669544.519999999785796,1612420.239999999990687,1704902.279999999795109,1607624.080000000074506,1505013.519999999785796,9773047.439999999478459
20090617,1664088.700000000419095,1701927.869999999878928,1620896.139999999897555,1723290.719999999972060,1604736.159999999916181,1505013.519999999785796,9819957.109999999403954
20090618,1667525.100000000325963,1680338.969999999972060,1643216.010000000009313,1731171.479999999981374,1641958.239999999990687,1594611.599999999860302,9958825.400000000372529
20090619,1712198.300000000279397,1692572.679999999934807,1643498.540000000037253,1732922.759999999776483,1624951.600000000093132,1593358.479999999981374,9999506.360000001266599
20090622,1685566.200000000419095,1673142.669999999925494,1616093.130000000121072,1677465.559999999823049,1622384.560000000055879,1538847.759999999776483,9813503.879999998956919
