代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13361121.640000000596046
真實報酬,3361121.640000000596046

夏普值報酬,0.327412164000000
夏普值風險,0.082100679697970
夏普值,3.987934877086007

預期報酬,13355.550920877805765
風險,110173.315674880825100
趨勢值,0.121223100521816
找到最佳解世代,2707
找到最佳解實驗#,1
找到最佳解次數,42

stock[index](rank)
投資組合檔數,4
AXP[1](7),KO[14](11),MCD[15](2),V[25](1),
Stock#,AXP[1](7),KO[14](11),MCD[15](2),V[25](1),
張數,32731,60139,20396,30226,
20170706,2740900.160000000149012,2670193.370000000111759,3122485.920000000391155,2818582.040000000037253,11352161.490000002086163
20170707,2760211.450000000186265,2669591.979999999981374,3187345.200000000651926,2838833.459999999962747,11455982.089999999850988
20170710,2759229.520000000018626,2668990.590000000316650,3172048.200000000651926,2874197.880000000353903,11474466.190000001341105
20170711,2754647.180000000167638,2665983.640000000130385,3159606.640000000130385,2883870.199999999720603,11464107.660000000149012
20170712,2776249.640000000130385,2676808.659999999683350,3193667.960000000428408,2907144.220000000204891,11553870.480000000447035
20170713,2794251.690000000409782,2671997.540000000037253,3162258.120000000111759,2899889.979999999981374,11528397.330000001937151
20170714,2791305.900000000372529,2687032.290000000037253,3167153.160000000149012,2929813.720000000204891,11575305.070000002160668
20170717,2789342.040000000037253,2690039.239999999757856,3166745.240000000223517,2926791.120000000111759,11572917.640000000596046
20170718,2799161.339999999850988,2686430.899999999906868,3140230.440000000409782,2949460.620000000111759,11575283.300000000745058
20170719,2812581.050000000279397,2696053.140000000130385,3138802.720000000204891,2969712.040000000037253,11617148.949999999254942
20170720,2793597.069999999832362,2695451.750000000000000,3145329.440000000409782,2965480.399999999906868,11599858.660000002011657
20170721,2801452.510000000242144,2708080.939999999944121,3139414.600000000093132,3010517.139999999664724,11659465.190000001341105
20170724,2782141.220000000204891,2696654.530000000260770,3097194.880000000353903,3033791.160000000149012,11609781.790000000968575
20170725,2795560.930000000167638,2720710.130000000353903,3244454.000000000000000,3022305.279999999795109,11783030.339999999850988
20170726,2791960.520000000018626,2750779.630000000353903,3192240.240000000223517,3048299.639999999664724,11783280.030000001192093
20170727,2744500.569999999832362,2773632.449999999720603,3201214.479999999981374,3009610.359999999869615,11728957.859999999403954
20170728,2775595.020000000018626,2767017.159999999683350,3178778.880000000353903,2996915.440000000409782,11718306.500000000000000
20170731,2789669.350000000558794,2756793.530000000260770,3164297.720000000204891,3009308.100000000093132,11720068.700000001117587
20170801,2789996.660000000149012,2748374.070000000298023,3141862.120000000111759,3048904.160000000149012,11729137.010000001639128
20170802,2791960.520000000018626,2741758.780000000260770,3193871.920000000391155,3061296.820000000298023,11788888.040000000968575
20170803,2799815.960000000428408,2746569.899999999906868,3155731.400000000372529,3040440.880000000353903,11742558.140000002458692
20170804,2813890.290000000037253,2736346.270000000018626,3137375.000000000000000,3049508.680000000167638,11737120.240000000223517
20170807,2809962.569999999832362,2744765.729999999981374,3160830.400000000372529,3067644.279999999795109,11783202.979999998584390
20170808,2812908.360000000335276,2742360.169999999925494,3159810.600000000093132,3061296.820000000298023,11776375.950000001117587
20170809,2804725.610000000335276,2741758.780000000260770,3159810.600000000093132,3051926.759999999776483,11758221.750000000000000
20170810,2767739.580000000074506,2750779.630000000353903,3194483.800000000279397,3007192.279999999795109,11720195.290000000968575
20170811,2758902.210000000428408,2741758.780000000260770,3208353.080000000540167,3025327.880000000353903,11734341.950000001117587
20170814,2797524.790000000037253,2754387.969999999739230,3207537.240000000223517,3079130.160000000149012,11838580.160000000149012
20170815,2840729.710000000428408,2777842.179999999701977,3214879.800000000279397,3102101.919999999925494,11935553.610000001266599
20170816,2860368.310000000055879,2778443.570000000298023,3240986.680000000167638,3122957.859999999869615,12002756.419999999925494
20170817,2817818.010000000242144,2757996.310000000055879,3220386.720000000204891,3087895.699999999720603,11884096.740000000223517
20170818,2794579.000000000000000,2746569.899999999906868,3217735.240000000223517,3098474.800000000279397,11857358.940000001341105
20170821,2791960.520000000018626,2747171.290000000037253,3229972.840000000316650,3119935.259999999776483,11889039.910000000149012
20170822,2791960.520000000018626,2742360.169999999925494,3256079.720000000204891,3145627.359999999869615,11936027.769999999552965
20170823,2791305.900000000372529,2738751.830000000074506,3239151.040000000502914,3118726.220000000204891,11887934.990000002086163
20170824,2793924.380000000353903,2730933.759999999776483,3230992.640000000130385,3119935.259999999776483,11875786.040000000968575
20170825,2797524.790000000037253,2740556.000000000000000,3239355.000000000000000,3123864.639999999664724,11901300.429999999701977
20170828,2795560.930000000167638,2731535.149999999906868,3256691.600000000093132,3136861.820000000298023,11920649.500000000000000
20170829,2795888.240000000223517,2733339.320000000298023,3250776.760000000242144,3136559.560000000055879,11916563.880000000819564
20170830,2804725.610000000335276,2729730.979999999981374,3253836.160000000149012,3135350.520000000018626,11923643.269999999552965
20170831,2818145.319999999832362,2739353.219999999739230,3262810.400000000372529,3129003.060000000055879,11949312.000000000000000
20170901,2819454.560000000055879,2753185.189999999944121,3259547.040000000502914,3140488.940000000409782,11972675.730000000447035
20170905,2792287.830000000074506,2761604.649999999906868,3245065.880000000353903,3113587.800000000279397,11912546.160000002011657
20170906,2789669.350000000558794,2764010.209999999962747,3227117.400000000372529,3118726.220000000204891,11899523.180000001564622
20170907,2762829.930000000167638,2783254.689999999944121,3261382.680000000167638,3160438.100000000093132,11967905.400000000372529
20170908,2757592.970000000204891,2784457.469999999739230,3257507.440000000409782,3156508.720000000204891,11956066.599999999627471
20170911,2804725.610000000335276,2797688.050000000279397,3294628.160000000149012,3208497.440000000409782,12105539.260000001639128
20170912,2832874.270000000018626,2809715.850000000093132,3188568.960000000428408,3210311.000000000000000,12041470.080000000074506
20170913,2835820.060000000055879,2818736.699999999720603,3202234.280000000260770,3198825.120000000111759,12055616.160000000149012
20170914,2821091.110000000335276,2773031.060000000055879,3202234.280000000260770,3206381.620000000111759,12002738.070000000298023
20170915,2847275.910000000149012,2777240.790000000037253,3200602.600000000093132,3182805.339999999850988,12007924.640000000596046
20170918,2876079.190000000409782,2773031.060000000055879,3195707.560000000521541,3168599.120000000111759,12013416.929999999701977
20170919,2913065.220000000204891,2765212.989999999757856,3211004.560000000521541,3186130.199999999720603,12075412.969999998807907
20170920,2894408.550000000279397,2753185.189999999944121,3260974.760000000242144,3186130.199999999720603,12094698.699999999254942
20170921,2894081.240000000223517,2730332.370000000111759,3243638.160000000149012,3183107.600000000093132,12051159.369999999180436
20170922,2893426.620000000577420,2735744.880000000353903,3241190.640000000130385,3190664.100000000093132,12061026.240000000223517
20170925,2887207.729999999981374,2747772.679999999701977,3187141.240000000223517,3113890.060000000055879,11936011.710000000894070
20170926,2902918.610000000335276,2740556.000000000000000,3127788.880000000353903,3111471.979999999981374,11882735.470000000670552
20170927,2929103.410000000149012,2684626.729999999981374,3142066.080000000540167,3140186.680000000167638,11895982.900000000372529
20170928,2950378.560000000055879,2700864.259999999776483,3212228.320000000298023,3161042.620000000111759,12024513.760000001639128
20170929,2960852.479999999981374,2706878.159999999683350,3195707.560000000521541,3161042.620000000111759,12024480.820000000298023
20171002,2963470.960000000428408,2694248.969999999739230,3201418.440000000409782,3187036.979999999981374,12046175.350000001490116
20171003,2992601.550000000279397,2717703.179999999701977,3199378.840000000316650,3191570.880000000353903,12101254.450000001117587
20171004,2978854.530000000260770,2736346.270000000018626,3206517.440000000409782,3183107.600000000093132,12104825.840000001713634
20171005,2983764.180000000167638,2737549.050000000279397,3238947.080000000540167,3211217.779999999795109,12171478.089999999850988
20171006,2996529.270000000018626,2735744.880000000353903,3255263.880000000353903,3226028.520000000018626,12213566.550000000745058
20171009,3001111.610000000335276,2730933.759999999776483,3265869.800000000279397,3234491.800000000279397,12232406.970000000670552
20171010,3007657.810000000055879,2758597.699999999720603,3275251.960000000428408,3243559.600000000093132,12285067.070000000298023
20171011,3009948.979999999981374,2772429.669999999925494,3327669.680000000167638,3277714.979999999981374,12387763.310000000521541
20171012,2998493.130000000353903,2773031.060000000055879,3343170.640000000130385,3267740.399999999906868,12382435.230000000447035
20171013,3039406.880000000353903,2777240.790000000037253,3372948.800000000279397,3284364.699999999720603,12473961.169999999925494
20171016,3009948.979999999981374,2803701.949999999720603,3365606.240000000223517,3273483.339999999850988,12452740.509999999776483
20171017,3001111.610000000335276,2797688.050000000279397,3373560.680000000167638,3250511.580000000074506,12422871.919999999925494
20171018,3013876.700000000186265,2790471.370000000111759,3381107.200000000651926,3258370.339999999850988,12443825.610000001266599
20171019,3007985.120000000577420,2801897.780000000260770,3395996.280000000260770,3234794.060000000055879,12440673.240000000223517
20171020,3014204.010000000242144,2789268.590000000316650,3391917.080000000540167,3250813.839999999850988,12446203.520000001415610
20171023,3023696.000000000000000,2785660.250000000000000,3331544.920000000391155,3250209.320000000298023,12391110.490000000223517
20171024,3072137.880000000353903,2777240.790000000037253,3342558.760000000242144,3276808.199999999720603,12468745.629999998956919
20171025,3061336.650000000372529,2769422.719999999739230,3336439.960000000428408,3309452.279999999795109,12476651.609999999403954
20171026,3132035.610000000335276,2780247.739999999757856,3345210.240000000223517,3318822.339999999850988,12576315.929999999701977
20171027,3135308.710000000428408,2770625.500000000000000,3373356.720000000204891,3316102.000000000000000,12595392.930000001564622
20171030,3111742.390000000130385,2757996.310000000055879,3390489.359999999869615,3326076.580000000074506,12586304.640000000596046
20171031,3126471.339999999850988,2765212.989999999757856,3404358.640000000130385,3324263.020000000018626,12620305.990000000223517
20171101,3135308.710000000428408,2754387.969999999739230,3393344.800000000279397,3357209.359999999869615,12640250.839999999850988
20171102,3141527.600000000558794,2759199.090000000316650,3428629.880000000353903,3354489.020000000018626,12683845.590000001713634
20171103,3156256.550000000279397,2764611.600000000093132,3439847.680000000167638,3365974.899999999906868,12726690.730000000447035
20171106,3151674.210000000428408,2734542.100000000093132,3468810.000000000000000,3382901.459999999962747,12737927.769999999552965
20171107,3121561.690000000409782,2762807.429999999701977,3483087.200000000651926,3388039.880000000353903,12755496.200000001117587
20171108,3113706.250000000000000,2777240.790000000037253,3469421.880000000353903,3399525.759999999776483,12759894.679999999701977
20171109,3068537.470000000204891,2780247.739999999757856,3406194.280000000260770,3389551.180000000167638,12644530.669999999925494
20171110,3061009.339999999850988,2798890.830000000074506,3377435.920000000391155,3381692.419999999925494,12619028.509999999776483
20171113,3073447.120000000577420,2809715.850000000093132,3413740.800000000279397,3367183.940000000409782,12664087.710000000894070
20171114,3068864.780000000260770,2852414.540000000037253,3428833.840000000316650,3384715.020000000018626,12734828.179999999701977
20171115,3052499.280000000260770,2815128.360000000335276,3412721.000000000000000,3332424.040000000037253,12612772.679999999701977
20171116,3062318.580000000074506,2799492.219999999739230,3428425.920000000391155,3355698.060000000055879,12645934.780000001192093
20171117,3066573.610000000335276,2748975.459999999962747,3400483.400000000372529,3319426.859999999869615,12535459.330000000074506
20171120,3075083.670000000391155,2733940.709999999962747,3404766.560000000521541,3323356.240000000223517,12537147.180000001564622
20171121,3090139.930000000167638,2753185.189999999944121,3432709.080000000540167,3368695.240000000223517,12644729.440000001341105
20171122,3070828.640000000130385,2756793.530000000260770,3448006.080000000540167,3349652.859999999869615,12625281.109999999403954
20171124,3059700.100000000558794,2759199.090000000316650,3449229.840000000316650,3384412.759999999776483,12652541.790000000968575
20171127,3059372.790000000037253,2760401.870000000111759,3446170.440000000409782,3396805.419999999925494,12662750.520000001415610
20171128,3118615.900000000372529,2756192.140000000130385,3494712.920000000391155,3426426.899999999906868,12795947.860000001266599
20171129,3161820.819999999832362,2736346.270000000018626,3476152.560000000521541,3320635.899999999906868,12694955.550000000745058
20171130,3198152.229999999981374,2752583.800000000279397,3507562.400000000372529,3403152.880000000353903,12861451.310000000521541
20171201,3203061.880000000353903,2764611.600000000093132,3525918.800000000279397,3346932.520000000018626,12840524.800000000745058
20171204,3226955.510000000242144,2780247.739999999757856,3480639.680000000167638,3247186.720000000204891,12735029.650000000372529
20171205,3230883.229999999981374,2782051.909999999683350,3528366.320000000298023,3281946.620000000111759,12823248.080000001937151
20171206,3214517.729999999981374,2793478.320000000298023,3538360.359999999869615,3317008.779999999795109,12863365.189999999478459
20171207,3226628.200000000186265,2753185.189999999944121,3526734.640000000130385,3367183.940000000409782,12873731.970000002533197
20171208,3225646.270000000018626,2724919.860000000335276,3531629.680000000167638,3403455.139999999664724,12885650.949999999254942
20171211,3240375.220000000204891,2726122.640000000130385,3533669.280000000260770,3396503.160000000149012,12896670.300000000745058
20171212,3252485.690000000409782,2723717.080000000074506,3512865.359999999869615,3429449.500000000000000,12918517.630000000819564
20171213,3200443.400000000372529,2760401.870000000111759,3539788.080000000540167,3424915.600000000093132,12925548.950000001117587
20171214,3179822.870000000577420,2768219.939999999944121,3531425.720000000204891,3413127.459999999962747,12892595.990000002086163
20171215,3224664.339999999850988,2777842.179999999701977,3550190.040000000502914,3440330.859999999869615,12993027.419999999925494
20171218,3262632.300000000279397,2762206.040000000037253,3553045.479999999981374,3432169.839999999850988,13010053.660000000149012
20171219,3245284.870000000577420,2774233.840000000316650,3536524.720000000204891,3389551.180000000167638,12945594.610000001266599
20171220,3224337.030000000260770,2771226.890000000130385,3511641.600000000093132,3388946.660000000149012,12896152.179999999701977
20171221,3224009.720000000204891,2742360.169999999925494,3505114.880000000353903,3397712.199999999720603,12869196.970000000670552
20171222,3231865.160000000149012,2741758.780000000260770,3496344.600000000093132,3406175.479999999981374,12876144.020000001415610
20171226,3226300.890000000130385,2754989.360000000335276,3493693.120000000111759,3415243.279999999795109,12890226.650000000372529
20171227,3244630.250000000000000,2762206.040000000037253,3521839.600000000093132,3446376.060000000055879,12975051.950000001117587
20171228,3263286.920000000391155,2749576.850000000093132,3530609.880000000353903,3456350.639999999664724,12999824.289999999105930
20171229,3250521.830000000074506,2759199.090000000316650,3510621.800000000279397,3446376.060000000055879,12966718.780000001192093
20180102,3238411.360000000335276,2738751.830000000074506,3533057.400000000372529,3461186.800000000279397,12971407.390000000596046
20180103,3258377.270000000018626,2732737.929999999701977,3518168.320000000298023,3495644.440000000409782,13004927.960000000894070
20180104,3300927.569999999832362,2771226.890000000130385,3542847.479999999981374,3508641.620000000111759,13123643.559999998658895
20180105,3308455.700000000186265,2770625.500000000000000,3549986.080000000540167,3592669.899999999906868,13221737.180000001564622
20180108,3278015.870000000577420,2766415.770000000018626,3547538.560000000521541,3607178.380000000353903,13199148.580000001937151
20180109,3290126.339999999850988,2780247.739999999757856,3539584.120000000111759,3600226.399999999906868,13210184.599999999627471
20180110,3313038.040000000037253,2770625.500000000000000,3538972.240000000223517,3596297.020000000018626,13218932.800000000745058
20180111,3296999.850000000558794,2768821.330000000074506,3536524.720000000204891,3622291.380000000353903,13224637.280000001192093
20180112,3304855.290000000037253,2775436.620000000111759,3540196.000000000000000,3629847.880000000353903,13250335.790000000968575
