代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13908485.259999999776483
真實報酬,3908485.259999999776483

夏普值報酬,0.382148526000000
夏普值風險,0.088919970266424
夏普值,4.297668171221827

預期報酬,15560.306889271463660
風險,229274.821691541117616
趨勢值,0.067867490963337
找到最佳解世代,2178
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
INTC[11](11),MRK[17](28),MSFT[18](2),NKE[19](3),V[25](1),
Stock#,INTC[11](11),MRK[17](28),MSFT[18](2),NKE[19](3),V[25](1),
張數,52521,31235,26849,38572,19124,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,0.320000000065193,22.949999999953434,17.990000000223517,41.800000000046566,12.080000000074506,
20171002,2050420.159999999916181,2016242.199999999953434,2003221.880000000121072,2000771.439999999944121,2016446.640000000130385,10087102.320000000298023
20171003,2068277.300000000279397,2010619.900000000139698,1993824.730000000447035,1985342.639999999897555,2019315.240000000223517,10077379.810000000521541
20171004,2066176.460000000195578,2017803.949999999720603,2005369.800000000046566,2008871.560000000055879,2013960.520000000018626,10112182.289999999105930
20171005,2076155.450000000186265,2017803.949999999720603,2039736.520000000251457,2012728.760000000009313,2031745.840000000083819,10178170.519999999552965
20171006,2081407.550000000279397,2016242.199999999953434,2040541.990000000223517,2021986.040000000037253,2041116.600000000093132,10201294.380000000819564
20171009,2093487.380000000121072,2009370.500000000000000,2048328.200000000419095,1987271.240000000223517,2046471.320000000065193,10184928.640000000596046
20171010,2082457.969999999972060,2013431.049999999813735,2048328.200000000419095,1987656.960000000195578,2052208.520000000018626,10184082.699999999254942
20171011,2064075.619999999878928,1992191.250000000000000,2051818.570000000298023,1968370.960000000195578,2073818.640000000130385,10150275.040000000968575
20171012,2058298.310000000055879,1993753.000000000000000,2070612.870000000344589,1960656.560000000055879,2067507.719999999972060,10150828.460000000894070
20171013,2083508.390000000130385,1980009.599999999860302,2080547.000000000000000,1966442.359999999869615,2078025.919999999925494,10188533.269999999552965
20171016,2088235.280000000027940,1978447.850000000093132,2084842.840000000316650,1981485.439999999944121,2071141.280000000027940,10204152.689999999478459
20171017,2089810.909999999916181,1974699.649999999906868,2083231.900000000372529,2005785.800000000046566,2056607.040000000270084,10210135.300000000745058
20171018,2113970.570000000298023,1983757.799999999813735,2083768.880000000121072,2017357.399999999906868,2061579.280000000027940,10260433.929999999701977
20171019,2105567.209999999962747,1991254.199999999953434,2091823.580000000074506,2032400.479999999981374,2046662.560000000055879,10267708.030000001192093
20171020,2123424.349999999627471,1995314.750000000000000,2115987.680000000167638,2046672.120000000111759,2056798.280000000027940,10338197.179999999701977
