代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15081479.579999998211861
真實報酬,5081479.579999998211861

夏普值報酬,0.499447958000000
夏普值風險,0.115690224069831
夏普值,4.317114622394814

預期報酬,20277.210647139811044
風險,193222.374270689237164
趨勢值,0.104942353201462
找到最佳解世代,1742
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](2),JPM[13](3),PFE[20](4),V[25](1),
Stock#,HD[9](2),JPM[13](3),PFE[20](4),V[25](1),
張數,50668,75414,114311,86805,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,40.879999999888241,25.899999999906868,18.429999999701977,16.000000000000000,
20120601,2430078.160000000149012,2407994.919999999925494,2473708.469999999739230,2435764.299999999813735,9747545.849999999627471
20120604,2470612.559999999590218,2337859.899999999906868,2470279.139999999664724,2477430.699999999720603,9756182.299999998882413
20120605,2478719.439999999944121,2412519.759999999776483,2469136.029999999795109,2469618.250000000000000,9829993.479999998584390
20120606,2563841.680000000167638,2493966.879999999888241,2504572.439999999944121,2525173.450000000186265,10087554.449999999254942
20120607,2596269.200000000186265,2474359.240000000223517,2508001.770000000018626,2534722.000000000000000,10113352.210000000894070
20120608,2652510.680000000167638,2539969.419999999925494,2530863.969999999739230,2530381.750000000000000,10253725.820000000298023
20120611,2601842.680000000167638,2475113.379999999888241,2526291.529999999795109,2525173.450000000186265,10128421.039999999105930
20120612,2646937.200000000186265,2546756.680000000167638,2536579.520000000018626,2542534.449999999720603,10272807.849999999627471
20120613,2582588.839999999850988,2586726.099999999627471,2536579.520000000018626,2493923.649999999906868,10199818.109999999403954
20120614,2642883.759999999776483,2613121.000000000000000,2578874.589999999385327,2527777.600000000093132,10362656.949999999254942
20120615,2628190.039999999571592,2641778.319999999832362,2584590.139999999664724,2569444.000000000000000,10424002.500000000000000
20120618,2650990.640000000130385,2610858.579999999608845,2585733.250000000000000,2606770.149999999906868,10454352.619999999180436
20120619,2683924.839999999850988,2668173.220000000204891,2596021.239999999757856,2633679.700000000186265,10581799.000000000000000
20120620,2676831.319999999832362,2748866.200000000186265,2591448.799999999813735,2660589.250000000000000,10677735.570000000298023
20120621,2597282.559999999590218,2677977.039999999571592,2583447.029999999795109,2592881.350000000093132,10451587.979999998584390
20120622,2635790.240000000223517,2714175.760000000242144,2598307.459999999962747,2711804.199999999720603,10660077.660000000149012
20120625,2610456.240000000223517,2663648.379999999888241,2568586.599999999627471,2631943.600000000093132,10474634.820000000298023
20120626,2628696.720000000204891,2693059.839999999850988,2565157.270000000018626,2672741.949999999720603,10559655.779999999329448
20120627,2611976.279999999795109,2773752.819999999832362,2584590.139999999664724,2678818.299999999813735,10649137.539999999105930
20120628,2619069.799999999813735,2705880.220000000204891,2575445.259999999776483,2637151.899999999906868,10537547.179999999701977
20120629,2684938.200000000186265,2694568.119999999646097,2629171.429999999701977,2683158.549999999813735,10691836.300000000745058
20120702,2685951.559999999590218,2736045.819999999832362,2629171.429999999701977,2748262.299999999813735,10799431.109999999403954
20120703,2617043.079999999608845,2705880.220000000204891,2614311.000000000000000,2742185.950000000186265,10679420.250000000000000
20120705,2640350.359999999869615,2592759.220000000204891,2591448.799999999813735,2756074.750000000000000,10580633.129999998956919
20120706,2642377.079999999608845,2556560.500000000000000,2576588.369999999646097,2718748.600000000093132,10494274.549999998882413
20120709,2640857.039999999571592,2561085.339999999850988,2589162.579999999608845,2683158.549999999813735,10474263.509999997913837
20120710,2645923.839999999850988,2582955.399999999906868,2565157.270000000018626,2653644.850000000093132,10447681.359999999403954
20120711,2618056.439999999944121,2608596.160000000149012,2553726.169999999459833,2620658.950000000186265,10401037.719999998807907
20120712,2611976.279999999795109,2567118.459999999962747,2591448.799999999813735,2661457.299999999813735,10432000.839999999850988
20120713,2639337.000000000000000,2720208.879999999888241,2607452.339999999385327,2692707.100000000093132,10659705.319999998435378
20120716,2606909.479999999981374,2646303.160000000149012,2644031.859999999403954,2759546.949999999720603,10656791.449999999254942
20120717,2569921.839999999850988,2638761.760000000242144,2700044.250000000000000,2782984.300000000279397,10691712.150000000372529
20120718,2579548.759999999776483,2636499.339999999850988,2705759.799999999813735,2774303.800000000279397,10696111.699999999254942
20120719,2582082.160000000149012,2598792.339999999850988,2720620.229999999981374,2721352.750000000000000,10622847.480000000447035
20120720,2568908.479999999981374,2556560.500000000000000,2709189.129999999422580,2729165.200000000186265,10563823.309999998658895
20120723,2582082.160000000149012,2597284.059999999590218,2697758.029999999795109,2701387.600000000093132,10578511.849999999627471
20120724,2592722.439999999944121,2619154.119999999646097,2672609.609999999403954,2661457.299999999813735,10545943.469999998807907
20120725,2587655.640000000130385,2652336.280000000260770,2666894.059999999590218,2651908.750000000000000,10558794.730000000447035
20120726,2680884.759999999776483,2700601.240000000223517,2685183.819999999366701,2750866.450000000186265,10817536.269999999552965
20120727,2721419.160000000149012,2782048.359999999869615,2724049.559999999590218,2802081.399999999906868,11029598.479999998584390
20120730,2698111.879999999888241,2725487.859999999869615,2710332.239999999757856,2839407.550000000279397,10973339.530000001192093
20120731,2643897.119999999646097,2714929.899999999906868,2748054.869999999646097,2801213.350000000093132,10908095.239999998360872
20120801,2618563.119999999646097,2714929.899999999906868,2736623.770000000018626,2766491.350000000093132,10836608.139999998733401
20120802,2603869.399999999906868,2652336.280000000260770,2734337.549999999813735,2805553.600000000093132,10796096.830000000074506
20120803,2649470.599999999627471,2721717.160000000149012,2775489.509999999776483,2842011.700000000186265,10988688.969999998807907
20120806,2634776.879999999888241,2737554.099999999627471,2773203.290000000037253,2843747.799999999813735,10989282.070000000298023
20120807,2655044.079999999608845,2791098.039999999571592,2713761.569999999366701,2829859.000000000000000,10989762.689999997615814
20120808,2674804.599999999627471,2802410.139999999664724,2724049.559999999590218,2846351.949999999720603,11047616.249999998137355
20120809,2693045.079999999608845,2784310.780000000260770,2728622.000000000000000,2789060.650000000372529,10995038.509999999776483
20120810,2688484.959999999962747,2788081.479999999981374,2736623.770000000018626,2801213.350000000093132,11014403.559999998658895
20120813,2676324.640000000130385,2789589.760000000242144,2711475.349999999627471,2784720.399999999906868,10962110.150000000372529
20120814,2772087.160000000149012,2797885.299999999813735,2741196.209999999962747,2818574.350000000093132,11129743.019999999552965
20120815,2786780.879999999888241,2795622.879999999888241,2748054.869999999646097,2801213.350000000093132,11131671.979999998584390
20120816,2853155.959999999962747,2797885.299999999813735,2745768.649999999441206,2814234.100000000093132,11211044.009999999776483
20120817,2874436.519999999552965,2788835.619999999646097,2719477.119999999646097,2792532.850000000093132,11175282.109999997541308
20120820,2866329.640000000130385,2818247.079999999608845,2733194.439999999944121,2781248.199999999720603,11199019.359999999403954
20120821,2853662.640000000130385,2868774.459999999962747,2708046.020000000018626,2767359.399999999906868,11197842.519999999552965
20120822,2869876.399999999906868,2852937.519999999552965,2709189.129999999422580,2780380.149999999906868,11212383.199999999254942
20120823,2865316.279999999795109,2807689.119999999646097,2713761.569999999366701,2759546.949999999720603,11146313.919999998062849
20120824,2886090.160000000149012,2803164.280000000260770,2744625.540000000037253,2749130.350000000093132,11183010.330000000074506
20120827,2871396.439999999944121,2807689.119999999646097,2730908.219999999739230,2770831.600000000093132,11180825.379999998956919
20120828,2864302.919999999925494,2800147.720000000204891,2726335.779999999795109,2764755.250000000000000,11155541.669999999925494
20120829,2880010.000000000000000,2812968.099999999627471,2738909.989999999757856,2778644.049999999813735,11210532.140000000596046
20120830,2868863.039999999571592,2782802.500000000000000,2725192.669999999459833,2749998.399999999906868,11126856.609999999403954
