代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13865576.820000000298023
真實報酬,3865576.820000000298023

夏普值報酬,0.377857682000000
夏普值風險,0.091935250667782
夏普值,4.110041352532219

預期報酬,15017.410317319930982
風險,213491.486354503722396
趨勢值,0.070341963390444
找到最佳解世代,1836
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
INTC[11](7),MRK[17](28),MSFT[18](1),NKE[19](3),V[25](2),
Stock#,INTC[11](7),MRK[17](28),MSFT[18](1),NKE[19](3),V[25](2),
張數,57028,31318,26748,37871,19319,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,28.040000000037253,32.520000000018626,52.040000000037253,32.489999999990687,97.120000000111759,
20170901,2001140.560000000288710,1999060.459999999962747,1977799.159999999916181,2020829.050000000046566,2007341.220000000204891,10006170.450000001117587
20170905,1997148.600000000325963,1992483.679999999934807,1968972.320000000065193,2007574.199999999953434,1990147.310000000288710,9956326.110000001266599
20170906,2039349.319999999832362,2004384.520000000018626,1963355.240000000223517,1998106.449999999953434,1993431.540000000270084,9998627.070000000298023
20170907,2026803.159999999916181,2014406.279999999795109,1988498.360000000102445,1984094.179999999934807,2020091.760000000242144,10033893.740000000223517
20170908,2006843.359999999869615,2012840.379999999888241,1978869.080000000074506,1976898.690000000176951,2017580.290000000270084,9993031.800000000745058
20170911,2039919.600000000325963,2039773.859999999869615,1999732.520000000251457,2008331.620000000111759,2050808.970000000204891,10138566.570000000298023
20170912,2058168.560000000288710,2050108.799999999813735,1997592.680000000167638,2022343.889999999897555,2051968.110000000102445,10180182.040000000968575
20170913,2071855.280000000027940,2049795.620000000111759,2011769.119999999878928,2026888.410000000149012,2044626.890000000130385,10204935.320000000298023
20170914,2080409.479999999748543,2070778.680000000167638,2000000.000000000000000,2034841.319999999832362,2049456.640000000130385,10235486.120000001043081
20170915,2110064.040000000037253,2072031.399999999906868,2014443.920000000158325,2040143.260000000009313,2034387.820000000065193,10271070.439999999478459
20170918,2110064.040000000037253,2066707.339999999850988,2010431.719999999972060,2026130.989999999990687,2025307.890000000130385,10238641.980000000447035
20170919,2123180.479999999981374,2065454.620000000111759,2017921.159999999916181,2019692.919999999925494,2036512.910000000149012,10262762.089999999850988
20170920,2114056.000000000000000,2060443.740000000223517,2004547.159999999916181,2028403.250000000000000,2036512.910000000149012,10243963.060000000521541
20170921,2121469.640000000130385,2054493.319999999832362,1985021.119999999878928,2014390.979999999981374,2034581.010000000242144,10209956.070000000298023
20170922,2120329.080000000074506,2039773.859999999869615,1990370.719999999972060,2016284.530000000027940,2039410.760000000242144,10206168.950000001117587
20170925,2119188.520000000018626,2041339.760000000242144,1959610.520000000251457,2015905.819999999832362,1990340.500000000000000,10126385.120000001043081
20170926,2136867.200000000186265,2028186.200000000186265,1959610.520000000251457,2033705.190000000176951,1988794.979999999981374,10147164.090000001713634
20170927,2140859.160000000149012,2022235.779999999795109,1975391.839999999850988,1994698.060000000055879,2007148.030000000027940,10140332.869999999180436
20170928,2157397.279999999795109,2013466.740000000223517,1975926.800000000046566,1993183.219999999972060,2020478.140000000130385,10160452.179999999701977
20170929,2171654.279999999795109,2005324.060000000055879,1992510.559999999823049,1963643.840000000083819,2020478.140000000130385,10153610.879999998956919
20171002,2226401.160000000149012,2021609.419999999925494,1995720.320000000065193,1964401.260000000009313,2037092.479999999981374,10245224.640000000596046
20171003,2245790.680000000167638,2015972.180000000167638,1986358.520000000251457,1949252.859999999869615,2039990.330000000074506,10237364.570000000298023
20171004,2243509.560000000055879,2023175.319999999832362,1997860.159999999916181,1972354.169999999925494,2034581.010000000242144,10271480.220000000670552
20171005,2254344.879999999888241,2023175.319999999832362,2032097.600000000093132,1976141.270000000018626,2052547.679999999934807,10338306.749999998137355
20171006,2260047.680000000167638,2021609.419999999925494,2032900.040000000037253,1985230.310000000055879,2062013.990000000223517,10361801.439999999478459
20171009,2273164.120000000111759,2014719.459999999962747,2040656.960000000195578,1951146.410000000149012,2067423.310000000288710,10347110.259999999776483
20171010,2261188.239999999757856,2018790.799999999813735,2040656.960000000195578,1951525.120000000111759,2073219.010000000242144,10345380.129999998956919
20171011,2241228.439999999944121,1997494.560000000055879,2044134.200000000186265,1932589.620000000111759,2095049.479999999981374,10310496.300000000745058
20171012,2234955.359999999869615,1999060.459999999962747,2062857.800000000046566,1925015.419999999925494,2088674.210000000195578,10310563.250000000000000
20171013,2262328.800000000279397,1985280.540000000037253,2072754.559999999823049,1930696.069999999832362,2099299.660000000149012,10350359.629999998956919
20171016,2267461.319999999832362,1983714.640000000130385,2077034.240000000223517,1945465.760000000009313,2092344.820000000065193,10366020.779999999329448
20171017,2269172.160000000149012,1979956.479999999981374,2075429.360000000102445,1969324.489999999990687,2077662.380000000121072,10371544.870000001043081
20171018,2295405.040000000037253,1989038.699999999953434,2075964.320000000065193,1980685.789999999804422,2082685.320000000065193,10423779.169999999925494
20171019,2286280.560000000055879,1996555.020000000018626,2083988.719999999972060,1995455.479999999981374,2067616.500000000000000,10429896.279999999329448
20171020,2305670.080000000074506,2000626.360000000102445,2108061.919999999925494,2009467.750000000000000,2077855.570000000065193,10501681.679999999701977
20171023,2328481.279999999795109,1985593.719999999972060,2108596.879999999888241,2032190.349999999860302,2077469.190000000176951,10532331.419999999925494
20171024,2335324.640000000130385,1976511.500000000000000,2109399.319999999832362,2023101.310000000055879,2094469.910000000149012,10538806.680000001564622
20171025,2325629.879999999888241,1955841.620000000111759,2103247.279999999795109,2080665.229999999981374,2115334.430000000167638,10580718.439999999478459
20171026,2358135.840000000316650,1941435.340000000083819,2106724.520000000018626,2151484.000000000000000,2121323.319999999832362,10679103.020000001415610
20171027,2532071.239999999757856,1823992.840000000083819,2241801.919999999925494,2119293.650000000372529,2119584.609999999869615,10836744.259999999776483
20171030,2530360.399999999906868,1713440.300000000046566,2243941.760000000242144,2093162.660000000149012,2125959.880000000353903,10706865.000000001862645
20171031,2594231.760000000242144,1725341.140000000130385,2224950.680000000167638,2082558.780000000027940,2124800.740000000223517,10751883.099999999627471
20171101,2663805.919999999925494,1733170.640000000130385,2224950.680000000167638,2085588.459999999962747,2145858.450000000186265,10853374.149999998509884
20171102,2686046.840000000316650,1734110.179999999934807,2248221.439999999944121,2087482.010000000009313,2144119.740000000223517,10899980.210000000894070
20171103,2642705.560000000055879,1755719.600000000093132,2250628.760000000242144,2109825.900000000372529,2151460.959999999962747,10910340.780000001192093
20171106,2663235.640000000130385,1750082.360000000102445,2259455.600000000093132,2122323.330000000074506,2162279.600000000093132,10957376.529999999329448
20171107,2667797.879999999888241,1741000.140000000130385,2254106.000000000000000,2088618.139999999897555,2165563.830000000074506,10917085.990000000223517
20171108,2663235.640000000130385,1772004.959999999962747,2261862.919999999925494,2111719.450000000186265,2172905.050000000279397,10981728.019999999552965
20171109,2640424.439999999944121,1760417.300000000046566,2249291.360000000335276,2125731.719999999739230,2166529.780000000260770,10942394.600000001490116
20171110,2599364.279999999795109,1737555.159999999916181,2243406.800000000279397,2124216.879999999888241,2161506.839999999850988,10866049.960000000894070
20171113,2609059.040000000037253,1725654.320000000065193,2245011.680000000167638,2117400.099999999627471,2152233.720000000204891,10849358.860000001266599
20171114,2615332.120000000111759,1722209.340000000083819,2248221.439999999944121,2120051.070000000298023,2163438.740000000223517,10869252.710000000894070
20171115,2592520.919999999925494,1716258.919999999925494,2219601.080000000074506,2144667.219999999739230,2130016.870000000111759,10803065.010000001639128
20171116,2603356.239999999757856,1727846.580000000074506,2225485.640000000130385,2167389.820000000298023,2144892.500000000000000,10868970.780000001192093
20171117,2545187.680000000167638,1728786.120000000111759,2204087.240000000223517,2241616.979999999515712,2121709.700000000186265,10841387.719999998807907
20171120,2544617.399999999906868,1694336.320000000065193,2207564.479999999981374,2243889.240000000223517,2124221.170000000391155,10814628.609999999403954
20171121,2562866.359999999869615,1699660.380000000121072,2239394.600000000093132,2249191.179999999701977,2153199.670000000391155,10904312.189999999478459
20171122,2546328.239999999757856,1702792.179999999934807,2223078.319999999832362,2237072.459999999962747,2141028.700000000186265,10850299.899999998509884
20171124,2552031.040000000037253,1702165.820000000065193,2227090.520000000018626,2246540.209999999962747,2163245.550000000279397,10891073.140000000596046
20171127,2537203.760000000242144,1708429.419999999925494,2243406.800000000279397,2258280.219999999739230,2171166.339999999850988,10918486.539999999105930
20171128,2550890.479999999981374,1720330.260000000009313,2270422.279999999795109,2256386.669999999925494,2190098.959999999962747,10988128.649999998509884
20171129,2506408.640000000130385,1733797.000000000000000,2229230.360000000335276,2285926.049999999813735,2122482.459999999962747,10877844.510000001639128
20171130,2557163.560000000055879,1730978.380000000121072,2251431.200000000186265,2288198.309999999590218,2175223.330000000074506,11002994.779999999329448
20171201,2548039.080000000074506,1749769.179999999934807,2253838.520000000018626,2267747.969999999739230,2139289.990000000223517,10958684.740000000223517
20171204,2537203.760000000242144,1760730.479999999981374,2168779.879999999888241,2276079.589999999850988,2075537.290000000270084,10818331.000000001862645
20171205,2477324.359999999869615,1746637.380000000121072,2182421.360000000335276,2288198.309999999590218,2097754.140000000130385,10792335.550000000745058
20171206,2477894.640000000130385,1702165.820000000065193,2214251.479999999981374,2261688.610000000335276,2120164.180000000167638,10776164.730000000447035
20171207,2456794.279999999795109,1715319.380000000121072,2206494.560000000055879,2295015.089999999850988,2152233.720000000204891,10825857.030000001192093
20171208,2472191.840000000316650,1740373.780000000027940,2251163.719999999739230,2321524.790000000037253,2175416.520000000018626,10960670.649999998509884
20171211,2489870.520000000018626,1764488.640000000130385,2279784.080000000074506,2344626.099999999627471,2170973.150000000372529,11049742.490000000223517
20171212,2471051.279999999795109,1787350.780000000027940,2289145.879999999888241,2354472.559999999590218,2192030.859999999869615,11094051.359999999403954
20171213,2471621.560000000055879,1782339.899999999906868,2282993.839999999850988,2435137.790000000037253,2189133.010000000242144,11161226.099999999627471
20171214,2467059.319999999832362,1754153.699999999953434,2265340.160000000149012,2443848.120000000111759,2181598.600000000093132,11111999.900000000372529
20171215,2541195.720000000204891,1761356.840000000083819,2323115.839999999850988,2453694.580000000074506,2198985.700000000186265,11278348.679999999701977
20171218,2638143.319999999832362,1760730.479999999981374,2310544.279999999795109,2454452.000000000000000,2193769.569999999832362,11357639.650000000372529
20171219,2682625.160000000149012,1761043.659999999916181,2295832.879999999888241,2432865.530000000260770,2166529.780000000260770,11338897.010000001639128
