代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12994266.060000000521541
真實報酬,2994266.060000000521541

夏普值報酬,0.290726606000000
夏普值風險,0.073787545994108
夏普值,3.940049802214815

預期報酬,11779.977527124558037
風險,161118.670342054887442
趨勢值,0.073113671445498
找到最佳解世代,1976
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](2),KO[14](12),TRV[22](3),V[25](5),WMT[28](8),
Stock#,HD[9](2),KO[14](12),TRV[22](3),V[25](5),WMT[28](8),
張數,42043,57257,34500,68752,33852,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,14.489999999990687,12.989999999990687,35.000000000000000,4.320000000065193,23.840000000083819,
20120301,1995375.270000000018626,1992556.589999999850988,2015525.000000000000000,2014437.920000000158325,1991198.479999999981374,10009093.259999999776483
20120302,1993273.119999999878928,1980532.620000000111759,2001380.000000000000000,1996562.399999999906868,1997630.360000000102445,9969378.500000000000000
20120305,1992432.260000000009313,1982250.329999999841675,2018285.000000000000000,1997937.439999999944121,2010832.640000000130385,10001737.669999999925494
20120306,1950389.260000000009313,1968508.650000000139698,1966190.000000000000000,1973874.240000000223517,1996276.280000000027940,9855238.429999999701977
20120307,1992432.260000000009313,1969653.789999999804422,1962050.000000000000000,1987624.640000000130385,2026404.560000000055879,9938165.250000000000000
20120308,2010510.750000000000000,1983395.469999999972060,1969985.000000000000000,2027500.800000000046566,2023357.880000000121072,10014749.900000000372529
20120309,2022282.790000000037253,1990266.309999999823049,1987580.000000000000000,2013750.399999999906868,2033852.000000000000000,10047731.500000000000000
20120312,2042883.860000000102445,2008588.549999999813735,1987580.000000000000000,2002750.080000000074506,2054163.200000000186265,10095965.690000001341105
20120313,2066007.510000000009313,2011451.400000000139698,2015179.999999999767169,2015812.960000000195578,2064995.840000000083819,10173447.710000000894070
20120314,2079881.699999999953434,2010306.260000000009313,2033810.000000000000000,2006875.200000000186265,2067704.000000000000000,10198577.160000000149012
20120315,2068530.090000000083819,2013741.680000000167638,2038295.000000000000000,2011000.320000000065193,2072781.800000000046566,10204348.890000000596046
20120316,2062223.639999999897555,2008588.549999999813735,2042435.000000000000000,2005500.160000000149012,2059579.520000000251457,10178326.869999999180436
20120319,2052974.179999999934807,2015459.390000000130385,2039675.000000000000000,2042626.240000000223517,2056194.320000000065193,10206929.130000000819564
20120320,2076097.830000000074506,2021185.089999999850988,2041054.999999999767169,2002750.080000000074506,2051455.040000000037253,10192543.039999999105930
20120321,2093335.459999999962747,2036071.910000000149012,2018630.000000000000000,2006875.200000000186265,2050100.960000000195578,10205013.530000001192093
20120322,2088710.729999999981374,2044660.459999999962747,2000000.000000000000000,2015812.960000000195578,2053147.640000000130385,10202331.789999999105930
20120323,2082824.709999999962747,2046378.170000000158325,2007935.000000000000000,2041938.719999999972060,2056532.840000000083819,10235609.439999999478459
20120326,2107630.080000000074506,2058402.140000000130385,2030360.000000000000000,2063939.360000000102445,2071766.240000000223517,10332097.820000000298023
20120327,2103846.209999999962747,2057829.569999999832362,2017595.000000000000000,2059126.719999999972060,2068042.520000000251457,10306440.019999999552965
20120328,2098380.620000000111759,2080159.799999999813735,2027600.000000000000000,2051564.000000000000000,2071427.719999999972060,10329132.140000000596046
20120329,2098380.620000000111759,2113368.859999999403954,2023460.000000000000000,2045376.320000000065193,2058902.479999999981374,10339488.279999999329448
20120330,2115197.820000000298023,2119094.559999999590218,2042435.000000000000000,2028188.320000000065193,2071766.240000000223517,10376681.940000001341105
20120402,2101744.060000000521541,2122529.980000000447035,2046920.000000000000000,2045376.320000000065193,2077182.560000000055879,10393752.920000001788139
20120403,2102164.490000000223517,2111651.150000000372529,2045195.000000000000000,2068752.000000000000000,2053147.640000000130385,10380910.280000001192093
20120404,2095858.040000000037253,2103062.599999999627471,2043125.000000000000000,2045376.320000000065193,2039945.360000000102445,10327367.320000000298023
