代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13834549.820000000298023
真實報酬,3834549.820000000298023

夏普值報酬,0.374754982000000
夏普值風險,0.102257516846018
夏普值,3.664815981834513

預期報酬,17203.310755504924600
風險,174010.027888606564375
趨勢值,0.098863904363705
找到最佳解世代,2185
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](1),HD[9](2),KO[14](10),WMT[28](8),
Stock#,DIS[6](1),HD[9](2),KO[14](10),WMT[28](8),
張數,71674,69832,73185,44076,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,10.879999999888241,14.400000000372529,0.400000000372529,9.280000000260770,
20111101,2408257.279999999795109,2481843.680000000167638,2453161.600000000558794,2478402.760000000242144,9821665.320000000298023
20111102,2441944.060000000055879,2513268.080000000540167,2480240.050000000279397,2506170.640000000130385,9941622.830000001937151
20111103,2510751.100000000093132,2545390.800000000745058,2512441.450000000186265,2530853.200000000186265,10099436.550000000745058
20111104,2491399.119999999646097,2541200.880000000353903,2480240.050000000279397,2534379.280000000260770,10047219.330000001937151
20111107,2519351.979999999981374,2607541.280000000726432,2495608.900000000372529,2553772.720000000204891,10176274.880000000819564
20111108,2529386.339999999850988,2649440.479999999981374,2512441.450000000186265,2614597.600000000093132,10305865.870000001043081
20111109,2421875.339999999850988,2594971.520000000018626,2453161.600000000558794,2558621.080000000074506,10028629.539999999105930
20111110,2482798.239999999757856,2597764.800000000745058,2466334.900000000372529,2562147.160000000149012,10109045.100000001490116
20111111,2630446.680000000167638,2657820.320000000763685,2492681.500000000465661,2609308.480000000447035,10390256.980000002309680
20111114,2588875.759999999776483,2671088.400000000372529,2480971.900000000372529,2595644.920000000391155,10336580.980000000447035
20111115,2612528.180000000167638,2658518.640000000596046,2488290.400000000372529,2532616.240000000223517,10291953.460000000894070
20111116,2546588.100000000093132,2642457.280000000726432,2452429.750000000000000,2498236.960000000428408,10139712.090000001713634
20111117,2519351.979999999981374,2627094.240000000223517,2437792.750000000465661,2500440.760000000242144,10084679.730000000447035
20111118,2553755.500000000000000,2645250.560000000521541,2466334.900000000372529,2522478.760000000242144,10187819.720000000670552
20111121,2460579.299999999813735,2587988.320000000763685,2413641.700000000186265,2497355.439999999944121,9959564.760000001639128
20111122,2438360.360000000335276,2590781.600000000558794,2414373.550000000745058,2505729.880000000353903,9949245.390000002458692
20111123,2393922.479999999981374,2550279.040000000502914,2374121.800000000279397,2496473.920000000391155,9814797.240000000223517
20111125,2401806.619999999646097,2546787.440000000409782,2368998.850000000093132,2507492.920000000391155,9825085.830000000074506
20111128,2441944.060000000055879,2604748.000000000000000,2385099.550000000745058,2523360.280000000260770,9955151.890000000596046
20111129,2436926.879999999888241,2720669.120000000577420,2422423.900000000372529,2563910.200000000186265,10143930.100000001490116
20111130,2569523.779999999795109,2738825.440000000409782,2460480.100000000093132,2596085.680000000167638,10364915.000000000000000
20111201,2579558.140000000130385,2747205.280000000726432,2445843.100000000558794,2583303.640000000130385,10355910.160000002011657
20111202,2623996.020000000018626,2789104.479999999981374,2429010.550000000279397,2560384.120000000577420,10402495.170000001788139
20111205,2647648.439999999944121,2809355.760000000242144,2426815.000000000000000,2571403.120000000577420,10455222.320000000298023
20111206,2639764.299999999813735,2815640.640000000596046,2439988.300000000745058,2590796.560000000521541,10486189.800000000745058
20111207,2659116.279999999795109,2844271.760000000242144,2443647.550000000279397,2578896.040000000037253,10525931.629999998956919
20111208,2574540.959999999962747,2787009.520000000018626,2442183.850000000093132,2555535.760000000242144,10359270.089999999850988
20111209,2620412.319999999832362,2809355.760000000242144,2472189.700000000651926,2570521.600000000093132,10472479.380000000819564
20111212,2626862.979999999981374,2796786.000000000000000,2448038.650000000372529,2560384.120000000577420,10432071.750000001862645
20111213,2603927.299999999813735,2759076.720000000204891,2432669.800000000745058,2538786.880000000353903,10334460.700000001117587
20111214,2520068.719999999739230,2733238.880000000353903,2424619.450000000651926,2540990.680000000167638,10218917.730000000447035
20111215,2522218.939999999944121,2752791.840000000316650,2448038.650000000372529,2554213.480000000447035,10277262.910000000149012
20111216,2531536.560000000055879,2822623.840000000316650,2467798.600000000093132,2568317.800000000279397,10390276.800000000745058
20111219,2490682.379999999888241,2807260.800000000745058,2465603.050000000279397,2546720.560000000521541,10310266.790000000968575
20111220,2592459.459999999962747,2929466.800000000745058,2502927.400000000372529,2608867.720000000204891,10633721.380000000819564
20111221,2599626.860000000335276,2932958.400000000372529,2545374.700000000651926,2617682.920000000391155,10695642.880000000819564
20111222,2648365.180000000167638,2927371.840000000316650,2532201.400000000372529,2608867.720000000204891,10716806.140000000596046
20111223,2702120.680000000167638,2939243.280000000726432,2559279.850000000093132,2644128.520000000484288,10844772.330000001937151
20111227,2695670.020000000018626,2948321.440000000409782,2557084.300000000279397,2637076.360000000335276,10838152.120000001043081
20111228,2669150.640000000130385,2900137.360000000335276,2543911.000000000000000,2632668.760000000242144,10745867.759999999776483
20111229,2702837.419999999925494,2933656.720000000204891,2567330.200000000186265,2644128.520000000484288,10847952.860000001266599
20111230,2687785.879999999888241,2935751.680000000167638,2560743.550000000745058,2633991.040000000037253,10818272.150000002235174
20120103,2745841.819999999832362,2942734.880000000353903,2566598.350000000558794,2659114.360000000335276,10914289.410000000149012
20120104,2784545.779999999795109,2984634.080000000540167,2550497.650000000372529,2631787.240000000223517,10951464.750000000000000
20120105,2831133.879999999888241,3009075.280000000726432,2538788.050000000279397,2619005.200000000186265,10998002.410000000149012
20120106,2860520.219999999739230,3016756.800000000745058,2522687.350000000093132,2600493.280000000260770,11000457.650000002235174
20120109,2849052.379999999888241,3018851.760000000242144,2522687.350000000093132,2608426.960000000428408,10999018.450000001117587
20120110,2840451.500000000000000,3039801.360000000335276,2537324.350000000558794,2602256.320000000298023,11019833.530000001192093
20120111,2773794.680000000167638,3034913.120000000577420,2490485.950000000651926,2618123.680000000167638,10917317.430000001564622
20120112,2775944.899999999441206,3030024.880000000353903,2472189.700000000651926,2622531.280000000260770,10900690.760000001639128
20120113,2752292.479999999981374,3038404.720000000204891,2450966.050000000745058,2624294.320000000298023,10865957.570000000298023
20120117,2758026.399999999441206,3054466.080000000540167,2464139.350000000558794,2637957.880000000353903,10914589.710000000894070
20120118,2796730.360000000335276,3134074.560000000521541,2473653.400000000372529,2645010.040000000037253,11049468.359999999403954
20120119,2826833.439999999944121,3171085.520000000018626,2468530.450000000186265,2671455.640000000130385,11137905.050000000745058
20120120,2817515.819999999832362,3108236.720000000204891,2491949.650000000372529,2689086.040000000037253,11106788.230000000447035
20120123,2813215.379999999888241,3134074.560000000521541,2508050.350000000558794,2684678.439999999944121,11140018.730000000447035
20120124,2813215.379999999888241,3139661.120000000577420,2484631.150000000372529,2705834.920000000391155,11143342.570000000298023
20120125,2835434.319999999832362,3160610.720000000204891,2504391.100000000093132,2709361.000000000000000,11209797.140000000596046
20120126,2820382.779999999795109,3138962.800000000745058,2489022.250000000000000,2687323.000000000000000,11135690.830000000074506
20120127,2813215.379999999888241,3133376.240000000223517,2467798.600000000093132,2675863.240000000223517,11090253.460000000894070
20120130,2794580.140000000130385,3126393.040000000502914,2468530.450000000186265,2701868.080000000074506,11091371.710000000894070
20120131,2788129.479999999981374,3099856.880000000353903,2471457.850000000558794,2704512.640000000130385,11063956.850000001490116
20120201,2818949.299999999813735,3105443.440000000409782,2482435.600000000558794,2740654.960000000428408,11147483.300000000745058
20120202,2788846.219999999739230,3104745.120000000577420,2482435.600000000558794,2730076.720000000204891,11106103.660000000149012
20120203,2866970.879999999888241,3154325.840000000316650,2491217.800000000279397,2734043.560000000521541,11246558.080000001937151
20120206,2899940.919999999925494,3156420.800000000745058,2489754.100000000558794,2727432.160000000149012,11273547.980000000447035
20120207,2937211.399999999441206,3174577.120000000577420,2508782.200000000651926,2719057.720000000204891,11339628.440000001341105
20120208,2957996.860000000335276,3154325.840000000316650,2500731.850000000558794,2715972.400000000372529,11329026.950000001117587
20120209,2976632.100000000093132,3161309.040000000502914,2487558.550000000745058,2730958.240000000223517,11356457.930000001564622
20120210,2970898.180000000167638,3165498.960000000428408,2486094.850000000093132,2728313.680000000167638,11350805.669999999925494
20120213,2995267.339999999850988,3207398.160000000149012,2504391.100000000093132,2723465.320000000298023,11430521.919999999925494
20120214,2981649.279999999795109,3216476.320000000763685,2521223.650000000372529,2742418.000000000000000,11461767.250000000000000
20120215,2956563.379999999888241,3192035.120000000577420,2502927.400000000372529,2722143.040000000037253,11373668.940000001341105
20120216,2977348.839999999850988,3207398.160000000149012,2519759.950000000186265,2734484.320000000298023,11438991.269999999552965
20120217,2992400.379999999888241,3261867.120000000577420,2527078.450000000651926,2753877.760000000242144,11535223.710000000894070
20120221,2979499.060000000055879,3276531.840000000316650,2518296.250000000000000,2647654.600000000093132,11421981.750000000000000
20120222,2957996.860000000335276,3252090.640000000596046,2534396.950000000651926,2582862.880000000353903,11327347.330000001937151
20120223,2973048.399999999441206,3278626.800000000745058,2531469.550000000745058,2580218.320000000298023,11363363.070000000298023
20120224,2960863.819999999832362,3280721.760000000242144,2524882.900000000372529,2591237.320000000298023,11357705.800000000745058
20120227,2984516.239999999757856,3277230.160000000149012,2519028.100000000558794,2576692.240000000223517,11357466.740000000223517
20120228,3005301.699999999720603,3298179.760000000242144,2519028.100000000558794,2597407.960000000428408,11419917.520000001415610
20120229,3009602.140000000130385,3321922.640000000596046,2556352.450000000186265,2604019.360000000335276,11491896.589999999850988
20120301,3038271.739999999757856,3314241.120000000577420,2546838.400000000372529,2592559.600000000093132,11491910.860000001266599
20120302,3036121.520000000018626,3310749.520000000018626,2531469.550000000745058,2600934.040000000037253,11479274.629999998956919
20120305,3060490.680000000167638,3309352.880000000353903,2533665.100000000093132,2618123.680000000167638,11521632.339999999850988
20120306,3010318.879999999888241,3239520.880000000353903,2516100.700000000651926,2599171.000000000000000,11365111.460000000894070
20120307,2992400.379999999888241,3309352.880000000353903,2517564.400000000372529,2638398.640000000130385,11457716.300000000745058
20120308,3011752.360000000335276,3339380.640000000596046,2535128.800000000279397,2634431.800000000279397,11520693.600000001490116
