代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11458143.230000000447035
真實報酬,1458143.230000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12652.545168021764766
風險,87943.591640008598915
起點值,0.143871144355966
找到最佳解世代,1837
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](1),CSCO[4](8),DD[7](3),JNJ[12](4),MCD[15](10),MRK[17](5),
Stock#,CAT[3](1),CSCO[4](8),DD[7](3),JNJ[12](4),MCD[15](10),MRK[17](5),
張數,18545,75757,26679,18308,17287,33676,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,26.849999999860302,12.000000000000000,28.870000000111759,88.760000000009313,26.330000000074506,40.760000000009313,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1665738.749999999767169,1665150.860000000102445,1659195.880000000121072,1681678.559999999823049,1668913.310000000288710,1674748.239999999990687,10015429.599999999627471
FS( 3 ),1643855.649999999906868,1667423.570000000065193,1656261.190000000176951,1690466.399999999906868,1656985.280000000027940,1675085.000000000000000,9990081.089999999850988
FS( 4 ),1649233.699999999953434,1690150.669999999925494,1637852.680000000167638,1726350.080000000074506,1666147.389999999897555,1687545.119999999878928,10057283.640000000596046
FS( 5 ),1653128.149999999906868,1688635.530000000027940,1639720.210000000195578,1723970.040000000037253,1649379.000000000000000,1676768.800000000046566,10031605.730000000447035
FS( 6 ),1663698.799999999813735,1673484.129999999888241,1618643.800000000046566,1734405.600000000093132,1650243.349999999860302,1667676.280000000027940,10008155.959999999031425
FS( 7 ),1678534.800000000046566,1683332.539999999804422,1622645.650000000139698,1734588.679999999934807,1656120.929999999934807,1679799.640000000130385,10055026.240000000223517
FS( 8 ),1667036.899999999906868,1681059.830000000074506,1591698.010000000009313,1730194.760000000009313,1639352.540000000037253,1788909.879999999888241,10098255.919999999925494
FS( 9 ),1679462.049999999813735,1697726.370000000111759,1620511.330000000074506,1734222.520000000018626,1646094.469999999972060,1784868.760000000009313,10162889.500000000000000
FS( 10 ),1713770.299999999813735,1725756.460000000195578,1635718.360000000102445,1735687.159999999916181,1650243.349999999860302,1768704.280000000027940,10229883.910000000149012
FS( 11 ),1706352.300000000046566,1725756.460000000195578,1637052.310000000055879,1732757.880000000121072,1660615.550000000046566,1768030.760000000009313,10230569.259999999776483
FS( 12 ),1695781.649999999906868,1722726.179999999934807,1636518.730000000214204,1740447.239999999990687,1641081.240000000223517,1749508.960000000195578,10186068.000000001862645
FS( 13 ),1680203.849999999860302,1729544.309999999823049,1745102.260000000009313,1721590.000000000000000,1643674.290000000037253,1745467.839999999850988,10265586.550000000745058
FS( 14 ),1662400.649999999906868,1730301.879999999888241,1735497.820000000065193,1726899.319999999832362,1640216.889999999897555,1729303.360000000102445,10224623.919999999925494
FS( 15 ),1640888.449999999953434,1709089.919999999925494,1699214.380000000121072,1697972.679999999934807,1647823.169999999925494,1737722.360000000102445,10132714.959999999031425
FS( 16 ),1598049.500000000000000,1681817.399999999906868,1649324.650000000139698,1658976.639999999897555,1632437.740000000223517,1750519.239999999990687,9971129.169999999925494
FS( 17 ),1692999.899999999906868,1666666.000000000000000,1637585.890000000130385,1646710.280000000027940,1626214.419999999925494,1769041.040000000037253,10039221.530000001192093
FS( 18 ),1714882.999999999767169,1647726.750000000000000,1635985.150000000139698,1649639.559999999823049,1628115.990000000223517,1780490.879999999888241,10056845.330000000074506
FS( 19 ),1680574.750000000000000,1640151.049999999813735,1699481.170000000158325,1627669.960000000195578,1610310.380000000121072,1758264.719999999972060,10016456.029999999329448
FS( 20 ),1728420.849999999860302,1665150.860000000102445,1721624.740000000223517,1638654.760000000009313,1621546.929999999934807,1802043.520000000018626,10177445.660000000149012
FS( 21 ),1741587.799999999813735,1659847.870000000111759,1729094.860000000102445,1619797.520000000018626,1627943.120000000111759,1783858.479999999981374,10162133.650000000372529
FS( 22 ),1713955.750000000000000,1632575.350000000093132,1697880.430000000167638,1588857.000000000000000,1608063.070000000065193,1753886.839999999850988,9995222.440000001341105
FS( 23 ),1715439.349999999860302,1651514.600000000093132,1708285.240000000223517,1585927.720000000204891,1609273.160000000149012,1802043.520000000018626,10072487.589999999850988
FS( 24 ),1705425.049999999813735,1665150.860000000102445,1704016.600000000093132,1598011.000000000000000,1617743.790000000037253,1802717.040000000037253,10093068.339999999850988
FS( 25 ),1740104.199999999720603,1703786.929999999934807,1732029.550000000046566,1624923.760000000009313,1641254.110000000102445,1810799.280000000027940,10252901.829999998211861
FS( 26 ),1759391.000000000000000,1717423.190000000176951,1732563.130000000121072,1648541.080000000074506,1658195.370000000111759,1844475.280000000027940,10360593.049999998882413
FS( 27 ),1752529.349999999860302,1729544.309999999823049,1741633.990000000223517,1667398.319999999832362,1639871.150000000139698,1848516.400000000139698,10379497.520000001415610
FS( 28 ),1761060.049999999813735,1720453.469999999972060,1779518.170000000158325,1702183.520000000018626,1648168.910000000149012,1875793.960000000195578,10487182.080000000074506
FS( 29 ),1783499.500000000000000,1731059.450000000186265,1761910.030000000260770,1692114.120000000111759,1640389.760000000009313,1852220.760000000009313,10461197.620000001043081
FS( 30 ),1782386.799999999813735,1687120.389999999897555,1759242.130000000121072,1694677.239999999990687,1650243.349999999860302,1855588.360000000102445,10429262.269999999552965
FS( 31 ),1790546.599999999860302,1709089.919999999925494,1774715.949999999953434,1698338.840000000083819,1655775.190000000176951,1867038.199999999953434,10495508.699999999254942
FS( 32 ),1790732.049999999813735,1697726.370000000111759,1777383.850000000325963,1687537.120000000111759,1659924.070000000065193,1875457.199999999953434,10488764.660000000149012
FS( 33 ),1784241.299999999813735,1687877.960000000195578,1764311.139999999897555,1677833.880000000121072,1651799.179999999934807,1853567.800000000046566,10419635.259999999776483
FS( 34 ),1797408.250000000000000,1689393.100000000093132,1790990.139999999897555,1691381.799999999813735,1655256.580000000074506,1879498.320000000065193,10503932.190000001341105
FS( 35 ),1808164.349999999860302,1676514.409999999916181,1784320.389999999897555,1675636.919999999925494,1667357.480000000214204,1886907.040000000037253,10498904.589999999850988
FS( 36 ),1804826.249999999767169,1675756.840000000083819,1783786.810000000055879,1668130.639999999897555,1668221.830000000074506,1891958.439999999944121,10492684.810000000521541
FS( 37 ),1787950.299999999813735,1654544.879999999888241,1794191.620000000111759,1668130.639999999897555,1670296.270000000251457,1882865.919999999925494,10457983.629999998956919
FS( 38 ),1802600.849999999860302,1661363.010000000009313,1817135.560000000055879,1668130.639999999897555,1657676.760000000009313,1894989.280000000027940,10501900.099999999627471
FS( 39 ),1793328.349999999860302,1660605.440000000176951,1843014.190000000176951,1672707.639999999897555,1643674.290000000037253,1908122.919999999925494,10521456.830000000074506
FS( 40 ),1798335.499999999767169,1651514.600000000093132,1850751.100000000325963,1686621.720000000204891,1644884.380000000121072,1919236.000000000000000,10551347.300000000745058
FS( 41 ),1786095.799999999813735,1634090.489999999990687,1840346.290000000270084,1676369.239999999990687,1630536.169999999925494,1900040.680000000167638,10467482.669999999925494
FS( 42 ),1799262.749999999767169,1653029.739999999990687,1879297.630000000121072,1708957.479999999981374,1641945.590000000083819,1921593.320000000065193,10604090.509999999776483
FS( 43 ),1787208.500000000000000,1656817.590000000083819,1896372.190000000176951,1695226.479999999981374,1642637.070000000065193,1915531.640000000130385,10593797.470000000670552
FS( 44 ),1810018.849999999860302,1653029.739999999990687,1891303.180000000167638,1700718.880000000121072,1652317.790000000037253,1928328.520000000018626,10635720.959999999031425
FS( 45 ),1799819.099999999860302,1646211.610000000102445,1881165.160000000149012,1708591.319999999832362,1650934.830000000074506,1935400.479999999981374,10622126.500000000000000
FS( 46 ),1794255.599999999860302,1643181.330000000074506,1893170.709999999962747,1710971.360000000102445,1645748.730000000214204,1930349.080000000074506,10617680.810000000521541
FS( 47 ),1795924.649999999906868,1637120.770000000018626,1871560.720000000204891,1711703.679999999934807,1707636.190000000176951,1909133.199999999953434,10633083.209999999031425
FS( 48 ),1795553.749999999767169,1653029.739999999990687,1862756.649999999906868,1713717.559999999823049,1706426.099999999860302,1913174.320000000065193,10644662.119999999180436
FS( 49 ),1773114.299999999813735,1630302.639999999897555,1851818.260000000009313,1702732.760000000009313,1683261.520000000251457,1878824.800000000046566,10520058.279999999329448
FS( 50 ),1769034.399999999906868,1617423.950000000186265,1848349.990000000223517,1699254.239999999990687,1686891.790000000037253,1875793.960000000195578,10496752.330000001937151
FS( 51 ),1774227.000000000000000,1629545.070000000065193,1861689.490000000223517,1719759.200000000186265,1687237.530000000027940,1894652.520000000018626,10567114.810000000521541
FS( 52 ),1787950.299999999813735,1638635.909999999916181,1887034.540000000270084,1719942.280000000027940,1682224.300000000046566,1898020.119999999878928,10613811.449999999254942
FS( 53 ),1781088.649999999906868,1638635.909999999916181,1884900.220000000204891,1713534.479999999981374,1661307.030000000027940,1885560.000000000000000,10565030.289999999105930
FS( 54 ),1784241.299999999813735,1653787.309999999823049,1908911.320000000065193,1723237.720000000204891,1669950.530000000027940,1872089.600000000093132,10612221.779999999329448
FS( 55 ),1806124.399999999906868,1639393.479999999981374,1907577.370000000111759,1756375.200000000186265,1650416.219999999972060,1840770.919999999925494,10600661.589999999850988
FS( 56 ),1796110.099999999860302,1634090.489999999990687,1905709.840000000316650,1743010.360000000102445,1662689.990000000223517,1811136.040000000037253,10552750.820000000298023
FS( 57 ),1828378.399999999906868,1692423.379999999888241,1924118.350000000325963,1782921.799999999813735,1658022.500000000000000,1858619.199999999953434,10744487.629999998956919
FS( 58 ),1813727.849999999860302,1690908.239999999990687,1877963.680000000167638,1776880.159999999916181,1656812.410000000149012,1886570.280000000027940,10702866.619999999180436
FS( 59 ),1825782.099999999860302,1668181.139999999897555,1823271.730000000214204,1781091.000000000000000,1662344.250000000000000,1876804.239999999990687,10637478.459999999031425
FS( 60 ),1843214.399999999906868,1691665.809999999823049,1831275.430000000167638,1784020.280000000027940,1681014.209999999962747,1885223.239999999990687,10716417.370000001043081
FS( 61 ),1842843.500000000000000,1698483.940000000176951,1846215.670000000158325,1798483.600000000093132,1694670.940000000176951,1911827.280000000027940,10792528.929999999701977
FS( 62 ),1851003.299999999813735,1749998.700000000186265,1888635.280000000260770,1793174.280000000027940,1692423.630000000121072,1898356.879999999888241,10873596.070000000298023
FS( 63 ),1903300.199999999720603,1741665.429999999934807,1895838.610000000102445,1798483.600000000093132,1687064.660000000149012,1901387.719999999972060,10927744.220000000670552
FS( 64 ),1901816.599999999860302,1749241.129999999888241,1883032.690000000176951,1799032.840000000083819,1688274.750000000000000,1892968.719999999972060,10914370.730000000447035
FS( 65 ),1894769.500000000000000,1720453.469999999972060,1849950.730000000214204,1801962.120000000111759,1691905.020000000251457,1889937.879999999888241,10848982.719999998807907
FS( 66 ),1875111.799999999813735,1731059.450000000186265,1821137.410000000149012,1792258.880000000121072,1677038.200000000186265,1858619.199999999953434,10755228.939999999478459
FS( 67 ),1898849.399999999906868,1737877.580000000074506,1826473.209999999962747,1795371.239999999990687,1695535.290000000037253,1853567.800000000046566,10807678.519999999552965
FS( 68 ),1909976.399999999674037,1751513.840000000083819,1860622.330000000074506,1811665.360000000102445,1700202.780000000027940,1922940.360000000102445,10956925.070000000298023
FS( 69 ),1896438.550000000046566,1715908.049999999813735,1812333.340000000316650,1767543.080000000074506,1718872.740000000223517,1880845.360000000102445,10791945.119999999180436
FS( 70 ),1881417.099999999860302,1701514.219999999972060,1783786.810000000055879,1773584.720000000204891,1716452.560000000288710,1883202.680000000167638,10739962.089999999850988
FS( 71 ),1906081.949999999953434,1731059.450000000186265,1804596.430000000167638,1778527.880000000121072,1730627.900000000139698,1871416.080000000074506,10822313.689999999478459
FS( 72 ),1900889.349999999860302,1734089.729999999981374,1807264.330000000074506,1816242.360000000102445,1743074.540000000037253,1887580.559999999823049,10889144.870000001043081
FS( 73 ),1908863.699999999953434,1744695.710000000195578,1842747.399999999906868,1808003.760000000009313,1743074.540000000037253,1894652.520000000018626,10942041.629999998956919
FS( 74 ),1907009.199999999720603,1758331.969999999972060,1851017.889999999897555,1811848.439999999944121,1733048.080000000074506,1901724.479999999981374,10962984.060000000521541
FS( 75 ),1903485.649999999906868,1772725.799999999813735,1852085.050000000046566,1830888.760000000009313,1723021.620000000111759,1927991.760000000009313,11010202.639999998733401
FS( 76 ),1922957.899999999906868,1781816.639999999897555,1859555.170000000158325,1834184.200000000186265,1716971.169999999925494,1945503.280000000027940,11060992.359999999403954
FS( 77 ),1917208.949999999720603,1780301.500000000000000,1875829.360000000102445,1834916.520000000018626,1713686.639999999897555,1936410.760000000009313,11058357.730000000447035
FS( 78 ),1952444.449999999953434,1767422.809999999823049,1870760.350000000325963,1830156.439999999944121,1725960.410000000149012,1937421.040000000037253,11084169.500000000000000
FS( 79 ),1941502.899999999906868,1742423.000000000000000,1842747.399999999906868,1827044.080000000074506,1741345.840000000083819,1927655.000000000000000,11022722.220000000670552
FS( 80 ),1933528.550000000046566,1743938.139999999897555,1796859.520000000018626,1855421.479999999981374,1734085.300000000046566,1908796.439999999944121,10972633.429999999701977
FS( 81 ),1952815.349999999860302,1754544.120000000111759,1850217.520000000018626,1849746.000000000000000,1754656.830000000074506,1977495.479999999981374,11139479.300000000745058
FS( 82 ),1954669.849999999860302,1750756.270000000018626,1895838.610000000102445,1854506.080000000074506,1752582.389999999897555,1972107.320000000065193,11180464.520000001415610
FS( 83 ),1948549.999999999767169,1743180.570000000065193,1850751.100000000325963,1840592.000000000000000,1745321.849999999860302,2007803.879999999888241,11136203.399999998509884
FS( 84 ),1947437.300000000046566,1737877.580000000074506,1849950.730000000214204,1818256.239999999990687,1753446.740000000223517,1960657.479999999981374,11067630.070000000298023
FS( 85 ),1938350.249999999767169,1739392.719999999972060,1875295.780000000260770,1830888.760000000009313,1748433.510000000009313,1974464.640000000130385,11106829.660000000149012
FS( 86 ),1926296.000000000000000,1721211.039999999804422,1865958.130000000121072,1821917.840000000083819,1745148.980000000214204,1923277.119999999878928,11003813.109999999403954
FS( 87 ),1940204.750000000000000,1732574.590000000083819,1881431.949999999953434,1847549.040000000037253,1762608.849999999860302,1880508.600000000093132,11044881.779999999329448
FS( 88 ),1946139.149999999906868,1743938.139999999897555,1869693.190000000176951,1840042.760000000009313,1762435.980000000214204,1846495.839999999850988,11008749.060000000521541
FS( 89 ),1948364.549999999813735,1743938.139999999897555,1872094.300000000046566,1847549.040000000037253,1779377.240000000223517,1859292.719999999972060,11050619.990000000223517
FS( 90 ),1969505.849999999860302,1756816.830000000074506,1904375.889999999897555,1840408.919999999925494,1778167.150000000139698,1861986.800000000046566,11111265.439999999478459
FS( 91 ),1987123.599999999860302,1731817.020000000018626,1901707.990000000223517,1849562.919999999925494,1789749.440000000176951,1877477.760000000009313,11137442.730000000447035
FS( 92 ),1975625.699999999953434,1728029.169999999925494,1907310.580000000074506,1846816.720000000204891,1781105.940000000176951,1898356.879999999888241,11137248.989999998360872
FS( 93 ),1947066.399999999674037,1831816.260000000009313,1847016.040000000270084,1843521.280000000027940,1771943.830000000074506,1882192.400000000139698,11123560.210000000894070
FS( 94 ),1966353.199999999953434,1846210.090000000083819,1860889.120000000111759,1841507.399999999906868,1783007.510000000009313,1881518.879999999888241,11179490.199999999254942
FS( 95 ),1954484.399999999906868,1844694.950000000186265,1874495.410000000149012,1842605.880000000121072,1764856.160000000149012,1897683.360000000102445,11178824.160000000149012
FS( 96 ),1883457.049999999813735,1827270.840000000083819,1889702.440000000176951,1835465.760000000009313,1755175.440000000176951,1885896.760000000009313,11076972.289999999105930
FS( 97 ),1907936.449999999720603,1854543.360000000102445,1897439.350000000325963,1851759.880000000121072,1772981.050000000046566,1905428.839999999850988,11190092.929999999701977
FS( 98 ),1911645.449999999720603,1846967.659999999916181,1891303.180000000167638,1848464.439999999944121,1771079.480000000214204,1902398.000000000000000,11171862.209999999031425
FS( 99 ),1929263.199999999953434,1857573.639999999897555,1925452.300000000046566,1848830.600000000093132,1763300.330000000074506,1913174.320000000065193,11237598.390000000596046
FS( 100 ),1922772.449999999953434,1871967.469999999972060,1935056.740000000223517,1845718.239999999990687,1769523.650000000139698,1909133.199999999953434,11254175.750000000000000
FS( 101 ),1908492.799999999813735,1880300.739999999990687,1967071.540000000270084,1836381.159999999916181,1751199.429999999934807,1899367.159999999916181,11242816.830000000074506
FS( 102 ),1921288.849999999860302,1869694.760000000009313,1993483.750000000000000,1844802.840000000083819,1751890.910000000149012,1943145.960000000195578,11324311.070000000298023
FS( 103 ),1895882.199999999953434,1865149.340000000083819,1980144.250000000000000,1857618.439999999944121,1753446.740000000223517,1948534.119999999878928,11300779.089999999850988
FS( 104 ),1924256.050000000046566,1877270.460000000195578,1995084.490000000223517,1870617.120000000111759,1763818.940000000176951,1950891.439999999944121,11381942.500000000000000
FS( 105 ),1937793.899999999674037,1869694.760000000009313,1998819.550000000046566,1875926.439999999944121,1753792.480000000214204,1950217.919999999925494,11386249.050000000745058
FS( 106 ),1934455.799999999813735,1856058.500000000000000,1994017.330000000074506,1879954.200000000186265,1770906.610000000102445,1950891.439999999944121,11386287.879999998956919
FS( 107 ),1983600.049999999813735,1871209.899999999906868,1999353.130000000121072,1889840.520000000018626,1771079.480000000214204,1956616.360000000102445,11471703.439999999478459
FS( 108 ),2006224.949999999953434,1881058.309999999823049,2018562.010000000009313,1889108.200000000186265,1762608.849999999860302,1948197.360000000102445,11505763.679999999701977
FS( 109 ),2016795.599999999860302,1878785.600000000093132,2013226.209999999962747,1889840.520000000018626,1752582.389999999897555,1951228.199999999953434,11502462.519999999552965
FS( 110 ),2027180.799999999813735,1893937.000000000000000,2019362.380000000121072,1905951.559999999823049,1743938.889999999897555,1969750.000000000000000,11560124.629999998956919
FS( 111 ),2015682.899999999906868,1896967.280000000027940,2008423.990000000223517,1891671.319999999832362,1735986.870000000111759,1980526.320000000065193,11529262.679999999701977
FS( 112 ),1977851.099999999860302,1868179.620000000111759,1975608.820000000065193,1877208.000000000000000,1724577.450000000186265,1963351.559999999823049,11386780.550000000745058
FS( 113 ),1980076.499999999767169,1871209.899999999906868,1990815.850000000325963,1877208.000000000000000,1737196.959999999962747,1961331.000000000000000,11417842.210000000894070
FS( 114 ),1980818.299999999813735,1858331.210000000195578,1987080.790000000270084,1875743.360000000102445,1747742.030000000027940,1955606.080000000074506,11405325.769999999552965
FS( 115 ),1978222.000000000000000,1856058.500000000000000,1975608.820000000065193,1866223.200000000186265,1750680.820000000065193,1955269.320000000065193,11382066.660000000149012
FS( 116 ),1993243.449999999953434,1865906.909999999916181,1995351.280000000260770,1882334.239999999990687,1752063.780000000027940,1967055.919999999925494,11455959.580000000074506
FS( 117 ),1988978.099999999860302,1871967.469999999972060,1978276.720000000204891,1900642.239999999990687,1761744.500000000000000,1963351.559999999823049,11464964.590000001713634
FS( 118 ),2028478.949999999720603,1881058.309999999823049,1993483.750000000000000,1927371.919999999925494,1761917.370000000111759,1984230.680000000167638,11576544.980000000447035
FS( 119 ),2017351.949999999953434,1871209.899999999906868,2009491.149999999906868,1917851.760000000009313,1761744.500000000000000,1970086.760000000009313,11547740.019999999552965
FS( 120 ),1999363.299999999813735,1858331.210000000195578,1987881.160000000149012,1914922.479999999981374,1754138.219999999972060,1950554.680000000167638,11465195.050000000745058
FS( 121 ),2011046.649999999906868,1872725.039999999804422,1998819.550000000046566,1936342.840000000083819,1756558.400000000139698,1982210.119999999878928,11557706.599999997764826
FS( 122 ),2012530.249999999767169,1867422.049999999813735,1980144.250000000000000,1934328.960000000195578,1754829.700000000186265,1971097.040000000037253,11520356.250000000000000
FS( 123 ),2017351.949999999953434,1871209.899999999906868,1960935.370000000111759,1922245.679999999934807,1753965.349999999860302,1937421.040000000037253,11463133.289999999105930
FS( 124 ),2015312.000000000000000,1882573.450000000186265,1955065.990000000223517,1915471.720000000204891,1741518.709999999962747,1948197.360000000102445,11458143.230000000447035
