代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11857764.980000000447035
真實報酬,1857764.980000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16755.457563513406058
風險,118969.251930110665853
起點值,0.140838555271042
找到最佳解世代,3712
找到最佳解實驗#,2
找到最佳解次數,31

stock[index](rank)
投資組合檔數,10
AXP[1](3),BA[2](12),JNJ[12](1),JPM[13](11),MCD[15](14),MMM[16](5),MRK[17](8),PG[21](15),UNH[23](18),V[25](9),
Stock#,AXP[1](3),BA[2](12),JNJ[12](1),JPM[13](11),MCD[15](14),MMM[16](5),MRK[17](8),PG[21](15),UNH[23](18),V[25](9),
張數,17021,12975,14116,22391,11096,10550,24189,14411,18335,25740,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,16.250000000000000,16.750000000116415,22.559999999939464,17.940000000060536,28.479999999981374,71.000000000000000,26.739999999874271,20.709999999962747,9.099999999976717,1.000000000000000,
FS( 1 ),1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,10000000.000000000000000
FS( 2 ),1004255.250000000000000,1005190.000000000116415,998588.399999999906868,997984.810000000055879,1005658.959999999962747,998839.500000000000000,1023947.109999999869615,993659.160000000032596,953245.750000000000000,1000772.200000000069849,9982141.139999998733401
FS( 3 ),1014638.059999999939464,1008044.500000000116415,1010022.359999999869615,1015673.700000000069849,997004.079999999958090,1006224.500000000000000,1015239.069999999832362,995676.700000000069849,955079.250000000000000,1008751.599999999976717,10026353.819999998435378
FS( 4 ),1018893.309999999939464,987803.500000000000000,1007904.959999999962747,1016793.250000000000000,1008765.839999999967404,1007490.500000000000000,1018867.419999999809079,988903.530000000027940,955079.250000000000000,1015958.799999999930151,10026460.360000001266599
FS( 5 ),1024680.450000000069849,961853.500000000000000,1008046.119999999878928,1018808.440000000060536,1009098.719999999972060,1007596.000000000000000,1020318.759999999892898,987318.320000000065193,942428.099999999976717,1025482.600000000093132,10005631.009999999776483
FS( 6 ),1025701.709999999962747,995977.750000000232831,1012563.239999999990687,1018136.710000000079162,1007656.239999999990687,1017196.500000000000000,1030236.250000000000000,992650.389999999897555,960213.049999999930151,1041184.000000000116415,10101515.839999999850988
FS( 7 ),1034722.839999999967404,1000259.500000000116415,1019056.599999999860302,1033362.590000000083819,1014202.880000000004657,1022260.500000000000000,1034832.159999999916181,998270.679999999934807,973780.949999999953434,1032947.200000000069849,10163695.899999998509884
FS( 8 ),1042382.290000000037253,975217.750000000116415,1021315.159999999916181,1033138.680000000051223,1017864.560000000055879,1015825.000000000000000,1045717.209999999846332,997550.129999999888241,968463.799999999930151,1037065.599999999976717,10154540.179999999701977
FS( 9 ),1041871.660000000032596,993253.000000000116415,1024279.520000000018626,1027317.020000000135042,1015645.359999999986030,1024265.000000000000000,1048378.000000000000000,1003458.639999999897555,978364.699999999953434,1033719.399999999906868,10190552.300000000745058
FS( 10 ),1034212.209999999962747,998313.250000000116415,1021597.479999999981374,1037840.790000000037253,1015423.440000000060536,1026480.500000000116415,1037009.169999999809079,1007061.389999999897555,983131.799999999930151,1032432.400000000023283,10193502.429999999701977
FS( 11 ),1031829.269999999902211,964578.250000000116415,1024561.839999999967404,1048364.560000000055879,1010874.079999999958090,1029750.999999999883585,1029026.799999999813735,999279.450000000069849,983865.199999999953434,1030887.999999999883585,10153018.449999999254942
FS( 12 ),1033871.790000000037253,976515.250000000232831,1029078.959999999962747,1039855.979999999981374,1018197.440000000060536,1034815.000000000000000,1034106.489999999874271,1004035.079999999958090,997433.099999999976717,1028828.799999999930151,10196737.890000000596046
FS( 13 ),1017531.630000000004657,973660.750000000232831,1033737.239999999990687,1040303.800000000046566,1023745.440000000060536,1041778.000000000000000,1039669.959999999846332,1007926.049999999930151,1000366.700000000069849,1018532.800000000046566,10197252.370000001043081
FS( 14 ),1011063.650000000023283,962242.750000000116415,1026114.599999999860302,1042095.080000000074506,1031401.680000000051223,1048002.500000000000000,1044991.539999999920838,1008070.160000000032596,1027135.800000000046566,1023423.399999999906868,10224541.160000000149012
FS( 15 ),1003063.780000000027940,963929.500000000232831,1028373.159999999916181,1035153.869999999995343,1037282.560000000055879,1049690.500000000000000,1035799.719999999855645,1018734.299999999930151,1025118.949999999953434,1023423.399999999906868,10220569.740000000223517
FS( 16 ),1009361.549999999930151,977293.750000000000000,1031902.159999999916181,1038288.609999999986030,1035396.239999999990687,1051589.500000000000000,1040153.739999999874271,1014843.329999999958090,1030802.799999999930151,1026769.599999999976717,10256401.279999999329448
FS( 17 ),1012765.750000000000000,973531.000000000116415,1043477.279999999911524,1055977.500000000000000,1039945.599999999976717,1061295.500000000000000,1051280.679999999701977,1055626.459999999962747,1027502.500000000000000,1028571.400000000023283,10349973.669999999925494
FS( 18 ),1005446.719999999972060,960166.750000000116415,1039242.479999999981374,1044334.180000000051223,1047047.039999999920838,1061928.500000000000000,1038460.509999999892898,1063120.179999999934807,1023285.450000000069849,1006177.600000000093132,10289209.409999998286366
FS( 19 ),1011914.700000000069849,955625.500000000232831,1050394.120000000111759,1055081.859999999869615,1053260.800000000046566,1074166.500000000000000,1056118.479999999981374,1080845.709999999962747,1031902.900000000023283,1008236.800000000046566,10377547.370000001043081
FS( 20 ),1009872.179999999934807,967822.000000000116415,1045877.000000000000000,1055305.770000000018626,1050486.800000000046566,1063511.000000000000000,1052248.239999999757856,1081998.589999999850988,1028235.899999999906868,997426.000000000000000,10352783.480000000447035
FS( 21 ),1001021.260000000009313,958480.000000000232831,1043477.279999999911524,1053514.490000000223517,1057366.320000000065193,1060873.500000000000000,1046200.989999999874271,1083151.469999999972060,1012284.449999999953434,1016216.199999999953434,10332585.959999999031425
FS( 22 ),1019744.359999999986030,971455.000000000232831,1047147.440000000060536,1071427.290000000037253,1064689.679999999934807,1071529.000000000000000,1011852.609999999869615,1094103.830000000074506,1022552.050000000046566,1020334.599999999976717,10394835.860000001266599
FS( 23 ),1011233.859999999986030,975866.500000000000000,1046159.319999999948777,1067620.819999999832362,1049710.079999999841675,1063194.500000000000000,988147.389999999897555,1084448.459999999962747,1022185.349999999976717,1007979.399999999906868,10316545.679999999701977
FS( 24 ),1032510.109999999986030,984689.500000000116415,1053923.120000000111759,1092474.830000000074506,1053149.839999999850988,1070790.500000000000000,1002177.009999999892898,1090933.409999999916181,1059222.049999999813735,1026512.200000000069849,10466382.570000000298023
FS( 25 ),1030808.010000000009313,989879.500000000232831,1064227.799999999813735,1088444.450000000186265,1054925.199999999953434,1083450.500000000000000,993952.750000000000000,1097418.360000000102445,1052071.399999999906868,1035006.400000000023283,10490184.370000001043081
FS( 26 ),1057701.189999999944121,1004671.000000000232831,1059569.520000000018626,1079935.870000000111759,1050042.959999999962747,1078492.000000000000000,991775.739999999874271,1097418.360000000102445,1046020.849999999976717,1010810.800000000046566,10476438.290000000968575
FS( 27 ),1051914.050000000046566,993382.750000000116415,1065498.240000000223517,1088892.270000000018626,1052706.000000000000000,1083134.000000000000000,996129.759999999892898,1091653.959999999962747,1058672.000000000000000,1015444.000000000116415,10497427.030000001192093
FS( 28 ),1054977.829999999841675,984430.000000000232831,1064510.120000000111759,1089564.000000000000000,1056034.800000000046566,1082712.000000000000000,1000967.559999999939464,1092518.620000000111759,1047304.299999999930151,1005920.199999999953434,10478939.429999999701977
FS( 29 ),1058722.449999999953434,985987.000000000000000,1070015.359999999869615,1100311.680000000167638,1055258.079999999841675,1091574.000000000000000,1002660.789999999920838,1094968.489999999990687,1045287.449999999953434,1009009.000000000116415,10513794.299999998882413
FS( 30 ),1057020.350000000093132,970287.250000000116415,1068039.120000000111759,1090011.819999999832362,1043052.479999999981374,1085244.000000000000000,995404.089999999850988,1103326.870000000111759,1049321.149999999906868,995881.599999999976717,10457588.730000000447035
FS( 31 ),1061105.390000000130385,972233.500000000232831,1070156.520000000018626,1102102.959999999962747,1038170.239999999990687,1084400.000000000000000,996371.649999999790452,1106497.290000000037253,1046020.849999999976717,1003603.600000000093132,10480662.000000000000000
FS( 32 ),1050041.739999999990687,973531.000000000116415,1075097.120000000111759,1094490.020000000018626,1041942.880000000004657,1089147.500000000000000,1001935.119999999878928,1103038.650000000139698,1050971.299999999813735,1016731.000000000000000,10496926.330000001937151
FS( 33 ),1060084.130000000121072,968600.500000000232831,1086389.919999999925494,1107252.890000000130385,1041388.079999999958090,1099170.000000000000000,1021286.319999999832362,1115143.889999999897555,1038870.199999999953434,1014157.000000000000000,10552342.929999999701977
FS( 34 ),1053786.359999999869615,970287.250000000116415,1082013.959999999962747,1088444.450000000186265,1042053.839999999967404,1088303.500000000000000,1031929.479999999748543,1110820.589999999850988,1012284.449999999953434,1000000.000000000000000,10479923.879999998956919
FS( 35 ),1047488.589999999967404,986246.500000000232831,1085119.479999999981374,1080383.689999999944121,1044605.920000000041910,1083767.000000000000000,1028059.239999999874271,1110244.150000000139698,1012834.500000000000000,1013127.400000000023283,10491876.470000000670552
FS( 36 ),1065020.219999999972060,994680.250000000116415,1076367.560000000055879,1095161.750000000000000,1056922.479999999981374,1092418.000000000000000,1039428.069999999832362,1109523.599999999860302,998716.549999999930151,1025997.400000000023283,10554235.880000000819564
FS( 37 ),1055658.670000000158325,973531.000000000116415,1066768.679999999701977,1068068.640000000130385,1066797.919999999925494,1073533.500000000000000,1028543.019999999902211,1094103.830000000074506,977264.599999999976717,1003088.799999999930151,10407358.660000000149012
FS( 38 ),1053956.570000000065193,981575.500000000232831,1069309.560000000055879,1065829.540000000037253,1067685.599999999860302,1079441.500000000000000,1026124.119999999878928,1096409.589999999850988,972680.849999999976717,1015701.400000000023283,10428714.230000000447035
FS( 39 ),1063828.750000000000000,1003762.750000000116415,1077355.679999999701977,1103446.419999999925494,1062248.560000000055879,1092734.500000000000000,1039428.069999999832362,1106064.959999999962747,987715.549999999930151,1028828.799999999930151,10565414.040000002831221
