天數,二次加權,一次
result_train_2009(2009 Q1).csv,252
Day 1,10000000.000000000000000,10000000.000000000000000
Day 2,10115873.330000000074506,10180716.250000000000000
Day 3,10233604.549999998882413,10233756.879999998956919
Day 4,10030058.779999999329448,10039467.419999999925494
Day 5,10040383.640000000596046,10097151.429999999701977
Day 6,9887996.959999999031425,9839487.870000001043081
Day 7,9626656.709999999031425,9793120.599999999627471
Day 8,9596672.009999999776483,9717934.330000000074506
Day 9,9305332.549999998882413,9463723.599999999627471
Day 10,9168269.070000000298023,9408920.150000000372529
Day 11,9012465.739999998360872,9396831.449999999254942
Day 12,8519079.349999999627471,9000960.890000000596046
Day 13,8764203.689999999478459,9795813.089999999850988
Day 14,8954489.359999999403954,10023340.219999998807907
Day 15,9042618.859999999403954,9990148.559999998658895
Day 16,8940116.390000000596046,10184199.910000000149012
Day 17,9138366.620000001043081,10245503.829999998211861
Day 18,9503167.780000001192093,10619242.149999998509884
Day 19,9416767.769999999552965,10421461.440000001341105
Day 20,9461495.220000000670552,10214067.400000002235174
Day 21,9534885.289999999105930,10246166.339999999850988
Day 22,9686214.559999998658895,10473113.609999999403954
Day 23,9715141.799999998882413,10466780.219999998807907
Day 24,10134091.419999999925494,10604781.719999998807907
Day 25,10429313.309999998658895,10999565.370000001043081
Day 26,10511728.580000000074506,11188942.509999999776483
Day 27,10073318.279999999329448,10731157.339999999850988
Day 28,10180941.589999999850988,10781446.070000000298023
Day 29,10319922.059999998658895,10911326.339999999850988
Day 30,10226464.709999999031425,10837079.109999999403954
Day 31,9931801.399999998509884,10397182.179999999701977
Day 32,10049643.160000000149012,10437536.820000000298023
Day 33,9869063.769999999552965,10085416.099999999627471
Day 34,9845898.669999999925494,10108268.480000000447035
Day 35,9575530.339999999850988,9619985.919999999925494
Day 36,9898541.710000000894070,9917483.670000001788139
Day 37,9807926.719999998807907,9939024.429999999701977
Day 38,9574756.820000000298023,10006686.759999999776483
Day 39,9421973.000000000000000,10189517.419999999925494
Day 40,9129133.039999999105930,9941820.559999998658895
Day 41,9115104.959999999031425,9891718.119999999180436
Day 42,9288273.480000000447035,10144469.359999999403954
Day 43,8977875.369999999180436,9902128.429999999701977
Day 44,8711695.469999998807907,9613658.339999999850988
Day 45,8416270.649999998509884,9356862.789999999105930
Day 46,8941680.899999998509884,9877392.160000000149012
Day 47,8968090.719999998807907,10179558.310000000521541
Day 48,9496224.580000000074506,10482039.410000000149012
Day 49,9680426.559999998658895,10456602.209999999031425
Day 50,9577435.129999998956919,10478811.289999999105930
Day 51,9971948.140000000596046,10810864.140000000596046
Day 52,10141324.500000000000000,10856234.740000000223517
Day 53,9820499.599999999627471,10904581.949999999254942
Day 54,9881065.269999999552965,10892139.879999998956919
Day 55,10429932.900000000372529,11582595.019999999552965
Day 56,10239222.750000000000000,11493545.609999999403954
Day 57,10159946.250000000000000,11473516.160000000149012
Day 58,10466731.819999998435378,11710057.550000000745058
Day 59,10228562.459999999031425,11275343.660000000149012
Day 60,10033185.269999999552965,11169202.990000000223517
Day 61,10207578.559999998658895,11339553.160000000149012
Day 62,10282222.309999998658895,11577515.619999999180436
Day 63,10512237.140000000596046,11981121.429999999701977
Day 64,10854497.570000000298023,12242566.169999998062849
Day 65,10907218.380000000819564,12339827.050000000745058
Day 66,10615924.489999998360872,11989976.199999999254942
Day 67,10759895.419999999925494,12202912.460000000894070
Day 68,10888625.919999999925494,12409567.149999998509884
Day 69,11029602.510000001639128,12344142.080000001937151
Day 70,10745723.619999999180436,12201061.179999999701977
Day 71,10833765.349999999627471,12142303.659999998286366
Day 72,10864773.490000000223517,12498282.400000000372529
Day 73,10918896.650000000372529,12597150.640000000596046
Day 74,10568908.969999998807907,12387043.120000001043081
Day 75,10661606.469999998807907,12564074.240000000223517
Day 76,10522740.619999997317791,12566234.660000000149012
Day 77,10737067.929999999701977,12713759.250000000000000
Day 78,10841441.439999999478459,12556056.649999998509884
Day 79,10776420.299999998882413,12594913.379999998956919
Day 80,10831294.160000000149012,12662498.869999999180436
Day 81,11130734.320000000298023,12852119.929999999701977
Day 82,11282833.259999999776483,12843201.719999998807907
Day 83,11343220.019999999552965,13000479.919999999925494
Day 84,11754697.030000001192093,13357101.960000000894070
Day 85,11724719.339999999850988,13372366.959999999031425
Day 86,11644303.829999998211861,13290403.690000001341105
Day 87,11540375.939999999478459,12985189.900000002235174
Day 88,11685719.820000000298023,12929956.239999998360872
Day 89,11496233.950000001117587,13029936.410000000149012
Day 90,11325855.289999999105930,12803959.009999999776483
Day 91,11172602.529999999329448,12437756.250000000000000
Day 92,11341985.900000000372529,12557554.559999998658895
Day 93,11296546.750000000000000,12548861.059999998658895
Day 94,11562234.369999999180436,12964040.929999999701977
Day 95,11496524.269999999552965,13063558.280000001192093
Day 96,11481756.359999999403954,12891272.399999998509884
Day 97,11505588.899999998509884,12728290.709999999031425
Day 98,11416801.959999999031425,12582477.120000001043081
Day 99,11824609.279999999329448,13216843.990000000223517
Day 100,11864617.429999999701977,13224554.220000000670552
Day 101,11991684.359999999403954,13437156.320000000298023
Day 102,12179350.519999999552965,13566727.449999999254942
Day 103,12240276.730000000447035,13883090.900000000372529
Day 104,12271185.169999998062849,13802677.359999999403954
Day 105,12403189.519999999552965,13864238.599999999627471
Day 106,12474736.650000000372529,14005545.060000000521541
Day 107,12440936.530000001192093,14111633.910000000149012
Day 108,12427453.769999999552965,14079644.419999999925494
Day 109,12291366.149999998509884,14055113.650000000372529
Day 110,12227287.419999999925494,13932100.619999999180436
Day 111,12119262.969999998807907,13972898.870000001043081
Day 112,11852205.689999999478459,13742761.899999998509884
Day 113,11703330.440000001341105,13658843.710000000894070
Day 114,11534374.699999999254942,13657107.689999999478459
Day 115,11472781.429999999701977,13596356.830000000074506
Day 116,11580187.349999999627471,13573446.820000000298023
Day 117,11739393.629999998956919,13748883.980000000447035
Day 118,11573682.339999999850988,13550884.370000001043081
Day 119,11532519.039999999105930,13361121.250000000000000
Day 120,11551582.199999999254942,13467982.060000000521541
Day 121,11860645.839999999850988,13777902.669999999925494
Day 122,12119311.390000000596046,13898903.150000000372529
Day 123,12140309.419999999925494,13880481.060000000521541
Day 124,12125231.350000001490116,13826797.129999998956919
Day 125,12055453.740000000223517,13870122.570000000298023
Day 126,11795836.299999998882413,13537825.800000000745058
Day 127,11876443.980000000447035,13456087.240000002086163
Day 128,11669219.500000000000000,13195066.899999998509884
Day 129,11766282.679999999701977,13323416.650000000372529
Day 130,11684546.779999999329448,13357238.210000000894070
Day 131,11669134.529999999329448,13405303.080000000074506
Day 132,11877747.689999999478459,13773299.489999998360872
Day 133,11906744.519999999552965,13748267.480000000447035
Day 134,12282841.480000000447035,14230087.989999998360872
Day 135,12432973.730000000447035,14460526.509999999776483
Day 136,12549476.399999998509884,14969410.789999999105930
Day 137,12808205.319999998435378,15089510.649999998509884
Day 138,12943129.580000000074506,15046686.449999999254942
Day 139,13094565.129999998956919,15251914.259999997913837
Day 140,13244193.089999999850988,15398910.809999998658895
Day 141,13408484.639999998733401,15551701.089999999850988
Day 142,13444785.929999999701977,15554986.839999999850988
Day 143,13244304.419999998062849,15531099.370000001043081
Day 144,13258115.519999999552965,15529954.830000001937151
Day 145,13393472.740000000223517,15718611.830000001937151
Day 146,13311795.639999998733401,15753481.879999998956919
Day 147,13655579.339999999850988,16037116.490000000223517
Day 148,13600293.529999999329448,15968649.589999997988343
Day 149,13517715.489999998360872,15880834.959999999031425
Day 150,13462079.820000000298023,15752871.189999999478459
Day 151,13630668.279999999329448,15949340.279999999329448
Day 152,13638674.169999999925494,15870849.050000000745058
Day 153,13522732.880000000819564,15714605.940000001341105
Day 154,13649430.900000000372529,15939335.160000000149012
Day 155,13803375.580000000074506,16125683.869999999180436
Day 156,13689329.349999999627471,15979150.140000000596046
Day 157,13328829.719999998807907,15483915.910000000149012
Day 158,13507516.929999999701977,15771035.959999999031425
Day 159,13623363.030000001192093,15855693.500000000000000
Day 160,13710034.640000000596046,15973890.260000001639128
Day 161,14021518.770000001415610,16186434.730000000447035
Day 162,13945053.189999999478459,16145527.029999997466803
Day 163,14071169.940000001341105,16136775.900000000372529
Day 164,14044971.640000000596046,16065376.619999999180436
Day 165,14110049.869999999180436,16174970.120000001043081
Day 166,14121386.650000000372529,16136589.609999999403954
Day 167,14101272.250000000000000,16026552.500000000000000
Day 168,13869541.189999997615814,15786686.940000001341105
Day 169,13754108.700000001117587,15748492.720000002533197
Day 170,13794082.070000000298023,15835529.580000000074506
Day 171,13947502.569999998435378,16108529.169999999925494
Day 172,14109123.960000000894070,16234107.809999998658895
Day 173,14077248.790000000968575,16114766.510000001639128
Day 174,14287544.649999998509884,16244003.479999998584390
Day 175,14331982.669999998062849,16242601.619999999180436
Day 176,14466198.000000000000000,16378834.490000000223517
Day 177,14517168.259999997913837,16482891.579999998211861
Day 178,14761982.439999999478459,16994612.190000001341105
Day 179,14825049.659999998286366,17144650.570000000298023
Day 180,14829075.349999997764826,17184818.919999998062849
Day 181,14761665.650000000372529,17099904.059999998658895
Day 182,14786784.970000000670552,17125341.260000001639128
Day 183,14795425.119999999180436,17138002.230000000447035
Day 184,14674338.560000000521541,17052276.990000002086163
Day 185,14468987.589999999850988,16979270.350000001490116
Day 186,14721686.410000000149012,17087456.179999999701977
Day 187,14574239.619999999180436,17015259.920000001788139
Day 188,14523138.899999998509884,17061041.519999999552965
Day 189,14310143.559999998658895,16716270.070000000298023
Day 190,14424950.349999999627471,17000271.449999999254942
Day 191,14501460.629999998956919,17103775.480000000447035
Day 192,14735119.439999999478459,17415245.820000000298023
Day 193,14873174.159999998286366,17512512.509999997913837
Day 194,14915367.259999999776483,17430459.000000000000000
Day 195,15050414.810000000521541,17704351.620000001043081
Day 196,15142937.660000000149012,17787163.690000001341105
Day 197,15127214.109999999403954,17743580.929999999701977
Day 198,15232607.769999999552965,17889137.199999999254942
Day 199,15264791.059999998658895,17825524.989999998360872
Day 200,15112621.359999999403954,17323817.089999999850988
Day 201,15277822.140000000596046,17505387.949999999254942
Day 202,15608382.149999998509884,17981622.009999997913837
Day 203,15732871.989999998360872,18209535.119999997317791
Day 204,15793529.969999998807907,18329120.339999999850988
Day 205,15602617.349999999627471,18126337.070000000298023
Day 206,15424756.489999998360872,18034869.919999998062849
Day 207,15350945.419999999925494,17784137.039999999105930
Day 208,15292142.829999998211861,17558860.570000000298023
Day 209,15401516.150000000372529,17853310.679999999701977
Day 210,14977781.149999998509884,17291879.419999998062849
Day 211,15136366.839999999850988,17331456.289999999105930
Day 212,15074805.419999999925494,17334928.329999998211861
Day 213,15406206.940000001341105,17458108.440000001341105
Day 214,15611886.219999998807907,17739158.229999996721745
Day 215,15614261.140000000596046,17776908.839999999850988
Day 216,16059243.000000000000000,18314066.649999998509884
Day 217,16130191.899999998509884,18451019.660000000149012
Day 218,16081079.800000000745058,18482475.300000000745058
Day 219,15954087.379999998956919,18359809.830000001937151
Day 220,16062000.849999999627471,18538905.320000000298023
Day 221,16190631.619999999180436,18726031.800000000745058
Day 222,16317479.149999998509884,18769357.240000002086163
Day 223,16360316.100000001490116,18684017.980000000447035
Day 224,16167654.259999999776483,18348183.949999999254942
Day 225,16256107.559999998658895,18284128.129999998956919
Day 226,16497872.369999999180436,18683021.309999998658895
Day 227,16437401.969999998807907,18590409.620000001043081
Day 228,16537103.030000001192093,18537779.990000002086163
Day 229,16283508.239999998360872,18250602.310000002384186
Day 230,16291601.059999998658895,18249219.659999996423721
Day 231,16377874.060000000521541,18178173.750000000000000
Day 232,16296069.870000001043081,18093959.820000000298023
Day 233,16165907.129999998956919,18128849.079999998211861
Day 234,16057609.859999999403954,17938070.079999998211861
Day 235,15873118.230000000447035,17682997.149999998509884
Day 236,15873910.259999999776483,17719416.929999999701977
Day 237,16362920.200000001117587,18250222.140000000596046
Day 238,16388345.140000000596046,18227427.390000000596046
Day 239,16213627.669999999925494,18150434.070000000298023
Day 240,16585847.199999999254942,18292055.480000000447035
Day 241,16595022.779999999329448,18055327.799999997019768
Day 242,16653895.399999998509884,18114213.980000000447035
Day 243,16487617.730000000447035,17865635.710000000894070
Day 244,16751453.360000001266599,18091580.500000000000000
Day 245,16795696.299999997019768,18288249.280000001192093
Day 246,16804458.160000000149012,18477240.440000001341105
Day 247,16805015.410000000149012,18577696.829999998211861
Day 248,17039172.640000000596046,18992260.199999999254942
Day 249,17196534.809999998658895,19234581.920000001788139
