訓練日期,20150622 - 20150922
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10592894.559999998658895
真實報酬,592894.559999998658895

夏普值報酬,0.050589456000000
夏普值風險,0.023613574754818
夏普值,2.142388711801362

預期報酬,10160.047477819876804
風險,236397.909686563798459
趨勢值,0.042978584249289
找到最佳解世代,2537
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),NKE[19](1),
Stock#,HD[9](2),NKE[19](1),
張數,44472,93861,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,13.040000000037253,24.529999999329448,
20150622,5028462.080000000074506,5012201.929999998770654,10040664.009999997913837
20150623,5033354.000000000000000,5030974.129999999888241,10064328.129999998956919
20150624,4996442.240000000223517,4984982.239999999292195,9981424.480000000447035
20150625,4991550.319999999366701,4938051.739999999292195,9929602.059999998658895
20150626,5007560.240000000223517,5149238.989999999292195,10156799.230000000447035
20150629,4915947.919999999925494,5053500.769999999552965,9969448.689999999478459
20150630,4942186.399999999441206,5069457.139999998733401,10011643.539999999105930
20150701,4983990.080000000074506,5136098.449999999254942,10120088.529999999329448
20150702,4958196.319999999366701,5156747.869999999180436,10114944.189999997615814
20150706,4950636.080000000074506,5154870.649999999441206,10105506.730000000447035
20150707,4998665.839999999850988,5223389.179999998770654,10222055.019999999552965
20150708,4936405.040000000037253,5128589.569999999366701,10064994.609999999403954
20150709,4953304.399999999441206,5136098.449999999254942,10089402.849999997764826
20150710,5029796.240000000223517,5186783.389999998733401,10216579.629999998956919
20150713,5109845.839999999850988,5275951.339999999850988,10385797.179999999701977
20150714,5130302.959999999962747,5272196.899999999441206,10402499.859999999403954
20150715,5140086.799999999813735,5251547.479999999515712,10391634.279999999329448
20150716,5102285.600000000558794,5272196.899999999441206,10374482.500000000000000
20150717,5090722.879999999888241,5293784.929999998770654,10384507.809999998658895
20150720,5043582.559999999590218,5309741.299999999813735,10353323.859999999403954
20150721,5063594.959999999962747,5303171.029999999329448,10366765.989999998360872
20150722,5109845.839999999850988,5354794.579999999143183,10464640.419999998062849
20150723,5096059.520000000484288,5350101.529999999329448,10446161.050000000745058
20150724,5051587.520000000484288,5303171.029999999329448,10354758.550000000745058
20150727,5028462.080000000074506,5244038.599999998696148,10272500.679999999701977
20150728,5107177.520000000484288,5325697.669999999925494,10432875.190000001341105
20150729,5175219.680000000633299,5393277.589999999850988,10568497.269999999552965
20150730,5179222.160000000149012,5397970.639999998733401,10577192.799999998882413
20150731,5204571.200000000186265,5407356.739999999292195,10611927.939999999478459
20150803,5198345.120000000111759,5389523.149999999441206,10587868.269999999552965
20150804,5226807.200000000186265,5433637.819999999366701,10660445.019999999552965
20150805,5247709.040000000037253,5479629.709999999962747,10727338.750000000000000
20150806,5183669.360000000335276,5402663.689999999478459,10586333.050000000745058
20150807,5200124.000000000000000,5374505.389999998733401,10574629.389999998733401
20150810,5229920.240000000223517,5413927.009999998845160,10643847.250000000000000
20150811,5233922.719999999739230,5371689.559999998658895,10605612.279999997466803
20150812,5233922.719999999739230,5305986.859999999403954,10539909.579999998211861
20150813,5293070.479999999515712,5331329.329999999143183,10624399.809999998658895
20150814,5325535.040000000037253,5366996.509999998845160,10692531.549999998882413
20150817,5323311.440000000409782,5396093.419999999925494,10719404.859999999403954
20150818,5461174.639999999664724,5388584.539999999105930,10849759.179999999701977
20150819,5459395.760000000707805,5395154.809999998658895,10854550.570000000298023
20150820,5360667.919999999925494,5270319.679999998770654,10630987.599999997764826
20150821,5165880.559999999590218,5015956.369999999180436,10181836.929999999701977
20150824,5004891.919999999925494,4875164.869999999180436,9880056.789999999105930
20150825,4935070.879999999888241,4859208.500000000000000,9794279.379999998956919
20150826,5155652.000000000000000,5104185.709999999962747,10259837.710000000894070
20150827,5232588.559999999590218,5285337.439999999478459,10517926.000000000000000
20150828,5226362.479999999515712,5279705.779999999329448,10506068.259999997913837
20150831,5179222.160000000149012,5244977.209999999962747,10424199.370000001043081
20150901,5028462.080000000074506,5098554.049999999813735,10127016.129999998956919
20150902,5180111.600000000558794,5195230.879999999888241,10375342.480000000447035
20150903,5185448.240000000223517,5202739.759999998845160,10388188.000000000000000
20150904,5088499.280000000260770,5148300.379999999888241,10236799.660000000149012
20150908,5177888.000000000000000,5244977.209999999962747,10422865.210000000894070
20150909,5068486.879999999888241,5155809.259999998845160,10224296.139999998733401
20150910,5091612.319999999366701,5180213.119999999180436,10271825.439999997615814
20150911,5133860.719999999739230,5247793.039999999105930,10381653.759999997913837
20150914,5102285.600000000558794,5251547.479999999515712,10353833.080000000074506
20150915,5166770.000000000000000,5342592.649999999441206,10509362.649999998509884
20150916,5239704.080000000074506,5424251.719999998807907,10663955.799999998882413
20150917,5243706.559999999590218,5410172.569999999366701,10653879.129999998956919
20150918,5119629.680000000633299,5399847.859999999403954,10519477.539999999105930
20150921,5184558.799999999813735,5470243.609999999403954,10654802.410000000149012
20150922,5149870.639999999664724,5443023.919999999925494,10592894.559999998658895
