訓練日期,20180103 - 20180406
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10700234.940000001341105
真實報酬,700234.940000001341105

夏普值報酬,0.061323494000000
夏普值風險,0.039540785292751
夏普值,1.550892162256658

預期報酬,21463.004043666260259
風險,352764.924535442434717
趨勢值,0.060842228211694
找到最佳解世代,1388
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](3),INTC[11](8),
Stock#,BA[2](3),INTC[11](8),
張數,16844,106723,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,27.040000000037253,27.450000000186265,
20180103,5016170.240000000223517,4830310.429999999701977,9846480.669999999925494
20180104,4997136.520000000484288,4741730.339999999850988,9738866.859999999403954
20180105,5202128.000000000000000,4774814.470000000670552,9976942.470000000670552
20180108,5224193.639999999664724,4774814.470000000670552,9999008.109999999403954
20180109,5363661.959999999962747,4655284.709999999962747,10018946.669999999925494
20180110,5394486.479999999515712,4535754.950000000186265,9930241.429999999701977
20180111,5526880.320000000298023,4632872.879999999888241,10159753.199999999254942
20180112,5663148.279999999329448,4614729.970000000670552,10277878.250000000000000
20180116,5645462.080000000074506,4604057.669999999925494,10249519.750000000000000
20180117,5912439.479999999515712,4737461.419999999925494,10649900.899999998509884
20180118,5729682.080000000074506,4747066.490000000223517,10476748.570000000298023
20180119,5688751.160000000149012,4783352.310000000521541,10472103.470000000670552
20180122,5693299.040000000037253,4882604.700000000186265,10575903.740000000223517
20180123,5652705.000000000000000,4915688.830000000074506,10568393.830000000074506
20180124,5637545.400000000372529,4856991.179999999701977,10494536.580000000074506
20180125,5779371.879999999888241,4834579.349999999627471,10613951.230000000447035
20180126,5781224.720000000670552,5344715.290000000037253,11125940.010000001639128
20180129,5740799.120000000111759,5334042.990000000223517,11074842.109999999403954
20180130,5688414.279999999329448,5207042.620000000111759,10895456.899999998509884
20180131,5969035.320000000298023,5137672.669999999925494,11106707.990000000223517
20180201,6012324.400000000372529,5085378.400000000372529,11097702.800000000745058
20180202,5877067.080000000074506,4925293.900000000372529,10802360.980000000447035
20180205,5539681.759999999776483,4751335.410000000149012,10291017.169999999925494
20180206,5742315.080000000074506,4792957.379999999888241,10535272.460000000894070
20180207,5863760.320000000298023,4823907.050000000745058,10687667.370000001043081
20180208,5552820.080000000074506,4562435.700000000186265,10115255.780000001192093
20180209,5606215.559999999590218,4690503.300000000745058,10296718.859999999403954
20180212,5790994.240000000223517,4784419.540000000037253,10575413.780000001192093
20180213,5780214.080000000074506,4744932.030000000260770,10525146.109999999403954
20180214,5808680.440000000409782,4843117.190000000409782,10651797.630000000819564
20180215,6004239.279999999329448,4900747.610000000335276,10904986.890000000596046
20180216,5980320.800000000745058,4862327.330000000074506,10842648.130000000819564
20180220,5951854.440000000409782,4943436.810000000521541,10895291.250000000000000
20180221,5935347.320000000298023,4902882.070000000298023,10838229.390000000596046
20180222,5995143.520000000484288,4887940.849999999627471,10883084.370000001043081
20180223,6007608.080000000074506,5093916.240000000223517,11101524.320000000298023
20180226,6122484.160000000149012,5241193.980000000447035,11363678.140000000596046
20180227,6142023.200000000186265,5326572.379999999888241,11468595.580000000074506
20180228,6101092.279999999329448,5260404.120000000111759,11361496.399999998509884
20180301,5890205.400000000372529,5105655.770000000484288,10995861.170000001788139
20180302,5805648.520000000484288,5227319.990000000223517,11032968.510000001639128
20180305,5941748.040000000037253,5309496.700000000186265,11251244.740000000223517
20180306,5877235.520000000484288,5411950.780000000260770,11289186.300000000745058
20180307,5845568.800000000745058,5477051.810000000521541,11322620.610000001266599
20180308,5874035.160000000149012,5415152.470000000670552,11289187.630000000819564
20180309,5971561.919999999925494,5569900.820000000298023,11541462.740000000223517
20180312,5797563.400000000372529,5498396.410000000149012,11295959.810000000521541
20180313,5704584.520000000484288,5526144.390000000596046,11230728.910000000149012
20180314,5562926.479999999515712,5534682.230000000447035,11097608.710000000894070
20180315,5558210.160000000149012,5430093.690000000409782,10988303.850000001490116
20180316,5566463.720000000670552,5461043.360000000335276,11027507.080000001937151
20180319,5588192.479999999515712,5424757.540000000037253,11012950.019999999552965
20180320,5687066.759999999776483,5501598.099999999627471,11188664.859999999403954
20180321,5678139.440000000409782,5502665.330000000074506,11180804.769999999552965
20180322,5383537.879999999888241,5424757.540000000037253,10808295.419999999925494
20180323,5406951.040000000037253,5267874.730000000447035,10674825.769999999552965
20180326,5541197.720000000670552,5600850.490000000223517,11142048.210000000894070
20180327,5408972.320000000298023,5463177.820000000298023,10872150.140000000596046
20180328,5390443.919999999925494,5293488.250000000000000,10683932.169999999925494
20180329,5522837.759999999776483,5558161.290000000037253,11080999.050000000745058
20180402,5431206.400000000372529,5220916.610000000335276,10652123.010000001639128
20180403,5572359.120000000111759,5309496.700000000186265,10881855.820000000298023
20180404,5515426.400000000372529,5335110.220000000670552,10850536.620000001043081
20180405,5666348.639999999664724,5376732.190000000409782,11043080.830000000074506
20180406,5493192.320000000298023,5207042.620000000111759,10700234.940000001341105
