代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15101108.080000000074506
真實報酬,5101108.080000000074506

夏普值報酬,0.501410808000000
夏普值風險,0.130045713421946
夏普值,3.855650407892534

二次趨勢線,-36.324174548980537 x^2 + 32519.002110301797074 x + 10000000.000000000000000
二次平均預期報酬,23365.310123958704935
風險,327610.243875071464572
二次平均趨勢值,0.071320450324101
一次趨勢線,25667.381766647326003 x + 10000000.000000000000000
一次預期報酬,25667.381766647326003
一次風險,416466.079654904082417
一次趨勢值,0.061631386133334
找到最佳解世代,1840
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](4),INTC[11](3),MSFT[18](1),V[25](2),
Stock#,BA[2](4),INTC[11](3),MSFT[18](1),V[25](2),
張數,12588,74716,36673,26780,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,149.080000000074506,2.640000000130385,1.589999999850988,87.000000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2540533.360000000335276,2565750.080000000540167,2533372.429999999701977,2517674.800000000279397,10157330.670000001788139
FS( 3 ),2536379.319999999832362,2512701.720000000204891,2514669.199999999720603,2497322.000000000000000,10061072.240000000223517
FS( 4 ),2547582.640000000130385,2531380.720000000204891,2547308.169999999459833,2515264.600000000093132,10141536.129999998956919
FS( 5 ),2567597.560000000055879,2514196.040000000037253,2566378.129999999888241,2546597.200000000186265,10194768.929999999701977
FS( 6 ),2596675.840000000316650,2534369.360000000335276,2566744.859999999869615,2555166.799999999813735,10252956.859999999403954
FS( 7 ),2598815.799999999813735,2559025.640000000130385,2609285.540000000037253,2575787.400000000372529,10342914.379999998956919
FS( 8 ),2596172.319999999832362,2558278.480000000447035,2632022.799999999813735,2569360.199999999720603,10355833.800000000745058
FS( 9 ),2624872.959999999962747,2591153.520000000018626,2669062.529999999795109,2595872.400000000372529,10480961.410000000149012
