代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12109848.669999999925494
真實報酬,2109848.669999999925494

夏普值報酬,0.202284867000000
夏普值風險,0.069873364531456
夏普值,2.895021133681543

二次趨勢線,35.926088525701083 x^2 + 11.716471207720815 x + 10000000.000000000000000
二次平均預期報酬,9136.942956735796542
風險,248692.517332182847895
二次平均趨勢值,0.036739919056477
一次趨勢線,6842.137479605952649 x + 10000000.000000000000000
一次預期報酬,6842.137479605952649
一次風險,358612.838924941897858
一次趨勢值,0.019079454879857
找到最佳解世代,2420
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](1),MCD[15](2),UNH[23](4),
Stock#,JNJ[12](1),MCD[15](2),UNH[23](4),
張數,33851,34809,27016,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,25.030000000260770,23.159999999683350,98.919999999925494,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3332317.470000000204891,3347604.689999999944121,3290917.879999999888241,9970841.039999999105930
FS( 3 ),3324193.230000000447035,3329504.009999999776483,3300373.479999999981374,9954071.720000000670552
FS( 4 ),3348565.950000000186265,3365357.279999999795109,3260930.120000000111759,9974854.350000001490116
FS( 5 ),3309637.300000000279397,3336117.719999999739230,3209059.399999999906868,9854815.419999999925494
FS( 6 ),3330963.430000000633299,3358743.569999999366701,3224188.359999999869615,9913896.359999999403954
FS( 7 ),3369215.060000000521541,3399122.009999999776483,3300103.320000000298023,10068441.390000000596046
FS( 8 ),3394264.800000000279397,3426273.029999999795109,3308208.120000000111759,10128746.949999999254942
FS( 9 ),3377677.810000000521541,3438456.179999999701977,3377098.919999999925494,10193233.910000000149012
FS( 10 ),3399342.450000000186265,3448550.789999999571592,3400332.679999999701977,10248226.919999999925494
FS( 11 ),3422699.640000000130385,3406431.899999999441206,3375207.800000000279397,10204340.339999999850988
FS( 12 ),3387833.110000000335276,3393900.659999999683350,3346030.519999999552965,10127765.289999999105930
FS( 13 ),3397649.900000000372529,3393552.569999999366701,3313611.320000000298023,10104814.789999999105930
FS( 14 ),3396634.370000000577420,3387635.039999999571592,3265252.679999999701977,10049523.089999999850988
FS( 15 ),3391218.210000000428408,3396685.379999999422580,3258498.679999999701977,10046403.269999999552965
FS( 16 ),3391895.230000000447035,3379628.969999999739230,3223918.199999999720603,9995443.400000000372529
FS( 17 ),3356351.680000000633299,3345168.059999999590218,3186365.959999999962747,9887886.699999999254942
FS( 18 ),3326901.310000000521541,3343079.520000000018626,3184745.000000000000000,9854726.830000000074506
FS( 19 ),3351951.050000000279397,3387983.129999999422580,3283083.239999999757856,10023018.419999999925494
FS( 20 ),3375985.260000000242144,3418615.049999999348074,3283083.239999999757856,10077684.549999998882413
FS( 21 ),3379708.870000000577420,3452031.689999999944121,3257147.879999999888241,10088889.440000001341105
FS( 22 ),3392233.740000000223517,3476049.899999999441206,3279841.320000000298023,10148125.960000000894070
FS( 23 ),3385802.050000000279397,3460733.939999999944121,3266063.160000000149012,10112600.150000000372529
FS( 24 ),3378354.830000000074506,3450987.419999999925494,3264712.359999999869615,10094055.609999999403954
FS( 25 ),3402727.550000000279397,3473961.359999999403954,3347921.640000000130385,10224611.550000000745058
FS( 26 ),3353643.600000000093132,3458297.309999999590218,3297131.560000000055879,10109073.470000000670552
FS( 27 ),3346196.379999999888241,3443329.439999999944121,3291188.039999999571592,10080714.859999999403954
FS( 28 ),3378016.320000000298023,3459689.669999999925494,3309018.600000000093132,10146725.589999999850988
FS( 29 ),3351612.540000000502914,3439500.449999999720603,3303075.080000000074506,10094189.070000000298023
FS( 30 ),3341457.240000000223517,3421051.679999999701977,3274438.120000000111759,10036948.039999999105930
FS( 31 ),3333671.510000000242144,3458993.489999999757856,3256067.239999999757856,10048733.240000000223517
FS( 32 ),3344842.340000000316650,3455512.589999999385327,3269575.239999999757856,10069931.169999999925494
FS( 33 ),3380724.400000000372529,3503897.099999999627471,3345220.039999999571592,10229842.539999999105930
FS( 34 ),3363798.900000000372529,3507378.000000000000000,3390606.919999999925494,10261784.820000000298023
FS( 35 ),3361767.840000000316650,3519213.059999999590218,3329010.439999999944121,10209992.339999999850988
FS( 36 ),3344165.320000000298023,3472569.000000000000000,3236345.560000000055879,10053080.880000000819564
FS( 37 ),3234826.590000000316650,3381021.329999999608845,3141519.399999999906868,9757368.320000000298023
FS( 38 ),3142074.850000000093132,3232734.989999999757856,2983475.800000000279397,9358286.640000000596046
FS( 39 ),3071326.260000000242144,3174952.049999999348074,2971318.600000000093132,9217597.910000000149012
