代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12099547.519999999552965
真實報酬,2099547.519999999552965

夏普值報酬,0.201254752000000
夏普值風險,0.064089335414411
夏普值,3.140222171109389

二次趨勢線,5.128068998310582 x^2 + 7156.823922925798797 x + 10000000.000000000000000
二次平均預期報酬,8454.225379498375332
風險,212618.880720768327592
二次平均趨勢值,0.039762345426892
一次趨勢線,8127.948181508839298 x + 10000000.000000000000000
一次預期報酬,8127.948181508839298
一次風險,215744.224923905159812
一次趨勢值,0.037674001166778
找到最佳解世代,1976
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
JPM[13](3),MRK[17](8),PG[21](13),UNH[23](2),WMT[28](9),
Stock#,JPM[13](3),MRK[17](8),PG[21](13),UNH[23](2),WMT[28](9),
張數,31436,38109,25519,17173,32541,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,41.680000000167638,39.680000000167638,75.969999999972060,32.420000000158325,30.139999999897555,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2003457.959999999962747,2025533.030000000027940,2006379.750000000000000,2003778.060000000288710,2047509.859999999869615,10086658.660000000149012
FS( 3 ),1974536.840000000316650,1997713.460000000195578,1986985.310000000055879,1983342.190000000176951,2068010.689999999711290,10010588.490000002086163
FS( 4 ),1894689.400000000372529,1980183.320000000298023,1969632.390000000130385,1924953.990000000223517,2116171.370000000111759,9885630.470000002533197
FS( 5 ),1852250.800000000279397,1946647.400000000139698,1938754.399999999906868,1891810.100000000093132,2067685.279999999795109,9697147.979999998584390
FS( 6 ),1849421.560000000055879,1953125.930000000167638,1956617.699999999953434,1881849.760000000242144,2089813.159999999916181,9730828.110000001266599
FS( 7 ),1853508.240000000223517,1972561.520000000018626,1952534.660000000149012,1927873.400000000139698,2070288.559999999823049,9776766.380000000819564
FS( 8 ),1802581.920000000391155,1930641.620000000111759,1935692.119999999878928,1875839.210000000195578,2014968.859999999869615,9559723.730000000447035
FS( 9 ),1829616.880000000353903,1974085.880000000121072,1943347.820000000065193,1902113.900000000139698,2052065.599999999860302,9701230.080000001937151
FS( 10 ),1793151.120000000111759,1948933.940000000176951,1913490.590000000083819,1876526.130000000121072,2015294.269999999785796,9547396.050000000745058
FS( 11 ),1792208.040000000037253,1956555.740000000223517,1958148.840000000083819,1933368.760000000242144,2035795.099999999860302,9676076.480000000447035
FS( 12 ),1745054.040000000037253,1926449.630000000121072,1935181.739999999990687,1971321.090000000316650,1979824.580000000074506,9557831.080000000074506
FS( 13 ),1736880.680000000167638,1940549.960000000195578,1957893.649999999906868,1949167.920000000158325,2013667.219999999972060,9598159.430000001564622
FS( 14 ),1790321.880000000353903,1956936.830000000307336,1974225.810000000055879,1963421.510000000242144,2040025.429999999934807,9724931.460000000894070
FS( 15 ),1749769.439999999944121,1940549.960000000195578,1961211.119999999878928,1947107.160000000149012,2064756.590000000083819,9663394.270000001415610
FS( 16 ),1794408.560000000055879,1960747.730000000214204,2011228.360000000102445,1957067.500000000000000,2082654.139999999897555,9806106.290000000968575
FS( 17 ),1793151.120000000111759,1919590.010000000009313,2010973.169999999925494,1929075.510000000242144,2081027.090000000083819,9733816.900000000372529
FS( 18 ),1800695.760000000242144,1875002.480000000214204,2037002.549999999813735,1912761.160000000149012,2089813.159999999916181,9715275.109999999403954
FS( 19 ),1870483.680000000167638,1931022.710000000195578,2084723.079999999841675,1977675.100000000093132,2159450.899999999441206,10023355.469999998807907
FS( 20 ),1850364.640000000130385,1934071.430000000167638,2070177.250000000000000,1990211.390000000130385,2196547.639999999664724,10041372.350000001490116
FS( 21 ),1792836.760000000242144,1921114.370000000111759,2047210.149999999906868,1955693.660000000149012,2175721.399999999441206,9892576.339999999850988
FS( 22 ),1804782.439999999944121,1907395.130000000121072,2069666.869999999878928,1936288.170000000158325,2156522.209999999962747,9874654.820000000298023
FS( 23 ),1835904.080000000074506,1851755.990000000223517,2059459.270000000018626,1961189.020000000251457,2161403.360000000335276,9869711.720000000670552
FS( 24 ),1815470.680000000167638,1881862.100000000325963,2072218.770000000018626,1918599.980000000214204,2180277.139999999664724,9868428.670000001788139
