代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12278543.480000000447035
真實報酬,2278543.480000000447035

夏普值報酬,0.219154348000000
夏普值風險,0.068063697216929
夏普值,3.219841956300490

預期報酬,9853.617303227840239
風險,259212.852523077104706
趨勢值,0.038013613936641
找到最佳解世代,2319
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](2),PG[21](9),UNH[23](1),WMT[28](7),
Stock#,CAT[3](2),PG[21](9),UNH[23](1),WMT[28](7),
張數,36786,31482,21251,40783,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,23.440000000409782,14.379999999888241,32.359999999869615,2.100000000093132,
20160104,2501103.580000000074506,2467258.720000000204891,2474923.819999999832362,2506525.280000000260770,9949811.400000002235174
20160105,2474985.520000000484288,2475129.220000000204891,2479599.040000000037253,2566068.459999999962747,9995782.240000000223517
20160106,2435992.360000000335276,2451202.899999999906868,2454310.349999999627471,2591761.750000000000000,9933267.359999999403954
20160107,2352120.280000000260770,2429795.140000000130385,2382056.949999999720603,2652120.590000000316650,9816092.959999999031425
20160108,2328209.380000000353903,2391701.919999999925494,2341042.520000000018626,2591353.919999999925494,9652307.740000000223517
20160111,2261258.860000000335276,2413739.319999999832362,2328716.939999999944121,2619086.359999999869615,9622801.479999998584390
20160112,2266041.040000000502914,2408702.200000000186265,2385669.620000000111759,2594616.560000000055879,9655029.419999999925494
20160113,2239922.980000000447035,2387924.079999999608845,2321279.089999999850988,2525285.459999999962747,9474411.609999999403954
20160114,2290687.660000000614673,2397368.680000000167638,2353793.120000000111759,2571778.080000000074506,9613627.540000000968575
20160115,2202401.260000000242144,2360534.740000000223517,2322129.129999999888241,2525693.290000000037253,9410758.419999999925494
20160119,2171501.020000000484288,2415628.240000000223517,2392469.939999999944121,2551386.580000000074506,9530985.780000001192093
20160120,2163408.100000000558794,2387294.439999999944121,2439434.649999999906868,2481239.820000000298023,9471377.010000001639128
20160121,2195779.780000000260770,2415313.419999999925494,2412020.859999999869615,2523654.140000000130385,9546768.200000001117587
20160122,2243233.720000000204891,2435461.899999999906868,2429659.189999999944121,2556688.370000000111759,9665043.179999999701977
20160125,2130300.700000000186265,2419406.079999999608845,2409470.739999999757856,2587683.450000000186265,9546860.969999998807907
20160126,2176283.200000000186265,2481110.799999999813735,2421796.319999999832362,2610114.100000000093132,9689304.419999999925494
20160127,2145382.960000000428408,2480795.979999999981374,2387157.189999999944121,2608074.950000000186265,9621411.080000001937151
20160128,2246912.320000000298023,2512907.619999999646097,2366968.739999999757856,2619086.359999999869615,9745875.039999999105930
20160129,2289584.080000000540167,2571778.959999999962747,2447297.520000000018626,2706361.979999999981374,10015022.540000000968575
20160201,2306505.640000000596046,2553834.220000000204891,2462810.750000000000000,2752854.600000000093132,10076005.210000000894070
20160202,2231830.060000000521541,2525500.419999999925494,2420096.239999999757856,2726753.479999999981374,9904180.200000001117587
20160203,2327473.660000000614673,2553204.579999999608845,2396082.609999999869615,2702691.509999999776483,9979452.359999999403954
20160204,2426428.000000000000000,2540611.779999999795109,2426896.560000000055879,2708808.959999999962747,10102745.300000000745058
20160205,2432313.760000000707805,2556352.779999999795109,2374194.080000000074506,2732463.100000000093132,10095323.720000000670552
20160208,2375663.320000000298023,2601057.220000000204891,2338067.379999999888241,2728384.800000000279397,10043172.720000000670552
20160209,2351752.420000000391155,2601686.859999999869615,2362293.520000000018626,2683931.330000000074506,9999664.130000000819564
20160210,2285905.480000000447035,2569575.220000000204891,2395870.099999999627471,2683115.670000000391155,9934466.470000000670552
20160211,2259051.700000000186265,2515426.180000000167638,2350817.979999999981374,2663947.659999999683350,9789243.520000001415610
20160212,2323059.340000000316650,2549741.559999999590218,2376319.179999999701977,2699021.040000000502914,9948141.120000001043081
20160216,2398838.500000000000000,2564852.919999999925494,2447085.009999999776483,2687601.800000000279397,10098378.230000000447035
20160217,2474249.800000000745058,2595705.279999999795109,2514025.659999999683350,2696166.229999999981374,10280146.970000000670552
20160218,2432313.760000000707805,2580908.740000000223517,2495962.310000000055879,2615008.060000000055879,10124192.870000001043081
20160219,2406563.560000000521541,2574927.160000000149012,2500850.040000000037253,2637030.879999999888241,10119371.640000000596046
20160222,2476089.100000000558794,2585631.039999999571592,2577141.129999999888241,2676590.390000000130385,10315451.660000000149012
20160223,2419806.520000000484288,2575556.799999999813735,2574591.009999999776483,2711255.940000000409782,10281210.269999999552965
20160224,2423485.120000000111759,2567686.299999999813735,2554402.560000000055879,2737357.060000000055879,10282931.040000000968575
20160225,2445188.860000000335276,2592242.259999999776483,2575653.560000000055879,2774877.420000000391155,10387962.099999999627471
20160226,2459903.260000000707805,2553204.579999999608845,2578416.189999999944121,2712479.430000000167638,10304003.459999999031425
20160229,2490435.640000000596046,2527704.160000000149012,2531026.459999999962747,2705546.320000000298023,10254712.580000001937151
20160301,2541568.180000000633299,2557297.240000000223517,2585641.529999999795109,2710440.279999999795109,10394947.230000000447035
20160302,2552236.120000000111759,2598853.479999999981374,2577141.129999999888241,2700244.529999999795109,10428475.259999999776483
20160303,2639418.940000000409782,2607983.259999999776483,2588829.179999999701977,2697389.720000000204891,10533621.099999999627471
20160304,2679515.680000000633299,2628446.559999999590218,2588404.159999999683350,2723490.840000000316650,10619857.240000000223517
20160307,2750512.660000000149012,2616168.579999999608845,2587554.120000000111759,2768759.970000000204891,10722995.330000000074506
20160308,2638683.220000000670552,2614909.299999999813735,2585429.020000000018626,2774877.420000000391155,10613898.960000000894070
20160309,2643833.260000000707805,2611761.099999999627471,2573528.459999999962747,2754078.090000000316650,10583200.910000000149012
20160310,2625072.400000000372529,2590353.339999999850988,2594566.949999999720603,2749184.129999999888241,10559176.820000000298023
20160311,2678044.240000000223517,2573667.879999999888241,2658532.459999999962747,2739396.209999999962747,10649640.789999999105930
20160314,2675469.220000000670552,2555408.319999999832362,2661082.580000000074506,2747144.979999999981374,10639105.100000001490116
20160315,2664801.280000000260770,2559815.799999999813735,2653219.709999999962747,2776916.570000000298023,10654753.359999999403954
20160316,2734694.680000000633299,2560760.259999999776483,2654282.259999999776483,2772838.270000000018626,10722575.470000000670552
20160317,2792080.840000000782311,2605149.879999999888241,2646419.389999999664724,2750815.450000000186265,10794465.560000000521541
20160318,2776262.860000000335276,2617742.680000000167638,2692959.080000000074506,2730423.950000000186265,10817388.570000000298023
20160321,2791712.980000000447035,2623094.619999999646097,2693384.099999999627471,2772022.609999999869615,10880214.309999998658895
20160322,2779205.740000000223517,2604835.059999999590218,2720585.379999999888241,2767944.310000000055879,10872570.490000000223517
20160323,2710415.920000000856817,2607353.619999999646097,2758199.649999999906868,2751223.279999999795109,10827192.470000000670552
20160324,2769641.380000000819564,2609557.359999999869615,2732698.449999999720603,2773246.100000000093132,10885143.289999999105930
20160328,2770744.959999999962747,2601057.220000000204891,2739711.279999999795109,2778140.060000000055879,10889653.519999999552965
20160329,2796127.300000000745058,2606723.979999999981374,2759049.689999999944121,2774469.590000000316650,10936370.560000000521541
20160330,2814520.300000000745058,2602946.140000000130385,2755862.040000000037253,2805872.500000000000000,10979200.980000000447035
20160331,2815623.880000000819564,2591297.799999999813735,2739286.259999999776483,2793229.770000000018626,10939437.710000000894070
20160401,2824820.380000000819564,2629705.839999999850988,2760962.279999999795109,2816476.080000000074506,11031964.580000000074506
20160404,2785459.360000000335276,2619631.599999999627471,2751824.350000000093132,2818107.399999999906868,10975022.710000000894070
20160405,2767802.080000000074506,2618057.500000000000000,2699759.399999999906868,2799347.220000000204891,10884966.200000001117587
20160406,2767066.360000000335276,2638520.799999999813735,2720797.889999999664724,2815660.420000000391155,10942045.470000000670552
20160407,2728441.060000000521541,2620576.059999999590218,2696146.729999999981374,2782218.359999999869615,10827382.209999999031425
20160408,2735062.540000000037253,2619316.779999999795109,2670858.040000000037253,2775693.080000000074506,10800930.440000001341105
20160411,2745362.620000000111759,2604520.240000000223517,2684671.189999999944121,2748776.300000000279397,10783330.350000001490116
20160412,2799438.040000000037253,2607668.439999999944121,2694659.159999999683350,2805872.500000000000000,10907638.140000000596046
20160413,2910899.620000000111759,2596020.099999999627471,2715060.120000000111759,2820146.550000000279397,11042126.390000000596046
20160414,2907956.740000000223517,2581853.200000000186265,2719735.339999999850988,2805872.500000000000000,11015417.780000001192093
20160415,2912371.060000000521541,2590982.979999999981374,2705922.189999999944121,2816476.080000000074506,11025752.310000000521541
20160418,2915313.940000000409782,2607668.439999999944121,2716122.669999999925494,2849102.479999999981374,11088207.530000001192093
20160419,2957249.980000000447035,2621835.339999999850988,2773287.859999999869615,2845432.009999999776483,11197805.189999999478459
20160420,2933339.080000000074506,2567371.479999999981374,2846178.790000000037253,2822593.529999999795109,11169482.880000000819564
20160421,2893610.200000000186265,2543759.979999999981374,2825565.319999999832362,2792414.109999999869615,11055349.609999999403954
20160422,2881102.959999999962747,2548482.279999999795109,2850428.989999999757856,2802609.859999999869615,11082624.089999999850988
20160425,2824820.380000000819564,2562964.000000000000000,2842991.139999999664724,2833197.109999999869615,11063972.630000000819564
20160426,2856456.340000000782311,2504407.479999999981374,2852766.600000000093132,2826264.000000000000000,11039894.419999999925494
20160427,2894345.920000000856817,2515111.359999999869615,2822165.160000000149012,2831157.959999999962747,11062780.400000002235174
20160428,2860134.940000000409782,2511018.700000000186265,2806651.929999999701977,2810358.629999999888241,10988164.199999999254942
20160429,2859031.360000000335276,2522352.220000000204891,2798364.040000000037253,2727161.310000000055879,10906908.929999999701977
20160502,2863445.680000000633299,2549111.919999999925494,2807289.459999999962747,2756525.070000000298023,10976372.130000000819564
20160503,2809002.400000000372529,2553204.579999999608845,2814939.819999999832362,2732463.100000000093132,10909609.900000000372529
20160504,2731016.080000000074506,2568945.579999999608845,2805801.889999999664724,2740211.870000000111759,10845975.419999999925494
20160505,2677676.380000000819564,2559500.979999999981374,2811752.169999999925494,2741027.529999999795109,10789957.060000000521541
20160506,2698644.400000000372529,2585631.039999999571592,2806014.399999999906868,2783441.850000000093132,10873731.689999999478459
20160509,2603736.520000000484288,2585316.220000000204891,2819402.529999999795109,2811989.950000000186265,10820445.219999998807907
20160510,2667376.300000000745058,2596649.740000000223517,2838528.429999999701977,2805464.670000000391155,10908019.140000000596046
20160511,2664433.420000000856817,2586260.680000000167638,2777325.549999999813735,2708401.129999999888241,10736420.780000001192093
20160512,2637579.640000000596046,2594446.000000000000000,2757137.100000000093132,2726345.649999999906868,10715508.390000000596046
20160513,2577618.459999999962747,2557297.240000000223517,2741411.359999999869615,2648450.120000000111759,10524777.179999999701977
20160516,2600793.640000000596046,2569890.039999999571592,2776262.999999999534339,2692495.759999999776483,10639442.439999999478459
20160517,2613668.740000000223517,2538093.220000000204891,2753311.919999999925494,2654975.399999999906868,10560049.280000001192093
20160518,2596747.180000000633299,2513852.079999999608845,2773500.369999999646097,2575448.549999999813735,10459548.179999999701977
20160519,2554075.420000000856817,2524555.959999999962747,2762662.359999999869615,2822185.700000000186265,10663479.440000001341105
20160520,2570261.260000000707805,2519204.019999999552965,2782638.299999999813735,2849102.479999999981374,10721206.060000000521541
20160523,2589757.840000000782311,2524870.779999999795109,2771587.779999999795109,2834420.600000000093132,10720637.000000000000000
20160524,2615140.180000000633299,2549111.919999999925494,2817702.449999999720603,2864600.020000000018626,10846554.570000000298023
20160525,2669583.459999999962747,2565167.740000000223517,2835340.779999999795109,2874387.940000000409782,10944479.920000001788139
20160526,2651558.320000000298023,2556982.419999999925494,2825990.339999999850988,2889477.649999999906868,10924008.730000000447035
20160527,2647144.000000000000000,2563593.640000000130385,2847666.359999999869615,2885399.350000000093132,10943803.349999999627471
20160531,2667376.300000000745058,2551315.660000000149012,2840653.529999999795109,2886622.840000000316650,10945968.330000000074506
20160601,2658547.660000000149012,2574927.160000000149012,2858929.389999999664724,2875203.600000000093132,10967607.810000000521541
20160602,2708208.760000000707805,2579964.279999999795109,2891018.399999999906868,2893555.950000000186265,11072747.390000000596046
20160603,2760444.880000000819564,2596334.919999999925494,2908019.199999999720603,2890293.310000000055879,11155092.310000000521541
20160606,2811209.560000000521541,2605779.519999999552965,2935858.009999999776483,2897634.250000000000000,11250481.339999999850988
20160607,2825556.100000000558794,2591612.619999999646097,2910144.299999999813735,2896818.590000000316650,11224131.610000001266599
20160608,2873377.900000000372529,2602001.680000000167638,2983672.759999999776483,2907014.340000000316650,11366066.679999999701977
20160609,2838431.200000000186265,2618372.319999999832362,2989623.040000000037253,2899265.570000000298023,11345692.129999998956919
20160610,2796863.020000000484288,2619316.779999999795109,2959021.600000000093132,2901304.720000000204891,11276506.120000001043081
20160613,2767434.220000000670552,2599483.119999999646097,2934582.949999999720603,2876427.090000000316650,11177927.379999998956919
20160614,2753823.400000000372529,2624039.079999999608845,2929907.729999999981374,2893555.950000000186265,11201326.160000000149012
20160615,2761548.459999999962747,2611446.279999999795109,2916944.619999999646097,2900489.060000000055879,11190428.419999999925494
20160616,2758605.580000000074506,2625928.000000000000000,2946696.020000000018626,2907830.000000000000000,11239059.599999999627471
20160617,2793184.420000000856817,2617113.039999999571592,2926082.549999999813735,2893555.950000000186265,11229935.960000000894070
20160620,2811577.420000000856817,2614279.660000000149012,2943720.879999999888241,2899673.399999999906868,11269251.360000001266599
20160621,2813784.580000000074506,2625928.000000000000000,2936708.049999999813735,2914355.279999999795109,11290775.910000000149012
20160622,2811577.420000000856817,2630965.119999999646097,2930545.259999999776483,2926182.350000000093132,11299270.150000000372529
20160623,2877424.360000000335276,2651113.599999999627471,2957959.049999999813735,2940456.399999999906868,11426953.410000000149012
20160624,2686505.020000000484288,2589723.700000000186265,2917582.149999999906868,2934746.779999999795109,11128557.650000000372529
20160627,2625808.120000000111759,2557297.240000000223517,2913756.970000000204891,2915986.600000000093132,11012848.929999999701977
20160628,2667744.160000000149012,2596020.099999999627471,2947758.569999999832362,2916394.430000000167638,11127917.259999999776483
20160629,2730648.220000000670552,2641669.000000000000000,2986222.879999999888241,2955138.279999999795109,11313678.380000000819564
20160630,2788770.100000000558794,2665595.319999999832362,3000673.559999999590218,2977976.759999999776483,11433015.740000000223517
20160701,2812313.140000000596046,2669058.339999999850988,2993448.220000000204891,2969412.330000000074506,11444232.030000001192093
20160705,2736166.120000000111759,2689836.459999999962747,3008323.919999999925494,2982870.720000000204891,11417197.220000000670552
20160706,2752719.820000000298023,2676928.839999999850988,3025749.739999999757856,3010603.159999999683350,11466001.560000000521541
20160707,2760812.740000000223517,2670632.439999999944121,2992173.160000000149012,2998776.090000000316650,11422394.429999999701977
20160708,2846156.260000000707805,2700225.519999999552965,3002161.129999999888241,3011418.820000000298023,11559961.730000000447035
20160711,2861974.240000000223517,2699595.879999999888241,2981972.679999999701977,3020391.080000000074506,11563933.880000000819564
20160712,2935546.240000000223517,2699595.879999999888241,2972197.220000000204891,2988172.509999999776483,11595511.849999999627471
20160713,2931499.780000000260770,2704003.359999999869615,3006623.839999999850988,3002446.560000000055879,11644573.540000000968575
20160714,2945110.600000000558794,2703373.720000000204891,2993023.199999999720603,3005709.200000000186265,11647216.719999998807907
20160715,2968653.640000000596046,2707781.200000000186265,3003436.189999999944121,3004485.709999999962747,11684356.740000002086163
20160718,2936281.959999999962747,2705262.640000000130385,2991110.609999999869615,3011418.820000000298023,11644074.029999999329448
20160719,2933339.080000000074506,2712818.319999999832362,3030212.449999999720603,3004077.879999999888241,11680447.730000000447035
20160720,2931499.780000000260770,2686058.619999999646097,3039350.379999999888241,3009379.670000000391155,11666288.450000001117587
20160721,2943271.300000000745058,2684169.700000000186265,3036162.729999999981374,2998368.259999999776483,11661971.990000000223517
20160722,2920096.120000000111759,2698651.419999999925494,3053588.549999999813735,2999591.750000000000000,11671927.839999999850988
20160725,2894713.780000000260770,2701169.979999999981374,3011936.589999999850988,3007748.350000000093132,11615568.699999999254942
20160726,3044064.940000000409782,2684484.519999999552965,3011299.059999999590218,3006932.690000000409782,11746781.210000000894070
20160727,3093726.040000000037253,2658984.099999999627471,3010874.040000000037253,2990211.659999999683350,11753795.839999999850988
20160728,3050318.560000000521541,2670002.799999999813735,3033825.119999999646097,2986949.020000000018626,11741095.500000000000000
20160729,3044432.800000000745058,2694558.759999999776483,3043175.559999999590218,2975937.609999999869615,11758104.730000000447035
20160801,3014636.140000000596046,2720374.000000000000000,3049763.369999999646097,3008971.840000000316650,11793745.349999999627471
20160802,2988518.080000000074506,2731392.700000000186265,3042538.029999999795109,2982462.890000000130385,11744911.700000001117587
20160803,3017579.020000000484288,2706521.919999999925494,3036375.239999999757856,2974714.120000000111759,11735190.300000000745058
20160804,3008014.660000000149012,2709040.479999999981374,3032762.569999999832362,2989396.000000000000000,11739213.710000000894070
20160805,3037075.600000000558794,2700540.339999999850988,3038712.850000000093132,3008156.180000000167638,11784484.970000000670552
20160808,3069447.280000000260770,2699910.700000000186265,3020436.989999999757856,2991027.320000000298023,11780822.290000000968575
20160809,3047007.820000000298023,2707151.559999999590218,3013849.179999999701977,2999183.920000000391155,11767192.479999998584390
20160810,3040386.340000000782311,2717225.799999999813735,3021712.049999999813735,3015904.950000000186265,11795229.140000000596046
20160811,3062090.080000000074506,2730448.240000000223517,3031062.489999999757856,3009787.500000000000000,11833388.310000000521541
20160812,3053261.440000000409782,2740207.660000000149012,3036375.239999999757856,3013457.970000000204891,11843302.310000000521541
20160815,3095565.340000000782311,2739578.019999999552965,3009598.979999999981374,2990211.659999999683350,11834954.000000000000000
20160816,3100715.380000000819564,2725725.939999999944121,2998123.439999999944121,2972674.970000000204891,11797239.730000000447035
20160817,3105129.700000000186265,2737689.099999999627471,3011511.569999999832362,2974306.290000000502914,11828636.660000000149012
20160818,3067240.120000000111759,2752800.459999999962747,3021287.029999999795109,3030179.000000000000000,11871506.609999999403954
20160819,3084161.680000000633299,2748707.799999999813735,3018524.399999999906868,2969412.330000000074506,11820806.210000000894070
20160822,3074965.180000000633299,2734226.079999999608845,3019586.949999999720603,2964926.200000000186265,11793704.410000000149012
20160823,3090415.300000000745058,2751541.180000000167638,3017886.869999999646097,2935154.609999999869615,11794997.959999999031425
20160824,3058779.340000000782311,2748707.799999999813735,2972409.729999999981374,2945758.190000000409782,11725655.060000002384186
20160825,3047375.680000000633299,2767282.180000000167638,2917794.660000000149012,2904567.359999999869615,11637019.880000000819564
20160826,3040754.200000000186265,2757207.939999999944121,2903343.979999999981374,2901304.720000000204891,11602610.840000001713634
20160829,3056940.040000000037253,2779874.979999999981374,2917157.129999999888241,2911908.300000000279397,11665880.449999999254942
20160830,3034132.720000000670552,2755948.660000000149012,2908656.729999999981374,2908237.830000000074506,11606975.940000001341105
20160831,3014636.140000000596046,2748707.799999999813735,2891230.910000000149012,2913539.620000000111759,11568114.470000002533197
20160901,2996243.140000000596046,2780189.799999999813735,2884643.100000000093132,2970635.820000000298023,11631711.860000001266599
20160902,3005071.780000000260770,2776726.779999999795109,2903131.470000000204891,2956769.600000000093132,11641699.630000000819564
20160906,3019418.320000000298023,2790578.859999999869615,2889530.830000000074506,2977161.100000000093132,11676689.109999999403954
20160907,3079747.360000000335276,2768856.279999999795109,2868704.850000000093132,2938825.080000000074506,11656133.570000000298023
