代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12186738.140000002458692
真實報酬,2186738.140000002458692

夏普值報酬,0.209973814000000
夏普值風險,0.066577679187815
夏普值,3.153816963304864

預期報酬,9472.059314142592484
風險,214442.528090207633795
趨勢值,0.044170619505838
找到最佳解世代,2134
找到最佳解實驗#,1
找到最佳解次數,31

stock[index](rank)
投資組合檔數,5
DIS[6](2),JNJ[12](3),MRK[17](6),MSFT[18](1),UNH[23](7),
Stock#,DIS[6](2),JNJ[12](3),MRK[17](6),MSFT[18](1),UNH[23](7),
張數,26178,21836,39960,53461,26560,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,0.799999999813735,40.760000000009313,2.000000000000000,23.990000000223517,32.000000000000000,
20140102,1996596.859999999636784,1987771.840000000083819,1977622.400000000139698,1986634.750000000000000,1980611.199999999720603,9929237.049999998882413
20140103,1992408.379999999888241,2005677.359999999869615,1987212.799999999813735,1973269.500000000000000,1994687.999999999767169,9953256.039999999105930
20140106,1984816.759999999543652,2016158.639999999897555,1987612.400000000139698,1931569.920000000391155,1971846.399999999906868,9892004.120000001043081
20140107,1998429.319999999832362,2058957.200000000186265,2002397.600000000093132,1946539.000000000000000,2032137.600000000093132,10038460.720000000670552
20140108,1969109.959999999729916,2056118.520000000018626,1989610.399999999906868,1911789.350000000093132,2008499.200000000186265,9935127.429999999701977
20140109,1960733.000000000000000,2068565.040000000037253,1978821.200000000186265,1899493.320000000298023,2020716.800000000046566,9928329.360000001266599
20140110,1973560.219999999739230,2068783.399999999906868,1993206.800000000046566,1926758.430000000167638,1984064.000000000000000,9946372.849999999627471
20140113,1918062.859999999636784,2063542.760000000009313,2122677.199999999720603,1870089.770000000018626,1963878.399999999906868,9938250.990000000223517
20140114,1948952.899999999906868,2068346.679999999934807,2117882.000000000000000,1912858.570000000298023,1966003.199999999953434,10014043.349999999627471
20140115,1944502.639999999897555,2070093.560000000055879,2098701.200000000186265,1965250.350000000093132,1987782.400000000139698,10066330.150000000372529
20140116,1942670.179999999701977,2066599.800000000046566,2097902.000000000000000,1972200.280000000260770,1932537.600000000093132,10011909.859999999403954
20140117,1936649.239999999990687,2075770.920000000158325,2075924.000000000000000,1944935.170000000391155,1926163.199999999953434,9959442.529999999329448
20140121,1942408.399999999906868,2053279.840000000083819,2071128.800000000046566,1933708.360000000335276,1943161.599999999860302,9943687.000000000000000
20140122,1971465.979999999981374,2059612.279999999795109,2051948.000000000000000,1920877.720000000204891,1949536.000000000232831,9953439.980000000447035
20140123,1957853.419999999925494,2025111.399999999906868,2061938.000000000000000,1927827.650000000372529,1944224.000000000000000,9916954.470000000670552
20140124,1903664.959999999729916,1978600.719999999972060,2077122.799999999813735,1967923.400000000372529,1901727.999999999767169,9829039.879999998956919
20140127,1891361.299999999813735,1963970.599999999860302,2099100.799999999813735,1926223.820000000298023,1903056.000000000232831,9783712.519999999552965
20140128,1907853.439999999711290,1967464.359999999869615,2112687.199999999720603,1939054.460000000428408,1904649.599999999860302,9831709.060000000521541
