代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11917808.589999999850988
真實報酬,1917808.589999999850988

夏普值報酬,0.183080859000000
夏普值風險,0.064531875615847
夏普值,2.837060867250553

預期報酬,9234.860428010575561
風險,263852.314538059814367
趨勢值,0.035000111498656
找到最佳解世代,2280
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
INTC[11](11),MRK[17](3),MSFT[18](1),PFE[20](7),
20180208,2315317.810000000055879,2431580.879999999888241,2484510.220000000204891,2321233.020000000484288,9552641.929999999701977
20180209,2380308.610000000335276,2437800.799999999813735,2577156.640000000130385,2357814.679999999701977,9753080.730000000447035
20180212,2427968.529999999795109,2462680.479999999981374,2604921.339999999850988,2392325.679999999701977,9887896.029999999329448
20180213,2407929.700000000186265,2439133.639999999664724,2625379.540000000037253,2411651.839999999850988,9884094.719999998807907
20180214,2457755.979999999981374,2439133.639999999664724,2654021.020000000018626,2428907.339999999850988,9979817.979999998584390
20180215,2487001.840000000316650,2487560.160000000149012,2708089.119999999646097,2464798.780000000260770,10147449.899999998509884
20180216,2467504.600000000093132,2500888.560000000055879,2688799.959999999962747,2502760.879999999888241,10159954.000000000000000
20180220,2508665.439999999944121,2442687.879999999888241,2709842.679999999701977,2485505.379999999888241,10146701.379999998956919
20180221,2488085.020000000018626,2423583.839999999850988,2673894.699999999720603,2468249.879999999888241,10053813.439999997615814
20180222,2480502.759999999776483,2424472.399999999906868,2680908.939999999944121,2466869.440000000409782,10052753.539999999105930
20180223,2585029.629999999888241,2437800.799999999813735,2749005.520000000018626,2502760.879999999888241,10274596.829999998211861
20180226,2659769.049999999813735,2490670.120000000111759,2788752.879999999888241,2560049.140000000596046,10499241.190000001341105
20180227,2703096.250000000000000,2431136.600000000093132,2753097.160000000149012,2540032.759999999776483,10427362.769999999552965
20180228,2669517.669999999925494,2408922.600000000093132,2740529.979999999981374,2506211.980000000447035,10325182.230000000447035
20180301,2590987.120000000111759,2385820.040000000037253,2713642.059999999590218,2459277.020000000484288,10149726.240000000223517
20180302,2652728.379999999888241,2415142.520000000018626,2719487.259999999776483,2481364.060000000521541,10268722.220000000670552
20180305,2694430.810000000055879,2416919.639999999664724,2736730.600000000093132,2493097.799999999813735,10341178.849999997764826
20180306,2746423.450000000186265,2412476.839999999850988,2727378.279999999795109,2476532.520000000484288,10362811.089999999850988
20180307,2779460.439999999944121,2420029.600000000093132,2743160.319999999832362,2479983.620000000111759,10422633.980000000447035
20180308,2748048.220000000204891,2432913.719999999739230,2759819.140000000130385,2519326.160000000149012,10460107.240000000223517
20180309,2826578.770000000018626,2449796.359999999869615,2821486.000000000000000,2537962.100000000558794,10635823.230000000447035
20180312,2790292.240000000223517,2459570.520000000018626,2828207.979999999981374,2526918.580000000074506,10604989.320000000298023
20180313,2804373.580000000074506,2460014.799999999813735,2759234.619999999646097,2536581.660000000149012,10560204.660000000149012
20180314,2808706.299999999813735,2434690.839999999850988,2742868.059999999590218,2508972.860000000335276,10495238.059999998658895
20180315,2755630.479999999981374,2454683.439999999944121,2752512.640000000130385,2524847.919999999925494,10487674.480000000447035
20180316,2771336.590000000316650,2473343.200000000186265,2764787.559999999590218,2538652.320000000298023,10548119.670000001788139
20180319,2752922.529999999795109,2427138.080000000074506,2714811.100000000093132,2507592.419999999925494,10402464.129999998956919
20180320,2791917.009999999776483,2427582.359999999869615,2721825.339999999850988,2507592.419999999925494,10448917.129999998956919
20180321,2792458.600000000093132,2429803.759999999776483,2702828.439999999944121,2503451.100000000558794,10428541.899999998509884
20180322,2752922.529999999795109,2404479.799999999813735,2624210.500000000000000,2457206.360000000335276,10238819.190000001341105
20180323,2673308.799999999813735,2372935.919999999925494,2547930.640000000130385,2380591.940000000409782,9974767.300000000745058
20180326,2842284.879999999888241,2400925.560000000055879,2740822.240000000223517,2418554.040000000037253,10402586.719999998807907
20180327,2772419.770000000018626,2388041.439999999944121,2614858.179999999701977,2416483.379999999888241,10191802.769999999552965
20180328,2686306.959999999962747,2447574.959999999962747,2612520.100000000093132,2436499.759999999776483,10182901.779999999329448
20180329,2820621.279999999795109,2420029.600000000093132,2667464.979999999981374,2449613.940000000409782,10357729.800000000745058
20180402,2649478.840000000316650,2366716.000000000000000,2587093.479999999981374,2419244.259999999776483,10022532.580000000074506
20180403,2694430.810000000055879,2403146.959999999962747,2621872.419999999925494,2462728.120000000111759,10182178.309999998658895
20180404,2707428.970000000204891,2423139.560000000055879,2698444.540000000037253,2493788.020000000484288,10322801.089999999850988
20180405,2728550.979999999981374,2422695.279999999795109,2699905.839999999850988,2466179.219999999739230,10317331.320000000298023
20180406,2642438.169999999925494,2370714.520000000018626,2637069.939999999944121,2427526.900000000372529,10077749.529999999329448
20180409,2683599.009999999776483,2495112.919999999925494,2652851.979999999981374,2447543.280000000260770,10279107.190000001341105
20180410,2776752.490000000223517,2509774.160000000149012,2714518.839999999850988,2481364.060000000521541,10482409.550000000745058
20180411,2767545.459999999962747,2496890.040000000037253,2684708.319999999832362,2470320.540000000037253,10419464.359999999403954
20180412,2855283.040000000037253,2520881.160000000149012,2734977.040000000037253,2506902.200000000186265,10618043.440000001341105
20180413,2808706.299999999813735,2539985.200000000186265,2720364.040000000037253,2506902.200000000186265,10575957.740000000223517
20180416,2837952.160000000149012,2605738.639999999664724,2752220.379999999888241,2521396.820000000298023,10717308.000000000000000
20180417,2899693.419999999925494,2633284.000000000000000,2807749.779999999795109,2507592.419999999925494,10848319.619999999180436
20180418,2903484.549999999813735,2617734.200000000186265,2818563.399999999906868,2518635.940000000409782,10858418.089999999850988
20180419,2828203.540000000037253,2605294.359999999869615,2808918.819999999832362,2521396.820000000298023,10763813.540000000968575
20180420,2790833.830000000074506,2613735.679999999701977,2776477.959999999962747,2528299.020000000484288,10709346.490000000223517
20180423,2767545.459999999962747,2676823.439999999944121,2786707.059999999590218,2540032.759999999776483,10771108.719999998807907
20180424,2786501.110000000335276,2669714.959999999962747,2721533.080000000074506,2557978.480000000447035,10735727.630000000819564
20180425,2782709.979999999981374,2649278.080000000074506,2697860.020000000018626,2531750.120000000111759,10661598.199999999254942
20180426,2873155.509999999776483,2639503.919999999925494,2754850.720000000204891,2543483.860000000335276,10810994.010000001639128
20180427,2855824.629999999888241,2642169.600000000093132,2800443.279999999795109,2553837.160000000149012,10852274.669999999925494
20180430,2795708.140000000130385,2615512.799999999813735,2733223.479999999981374,2526918.580000000074506,10671363.000000000000000
20180501,2888320.029999999795109,2575971.879999999888241,2776477.959999999962747,2443401.959999999962747,10684171.830000000074506
20180502,2833077.850000000093132,2545760.839999999850988,2732931.220000000204891,2408200.740000000223517,10519970.650000000372529
20180503,2831453.080000000074506,2555979.279999999795109,2749297.779999999795109,2399227.879999999888241,10535958.019999999552965
20180504,2858532.580000000074506,2565753.439999999944121,2781154.119999999646097,2404749.640000000596046,10610189.779999999329448
20180507,2888320.029999999795109,2549315.080000000074506,2812133.679999999701977,2410961.620000000111759,10660730.410000000149012
20180508,2904567.729999999981374,2521769.719999999739230,2800151.020000000018626,2414412.719999999739230,10640901.189999997615814
20180509,2943020.620000000111759,2574639.040000000037253,2833176.399999999906868,2427526.900000000372529,10778362.960000000894070
20180510,2977682.379999999888241,2579526.120000000111759,2861525.619999999646097,2418554.040000000037253,10837288.160000000149012
20180511,2960893.090000000316650,2651943.759999999776483,2855388.160000000149012,2450304.160000000149012,10918529.169999999925494
20180514,2973349.660000000149012,2651499.479999999981374,2865032.740000000223517,2475152.080000000074506,10965033.960000000894070
20180515,2920273.840000000316650,2630174.040000000037253,2844282.279999999795109,2463418.339999999850988,10858148.500000000000000
20180516,2959268.320000000298023,2654609.439999999944121,2839313.860000000335276,2462728.120000000111759,10915919.740000002086163
20180517,2968475.350000000093132,2624398.399999999906868,2810964.640000000130385,2464798.780000000260770,10868637.170000001788139
20180518,2968475.350000000093132,2627508.359999999869615,2816225.319999999832362,2459967.240000000223517,10872176.269999999552965
20180521,2941937.439999999944121,2602184.399999999906868,2852465.559999999590218,2471010.759999999776483,10867598.159999998286366
20180522,2948978.110000000335276,2596853.040000000037253,2849542.959999999962747,2465489.000000000000000,10860863.109999999403954
20180523,2990138.950000000186265,2628841.200000000186265,2883445.119999999646097,2482744.500000000000000,10985169.769999999552965
20180524,2965225.810000000055879,2627064.080000000074506,2873216.020000000018626,2477222.740000000223517,10942728.650000000372529
20180525,3002595.520000000018626,2625286.959999999962747,2874677.319999999832362,2462728.120000000111759,10965287.920000001788139
20180529,2996096.439999999944121,2594631.639999999664724,2864448.220000000204891,2464108.560000000521541,10919284.860000001266599
20180530,3015593.680000000167638,2653276.600000000093132,2891920.660000000149012,2488266.259999999776483,11049057.200000001117587
20180531,2989597.360000000335276,2644835.279999999795109,2888705.800000000279397,2479983.620000000111759,11003122.060000002384186
20180601,3091416.279999999795109,2690596.120000000111759,2945696.500000000000000,2502070.660000000149012,11229779.560000000521541
20180604,3077876.529999999795109,2755461.000000000000000,2971415.379999999888241,2515875.060000000521541,11320627.970000000670552
20180605,3061628.830000000074506,2727471.359999999869615,2986612.899999999906868,2515184.839999999850988,11290897.929999999701977
20180606,3088708.330000000074506,2751462.479999999981374,2995380.699999999720603,2511043.520000000484288,11346595.030000001192093
20180607,3026425.479999999981374,2754128.160000000149012,2948326.839999999850988,2518635.940000000409782,11247516.420000001788139
20180608,2981473.509999999776483,2780340.679999999701977,2970246.339999999850988,2531059.900000000372529,11263120.429999999701977
20180611,2952769.240000000223517,2769233.679999999701977,2953295.259999999776483,2505521.759999999776483,11180819.939999999478459
20180612,2969016.939999999944121,2774120.759999999776483,2960894.020000000018626,2505521.759999999776483,11209553.479999998584390
20180613,2980390.330000000074506,2780784.959999999962747,2947450.059999999590218,2500000.000000000000000,11208625.349999999627471
20180614,3008011.419999999925494,2735024.120000000111759,2964108.879999999888241,2495858.679999999701977,11203003.099999999627471
20180615,2984723.049999999813735,2755905.279999999795109,2926407.339999999850988,2509663.080000000074506,11176698.750000000000000
20180618,2882362.540000000037253,2709700.160000000149012,2947742.319999999832362,2495858.679999999701977,11035663.699999999254942
20180619,2866656.430000000167638,2711477.279999999795109,2947742.319999999832362,2500000.000000000000000,11025876.029999999329448
20180620,2866656.430000000167638,2722584.279999999795109,2977260.580000000074506,2516565.280000000260770,11083066.570000000298023
20180621,2826578.770000000018626,2718141.479999999981374,2955925.600000000093132,2505521.759999999776483,11006167.609999999403954
20180622,2843368.060000000055879,2731025.600000000093132,2934590.619999999646097,2520016.379999999888241,11029000.660000000149012
20180625,2746423.450000000186265,2713698.679999999701977,2875554.100000000093132,2511043.520000000484288,10846719.750000000000000
20180626,2690098.090000000316650,2697704.600000000093132,2895720.040000000037253,2511043.520000000484288,10794566.250000000000000
20180627,2640813.399999999906868,2660385.080000000074506,2850712.000000000000000,2499309.780000000260770,10651220.260000001639128
20180628,2667351.310000000055879,2679044.839999999850988,2882568.339999999850988,2509663.080000000074506,10738627.570000000298023
20180629,2692264.450000000186265,2696816.040000000037253,2881983.819999999832362,2504141.320000000298023,10775205.630000000819564
20180702,2718802.360000000335276,2686153.319999999832362,2922900.220000000204891,2507592.419999999925494,10835448.320000000298023
20180703,2679266.290000000037253,2697260.319999999832362,2894843.259999999776483,2508972.860000000335276,10780342.730000000447035
20180705,2748589.810000000055879,2738578.359999999869615,2915593.720000000204891,2544864.299999999813735,10947626.190000001341105
20180706,2782168.390000000130385,2763458.040000000037253,2956510.119999999646097,2561429.580000000074506,11063566.129999998956919
20180709,2808706.299999999813735,2755461.000000000000000,2976676.059999999590218,2564880.679999999701977,11105724.039999999105930
20180710,2824954.000000000000000,2767900.839999999850988,2984567.080000000074506,2583516.620000000111759,11160938.539999999105930
20180711,2772961.360000000335276,2750129.639999999664724,2980475.439999999944121,2568331.780000000260770,11071898.219999998807907
20180712,2835244.209999999962747,2783894.919999999925494,3045064.899999999906868,2589728.600000000558794,11253932.629999998956919
20180713,2828203.540000000037253,2794113.359999999869615,3081305.140000000130385,2590418.820000000298023,11294040.860000001266599
20180716,2816830.149999999906868,2780784.959999999962747,3066107.619999999646097,2580065.520000000484288,11243788.250000000000000
20180717,2802748.810000000055879,2778119.279999999795109,3096502.660000000149012,2598701.459999999962747,11276072.210000000894070
20180718,2801124.040000000037253,2796334.759999999776483,3072245.080000000074506,2599391.679999999701977,11269095.559999998658895
20180719,2815205.379999999888241,2777230.719999999739230,3051202.360000000335276,2578685.080000000074506,11222323.540000000968575
20180720,2811414.250000000000000,2777675.000000000000000,3105854.979999999981374,2576614.419999999925494,11271558.650000000372529
20180723,2833077.850000000093132,2785227.759999999776483,3155539.179999999701977,2568331.780000000260770,11342176.570000000298023
20180724,2826037.180000000167638,2817660.200000000186265,3146479.119999999646097,2602152.560000000521541,11392329.060000000521541
20180725,2839576.930000000167638,2865198.159999999683350,3239125.540000000037253,2622168.940000000409782,11566069.570000000298023
20180726,2824954.000000000000000,2843872.720000000204891,3203762.080000000074506,2633902.679999999701977,11506491.480000000447035
20180727,2582321.680000000167638,2820770.160000000149012,3147063.640000000130385,2651158.179999999701977,11201313.660000000149012
20180730,2582863.270000000018626,2879415.120000000111759,3079551.580000000074506,2663582.140000000596046,11205412.110000001266599
20180731,2605068.459999999962747,2926508.800000000279397,3100302.040000000037253,2756071.620000000111759,11387950.920000001788139
20180801,2643521.350000000093132,2909626.159999999683350,3106147.240000000223517,2779539.100000000558794,11438833.850000001490116
20180802,2679807.879999999888241,2897630.600000000093132,3143848.779999999795109,2736745.459999999962747,11458032.719999998807907
20180803,2687931.729999999981374,2929174.480000000447035,3157585.000000000000000,2798175.040000000037253,11572866.250000000000000
20180806,2670059.259999999776483,2942058.600000000093132,3160215.339999999850988,2832686.040000000037253,11605019.239999998360872
20180807,2691722.860000000335276,2958052.679999999701977,3182134.839999999850988,2818881.640000000596046,11650792.019999999552965
20180808,2705804.200000000186265,2962939.759999999776483,3199962.699999999720603,2858224.179999999701977,11726930.839999999850988
20180809,2715552.820000000298023,2932284.439999999944121,3205223.379999999888241,2829925.160000000149012,11682985.800000000745058
20180810,2645687.709999999962747,2935394.399999999441206,3185641.959999999962747,2825093.620000000111759,11591817.690000001341105
20180813,2624024.110000000335276,2964272.600000000093132,3162553.419999999925494,2816810.980000000447035,11567661.110000001266599
20180814,2606151.640000000130385,2952721.319999999832362,3202008.520000000018626,2809908.780000000260770,11570790.260000001639128
20180815,2570406.700000000186265,2993150.800000000279397,3146479.119999999646097,2840968.679999999701977,11551005.299999998882413
20180816,2554700.590000000316650,3058904.239999999757856,3145894.600000000093132,2858914.400000000372529,11618413.830000000074506
20180817,2550909.459999999962747,3068234.120000000111759,3144141.040000000037253,2905159.140000000596046,11668443.760000001639128
20180820,2518414.060000000055879,3117549.200000000186265,3123390.580000000074506,2921724.419999999925494,11681078.259999999776483
20180821,2579072.140000000130385,3073121.200000000186265,3097379.439999999944121,2909990.679999999701977,11659563.459999999031425
20180822,2548201.509999999776483,3067345.560000000055879,3128943.520000000018626,2903778.700000000186265,11648269.289999999105930
20180823,2544410.379999999888241,3064235.600000000093132,3143556.520000000018626,2912751.560000000521541,11664954.060000000521541
20180824,2581238.500000000000000,3067345.560000000055879,3168106.360000000335276,2926555.959999999962747,11743246.380000002682209
20180827,2618608.209999999962747,3065124.159999999683350,3203177.559999999590218,2869957.919999999925494,11756867.849999999627471
20180828,2630523.189999999944121,3049130.079999999608845,3222466.720000000204891,2864436.160000000149012,11766556.150000000372529
20180829,2640271.810000000055879,3057127.120000000111759,3273904.479999999981374,2864436.160000000149012,11835739.570000000298023
20180830,2612650.720000000204891,3045131.560000000055879,3271858.660000000149012,2864436.160000000149012,11794077.100000001490116
20180831,2622940.930000000167638,3047352.959999999962747,3282964.540000000037253,2865816.600000000558794,11819075.030000001192093
20180904,2597486.200000000186265,3018919.040000000037253,3264844.419999999925494,2855463.299999999813735,11736712.960000000894070
20180905,2584488.040000000037253,3048685.800000000279397,3170736.699999999720603,2888593.860000000335276,11692504.399999998509884
20180906,2559574.899999999906868,3082451.079999999608845,3178043.199999999720603,2883762.320000000298023,11703831.500000000000000
20180907,2515706.110000000335276,3095335.200000000186265,3162553.419999999925494,2912751.560000000521541,11686346.290000000968575
20180910,2507582.259999999776483,3090448.120000000111759,3196747.839999999850988,2903088.480000000447035,11697866.699999999254942
20180911,2433384.430000000167638,3069122.679999999701977,3251108.199999999720603,2920343.980000000447035,11673959.289999999105930
20180912,2433384.430000000167638,3103776.520000000018626,3264844.419999999925494,2927246.179999999701977,11729251.550000000745058
20180913,2468046.189999999944121,3146871.679999999701977,3299915.619999999646097,2957615.860000000335276,11872449.349999997764826
20180914,2466421.419999999925494,3109107.879999999888241,3313359.580000000074506,2965208.280000000260770,11854097.160000000149012
20180917,2459922.340000000316650,3128656.200000000186265,3277411.600000000093132,2968659.379999999888241,11834649.519999999552965
20180918,2496750.459999999962747,3128656.200000000186265,3308683.419999999925494,3003170.379999999888241,11937260.460000000894070
20180919,2499458.410000000149012,3109107.879999999888241,3264552.160000000149012,2985914.879999999888241,11859033.329999998211861
20180920,2556325.360000000335276,3144650.279999999795109,3319204.779999999795109,3019735.660000000149012,12039916.080000000074506
20180921,2527079.500000000000000,3158867.239999999757856,3339370.720000000204891,3041132.480000000447035,12066449.940000001341105
20180924,2540619.250000000000000,3144650.279999999795109,3351353.379999999888241,3032159.620000000111759,12068782.530000001192093
20180925,2486460.250000000000000,3138874.640000000130385,3344923.660000000149012,3022496.540000000037253,11992755.089999999850988
20180926,2475086.860000000335276,3124657.679999999701977,3331187.439999999944121,3014904.120000000111759,11945836.100000001490116
20180927,2484835.479999999981374,3141984.600000000093132,3343754.619999999646097,3030088.959999999962747,12000663.660000000149012
20180928,2561199.669999999925494,3151758.759999999776483,3342585.580000000074506,3041822.700000000186265,12097366.710000000894070
20181001,2515706.110000000335276,3177971.279999999795109,3378825.819999999832362,3055627.100000000558794,12128130.310000002384186
20181002,2605068.459999999962747,3187745.439999999944121,3365381.860000000335276,3052176.000000000000000,12210371.760000001639128
20181003,2640813.399999999906868,3170862.800000000279397,3365966.379999999888241,3092898.980000000447035,12270541.560000000521541
20181004,2606693.229999999981374,3164198.600000000093132,3296408.500000000000000,3085306.560000000521541,12152606.890000000596046
20181005,2547118.330000000074506,3155757.279999999795109,3277119.339999999850988,3099801.179999999701977,12079796.129999998956919
20181008,2547118.330000000074506,3174861.319999999832362,3239710.059999999590218,3125339.320000000298023,12087029.030000001192093
20181009,2521122.009999999776483,3213957.959999999962747,3280918.720000000204891,3138453.500000000000000,12154452.189999999478459
20181010,2426343.759999999776483,3129989.040000000037253,3102640.119999999646097,3072192.379999999888241,11731165.300000000745058
20181011,2395473.129999999888241,3037578.800000000279397,3095333.619999999646097,2954854.980000000447035,11483240.529999999329448
20181012,2430676.479999999981374,3101555.120000000111759,3202300.779999999795109,3021806.320000000298023,11756338.699999999254942
20181015,2411720.830000000074506,3086005.319999999832362,3144725.559999999590218,2976251.799999999813735,11618703.510000001639128
20181016,2488085.020000000018626,3164198.600000000093132,3244093.959999999962747,3032159.620000000111759,11928537.199999999254942
20181017,2485377.070000000298023,3190855.399999999441206,3235618.419999999925494,3076333.700000000186265,11988184.589999999850988
20181018,2435550.790000000037253,3208182.319999999832362,3171028.959999999962747,3036991.160000000149012,11851753.230000000447035
20181019,2383016.560000000055879,3214402.239999999757856,3175705.119999999646097,3071502.160000000149012,11844626.080000000074506
20181022,2437717.149999999906868,3224176.399999999441206,3204054.339999999850988,3062529.299999999813735,11928477.189999997615814
20181023,2410096.060000000055879,3203295.239999999757856,3159338.559999999590218,3043893.360000000335276,11816623.219999998807907
20181024,2297445.340000000316650,3133987.560000000055879,2990412.279999999795109,2932077.719999999739230,11353922.899999998509884
20181025,2399805.850000000093132,3108219.319999999832362,3165183.759999999776483,2996268.179999999701977,11669477.109999999403954
20181026,2474545.270000000018626,3127767.640000000130385,3126020.919999999925494,2940360.360000000335276,11668694.190000001341105
20181029,2458839.160000000149012,3174417.040000000037253,3035128.059999999590218,2983844.219999999739230,11652228.480000000447035
20181030,2586654.399999999906868,3237504.800000000279397,3031620.939999999944121,2960376.740000000223517,11816156.880000000819564
20181031,2538994.479999999981374,3270381.520000000018626,3121637.020000000018626,2972110.480000000447035,11903123.500000000000000
20181101,2611567.540000000037253,3248611.800000000279397,3095625.879999999888241,3014213.900000000372529,11970019.119999999180436
20181102,2551451.049999999813735,3210848.000000000000000,3102640.119999999646097,2963137.620000000111759,11828076.789999999105930
20181105,2598027.790000000037253,3248611.800000000279397,3142095.220000000204891,3003860.600000000558794,11992595.410000000149012
20181106,2559033.310000000055879,3257053.120000000111759,3148232.679999999701977,2968659.379999999888241,11932978.489999998360872
20181107,2638647.040000000037253,3335690.679999999701977,3272150.919999999925494,3064599.959999999962747,12311088.600000001490116
20181108,2653269.970000000204891,3353461.879999999888241,3266013.459999999962747,3026637.860000000335276,12299383.169999998062849
20181109,2605610.049999999813735,3325916.520000000018626,3202300.779999999795109,3056317.320000000298023,12190144.669999999925494
20181112,2526537.910000000149012,3318363.759999999776483,3123390.580000000074506,3044583.580000000074506,12012875.830000000074506
20181113,2566615.570000000298023,3314809.520000000018626,3125436.399999999906868,3003860.600000000558794,12010722.089999999850988
20181114,2550367.870000000111759,3291706.959999999962747,3067861.179999999701977,2961757.179999999701977,11871693.189999999478459
20181115,2605610.049999999813735,3325027.959999999962747,3135373.240000000223517,2982463.780000000260770,12048475.030000001192093
20181116,2644604.529999999795109,3379230.120000000111759,3164891.500000000000000,3003170.379999999888241,12191896.530000001192093
20181119,2599652.560000000055879,3392114.239999999757856,3057632.080000000074506,3049415.120000000111759,12098814.000000000000000
20181120,2566615.570000000298023,3322362.279999999795109,2972584.419999999925494,3004550.820000000298023,11866113.089999999850988
20181121,2547118.330000000074506,3322806.560000000055879,3013500.819999999832362,2974871.360000000335276,11858297.070000000298023
20181123,2520580.419999999925494,3317475.200000000186265,3012331.779999999795109,2977632.240000000223517,11828019.640000000596046
20181126,2569865.110000000335276,3351684.759999999776483,3111700.179999999701977,2991436.640000000596046,12024686.690000001341105
20181127,2603443.689999999944121,3391669.959999999962747,3131281.600000000093132,3041822.700000000186265,12168217.949999999254942
20181128,2646229.299999999813735,3431210.879999999888241,3247601.080000000074506,3099110.959999999962747,12424152.219999998807907
20181129,2583404.860000000335276,3461421.919999999925494,3220420.899999999906868,3141214.379999999888241,12406462.059999998658895
20181130,2670600.850000000093132,3524953.959999999962747,3240879.100000000093132,3190910.219999999739230,12627344.129999998956919
20181203,2715011.229999999981374,3519622.600000000093132,3275950.300000000279397,3174344.940000000409782,12684929.070000000298023
20181204,2586112.810000000055879,3474750.319999999832362,3171613.479999999981374,3115676.240000000223517,12348152.849999999627471
20181206,2619691.390000000130385,3481858.800000000279397,3191194.899999999906868,3104632.719999999739230,12397377.809999998658895
20181207,2504332.720000000204891,3408552.600000000093132,3063477.279999999795109,3031469.400000000372529,12007832.000000000000000
20181210,2556866.950000000186265,3439652.200000000186265,3144433.300000000279397,3064599.959999999962747,12205552.410000000149012
20181211,2566073.979999999981374,3425879.520000000018626,3173659.300000000279397,3037681.379999999888241,12203294.179999999701977
20181212,2590445.529999999795109,3465864.720000000204891,3187980.040000000037253,3048034.679999999701977,12292324.969999998807907
20181213,2615358.669999999925494,3510292.720000000204891,3198793.660000000149012,3076333.700000000186265,12400778.750000000000000
20181214,2592070.299999999813735,3397889.879999999888241,3098840.740000000223517,3023186.759999999776483,12111987.679999999701977
20181217,2549826.279999999795109,3342354.879999999888241,3007071.100000000093132,2975561.580000000074506,11874813.839999999850988
20181218,2585571.220000000204891,3302369.679999999701977,3038635.179999999701977,2926555.959999999962747,11853132.039999999105930
20181219,2468046.189999999944121,3277490.000000000000000,3030451.899999999906868,2896876.500000000000000,11672864.589999999850988
20181220,2466421.419999999925494,3265050.159999999683350,2966739.220000000204891,2895496.060000000521541,11593706.860000001266599
20181221,2428510.120000000111759,3238837.640000000130385,2870877.939999999944121,2894115.620000000111759,11432341.320000000298023
20181224,2360811.370000000111759,3161088.640000000130385,2751051.339999999850988,2798865.259999999776483,11071816.609999999403954
