代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10920536.980000000447035
真實報酬,920536.980000000447035

夏普值報酬,0.083353698000000
夏普值風險,0.043510964868572
夏普值,1.915694084279115

二次趨勢線,804.834644051153305 x^2 + -29000.053582880158501 x + 10000000.000000000000000
二次加權預期報酬,36996.387229314408614
風險,95284.322492549530580
二次加權趨勢值,0.388273603269911
一次趨勢線,8120.490609820591089 x + 10000000.000000000000000
一次預期報酬,8120.490609820591089
一次風險,354675.820569320174400
一次趨勢值,0.022895529209704
找到最佳解世代,2118
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](2),MCD[15](7),NKE[19](1),
FS( 45 ),3462217.360000000335276,3456513.399999999441206,3514891.220000000204891,10433622.980000000447035
FS( 46 ),3464296.139999999664724,3448018.199999999720603,3525091.120000000577420,10437406.460000000894070
FS( 47 ),3514186.860000000335276,3462353.849999999627471,3557730.800000000279397,10534272.509999999776483
FS( 48 ),3501714.179999999701977,3479344.250000000000000,3565890.720000000204891,10546950.150000000372529
FS( 49 ),3504832.350000000093132,3500582.250000000465661,3590370.480000000447035,10595786.080000001937151
FS( 50 ),3507950.520000000018626,3508015.549999999348074,3590370.480000000447035,10606337.550000000745058
FS( 51 ),3507950.520000000018626,3524474.999999999534339,3614850.239999999757856,10647276.759999999776483
FS( 52 ),3511068.689999999944121,3540403.500000000465661,3808648.340000000316650,10860121.530000001192093
FS( 53 ),3496517.229999999981374,3532439.250000000000000,3749488.919999999925494,10778446.400000000372529
FS( 54 ),3528738.320000000298023,3557924.850000000093132,3767848.739999999757856,10854512.910000000149012
FS( 55 ),3534974.659999999683350,3575977.149999999441206,3798448.440000000409782,10909401.250000000000000
FS( 56 ),3574471.479999999981374,3546774.899999999906868,3743368.980000000447035,10864616.359999999403954
FS( 57 ),3647228.780000000260770,3552084.400000000372529,3751528.900000000372529,10950843.080000001937151
FS( 58 ),3670095.360000000335276,3571198.600000000093132,3767848.739999999757856,11009143.700000001117587
FS( 59 ),3654504.509999999776483,3561110.549999999348074,3771928.699999999720603,10987544.759999997913837
FS( 60 ),3648268.170000000391155,3570136.699999999720603,3763768.779999999795109,10982174.650000000372529
FS( 61 ),3628519.759999999776483,3542527.299999999813735,3749488.919999999925494,10920536.980000000447035
