代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10774536.719999998807907
真實報酬,774536.719999998807907

夏普值報酬,0.068753672000000
夏普值風險,0.028956820731413
夏普值,2.374351543552411

二次趨勢線,48.861767340043464 x^2 + 12693.646476818850715 x + 10000000.000000000000000
二次加權預期報酬,16830.609444942532718
風險,69341.060712380392943
二次加權趨勢值,0.242722122679291
一次趨勢線,15020.543869516304767 x + 10000000.000000000000000
一次預期報酬,15020.543869516304767
一次風險,72780.533716438236297
一次趨勢值,0.206381337186096
找到最佳解世代,2553
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
TRV[22](1),UNH[23](10),WMT[28](9),
Stock#,TRV[22](1),UNH[23](10),WMT[28](9),
張數,52617,65091,45277,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,46.049999999813735,22.890000000130385,40.259999999776483,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3308076.839999999850988,3326172.990000000223517,3352802.109999999869615,9987052.939999999478459
FS( 3 ),3352275.119999999646097,3359369.399999999906868,3375440.609999999869615,10087086.129999998956919
FS( 4 ),3342277.890000000130385,3319663.890000000130385,3363215.819999999832362,10025158.599999999627471
FS( 5 ),3334385.339999999850988,3419904.030000000260770,3350085.489999999757856,10104375.859999999403954
FS( 6 ),3357536.819999999832362,3432271.319999999832362,3364574.129999999888241,10154383.269999999552965
FS( 7 ),3361746.179999999701977,3386056.710000000428408,3343746.709999999497086,10091550.599999999627471
FS( 8 ),3366481.709999999497086,3378245.790000000037253,3336049.620000000111759,10080778.120000001043081
FS( 9 ),3353327.459999999497086,3378245.790000000037253,3323372.060000000055879,10054946.310000000521541
FS( 10 ),3343330.229999999981374,3382802.160000000149012,3350991.029999999795109,10077124.419999999925494
FS( 11 ),3354379.799999999813735,3438129.510000000242144,3370912.909999999683350,10163423.220000000670552
FS( 12 ),3369112.560000000055879,3475231.380000000353903,3266775.810000000055879,10111120.750000000000000
FS( 13 ),3426991.259999999776483,3458307.720000000204891,3259531.489999999757856,10144831.470000000670552
FS( 14 ),3453825.929999999701977,3462864.090000000316650,3273567.359999999869615,10190258.379999998956919
FS( 15 ),3432252.959999999962747,3477184.110000000335276,3234176.370000000111759,10143614.440000001341105
FS( 16 ),3443828.700000000186265,3512984.160000000149012,3249570.549999999813735,10206384.410000000149012
FS( 17 ),3409627.649999999441206,3509729.610000000335276,3240062.379999999888241,10159420.640000000596046
FS( 18 ),3441197.850000000093132,3525351.449999999720603,3264964.729999999981374,10231515.029999999329448
FS( 19 ),3429622.110000000335276,3554642.399999999906868,3282622.759999999776483,10266888.269999999552965
FS( 20 ),3411732.330000000074506,3536416.919999999925494,3278547.829999999608845,10226698.080000000074506
FS( 21 ),3409627.649999999441206,3556595.130000000353903,3294847.549999999813735,10261071.329999998211861
FS( 22 ),3393316.379999999422580,3559849.680000000167638,3271303.509999999776483,10224470.570000000298023
FS( 23 ),3406470.629999999422580,3534464.189999999944121,3287150.459999999497086,10228086.279999999329448
FS( 24 ),3401208.929999999701977,3551387.850000000093132,3328352.529999999795109,10280950.309999998658895
FS( 25 ),3395421.060000000055879,3533162.370000000111759,3330163.609999999869615,10258748.039999999105930
FS( 26 ),3438040.830000000074506,3572867.880000000353903,3387212.629999999888241,10398122.339999999850988
FS( 27 ),3431200.619999999646097,3572216.970000000204891,3342388.399999999441206,10345806.989999998360872
FS( 28 ),3436462.319999999832362,3498013.230000000447035,3328352.529999999795109,10262829.080000000074506
FS( 29 ),3522754.200000000186265,3436827.689999999944121,3353254.879999999888241,10312837.769999999552965
FS( 30 ),3553798.229999999981374,3438129.510000000242144,3353707.649999999441206,10345636.390000000596046
FS( 31 ),3601679.700000000186265,3507776.880000000353903,3402154.039999999571592,10511611.619999999180436
FS( 32 ),3608519.909999999683350,3531209.640000000130385,3373176.759999999776483,10512907.309999998658895
FS( 33 ),3603258.209999999962747,3546180.569999999832362,3350085.489999999757856,10499525.269999999552965
FS( 34 ),3602205.869999999646097,3588489.720000000204891,3348274.409999999683350,10538971.000000000000000
FS( 35 ),3590103.959999999962747,3576773.340000000316650,3367290.750000000000000,10534169.050000000745058
FS( 36 ),3601679.700000000186265,3576122.430000000167638,3384496.009999999776483,10562299.140000000596046
FS( 37 ),3610098.419999999925494,3656835.270000000018626,3370912.909999999683350,10637847.599999999627471
FS( 38 ),3600101.189999999944121,3643817.069999999832362,3384043.239999999757856,10627962.500000000000000
