代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10908309.550000000745058
真實報酬,908309.550000000745058

夏普值報酬,0.082130955000000
夏普值風險,0.027941143333806
夏普值,2.939427138639325

二次趨勢線,336.521274535823238 x^2 + -6897.503876896612383 x + 10000000.000000000000000
二次加權預期報酬,21594.630700469755539
風險,31422.967586741644482
二次加權趨勢值,0.687224420827179
一次趨勢線,9128.328157691219531 x + 10000000.000000000000000
一次預期報酬,9128.328157691219531
一次風險,155480.188570929109119
一次趨勢值,0.058710554969046
找到最佳解世代,2559
找到最佳解實驗#,1
找到最佳解次數,29

stock[index](rank)
投資組合檔數,7
AAPL[0](7),CSCO[4](5),DIS[6](11),HD[9](16),KO[14](21),MCD[15](12),NKE[19](2),
Stock#,AAPL[0](7),CSCO[4](5),DIS[6](11),HD[9](16),KO[14](21),MCD[15](12),NKE[19](2),
張數,8708,44228,14074,9474,31205,8939,26772,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,23.599999999860302,6.600000000093132,60.000000000000000,81.280000000027940,6.099999999860302,29.409999999916181,17.080000000074506,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1411416.239999999990687,1398495.960000000195578,1429978.399999999906868,1448940.100000000093132,1432939.699999999953434,1422224.309999999823049,1419200.800000000046566,9963198.509999999776483
FS( 3 ),1409935.879999999888241,1409552.960000000195578,1428571.000000000000000,1483330.719999999972060,1434187.899999999906868,1414357.989999999990687,1412507.800000000046566,9992447.250000000000000
FS( 4 ),1404275.679999999701977,1404687.880000000121072,1366082.439999999944121,1496310.100000000093132,1444173.500000000000000,1429375.510000000009313,1402602.160000000149012,9947510.269999999552965
FS( 5 ),1381373.639999999897555,1392304.040000000037253,1366223.179999999934807,1512700.120000000111759,1444797.599999999860302,1427677.100000000093132,1397515.480000000214204,9922594.160000000149012
FS( 6 ),1406365.599999999860302,1423705.919999999925494,1366504.660000000149012,1500478.660000000149012,1451662.699999999953434,1443946.079999999841675,1419736.239999999990687,10012402.859999999403954
FS( 7 ),1400792.479999999981374,1433436.079999999841675,1377763.860000000102445,1515068.620000000111759,1457903.699999999720603,1397463.280000000027940,1429641.880000000121072,10012072.900000000372529
FS( 8 ),1390255.799999999813735,1423263.640000000130385,1390852.679999999934807,1516110.760000000009313,1462584.449999999720603,1403452.409999999916181,1432854.520000000251457,10019377.259999999776483
FS( 9 ),1378325.839999999850988,1423705.919999999925494,1377904.600000000093132,1510047.399999999906868,1438868.649999999906868,1403452.409999999916181,1438476.639999999897555,9970784.460000000894070
FS( 10 ),1392258.639999999897555,1434762.919999999925494,1386630.479999999981374,1500762.880000000121072,1441052.999999999767169,1402737.289999999804422,1442224.719999999972060,10000432.929999999701977
FS( 11 ),1381721.959999999729916,1438301.160000000149012,1380719.399999999906868,1495173.219999999972060,1438868.649999999906868,1400591.929999999934807,1432319.080000000074506,9967698.399999998509884
FS( 12 ),1382244.439999999711290,1436974.320000000065193,1385363.820000000065193,1493752.120000000111759,1434811.999999999767169,1407296.179999999934807,1427767.840000000083819,9968213.720000000670552
FS( 13 ),1359081.159999999916181,1441839.400000000139698,1396341.539999999804422,1503415.600000000093132,1428571.000000000000000,1429196.729999999981374,1433925.400000000139698,9992373.830000000074506
FS( 14 ),1335743.719999999739230,1446262.200000000186265,1391837.860000000102445,1508247.340000000083819,1416713.099999999860302,1421598.579999999841675,1424019.760000000009313,9944425.559999998658895
FS( 15 ),1322681.719999999739230,1475894.959999999962747,1387756.399999999906868,1515637.060000000055879,1419521.549999999813735,1420525.899999999906868,1425358.360000000102445,9967378.949999999254942
FS( 16 ),1311013.000000000000000,1491374.760000000009313,1401408.179999999934807,1526342.679999999934807,1425762.549999999813735,1396837.549999999813735,1425090.639999999897555,9977832.359999999403954
FS( 17 ),1333566.719999999739230,1493143.880000000121072,1388178.619999999878928,1527858.520000000018626,1422017.949999999953434,1370825.059999999823049,1437673.480000000214204,9973267.230000000447035
FS( 18 ),1343058.439999999711290,1480760.040000000037253,1396763.760000000009313,1524637.359999999869615,1392997.299999999813735,1377082.360000000102445,1410098.320000000065193,9925400.580000000074506
FS( 19 ),1334785.839999999850988,1475010.400000000139698,1380015.699999999953434,1538279.920000000158325,1401422.649999999674037,1407832.520000000018626,1409027.440000000176951,9946377.469999998807907
FS( 20 ),1342100.559999999823049,1487394.240000000223517,1387334.179999999934807,1549648.719999999972060,1404543.149999999906868,1400591.929999999934807,1388145.280000000027940,9959761.059999998658895
FS( 21 ),1339401.079999999841675,1492701.600000000093132,1405489.639999999897555,1554006.760000000009313,1397990.099999999860302,1403094.850000000093132,1388680.719999999972060,9981367.750000000000000
FS( 22 ),1345235.439999999711290,1497124.400000000139698,1418578.460000000195578,1564901.859999999869615,1410160.049999999813735,1402200.949999999953434,1377971.920000000158325,10016176.080000000074506
FS( 23 ),1336527.439999999711290,1478990.919999999925494,1415200.699999999953434,1566038.739999999990687,1419833.599999999860302,1405329.600000000093132,1394302.840000000083819,10016226.839999999850988
FS( 24 ),1353159.719999999739230,1485625.120000000344589,1409008.139999999897555,1573902.160000000149012,1420457.699999999953434,1419542.610000000102445,1396980.040000000037253,10058678.489999998360872
FS( 25 ),1352376.000000000000000,1492701.600000000093132,1408445.179999999934807,1571344.179999999934807,1419521.549999999813735,1426693.809999999823049,1403405.320000000065193,10074490.640000000596046
FS( 26 ),1357078.319999999832362,1493143.880000000121072,1401408.179999999934807,1570017.820000000065193,1417025.149999999674037,1431342.089999999850988,1379310.520000000251457,10049328.959999999031425
FS( 27 ),1357600.799999999813735,1483856.000000000000000,1401548.919999999925494,1564807.120000000111759,1431379.449999999720603,1435454.030000000027940,1379578.239999999990687,10054227.559999998658895
FS( 28 ),1363261.000000000000000,1485625.120000000344589,1387052.699999999953434,1565659.780000000027940,1438556.599999999860302,1458427.260000000009313,1366192.239999999990687,10064777.700000001117587
FS( 29 ),1358471.599999999860302,1471029.880000000121072,1364252.820000000065193,1559406.939999999944121,1438868.649999999906868,1465220.899999999906868,1360837.840000000083819,10018091.630000000819564
FS( 30 ),1367092.520000000018626,1480317.760000000009313,1370586.119999999878928,1558270.060000000055879,1441052.999999999767169,1478271.839999999850988,1364853.639999999897555,10060447.940000001341105
FS( 31 ),1392258.639999999897555,1483413.719999999972060,1381141.619999999878928,1555901.560000000055879,1454783.199999999720603,1475053.799999999813735,1375294.719999999972060,10117850.259999999776483
FS( 32 ),1397396.359999999869615,1486067.400000000139698,1384378.639999999897555,1547659.179999999934807,1451662.699999999953434,1478540.010000000009313,1392161.080000000074506,10137868.369999999180436
FS( 33 ),1391213.679999999701977,1483856.000000000000000,1382830.500000000000000,1548606.579999999841675,1447918.099999999860302,1481847.439999999944121,1400192.679999999934807,10136467.979999998584390
FS( 34 ),1358297.439999999711290,1492701.600000000093132,1393526.739999999990687,1546617.040000000037253,1453847.050000000046566,1488372.909999999916181,1410633.760000000009313,10143999.539999999105930
FS( 35 ),1360648.599999999860302,1514815.600000000093132,1399015.600000000093132,1548417.100000000093132,1447294.000000000000000,1486585.110000000102445,1420539.400000000139698,10177318.410000000149012
FS( 36 ),1359951.959999999729916,1519238.400000000139698,1389163.800000000046566,1560828.040000000037253,1445421.699999999953434,1460125.669999999925494,1436602.600000000093132,10171335.169999999925494
FS( 37 ),1368050.399999999906868,1529410.840000000083819,1383393.460000000195578,1573049.500000000000000,1441052.999999999767169,1464952.729999999981374,1430177.320000000065193,10190090.250000000000000
FS( 38 ),1362041.879999999888241,1517027.000000000000000,1376497.199999999953434,1573428.459999999962747,1436996.349999999860302,1462271.030000000027940,1470870.760000000009313,10199135.679999999701977
FS( 39 ),1370749.879999999888241,1515700.160000000149012,1387193.439999999944121,1588397.380000000121072,1442613.249999999767169,1466114.799999999813735,1520934.400000000139698,10291706.310000000521541
FS( 40 ),1419863.000000000000000,1522776.640000000130385,1383674.939999999944121,1585460.439999999944121,1437620.449999999953434,1478450.619999999878928,1498178.200000000186265,10326027.289999999105930
FS( 41 ),1451821.359999999869615,1505527.719999999972060,1379874.960000000195578,1566228.219999999972060,1431067.399999999906868,1485959.379999999888241,1479705.520000000251457,10300187.559999998658895
FS( 42 ),1472023.919999999692664,1510392.800000000046566,1376637.939999999944121,1570681.000000000000000,1434811.999999999767169,1492037.899999999906868,1472209.360000000102445,10328797.919999999925494
FS( 43 ),1453301.719999999739230,1531179.959999999962747,1393808.219999999972060,1566891.399999999906868,1429195.099999999860302,1487210.839999999850988,1474351.120000000111759,10335941.359999999403954
FS( 44 ),1463925.479999999981374,1513046.480000000214204,1384237.899999999906868,1541595.820000000065193,1431691.500000000000000,1502675.309999999823049,1475689.719999999972060,10312865.210000000894070
FS( 45 ),1502153.599999999860302,1524545.760000000009313,1388319.360000000102445,1557512.139999999897555,1434499.949999999720603,1507591.760000000009313,1491485.200000000186265,10406110.769999999552965
FS( 46 ),1517392.599999999860302,1521892.079999999841675,1416467.360000000102445,1555901.560000000055879,1418897.449999999720603,1520285.139999999897555,1500319.959999999962747,10451159.149999998509884
FS( 47 ),1522269.079999999841675,1521449.800000000046566,1430119.139999999897555,1550596.120000000111759,1433563.799999999813735,1526542.439999999944121,1476492.880000000121072,10461036.259999999776483
FS( 48 ),1534721.520000000018626,1525872.600000000093132,1424067.320000000065193,1554290.980000000214204,1441052.999999999767169,1520553.309999999823049,1492823.800000000046566,10493385.530000001192093
FS( 49 ),1531586.639999999897555,1505970.000000000000000,1445178.320000000065193,1546901.260000000009313,1442613.249999999767169,1492842.409999999916181,1502729.440000000176951,10467824.319999998435378
FS( 50 ),1521049.959999999729916,1503316.320000000065193,1474733.719999999972060,1554859.420000000158325,1452286.799999999813735,1480238.419999999925494,1501658.560000000055879,10488146.200000001117587
FS( 51 ),1514954.359999999869615,1501547.200000000186265,1474170.760000000009313,1566607.179999999934807,1457903.699999999720603,1496149.839999999850988,1496839.600000000093132,10508175.639999998733401
FS( 52 ),1492052.319999999832362,1505527.719999999972060,1452074.580000000074506,1592281.719999999972060,1480059.249999999767169,1502764.699999999953434,1498713.639999999897555,10523476.929999999701977
FS( 53 ),1472372.239999999990687,1508623.680000000167638,1459393.060000000055879,1567744.060000000055879,1460712.149999999906868,1495702.889999999897555,1516115.440000000176951,10480666.520000001415610
FS( 54 ),1489962.399999999906868,1586907.240000000223517,1458126.399999999906868,1586976.280000000027940,1452598.849999999860302,1502585.919999999925494,1532178.639999999897555,10609338.730000000447035
FS( 55 ),1481689.799999999813735,1587791.800000000046566,1455874.560000000055879,1589250.040000000037253,1426386.649999999906868,1490339.489999999990687,1584651.760000000009313,10615987.099999999627471
FS( 56 ),1480209.439999999711290,1614328.600000000093132,1446163.500000000000000,1614924.579999999841675,1418585.399999999906868,1492216.679999999934807,1586258.080000000074506,10652689.279999999329448
FS( 57 ),1507726.719999999739230,1620962.800000000046566,1449682.000000000000000,1637756.920000000158325,1428571.000000000000000,1504463.110000000102445,1590006.160000000149012,10739171.709999999031425
FS( 58 ),1523575.280000000027940,1612117.200000000186265,1446022.760000000009313,1630177.719999999972060,1430443.300000000046566,1511167.360000000102445,1581439.120000000111759,10734945.739999998360872
FS( 59 ),1523662.359999999869615,1613886.320000000065193,1444615.360000000102445,1632735.700000000186265,1431691.500000000000000,1511703.699999999953434,1588132.120000000111759,10746430.059999998658895
FS( 60 ),1515999.319999999832362,1630692.959999999962747,1446726.460000000195578,1650073.120000000111759,1432315.599999999860302,1510362.850000000093132,1596431.440000000176951,10782604.750000000000000
FS( 61 ),1507117.159999999916181,1668729.040000000037253,1455452.339999999850988,1672905.459999999962747,1430131.249999999767169,1531637.669999999925494,1595092.840000000083819,10861068.759999999776483
FS( 62 ),1475855.439999999711290,1657672.040000000037253,1481207.760000000009313,1679347.780000000027940,1419833.599999999860302,1523503.179999999934807,1615975.000000000000000,10853397.799999998882413
FS( 63 ),1496493.399999999906868,1649711.000000000000000,1475296.679999999934807,1703695.959999999962747,1428258.949999999953434,1537269.239999999990687,1617581.320000000065193,10908309.550000000745058
