代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11788422.580000000074506
真實報酬,1788422.580000000074506

夏普值報酬,0.170142258000000
夏普值風險,0.057151312007968
夏普值,2.977049030410333

二次趨勢線,622.790106129106107 x^2 + -7195.583616695386809 x + 10000000.000000000000000
二次加權預期報酬,44703.591894063458312
風險,169123.002313548728125
二次加權趨勢值,0.264325912398270
一次趨勢線,21995.834237788018072 x + 10000000.000000000000000
一次預期報酬,21995.834237788018072
一次風險,321153.052141386608128
一次趨勢值,0.068490192109725
找到最佳解世代,1425
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),HD[9](2),MSFT[18](4),
Stock#,AAPL[0](1),HD[9](2),MSFT[18](4),
張數,58851,93791,128254,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,12.359999999869615,0.859999999869615,11.540000000037253,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3340983.629999999888241,3375538.950000000186265,3335898.080000000074506,10052421.660000000149012
FS( 3 ),3388652.939999999944121,3418682.810000000055879,3402590.160000000149012,10209926.910000000149012
FS( 4 ),3365112.540000000037253,3413055.350000000093132,3366679.040000000037253,10144847.929999999701977
FS( 5 ),3360404.459999999962747,3502156.800000000279397,3437218.740000000223517,10299781.000000000000000
FS( 6 ),3415135.890000000130385,3558431.399999999441206,3483390.180000000167638,10456958.469999998807907
FS( 7 ),3323328.329999999608845,3485274.419999999459833,3360266.339999999850988,10168870.089999999850988
FS( 8 ),3238582.890000000130385,3489026.060000000055879,3370526.660000000149012,10098136.609999999403954
FS( 9 ),3233874.810000000055879,3569686.320000000298023,3451326.680000000167638,10254888.810000000521541
FS( 10 ),3188559.540000000037253,3587506.609999999869615,3432088.580000000074506,10208155.730000000447035
FS( 11 ),3269185.409999999683350,3570624.229999999981374,3429523.500000000000000,10269334.140000000596046
FS( 12 ),3235051.829999999608845,3549052.300000000279397,3343593.320000000298023,10127698.449999999254942
FS( 13 ),3173258.279999999795109,3528418.279999999795109,3275618.699999999720603,9977296.259999999776483
FS( 14 ),3152071.919999999925494,3552803.939999999944121,3244837.740000000223517,9949714.599999999627471
FS( 15 ),3102637.079999999608845,3475895.320000000298023,3206361.540000000037253,9784894.940000001341105
FS( 16 ),3165607.649999999906868,3479646.959999999962747,3179428.199999999720603,9824683.809999998658895
FS( 17 ),3085570.290000000037253,3425248.180000000167638,3138386.919999999925494,9649206.390000000596046
FS( 18 ),3056733.299999999813735,3420558.629999999888241,3116583.740000000223517,9593876.669999999925494
FS( 19 ),3162076.589999999850988,3498405.159999999683350,3189688.520000000018626,9850171.269999999552965
FS( 20 ),3137359.169999999925494,3654098.219999999739230,3185840.899999999906868,9977299.289999999105930
FS( 21 ),3213276.959999999962747,3678483.879999999888241,3280748.859999999869615,10172510.699999999254942
FS( 22 ),3261534.779999999795109,3689738.800000000279397,3242272.660000000149012,10193547.240000000223517
FS( 23 ),3276247.529999999795109,3746013.399999999441206,3234577.419999999925494,10256839.349999999627471
FS( 24 ),3303907.500000000000000,3773212.789999999571592,3296139.339999999850988,10373260.629999998956919
FS( 25 ),3286840.709999999962747,3781653.979999999981374,3291009.180000000167638,10359504.869999999180436
FS( 26 ),3270950.939999999944121,3820108.289999999571592,3283313.940000000409782,10374374.169999999925494
FS( 27 ),3284486.669999999925494,3743199.669999999459833,3257663.139999999664724,10285350.480000000447035
FS( 28 ),3309204.089999999850988,3773212.789999999571592,3296139.339999999850988,10378557.219999998807907
FS( 29 ),3294491.339999999850988,3756330.409999999683350,3271771.080000000074506,10322593.830000000074506
FS( 30 ),3268596.899999999906868,3705683.269999999552965,3303834.580000000074506,10278115.750000000000000
FS( 31 ),3196210.169999999925494,3670980.600000000093132,3282031.399999999906868,10149223.169999999925494
FS( 32 ),3185616.990000000223517,3697242.080000000074506,3278183.779999999795109,10161043.849999999627471
FS( 33 ),3203272.290000000037253,3791033.080000000074506,3334615.540000000037253,10328921.910000000149012
FS( 34 ),3213276.959999999962747,3770399.060000000055879,3274336.160000000149012,10258013.179999999701977
FS( 35 ),3328624.919999999925494,3934533.310000000055879,3338463.160000000149012,10601622.390000000596046
FS( 36 ),3333333.000000000000000,3939222.859999999869615,3303834.580000000074506,10576391.439999999478459
FS( 37 ),3350988.299999999813735,3931719.580000000074506,3310247.279999999795109,10592956.160000000149012
FS( 38 ),3391006.979999999515712,3947664.050000000279397,3338463.160000000149012,10677135.189999999478459
FS( 39 ),3418078.439999999944121,3959856.879999999888241,3339745.699999999720603,10717682.019999999552965
FS( 40 ),3385121.879999999888241,3895141.089999999850988,3311529.820000000298023,10591793.789999999105930
FS( 41 ),3405719.729999999515712,3940160.769999999552965,3337180.620000000111759,10683062.119999999180436
FS( 42 ),3405131.219999999739230,3942974.500000000000000,3329485.380000000353903,10677592.099999999627471
FS( 43 ),3457508.609999999869615,3952353.600000000093132,3433371.120000000111759,10843234.330000000074506
FS( 44 ),3475752.419999999925494,4008628.200000000186265,3514171.139999999664724,10998552.759999999776483
FS( 45 ),3514594.079999999608845,4041455.050000000279397,3550082.259999999776483,11106132.390000000596046
FS( 46 ),3551081.700000000186265,4051772.060000000055879,3605231.479999999981374,11208086.240000000223517
FS( 47 ),3545785.109999999869615,4054585.789999999571592,3557777.500000000000000,11158149.399999998509884
FS( 48 ),3558143.819999999832362,4082723.089999999850988,3570602.899999999906868,11211470.810000000521541
FS( 49 ),3552258.719999999739230,4076157.719999999739230,3555212.419999999925494,11183629.859999999403954
FS( 50 ),3542842.560000000055879,4069592.350000000093132,3591123.540000000037253,11203559.449999999254942
FS( 51 ),3529306.829999999608845,4080847.269999999552965,3623187.040000000037253,11233342.140000000596046
FS( 52 ),3570502.529999999795109,4102419.200000000186265,3624469.580000000074506,11297392.310000000521541
FS( 53 ),3607578.659999999683350,4209340.939999999478459,3620621.959999999962747,11437542.559999998658895
FS( 54 ),3596396.969999999739230,4259050.169999999925494,3606514.020000000018626,11461962.160000000149012
FS( 55 ),3533426.399999999906868,4174638.269999999552965,3810437.880000000353903,11518503.550000000745058
FS( 56 ),3593454.419999999925494,4209340.939999999478459,3813002.959999999962747,11615799.320000000298023
FS( 57 ),3534603.419999999925494,4216844.220000000670552,3762983.899999999906868,11514432.540000000968575
FS( 58 ),3755294.669999999925494,4244981.519999999552965,3791199.779999999795109,11791476.969999998807907
FS( 59 ),3738227.879999999888241,4215906.310000000521541,3783504.540000000037253,11737639.730000000447035
