代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12755269.450000001117587
真實報酬,2755269.450000001117587

夏普值報酬,0.266826945000000
夏普值風險,0.073268546555409
夏普值,3.641766590773234

預期報酬,22997.246769692788803
風險,201328.037941976595903
趨勢值,0.114227739984833
找到最佳解世代,1784
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),DD[7](4),UNH[23](2),
Stock#,BA[2](1),DD[7](4),UNH[23](2),
張數,38827,73518,58264,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,35.050000000279397,26.879999999888241,49.560000000055879,
20130401,3310036.800000000279397,3284075.939999999944121,3435877.640000000130385,10029991.380000000819564
20130402,3264997.480000000447035,3240700.319999999832362,3597268.920000000391155,10102967.720000000670552
20130403,3275480.770000000484288,3245846.579999999608845,3593190.439999999944121,10114518.789999999105930
20130404,3298388.700000000186265,3290692.559999999590218,3614165.479999999981374,10203247.740000000223517
20130405,3345757.640000000130385,3234818.879999999888241,3618243.959999999962747,10198821.480000000447035
20130408,3368277.300000000279397,3212028.299999999813735,3606008.520000000018626,10186315.119999999180436
20130409,3386137.720000000204891,3291427.740000000223517,3622905.080000000074506,10300471.540000000968575
20130410,3409822.189999999944121,3332597.819999999832362,3636305.799999999813735,10378726.809999998658895
20130411,3437389.360000000335276,3335538.539999999571592,3669516.279999999795109,10442445.179999999701977
20130412,3451367.080000000074506,3323775.660000000149012,3672429.479999999981374,10447573.220000000670552
20130415,3369053.840000000316650,3159830.519999999552965,3588529.320000000298023,10117414.679999999701977
20130416,3373713.080000000074506,3169387.859999999869615,3659611.400000000372529,10202713.339999999850988
20130417,3365947.680000000167638,3172328.579999999608845,3614165.479999999981374,10152442.740000000223517
20130418,3343816.290000000502914,3159830.519999999552965,3477827.719999999739230,9981475.530000001192093
20130419,3415257.970000000204891,3198795.059999999590218,3498220.120000000111759,10112274.149999998509884
20130422,3375654.430000000167638,3244376.220000000204891,3450443.640000000130385,10070475.290000000968575
20130423,3423799.910000000614673,3314953.500000000000000,3410824.120000000111759,10149578.530000001192093
20130424,3526691.460000000428408,3367886.459999999962747,3425390.120000000111759,10319969.039999999105930
20130425,3559306.140000000130385,3556827.720000000204891,3457435.320000000298023,10573570.179999999701977
20130426,3605122.000000000000000,3498748.500000000000000,3465592.279999999795109,10569463.779999999329448
20130429,3568236.350000000558794,3545800.019999999552965,3496472.199999999720603,10610509.570000000298023
20130430,3549211.120000000111759,3550211.099999999627471,3491811.080000000074506,10591234.300000000745058
20130501,3540280.910000000614673,3470811.660000000149012,3479575.640000000130385,10490669.210000000894070
20130502,3580272.720000000204891,3467870.939999999944121,3465592.279999999795109,10513736.939999999478459
20130503,3639678.030000000260770,3555357.359999999869615,3432964.439999999944121,10628000.830000000074506
20130506,3657150.180000000167638,3560503.619999999646097,3507542.360000000335276,10725197.160000000149012
20130507,3680446.380000000353903,3616377.299999999813735,3525021.560000000055879,10821846.240000000223517
20130508,3651326.130000000353903,3613436.579999999608845,3642132.199999999720603,10906895.910000000149012
20130509,3673457.520000000484288,3656077.019999999552965,3613000.199999999720603,10942535.740000000223517
20130510,3659091.530000000260770,3607555.140000000130385,3665437.799999999813735,10932085.469999998807907
20130513,3679281.570000000298023,3596527.439999999944121,3635140.520000000018626,10910950.529999999329448
20130514,3731698.020000000484288,3656812.200000000186265,3596686.279999999795109,10985197.500000000000000
20130515,3767030.590000000316650,3700187.819999999832362,3589694.600000000093132,11056914.009999999776483
20130516,3749946.710000000428408,3675191.700000000186265,3620574.520000000018626,11045713.929999999701977
20130517,3840801.890000000130385,3750180.059999999590218,3661359.320000000298023,11252342.269999999552965
20130520,3833036.490000000223517,3728124.660000000149012,3645045.400000000372529,11206207.550000000745058
20130521,3834201.300000000279397,3745768.979999999981374,3663107.239999999757856,11243078.519999999552965
20130522,3802363.160000000614673,3676662.059999999590218,3628731.479999999981374,11107757.700000001117587
20130523,3873028.300000000279397,3675191.700000000186265,3633392.600000000093132,11181613.599999999627471
20130524,3882735.050000000279397,3672986.160000000149012,3615913.400000000372529,11171635.610000001266599
20130528,3887006.020000000484288,3668575.079999999608845,3690491.320000000298023,11246073.419999999925494
20130529,3847402.480000000447035,3658282.559999999590218,3691073.959999999962747,11196760.000000000000000
20130530,3903701.630000000353903,3643578.959999999962747,3767399.799999999813735,11314681.390000000596046
20130531,3844684.590000000316650,3607555.140000000130385,3649123.880000000353903,11101364.610000001266599
20130603,3911467.030000000260770,3595057.079999999608845,3659028.759999999776483,11165553.869999999180436
20130604,3867592.520000000484288,3624464.279999999795109,3633392.600000000093132,11125450.400000000372529
20130605,3824106.280000000260770,3523744.619999999646097,3597851.560000000055879,10945703.460000000894070
20130606,3873416.570000000298023,3548005.559999999590218,3607756.439999999944121,11029179.570000000298023
20130607,3979414.280000000260770,3596527.439999999944121,3645628.040000000037253,11221570.760000001639128
20130610,3969707.530000000260770,3594321.899999999906868,3710301.080000000074506,11274331.509999999776483
20130611,3950682.300000000279397,3559768.439999999944121,3724867.080000000074506,11235318.820000000298023
20130612,3916902.810000000055879,3537713.039999999571592,3719040.680000000167638,11173657.529999999329448
20130613,3966601.370000000111759,3627405.000000000000000,3737685.160000000614673,11331692.530000001192093
20130614,3953788.460000000428408,3560503.619999999646097,3717292.759999999776483,11231585.839999999850988
20130617,4000380.860000000335276,3574472.039999999571592,3750503.240000000223517,11325357.140000000596046
20130618,4041149.210000000428408,3624464.279999999795109,3826829.080000000540167,11492443.570000000298023
20130619,3970095.800000000279397,3570060.959999999962747,3802358.200000000186265,11342515.960000000894070
20130620,3868757.330000000074506,3475222.740000000223517,3717292.759999999776483,11061273.830000000074506
20130621,3881958.510000000242144,3416408.339999999850988,3723119.160000000149012,11021487.009999999776483
20130624,3799257.000000000000000,3387001.140000000130385,3766817.160000000614673,10953076.300000000745058
20130625,3831095.140000000130385,3402439.919999999925494,3713214.279999999795109,10946750.339999999850988
20130626,3911855.300000000279397,3371562.359999999869615,3774391.479999999981374,11057810.140000000596046
20130627,4005040.100000000558794,3387001.140000000130385,3850717.320000000298023,11242759.560000000521541
20130628,3977472.930000000167638,3367886.459999999962747,3815176.280000000260770,11160536.670000001788139
20130701,4008534.530000000260770,3402439.919999999925494,3823915.879999999888241,11234891.330000000074506
20130702,3939810.740000000223517,3396558.479999999981374,3802940.839999999850988,11139311.060000000521541
20130703,3994945.080000000074506,3395088.119999999646097,3818672.120000000577420,11208706.320000000298023
20130705,4045808.450000000186265,3422289.779999999795109,3855378.439999999944121,11323477.669999999925494
20130708,4052409.040000000502914,3464195.039999999571592,3936365.400000000372529,11452970.480000000447035
20130709,4064445.410000000614673,3561973.979999999981374,3960253.640000000130385,11586674.030000001192093
20130710,4096283.550000000279397,3537713.039999999571592,3943939.719999999739230,11577937.309999998658895
20130711,4149864.810000000055879,3580353.479999999981374,3982976.600000000093132,11713195.890000000596046
20130712,3955341.540000000502914,3572266.500000000000000,3962001.560000000055879,11489610.600000001490116
20130715,4102495.870000000111759,3601673.700000000186265,3939861.240000000223517,11644031.810000000521541
20130716,4046973.260000000242144,3556827.720000000204891,3898493.799999999813735,11502295.780000001192093
20130717,4068716.380000000353903,3636227.160000000149012,3858874.280000000260770,11563818.820000000298023
20130718,4178985.060000000055879,3620788.379999999888241,4110574.759999999776483,11910349.199999999254942
20130719,4152970.970000000204891,3629610.539999999571592,4163012.360000000335276,11945594.870000001043081
20130722,4149088.270000000484288,3621523.559999999590218,4205545.080000000074506,11976157.910000000149012
20130723,4185197.380000000353903,3617112.479999999981374,4235259.720000000670552,12037570.580000001937151
20130724,4152582.700000000186265,3598732.979999999981374,4225937.480000000447035,11977254.160000000149012
20130725,4142875.950000000186265,3663428.819999999832362,4231181.240000000223517,12037487.009999999776483
20130726,4100166.250000000000000,3633286.439999999944121,4207293.000000000000000,11940746.689999999478459
20130729,4069492.920000000391155,3664164.000000000000000,4241086.120000001043081,11974744.040000000968575
20130730,4105213.760000000242144,3670780.619999999646097,4210788.839999999850988,11986784.219999998807907
20130731,4080752.750000000000000,3668575.079999999608845,4244581.959999999031425,11993910.789999999105930
20130801,4142875.950000000186265,3706069.259999999776483,4262643.800000000745058,12111590.010000001639128
20130802,4189468.350000000558794,3792085.319999999832362,4210206.200000001117587,12191760.870000001043081
20130805,4173937.550000000279397,3819286.979999999981374,4273131.320000000298023,12266356.850000001490116
20130806,4156077.130000000353903,3775176.180000000167638,4267304.919999999925494,12198559.230000000447035
20130807,4132004.390000000130385,3799437.119999999646097,4248660.439999999478459,12180102.949999999254942
20130808,4109484.730000000447035,3864132.959999999962747,4263809.080000000074506,12237427.769999999552965
20130809,4089682.960000000428408,3982496.939999999944121,4249243.080000000074506,12321423.980000000447035
20130812,4047361.530000000260770,3923682.539999999571592,4217780.519999999552965,12188825.589999999850988
20130813,4124627.260000000242144,3965587.799999999813735,4273713.959999999031425,12363930.019999999552965
20130814,4044255.370000000111759,3952354.559999999590218,4223606.919999999925494,12220217.849999999627471
20130815,3988732.760000000242144,3889864.259999999776483,4160099.160000000614673,12038697.179999999701977
20130816,4017464.740000000223517,3861927.419999999925494,4161847.080000000540167,12041240.240000000223517
20130819,4065998.490000000223517,3834725.759999999776483,4178160.999999999534339,12078886.250000000000000
20130820,4062504.060000000055879,3868544.039999999571592,4221859.000000000000000,12152908.099999999627471
20130821,4034548.620000000111759,3888393.899999999906868,4186317.959999999497086,12109261.479999998584390
20130822,4082305.830000000074506,3893540.160000000149012,4193309.640000000130385,12169156.630000000819564
20130823,4095507.010000000242144,4056014.939999999944121,4226520.120000001043081,12378043.070000000298023
20130826,4097448.360000000335276,4046457.599999999627471,4217197.879999998956919,12361104.839999999850988
20130827,4007369.720000000204891,3932504.700000000186265,4167090.839999999850988,12106966.259999999776483
20130828,4009699.340000000316650,3920741.819999999832362,4168256.120000000577420,12098698.280000001192093
20130829,4074152.160000000614673,3928093.619999999646097,4220693.720000000670552,12222940.500000000000000
20130830,4034936.890000000130385,3915595.559999999590218,4179908.919999999925494,12130442.369999999180436
20130903,4077258.320000000298023,3920006.640000000130385,4227685.400000000372529,12224951.360000001266599
20130904,4130063.040000000502914,3955295.279999999795109,4273713.959999999031425,12359073.279999999329448
20130905,4140934.600000000558794,4021461.479999999981374,4313916.120000001043081,12476313.200000001117587
20130906,4118414.939999999944121,4036900.259999999776483,4315081.400000000372529,12470397.599999999627471
20130909,4161901.180000000167638,4063366.740000000223517,4326151.560000000521541,12551420.480000000447035
20130910,4199951.640000000596046,4186141.799999999813735,4348291.879999998956919,12734386.320000000298023
20130911,4241108.259999999776483,4172173.379999999888241,4380337.080000000074506,12793619.720000000670552
20130912,4263239.650000000372529,4068513.000000000000000,4354700.919999999925494,12686454.570000000298023
20130913,4322644.960000000894070,4174378.919999999925494,4339552.280000001192093,12836577.160000002011657
20130916,4491154.140000000596046,4167027.119999999646097,4376841.240000000223517,13035023.500000000000000
20130917,4547065.019999999552965,4157469.779999999795109,4329647.400000000372529,13034183.199999999254942
20130918,4597151.849999999627471,4278039.299999999813735,4255652.120000001043081,13130844.269999999552965
20130919,4622001.130000000819564,4251572.819999999366701,4127471.320000000298023,13001046.269999999552965
20130920,4528428.060000000521541,4156734.599999999627471,4111740.039999999571592,12796903.699999999254942
20130923,4562595.820000000298023,4108212.720000000204891,4184570.039999999571592,12855379.580000000074506
20130924,4620448.050000000745058,4094979.479999999981374,4213702.039999999105930,12929130.570000000298023
20130925,4601422.820000000298023,4172908.559999999590218,4193892.280000000260770,12968224.660000000149012
20130926,4635202.310000000521541,4186876.979999999981374,4204379.800000000745058,13026460.090000001713634
20130927,4610353.029999999329448,4085422.140000000130385,4194474.919999999925494,12890251.089999999850988
20130930,4562207.550000000745058,4020726.299999999813735,4172334.600000000093132,12755269.450000001117587
