代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11794474.040000000968575
真實報酬,1794474.040000000968575

夏普值報酬,0.170747404000000
夏普值風險,0.047163681146184
夏普值,3.620315459914313

預期報酬,14527.420114862452465
風險,108277.933729927826789
趨勢值,0.134167873493943
找到最佳解世代,2247
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,6
CAT[3](5),DD[7](3),MRK[17](9),MSFT[18](7),PG[21](22),V[25](4),
Stock#,CAT[3](5),DD[7](3),MRK[17](9),MSFT[18](7),PG[21](22),V[25](4),
張數,19984,30474,35006,50080,22048,34882,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,0.399999999906868,42.940000000176951,30.340000000083819,3.599999999860302,57.679999999934807,4.040000000037253,
20131001,1673860.239999999990687,1662704.380000000353903,1706222.780000000260770,1681689.999999999767169,1679233.359999999869615,1685153.460000000195578,10088868.220000000670552
20131002,1680055.279999999795109,1679465.080000000074506,1693270.560000000055879,1698717.199999999953434,1674162.320000000065193,1672944.760000000009313,10098619.199999999254942
20131003,1678056.879999999888241,1682512.480000000214204,1692920.500000000000000,1695712.399999999906868,1672178.000000000000000,1645039.159999999916181,10066423.419999999925494
20131004,1682653.199999999953434,1735537.240000000223517,1688369.719999999972060,1696714.000000000000000,1676146.639999999897555,1661084.879999999888241,10140509.679999999701977
20131007,1669263.919999999925494,1707805.900000000139698,1676467.680000000167638,1667667.599999999627471,1667988.880000000121072,1624807.600000000093132,10014005.580000000074506
20131008,1655674.799999999813735,1671846.580000000074506,1671566.840000000083819,1653144.399999999674037,1682981.519999999785796,1591669.700000000186265,9926887.839999999850988
20131009,1669064.079999999841675,1689216.760000000242144,1654763.960000000195578,1656149.199999999953434,1696651.280000000027940,1603180.760000000009313,9969030.040000000968575
20131010,1693244.719999999972060,1753212.160000000149012,1662465.280000000260770,1690704.399999999674037,1717376.399999999906868,1648527.359999999869615,10165534.319999998435378
