代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12145863.470000000670552
真實報酬,2145863.470000000670552

夏普值報酬,0.205886347000000
夏普值風險,0.057907156208901
夏普值,3.555456017512973

預期報酬,17498.344313606048672
風險,85480.240007233718643
趨勢值,0.204706307704860
找到最佳解世代,1653
找到最佳解實驗#,1
找到最佳解次數,33

stock[index](rank)
投資組合檔數,7
BA[2](5),CAT[3](1),MCD[15](6),MMM[16](9),PFE[20](22),UNH[23](2),V[25](3),
Stock#,BA[2](5),CAT[3](1),MCD[15](6),MMM[16](9),PFE[20](22),UNH[23](2),V[25](3),
張數,8077,15400,11022,7466,41758,8710,16074,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,72.779999999795109,67.000000000000000,9.579999999841675,101.219999999972060,29.820000000065193,43.900000000139698,74.619999999878928,
20170403,1426874.829999999841675,1421025.000000000000000,1428571.000000000000000,1424016.739999999990687,1429823.740000000223517,1442332.800000000279397,1436447.259999999776483,10009094.370000001043081
20170404,1443432.679999999701977,1449669.000000000000000,1425043.959999999729916,1420059.760000000009313,1433999.540000000270084,1436932.600000000093132,1427124.339999999850988,10036264.879999998956919
20170405,1430347.939999999944121,1451363.000000000000000,1437388.599999999860302,1420433.060000000055879,1427735.840000000083819,1440416.600000000093132,1431142.839999999850988,10038830.879999998956919
20170406,1432690.269999999785796,1475695.000000000000000,1434522.879999999888241,1417819.959999999962747,1424395.199999999953434,1440155.300000000279397,1432107.280000000027940,10057388.889999998733401
20170407,1444644.229999999748543,1471075.000000000000000,1432428.699999999953434,1418566.560000000055879,1423977.620000000111759,1446078.100000000325963,1426481.379999999888241,10063254.589999999850988
20170410,1434224.899999999906868,1496023.000000000000000,1432649.139999999664724,1416476.080000000074506,1421472.140000000130385,1441374.699999999953434,1428410.259999999776483,10070633.219999998807907
20170411,1442382.669999999692664,1495407.000000000000000,1446095.979999999748543,1419163.839999999850988,1416878.760000000009313,1444423.200000000186265,1428249.519999999785796,10092603.969999998807907
20170412,1422028.629999999888241,1460911.000000000000000,1446757.299999999813735,1416401.419999999925494,1416461.180000000167638,1442071.500000000232831,1425516.939999999944121,10030150.969999998807907
20170413,1418555.519999999785796,1433807.000000000000000,1441246.299999999813735,1408562.120000000111759,1414790.860000000102445,1436845.500000000232831,1428571.000000000000000,9982381.300000000745058
20170417,1446017.319999999832362,1449823.000000000000000,1447749.279999999795109,1421328.979999999981374,1419801.820000000065193,1456181.700000000186265,1443680.559999999823049,10084585.660000002011657
