代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12181838.699999999254942
真實報酬,2181838.699999999254942

夏普值報酬,0.209483870000000
夏普值風險,0.062129575443136
夏普值,3.371725438422323

預期報酬,19634.989877095398697
風險,250704.315556587709580
趨勢值,0.078319313464963
找到最佳解世代,1908
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),PG[21](2),
Stock#,MRK[17](1),PG[21](2),
張數,82372,64053,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,19.599999999627471,22.820000000298023,
20180702,4980230.719999999739230,5004483.709999999962747,9984714.429999999701977
20180703,5000823.719999999739230,4989751.520000000484288,9990575.240000000223517
20180705,5077429.679999999701977,5073660.950000000186265,10151090.629999998956919
20180706,5123558.000000000000000,5080066.250000000000000,10203624.250000000000000
20180709,5108731.040000000037253,4987189.400000000372529,10095920.440000001341105
20180710,5131795.199999999254942,5112733.280000000260770,10244528.480000000447035
20180711,5098846.399999999441206,5070458.299999999813735,10169304.699999999254942
20180712,5161449.119999999180436,5053163.990000000223517,10214613.109999999403954
20180713,5180394.679999999701977,5080066.250000000000000,10260460.929999999701977
20180716,5155683.080000000074506,5094157.910000000149012,10249840.990000000223517
20180717,5150740.759999999776483,5126184.410000000149012,10276925.169999999925494
20180718,5184513.279999999329448,5106327.980000000447035,10290841.259999999776483
20180719,5149093.319999999366701,5042915.510000000707805,10192008.830000000074506
20180720,5149917.040000000037253,5039712.860000000335276,10189629.900000000372529
20180723,5163920.279999999329448,5028823.850000000558794,10192744.129999998956919
20180724,5224051.839999999850988,5059569.290000000037253,10283621.129999998956919
20180725,5312189.879999998956919,5090314.730000000447035,10402504.609999999403954
20180726,5272651.320000000298023,5130027.590000000782311,10402678.910000000149012
20180727,5229817.879999999888241,5161413.560000000521541,10391231.440000001341105
20180730,5338548.919999999925494,5137073.420000000856817,10475622.339999999850988
20180731,5425863.240000000223517,5180629.459999999962747,10606492.699999999254942
20180801,5394561.879999998956919,5165897.270000000484288,10560459.149999998509884
20180802,5372321.439999999478459,5252368.820000000298023,10624690.259999999776483
20180803,5430805.560000000521541,5273506.310000000521541,10704311.870000001043081
20180806,5454693.439999999478459,5285676.379999999888241,10740369.820000000298023
20180807,5484347.359999999403954,5293362.740000000223517,10777710.099999999627471
20180808,5493408.279999999329448,5274787.370000000111759,10768195.649999998509884
20180809,5436571.599999999627471,5213937.020000000484288,10650508.620000001043081
20180810,5442337.639999998733401,5215858.610000000335276,10658196.250000000000000
20180813,5495879.439999999478459,5221623.379999999888241,10717502.820000000298023
20180814,5474462.719999998807907,5208172.250000000000000,10682634.969999998807907
20180815,5549421.240000000223517,5271584.719999999739230,10821005.960000000894070
20180816,5671331.799999998882413,5360618.390000000596046,11031950.189999999478459
20180817,5688629.919999999925494,5360618.390000000596046,11049248.310000000521541
20180820,5780062.839999999850988,5357415.740000000223517,11137478.580000000074506
20180821,5697690.839999999850988,5374069.520000000484288,11071760.359999999403954
20180822,5686982.480000000447035,5341402.490000000223517,11028384.970000000670552
20180823,5681216.439999999478459,5331794.540000000037253,11013010.980000000447035
20180824,5686982.480000000447035,5339480.900000000372529,11026463.380000000819564
20180827,5682863.879999998956919,5344605.140000000596046,11027469.019999999552965
20180828,5653209.959999999031425,5347167.260000000707805,11000377.219999998807907
20180829,5668036.919999999925494,5347807.790000000037253,11015844.710000000894070
20180830,5645796.480000000447035,5342683.549999999813735,10988480.030000001192093
20180831,5649915.080000000074506,5313219.170000000856817,10963134.250000000000000
20180904,5597197.000000000000000,5297205.920000000856817,10894402.920000001788139
20180905,5652386.240000000223517,5334997.190000000409782,10987383.429999999701977
20180906,5714988.959999999031425,5294003.270000000484288,11008992.230000000447035
20180907,5738876.839999999850988,5246604.049999999813735,10985480.890000000596046
20180910,5729815.919999999925494,5276708.959999999962747,11006524.879999998956919
20180911,5690277.359999999403954,5253009.350000000558794,10943286.710000000894070
20180912,5754527.519999999552965,5323467.650000000372529,11077995.169999999925494
20180913,5834428.359999999403954,5345245.670000000856817,11179674.030000001192093
20180914,5764412.160000000149012,5355494.150000000372529,11119906.310000000521541
20180917,5800655.839999999850988,5396488.070000000298023,11197143.910000000149012
20180918,5800655.839999999850988,5380474.820000000298023,11181130.660000000149012
20180919,5764412.160000000149012,5380474.820000000298023,11144886.980000000447035
20180920,5830309.759999999776483,5467586.900000000372529,11297896.660000000149012
20180921,5856668.799999998882413,5497051.280000000260770,11353720.079999998211861
20180924,5830309.759999999776483,5397769.129999999888241,11228078.890000000596046
20180925,5819601.400000000372529,5324108.180000000633299,11143709.580000001937151
20180926,5793242.359999999403954,5333075.600000000558794,11126317.960000000894070
20180927,5825367.439999999478459,5307454.400000000372529,11132821.839999999850988
20180928,5843489.279999999329448,5331154.010000000707805,11174643.289999999105930
20181001,5892088.759999999776483,5359337.330000000074506,11251426.089999999850988
20181002,5910210.599999999627471,5403533.900000000372529,11313744.500000000000000
20181003,5878909.240000000223517,5318343.410000000149012,11197252.650000000372529
20181004,5866553.439999999478459,5247244.580000000074506,11113798.019999999552965
20181005,5850902.759999999776483,5261976.770000000484288,11112879.530000001192093
20181008,5886322.719999998807907,5277990.020000000484288,11164312.739999998360872
20181009,5958810.080000000074506,5265179.420000000856817,11223989.500000000000000
20181010,5803127.000000000000000,5216499.140000000596046,11019626.140000000596046
20181011,5631793.240000000223517,5051882.930000000633299,10683676.170000001788139
20181012,5750408.919999999925494,5064053.000000000000000,10814461.919999999925494
20181015,5721578.719999998807907,5132589.709999999962747,10854168.429999999701977
20181016,5866553.439999999478459,5188956.350000000558794,11055509.789999999105930
20181017,5915976.639999998733401,5243401.400000000372529,11159378.039999999105930
20181018,5948101.719999998807907,5139635.540000000037253,11087737.259999997913837
20181019,5959633.799999998882413,5591849.719999999739230,11551483.519999999552965
20181022,5977755.639999998733401,5547012.620000000111759,11524768.259999997913837
20181023,5939040.799999998882413,5582882.299999999813735,11521923.099999997764826
20181024,5810540.480000000447035,5730204.200000000186265,11540744.679999999701977
20181025,5762764.719999998807907,5700739.820000000298023,11463504.539999999105930
20181026,5799008.400000000372529,5627719.400000000372529,11426727.800000000745058
20181029,5885499.000000000000000,5652059.540000000037253,11537558.539999999105930
20181030,6002467.240000000223517,5712909.890000000596046,11715377.130000000819564
20181031,6063422.519999999552965,5680242.860000000335276,11743665.379999998956919
20181101,6023060.240000000223517,5738531.090000000782311,11761591.330000001937151
20181102,5953044.039999999105930,5752622.750000000000000,11705666.789999999105930
20181105,6023060.240000000223517,5841656.420000000856817,11864716.660000000149012
20181106,6038710.919999999925494,5861512.850000000558794,11900223.769999999552965
20181107,6184509.359999999403954,5847421.190000000409782,12031930.550000000745058
