代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11794605.940000001341105
真實報酬,1794605.940000001341105

夏普值報酬,0.170760594000000
夏普值風險,0.054589010337095
夏普值,3.128113020286118

預期報酬,14963.774295940283992
風險,134071.704387739009690
趨勢值,0.111610233973491
找到最佳解世代,2448
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
TRV[22](4),WMT[28](3),
Stock#,TRV[22](4),WMT[28](3),
張數,84459,81699,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,27.200000000186265,21.200000000186265,
20120402,5010979.669999999925494,5013071.839999999850988,10024051.509999999776483
20120403,5006756.720000000670552,4955065.549999999813735,9961822.269999999552965
20120404,5001689.179999999701977,4923202.940000000409782,9924892.120000001043081
20120405,4972973.120000000111759,4956699.530000000260770,9929672.650000000372529
20120409,4902872.150000000372529,4912582.070000000298023,9815454.220000000670552
20120410,4877534.450000000186265,4896242.270000000484288,9773776.720000000670552
20120411,4913007.230000000447035,4885621.400000000372529,9798628.630000000819564
20120412,4991554.100000000558794,4913399.060000000521541,9904953.160000000149012
20120413,4908784.280000000260770,4883170.430000000633299,9791954.710000000894070
20120416,4996621.639999999664724,4949346.620000000111759,9945968.259999999776483
20120417,5066722.610000000335276,5054738.330000000074506,10121460.940000001341105
20120418,5022803.929999999701977,5070261.140000000596046,10093065.070000000298023
20120419,5211147.500000000000000,5044934.450000000186265,10256081.949999999254942
20120420,5299829.450000000186265,5102123.750000000000000,10401953.199999999254942
20120423,5313342.889999999664724,4864379.660000000149012,10177722.550000000745058
20120424,5352194.030000000260770,4719772.430000000633299,10071966.460000000894070
20120425,5386822.220000000670552,4686275.839999999850988,10073098.060000000521541
20120426,5470436.629999999888241,4816177.250000000000000,10286613.879999998956919
20120427,5406247.790000000968575,4822713.169999999925494,10228960.960000000894070
20120430,5432430.080000000074506,4812909.290000000037253,10245339.370000001043081
20120501,5456078.599999999627471,4825981.129999999888241,10282059.730000000447035
20120502,5467902.859999999403954,4821079.190000000409782,10288982.050000000745058
20120503,5468747.450000000186265,4819445.209999999962747,10288192.660000000149012
20120504,5447632.700000000186265,4795752.500000000000000,10243385.199999999254942
20120507,5455234.010000000707805,4835785.009999999776483,10291019.019999999552965
20120508,5438342.209999999962747,4824347.150000000372529,10262689.359999999403954
20120509,5398646.480000000447035,4822713.169999999925494,10221359.650000000372529
20120510,5459456.959999999962747,4835785.009999999776483,10295241.969999998807907
20120511,5457767.780000000260770,4854575.780000000260770,10312343.560000000521541
20120514,5445943.520000000484288,4825981.129999999888241,10271924.650000000372529
20120515,5418072.050000000745058,4848856.850000000558794,10266928.900000002235174
20120516,5372464.190000000409782,4835785.009999999776483,10208249.199999999254942
20120517,5295606.500000000000000,5039215.520000000484288,10334822.019999999552965
20120518,5251687.820000000298023,5100489.770000000484288,10352177.589999999850988
20120521,5295606.500000000000000,5150326.160000000149012,10445932.660000000149012
20120522,5305741.580000000074506,5206698.469999999739230,10512440.050000000745058
