代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13035426.099999999627471
真實報酬,3035426.099999999627471

夏普值報酬,0.294842610000000
夏普值風險,0.089136042538618
夏普值,3.307782145166024

預期報酬,29348.984741857748304
風險,272576.391235956747551
趨勢值,0.107672511947125
找到最佳解世代,1746
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](6),CSCO[4](1),INTC[11](7),NKE[19](3),
20171020,2603650.359999999869615,2546089.559999999590218,2654279.850000000093132,2558341.359999999869615,10362361.129999998956919
20171023,2579753.739999999757856,2553523.359999999869615,2680540.250000000000000,2587270.959999999962747,10401088.309999998658895
20171024,2615942.859999999869615,2570621.099999999627471,2688418.370000000111759,2575699.120000000111759,10450681.449999999254942
20171025,2541401.140000000130385,2549806.459999999497086,2677257.700000000186265,2648987.439999999944121,10417452.740000000223517
20171026,2549760.039999999571592,2547576.319999999832362,2714678.770000000018626,2739151.359999999869615,10551166.489999998360872
20171027,2522126.499999999534339,2559470.399999999441206,2914914.319999999832362,2698167.759999999776483,10694678.979999998584390
20171030,2549563.359999999869615,2530478.579999999608845,2912944.789999999571592,2664898.720000000204891,10657885.449999999254942
20171031,2537074.180000000167638,2538655.759999999310821,2986473.910000000149012,2651398.240000000223517,10713602.089999999850988
20171101,2542187.859999999869615,2573594.619999999180436,3066568.129999999888241,2655255.520000000018626,10837606.129999998956919
20171102,2582802.279999999795109,2543116.039999999571592,3092172.020000000018626,2657666.319999999832362,10875756.660000000149012
20171103,2574148.359999999869615,2562443.919999999459833,3042277.260000000242144,2686113.759999999776483,10864983.299999998882413
20171106,2596963.239999999757856,2557983.639999999199063,3065911.620000000111759,2702025.040000000037253,10922883.539999999105930
20171107,2617221.279999999795109,2557240.259999999310821,3071163.700000000186265,2659112.799999999813735,10904738.039999999105930
20171108,2611714.239999999757856,2564674.059999999590218,3065911.620000000111759,2688524.559999999590218,10930824.479999998584390
20171109,2583490.659999999683350,2531221.959999999497086,3039651.219999999739230,2706364.479999999981374,10860728.319999998435378
20171110,2565297.760000000242144,2526761.679999999701977,2992382.500000000000000,2704435.839999999850988,10788877.779999999329448
20171113,2580737.140000000130385,2523788.159999999683350,3003543.169999999925494,2695756.959999999962747,10803825.429999999701977
20171114,2574246.699999999720603,2530478.579999999608845,3010764.779999999795109,2699132.079999999608845,10814622.139999998733401
20171115,2585064.100000000093132,2535682.239999999757856,2984504.379999999888241,2730472.479999999981374,10835723.199999999254942
20171116,2593324.659999999683350,2667260.500000000000000,2996978.069999999832362,2759402.079999999608845,11016965.310000000521541
20171117,2579163.699999999720603,2668747.259999999310821,2930014.050000000279397,2853905.439999999944121,11031830.449999999254942
20171120,2602470.279999999795109,2713350.059999999590218,2929357.539999999571592,2856798.399999999906868,11101976.279999999329448
20171121,2625678.520000000018626,2724500.759999999310821,2950365.859999999869615,2863548.640000000130385,11164093.779999999329448
20171122,2607583.959999999497086,2709633.159999999683350,2931327.069999999832362,2848119.520000000018626,11096663.709999999031425
20171124,2614762.779999999795109,2712606.679999999701977,2937892.169999999925494,2860173.520000000018626,11125435.149999998509884
20171127,2611812.579999999608845,2740855.119999999180436,2920822.910000000149012,2875120.479999999981374,11148611.089999999850988
20171128,2635512.520000000018626,2804785.799999999348074,2936579.149999999906868,2872709.679999999701977,11249587.149999998509884
20171129,2648395.060000000055879,2786201.299999999348074,2885371.370000000111759,2910318.159999999683350,11230285.889999998733401
20171130,2722150.060000000055879,2772820.459999999497086,2943800.760000000242144,2913211.120000000111759,11351982.399999998509884
20171201,2668849.779999999795109,2795121.859999999869615,2933296.600000000093132,2887174.479999999981374,11284442.720000000670552
20171204,2733655.840000000316650,2804042.419999999459833,2920822.910000000149012,2897782.000000000000000,11356303.169999999925494
20171205,2709759.220000000204891,2773563.839999999850988,2851889.359999999869615,2913211.120000000111759,11248423.539999999105930
20171206,2736606.039999999571592,2780997.639999999199063,2852545.870000000111759,2879459.919999999925494,11249609.469999998807907
20171207,2772991.840000000316650,2780254.259999999310821,2828255.000000000000000,2921890.000000000000000,11303391.099999999627471
20171208,2811639.459999999497086,2795865.239999999757856,2845980.770000000018626,2955641.199999999720603,11409126.669999998062849
20171211,2784694.300000000279397,2821883.539999999571592,2866332.579999999608845,2985052.959999999962747,11457963.379999998956919
20171212,2851368.819999999832362,2818166.639999999199063,2844667.750000000000000,2997589.120000000111759,11511792.329999998211861
20171213,2870053.419999999459833,2836007.759999999310821,2845324.260000000242144,3100289.199999999720603,11651674.639999998733401
20171214,2890114.779999999795109,2817423.259999999310821,2840072.179999999701977,3111378.879999999888241,11658989.099999997764826
20171215,2890704.819999999832362,2838981.279999999329448,2925418.479999999981374,3123915.040000000037253,11779019.620000001043081
20171218,2912339.619999999646097,2860539.299999999348074,3037025.179999999701977,3124879.359999999869615,11934783.459999997168779
20171219,2923255.359999999869615,2847158.459999999497086,3088232.959999999962747,3097396.239999999757856,11956043.019999999552965
20171220,2929647.459999999497086,2879867.179999999701977,3122371.479999999981374,3066055.839999999850988,11997941.959999999031425
20171221,2901423.879999999422580,2864256.199999999720603,3069850.679999999701977,3122950.719999999739230,11958481.479999996721745
20171222,2902112.260000000242144,2865742.959999999497086,3065911.620000000111759,3051591.040000000037253,11885357.879999998956919
20171226,2904669.100000000093132,2860539.299999999348074,3025208.000000000000000,3068948.799999999813735,11859365.199999999254942
20171227,2907225.939999999944121,2866486.339999999850988,3027177.529999999795109,3035197.600000000093132,11836087.409999998286366
20171228,2914404.760000000242144,2868716.479999999981374,3034399.139999999664724,3035197.600000000093132,11852717.979999998584390
20171229,2900243.800000000279397,2847158.459999999497086,3030460.079999999608845,3015911.199999999720603,11793773.539999999105930
20180102,2919223.419999999459833,2888787.739999999757856,3075759.270000000018626,3061234.240000000223517,11945004.669999999925494
20180103,2928664.060000000055879,2911832.519999999552965,2971374.179999999701977,3060752.079999999608845,11872622.839999999850988
20180104,2917551.640000000130385,2898451.679999999701977,2916883.850000000093132,3058823.439999999944121,11791710.609999999403954
20180105,3037231.419999999459833,2938594.199999999720603,2937235.660000000149012,3084860.079999999608845,11997921.359999999403954
20180108,3050113.959999999497086,2969072.779999999329448,2937235.660000000149012,3112343.199999999720603,12068765.599999997764826
20180109,3131539.479999999981374,2950488.279999999329448,2863706.539999999571592,3090163.839999999850988,12035898.139999998733401
20180110,3149535.699999999720603,2966842.639999999199063,2790177.419999999925494,3096431.919999999925494,12002987.679999997839332
20180111,3226830.939999999944121,2980966.859999999869615,2849919.829999999608845,3099807.040000000037253,12157524.669999998062849
20180112,3306387.999999999534339,3038207.119999999180436,2838759.160000000149012,3118129.120000000111759,12301483.399999998509884
20180116,3296062.300000000279397,3013675.579999999608845,2832194.060000000055879,3057859.120000000111759,12199791.059999998658895
20180117,3451931.199999999720603,3062738.659999999683350,2914257.810000000055879,3076663.359999999869615,12505591.029999999329448
20180118,3345232.300000000279397,3070172.459999999497086,2920166.399999999906868,3091128.159999999683350,12426699.320000000298023
20180119,3321335.680000000167638,3069429.079999999608845,2942487.739999999757856,3240597.759999999776483,12573850.259999999776483
20180122,3323990.859999999869615,3096934.139999999199063,3003543.169999999925494,3201060.640000000130385,12625528.809999998658895
20180123,3300290.919999999459833,3129642.859999999869615,3023894.979999999981374,3237222.640000000130385,12691051.400000000372529
20180124,3291440.319999999832362,3134846.519999999552965,2987786.929999999701977,3278688.399999999906868,12692762.169999999925494
20180125,3374242.600000000093132,3114775.259999999310821,2974000.219999999739230,3264705.759999999776483,12727723.839999997988343
20180126,3375324.340000000316650,3163838.339999999850988,3287812.000000000000000,3280617.040000000037253,13107591.719999998807907
20180129,3351722.739999999757856,3185396.359999999869615,3281246.899999999906868,3258437.679999999701977,13076803.679999999701977
20180130,3321138.999999999534339,3140793.559999999590218,3203122.209999999962747,3246383.679999999701977,12911438.449999999254942
20180131,3484973.439999999944121,3088013.579999999608845,3160449.060000000055879,3289295.919999999925494,13022732.000000000000000
20180201,3510246.819999999832362,3099907.659999999683350,3128280.069999999832362,3261812.800000000279397,13000247.349999999627471
20180202,3431279.800000000279397,3042667.399999999441206,3029803.569999999832362,3241079.919999999925494,12744830.689999999478459
20180205,3234304.779999999795109,2882840.699999999720603,2922792.439999999944121,3104628.640000000130385,12144566.560000000521541
20180206,3352607.800000000279397,2986170.519999999552965,2948396.329999999608845,3144647.919999999925494,12431822.570000000298023
20180207,3423510.939999999944121,2998807.979999999981374,2967435.120000000111759,3164416.479999999515712,12554170.519999999552965
20180208,3241975.300000000279397,2882097.319999999832362,2806590.169999999925494,3013018.240000000223517,11943681.029999999329448
20180209,3273149.079999999608845,2938594.199999999720603,2885371.370000000111759,3157666.239999999757856,12254780.889999998733401
20180212,3381028.060000000055879,3018135.859999999869615,2943144.250000000000000,3181292.080000000074506,12523600.250000000000000
20180213,3374734.300000000279397,3064968.799999999348074,2918853.379999999888241,3175988.320000000298023,12534544.800000000745058
20180214,3391353.760000000242144,3128899.479999999981374,2979252.300000000279397,3276759.759999999776483,12776265.300000000745058
20180215,3505526.499999999534339,3276832.099999999627471,3014703.839999999850988,3292671.040000000037253,13089733.480000000447035
20180216,3491562.220000000204891,3295416.599999999627471,2991069.479999999981374,3293153.199999999720603,13071201.500000000000000
20180220,3474942.760000000242144,3275345.339999999850988,3040964.239999999757856,3254098.239999999757856,13045350.580000000074506
20180221,3465305.439999999944121,3219591.839999999850988,3016016.859999999869615,3232883.199999999720603,12933797.339999997988343
20180222,3500216.140000000130385,3192086.779999999329448,3006825.719999999739230,3236740.479999999515712,12935869.120000001043081
20180223,3507493.300000000279397,3270885.059999999590218,3133532.149999999906868,3286402.959999999962747,13198313.469999998807907
20180226,3574561.180000000167638,3371984.739999999757856,3224130.529999999795109,3358244.800000000279397,13528921.250000000000000
20180227,3585968.619999999646097,3348196.579999999608845,3276651.329999999608845,3280134.879999999888241,13490951.410000000149012
20180228,3562071.999999999534339,3328868.699999999720603,3235947.709999999962747,3231918.879999999888241,13358807.289999999105930
20180301,3438950.319999999832362,3256017.459999999497086,3140753.760000000242144,3197685.519999999552965,13033407.059999998658895
20180302,3389583.640000000130385,3275345.339999999850988,3215595.899999999906868,3176952.640000000130385,13057477.520000001415610
20180305,3469042.359999999869615,3309540.819999999832362,3266147.169999999925494,3136451.199999999720603,13181181.549999998882413
20180306,3431378.140000000130385,3292443.079999999608845,3329172.129999999888241,3145612.239999999757856,13198605.589999999850988
20180307,3412890.220000000204891,3285752.659999999683350,3369219.239999999757856,3094021.120000000111759,13161883.239999998360872
20180308,3429509.680000000167638,3296159.979999999981374,3331141.660000000149012,3139344.159999999683350,13196155.480000000447035
20180309,3486448.539999999571592,3372728.119999999180436,3426335.609999999869615,3196721.199999999720603,13482233.469999996945262
20180312,3384863.319999999832362,3386108.959999999497086,3382349.439999999944121,3221793.519999999552965,13375115.239999998360872
20180313,3330579.640000000130385,3357117.139999999199063,3399418.700000000186265,3190453.120000000111759,13277568.600000001490116
20180314,3247875.699999999720603,3366037.699999999720603,3404670.779999999795109,3191899.600000000093132,13210483.779999999329448
20180315,3245122.180000000167638,3369754.599999999627471,3340332.800000000279397,3201060.640000000130385,13156270.220000000670552
20180316,3249940.840000000316650,3345966.439999999478459,3359371.589999999850988,3177916.959999999962747,13133195.829999998211861
20180319,3262626.699999999720603,3290956.319999999832362,3337050.250000000000000,3168273.759999999776483,13058907.029999999329448
20180320,3320352.279999999795109,3298390.119999999180436,3384318.969999999739230,3220829.199999999720603,13223890.569999996572733
20180321,3315140.260000000242144,3293929.839999999850988,3384975.479999999981374,3199131.999999999534339,13193177.580000000074506
20180322,3143143.600000000093132,3201750.719999999739230,3337050.250000000000000,3106075.120000000111759,12788019.690000001341105
20180323,3156812.859999999869615,3153431.019999999552965,3240543.279999999795109,3116200.479999999515712,12666987.639999996870756
20180326,3235189.840000000316650,3275345.339999999850988,3445374.399999999906868,3177434.800000000279397,13133344.380000000819564
20180327,3157992.939999999944121,3172758.899999999441206,3360684.609999999869615,3190453.120000000111759,12881889.570000000298023
20180328,3147175.539999999571592,3096934.139999999199063,3256299.520000000018626,3155255.439999999944121,12655664.639999998733401
20180329,3224470.779999999795109,3188369.879999999422580,3419114.000000000000000,3203471.439999999944121,13035426.099999999627471
