代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12158482.359999999403954
真實報酬,2158482.359999999403954

夏普值報酬,0.207148236000000
夏普值風險,0.055615666888076
夏普值,3.724638174650965

預期報酬,16729.541334052231832
風險,88953.570996266571456
趨勢值,0.188070486060131
找到最佳解世代,1811
找到最佳解實驗#,1
找到最佳解次數,34

stock[index](rank)
投資組合檔數,9
AAPL[0](5),DIS[6](9),HD[9](7),NKE[19](3),PFE[20](11),UNH[23](6),V[25](1),VZ[26](10),XOM[29](12),
Stock#,AAPL[0](5),DIS[6](9),HD[9](7),NKE[19](3),PFE[20](11),UNH[23](6),V[25](1),VZ[26](10),XOM[29](12),
張數,6622,11062,6233,16723,31307,5192,9288,23235,14892,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,71.840000000083819,43.719999999972060,141.079999999841675,34.880000000121072,25.569999999832362,23.000000000000000,80.439999999944121,13.300000000046566,18.880000000121072,
20180402,1103826.800000000046566,1091420.639999999897555,1077826.779999999795109,1072313.640000000130385,1097335.919999999692664,1127725.399999999906868,1099686.760000000009313,1095775.899999999906868,1090411.120000000111759,9856323.960000000894070
20180403,1115150.419999999925494,1099827.760000000009313,1083187.159999999683350,1115458.980000000214204,1117059.329999999841675,1166042.360000000102445,1107210.040000000037253,1103675.800000000046566,1117216.719999999972060,10024829.570000000298023
20180404,1136473.260000000242144,1116752.620000000111759,1106124.599999999860302,1144222.540000000037253,1131147.479999999981374,1187900.679999999934807,1112875.719999999972060,1113666.850000000093132,1114982.920000000158325,10164147.669999999925494
20180405,1144353.440000000176951,1129584.540000000037253,1116658.369999999878928,1163788.450000000186265,1118624.679999999701977,1189354.439999999944121,1125693.159999999916181,1120869.700000000186265,1132108.719999999972060,10241036.500000001862645
20180406,1115084.199999999953434,1110115.419999999925494,1087487.929999999701977,1129673.530000000027940,1101092.759999999776483,1162823.320000000065193,1093278.040000000037253,1103211.099999999860302,1114982.920000000158325,10017750.220000000670552
20180409,1126142.940000000176951,1102925.120000000111759,1075395.909999999683350,1123486.020000000251457,1110171.789999999804422,1156437.159999999916181,1103401.959999999962747,1090199.500000000000000,1114982.920000000158325,10003144.320000000298023
20180410,1147333.340000000083819,1121398.659999999916181,1081504.250000000000000,1120475.880000000121072,1125512.219999999972060,1177516.679999999934807,1121327.800000000046566,1121566.750000000232831,1147745.320000000065193,10164381.900000000372529
20180411,1141969.520000000018626,1115093.319999999832362,1077577.459999999962747,1117632.970000000204891,1120503.099999999860302,1152127.800000000046566,1112597.079999999841675,1105534.600000000093132,1153106.440000000176951,10096143.289999999105930
20180412,1153226.919999999925494,1110557.899999999906868,1080693.959999999962747,1133352.590000000083819,1137095.809999999823049,1164277.080000000074506,1124578.599999999860302,1109252.200000000186265,1149979.120000000111759,10163015.179999999701977
20180413,1157133.899999999906868,1110115.419999999925494,1077203.479999999981374,1124656.630000000121072,1137095.809999999823049,1164484.760000000009313,1121606.439999999944121,1107393.399999999906868,1159212.160000000149012,10158903.000000000000000
20180416,1164351.880000000121072,1108898.599999999860302,1087363.269999999785796,1121479.260000000242144,1143670.279999999795109,1195844.439999999944121,1132101.879999999888241,1124354.949999999953434,1169636.560000000288710,10247702.119999999180436
20180417,1180377.120000000111759,1130248.260000000009313,1090355.109999999869615,1129004.610000000102445,1137408.879999999888241,1238574.600000000093132,1149934.839999999850988,1135043.050000000046566,1166509.239999999990687,10357456.710000000894070
20180418,1177728.320000000065193,1119628.739999999990687,1121146.129999999888241,1107097.480000000214204,1142418.000000000000000,1227411.800000000046566,1149934.839999999850988,1129699.000000000000000,1179763.120000000111759,10354828.429999999701977
20180419,1144353.440000000176951,1116088.899999999906868,1103880.719999999972060,1099237.670000000158325,1143670.279999999795109,1224088.919999999925494,1151420.919999999925494,1125284.350000000093132,1182741.520000000251457,10290767.719999998807907
20180420,1097469.680000000167638,1108898.599999999860302,1103444.409999999683350,1105257.950000000186265,1146800.979999999981374,1220454.520000000018626,1153650.040000000037253,1112969.800000000046566,1176486.880000000121072,10225433.860000001266599
20180423,1094291.120000000111759,1107903.020000000018626,1107495.859999999869615,1118469.120000000111759,1152123.169999999692664,1216716.280000000027940,1156064.919999999925494,1130628.399999999906868,1184975.320000000065193,10268668.210000000894070
20180424,1079060.520000000018626,1100270.239999999990687,1098769.659999999683350,1119974.190000000176951,1160262.989999999990687,1216093.239999999990687,1126436.199999999953434,1154095.750000000000000,1166807.080000000074506,10221770.869999999180436
20180425,1083762.140000000130385,1118965.020000000018626,1105812.949999999720603,1114957.290000000037253,1148366.329999999841675,1216093.239999999990687,1125878.919999999925494,1164086.800000000046566,1183932.880000000121072,10261856.570000002160668
20180426,1087536.680000000167638,1104473.800000000046566,1157733.839999999850988,1138035.030000000027940,1153688.519999999785796,1230682.760000000009313,1180399.479999999981374,1156186.899999999906868,1204186.000000000000000,10412924.009999999776483
20180427,1074954.880000000121072,1097725.979999999981374,1162346.259999999776483,1163286.760000000242144,1158384.569999999832362,1247037.560000000055879,1170461.320000000065193,1198242.250000000000000,1158467.560000000288710,10430908.140000002458692
20180430,1094423.560000000055879,1109894.179999999934807,1151999.479999999981374,1143720.850000000093132,1146174.839999999850988,1227411.800000000046566,1178541.879999999888241,1146660.550000000046566,1157871.880000000121072,10356700.020000001415610
20180501,1119852.040000000037253,1106907.439999999944121,1150939.869999999878928,1138871.179999999934807,1108293.369999999878928,1229748.199999999953434,1184393.320000000065193,1134346.000000000000000,1145958.280000000260770,10319310.699999999254942
