代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11781984.490000000223517
真實報酬,1781984.490000000223517

夏普值報酬,0.169498449000000
夏普值風險,0.058775387470721
夏普值,2.883833800065311

二次趨勢線,213.405733662360745 x^2 + -11979.442406955198749 x + 10000000.000000000000000
二次加權預期報酬,24014.991337429648411
風險,119253.531633753722417
二次加權趨勢值,0.201377611282687
一次趨勢線,8267.110261414953129 x + 10000000.000000000000000
一次預期報酬,8267.110261414953129
一次風險,400694.694475418014918
一次趨勢值,0.020631943410776
找到最佳解世代,1687
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MRK[17](3),VZ[26](2),WMT[28](1),
Stock#,MRK[17](3),VZ[26](2),WMT[28](1),
張數,86288,88183,53607,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,27.559999999590218,15.600000000093132,49.740000000223517,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3316938.279999999329448,3312169.080000000074506,3320467.320000000298023,9949575.679999999701977
FS( 3 ),3310898.119999999180436,3336860.320000000298023,3325291.950000000186265,9973051.390000000596046
FS( 4 ),3313486.759999999310821,3363315.220000000204891,3317250.900000000372529,9994053.879999998956919
FS( 5 ),3333333.000000000000000,3343914.960000000428408,3307065.570000000298023,9984314.530000001192093
FS( 6 ),3315212.519999999552965,3343914.960000000428408,3303313.080000000074506,9962441.560000000521541
FS( 7 ),3291914.759999999310821,3343914.960000000428408,3321539.460000000428408,9957370.179999999701977
FS( 8 ),3271205.639999999199063,3323632.870000000111759,3318323.040000000037253,9913162.550000000745058
FS( 9 ),3288463.239999999757856,3362433.390000000130385,3312426.270000000018626,9963323.900000000372529
FS( 10 ),3297092.039999999571592,3354496.919999999925494,3335477.280000000260770,9987067.239999998360872
FS( 11 ),3280697.319999999832362,3335978.489999999757856,3310818.060000000055879,9927494.869999999180436
FS( 12 ),3291051.879999999422580,3355378.750000000000000,3325828.020000000018626,9972259.649999998509884
FS( 13 ),3327292.839999999850988,3391533.780000000260770,3349415.100000000093132,10068242.720000000670552
FS( 14 ),3290189.000000000000000,3394179.270000000484288,3220222.230000000447035,9904591.500000000000000
FS( 15 ),3297954.919999999459833,3369488.030000000260770,3141419.940000000409782,9808863.890000000596046
FS( 16 ),3322978.439999999478459,3362433.390000000130385,3138203.520000000018626,9823616.349999999627471
FS( 17 ),3296229.159999999683350,3363315.220000000204891,3151605.270000000018626,9811150.650000000372529
FS( 18 ),3291914.759999999310821,3362433.390000000130385,3133914.960000000428408,9788264.109999999403954
FS( 19 ),3311761.000000000000000,3364197.049999999813735,3159110.250000000000000,9835069.300000000745058
FS( 20 ),3293640.519999999552965,3360669.729999999981374,3167151.300000000279397,9821462.550000000745058
FS( 21 ),3260851.079999999608845,3388888.290000000037253,3153213.480000000447035,9802953.849999999627471
FS( 22 ),3272931.399999999441206,3410052.210000000428408,3163398.810000000055879,9846383.419999999925494
FS( 23 ),3317801.159999999683350,3439152.600000000093132,3184305.540000000037253,9941260.300000000745058
FS( 24 ),3230650.279999999329448,3411815.870000000111759,3161254.530000000260770,9803721.679999999701977
FS( 25 ),3219432.839999999850988,3427688.810000000055879,3208964.760000000242144,9856087.410000000149012
FS( 26 ),3227198.759999999310821,3458552.859999999869615,3204140.130000000353903,9889892.750000000000000
FS( 27 ),3244456.359999999869615,3447970.900000000372529,3220758.300000000279397,9913186.560000000521541
FS( 28 ),3287600.359999999869615,3467371.160000000149012,3252922.500000000000000,10007895.019999999552965
FS( 29 ),3303132.199999999720603,3481480.439999999944121,3270076.740000000223517,10054690.379999998956919
FS( 30 ),3297954.919999999459833,3480598.609999999869615,3274365.300000000279397,10052919.830000000074506
FS( 31 ),3284148.839999999850988,3486771.419999999925494,3282406.350000000093132,10053327.609999999403954
FS( 32 ),3281560.199999999720603,3489416.910000000149012,3261499.620000000577420,10032477.730000000447035
FS( 33 ),3269479.879999999422580,3496471.549999999813735,3256138.920000000391155,10022091.349999999627471
FS( 34 ),3258262.439999999478459,3494707.890000000130385,3248633.940000000409782,10001605.269999999552965
FS( 35 ),3253085.159999999683350,3507935.340000000316650,3246489.660000000149012,10007511.160000000149012
FS( 36 ),3244456.359999999869615,3497353.379999999888241,3251314.290000000037253,9993125.030000001192093
FS( 37 ),3279834.439999999478459,3476189.460000000428408,3256674.990000000223517,10012699.890000000596046
FS( 38 ),3335921.639999999199063,3468252.989999999757856,3280798.140000000596046,10084973.769999999552965
FS( 39 ),3348001.959999999497086,3409170.379999999888241,3274901.370000000577420,10032074.710000000894070
FS( 40 ),3305720.839999999850988,3373897.179999999701977,3280262.070000000298023,9959881.089999999850988
FS( 41 ),3279834.439999999478459,3357142.410000000149012,3260427.480000000447035,9897405.330000000074506
FS( 42 ),3313486.759999999310821,3371251.689999999944121,3280798.140000000596046,9965537.589999999850988
FS( 43 ),3322978.439999999478459,3396824.760000000242144,3289375.260000000242144,10009179.459999999031425
FS( 44 ),3341098.919999999459833,3391533.780000000260770,3251314.290000000037253,9983947.989999998360872
FS( 45 ),3357493.639999999199063,3385360.970000000204891,3230407.560000000055879,9973263.169999999925494
FS( 46 ),3354905.000000000000000,3320987.379999999888241,3252386.430000000167638,9928279.810000000521541
FS( 47 ),3341961.799999999348074,3303350.780000000260770,3223438.650000000372529,9868752.230000000447035
FS( 48 ),3317801.159999999683350,3245150.000000000000000,3212717.250000000000000,9775669.410000000149012
FS( 49 ),3320389.799999999348074,3296296.140000000130385,3205748.339999999850988,9822435.279999999329448
FS( 50 ),3302269.319999999832362,3311287.250000000000000,3223974.720000000204891,9837532.290000000968575
FS( 51 ),3259988.199999999720603,3285714.179999999701977,3204140.130000000353903,9749843.509999999776483
FS( 52 ),3274657.159999999683350,3300705.290000000037253,3247561.800000000279397,9822925.250000000000000
FS( 53 ),3322978.439999999478459,3328042.020000000484288,3316714.830000000074506,9967736.289999999105930
FS( 54 ),3313486.759999999310821,3320987.379999999888241,3326900.160000000149012,9961375.299999998882413
