代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11095516.500000000000000
真實報酬,1095516.500000000000000

夏普值報酬,0.100851650000000
夏普值風險,0.062232164994402
夏普值,1.620571130846443

二次趨勢線,300.685176940039298 x^2 + -25746.524674161519215 x + 10000000.000000000000000
二次加權預期報酬,25369.955405645163410
風險,192017.373805195296882
二次加權趨勢值,0.132123228762536
一次趨勢線,3006.053186646019640 x + 10000000.000000000000000
一次預期報酬,3006.053186646019640
一次風險,580229.700056211207993
一次趨勢值,0.005180798546429
找到最佳解世代,1983
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](6),MCD[15](5),UNH[23](2),VZ[26](3),WBA[27](8),
Stock#,AAPL[0](6),MCD[15](5),UNH[23](2),VZ[26](3),WBA[27](8),
張數,52562,28003,66093,73046,56148,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,15.900000000139698,25.739999999990687,25.819999999832362,0.520000000018626,8.240000000223517,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1942181.800000000279397,1978157.659999999916181,1949108.389999999664724,1963477.000000000000000,1972487.480000000447035,9805412.330000000074506
FS( 3 ),1922208.240000000223517,1978717.719999999972060,1982815.819999999832362,1958363.780000000027940,2006176.280000000027940,9848281.839999999850988
FS( 4 ),1849147.060000000055879,1943994.000000000000000,1932585.139999999664724,1913075.260000000009313,1946097.919999999925494,9584899.379999998956919
FS( 5 ),1770829.679999999934807,1904509.770000000018626,1918044.679999999701977,1925493.080000000074506,1957889.000000000000000,9476766.210000000894070
FS( 6 ),1906965.260000000242144,1976477.479999999981374,1974884.659999999683350,1953981.020000000018626,1997192.600000000325963,9809501.019999999552965
FS( 7 ),1926413.199999999953434,1973677.180000000167638,1972901.869999999878928,1939371.820000000065193,2030881.400000000372529,9843245.470000000670552
FS( 8 ),1967937.179999999934807,1978997.750000000000000,2003965.579999999841675,1959824.699999999953434,2053340.600000000325963,9964065.810000000521541
FS( 9 ),1940079.320000000065193,1974237.239999999990687,1994712.559999999823049,1959094.239999999990687,2013475.520000000251457,9881598.880000000819564
FS( 10 ),1905914.020000000018626,1948754.510000000009313,2008592.089999999850988,1947406.880000000121072,1986524.480000000447035,9797191.980000000447035
FS( 11 ),1909067.740000000223517,1964156.159999999916181,2011896.739999999990687,1957633.320000000065193,2005053.320000000298023,9847807.280000001192093
FS( 12 ),1894876.000000000000000,1960795.799999999813735,1994712.559999999823049,1940832.739999999990687,1976417.840000000316650,9767634.939999999478459
FS( 13 ),1864915.659999999916181,1943433.940000000176951,1982154.889999999664724,1947406.880000000121072,1954520.120000000344589,9692431.490000000223517
FS( 14 ),1785547.040000000037253,1894708.719999999972060,1914079.099999999860302,1895544.219999999972060,1836609.320000000298023,9326488.399999998509884
FS( 15 ),1819712.340000000083819,1900309.320000000065193,1896894.919999999692664,1909422.959999999962747,1858507.040000000270084,9384846.580000000074506
FS( 16 ),1852826.400000000139698,1894708.719999999972060,1905487.009999999776483,1877282.719999999972060,1838293.760000000242144,9368598.609999999403954
FS( 17 ),1841262.760000000242144,1899749.260000000009313,1908130.729999999981374,1871439.040000000037253,1847838.919999999925494,9368420.710000000894070
FS( 18 ),1832852.840000000083819,1848503.770000000018626,1902843.289999999804422,1839298.800000000046566,1792252.400000000372529,9215751.100000001490116
FS( 19 ),1902234.679999999934807,1881827.340000000083819,1937872.579999999841675,1883856.859999999869615,1815834.560000000521541,9421626.019999999552965
FS( 20 ),1929041.300000000279397,1872586.350000000093132,1921349.329999999841675,1879474.100000000093132,1798990.160000000149012,9401441.240000000223517
FS( 21 ),1958476.020000000018626,1858304.820000000065193,1915400.959999999962747,1858290.760000000009313,1797867.200000000419095,9388339.759999999776483
FS( 22 ),1982128.920000000158325,1897789.049999999813735,1976867.449999999953434,1883856.859999999869615,1842785.600000000325963,9583427.879999998956919
FS( 23 ),1975821.480000000214204,1900029.289999999804422,2013218.599999999860302,1887509.159999999916181,1816396.040000000270084,9592974.570000000298023
FS( 24 ),1922208.240000000223517,1867825.840000000083819,2005287.439999999711290,1858290.760000000009313,1731612.560000000288710,9385224.839999999850988
FS( 25 ),1884363.600000000325963,1869225.989999999990687,2013218.599999999860302,1849525.239999999990687,1684448.240000000223517,9300781.670000001788139
FS( 26 ),1872274.340000000083819,1914870.879999999888241,2041638.589999999850988,1890431.000000000000000,1718698.520000000251457,9437913.330000000074506
FS( 27 ),1826019.780000000260770,1911510.520000000018626,2017845.109999999869615,1897005.139999999897555,1674903.080000000074506,9327283.629999998956919
FS( 28 ),1881209.880000000121072,1942593.850000000093132,2029080.919999999692664,1935719.520000000018626,1682202.320000000298023,9470806.490000000223517
FS( 29 ),1903811.540000000037253,1947354.360000000102445,2027098.129999999888241,1950328.719999999972060,1655251.280000000260770,9483844.030000001192093
FS( 30 ),1909593.360000000102445,1940633.639999999897555,2021810.689999999711290,1955441.939999999944121,1658620.160000000149012,9486099.789999999105930
FS( 31 ),1950066.100000000325963,1971436.940000000176951,2061466.489999999990687,1988312.639999999897555,1694554.880000000121072,9665837.050000000745058
FS( 32 ),2006833.060000000055879,1968356.610000000102445,2074685.089999999850988,1992695.400000000139698,1641775.760000000242144,9684345.919999999925494
FS( 33 ),2041523.980000000214204,1961635.889999999897555,2081955.319999999832362,1986851.719999999972060,1643460.200000000186265,9715427.109999999403954
FS( 34 ),2057818.199999999953434,1956875.379999999888241,2070719.509999999776483,1989043.100000000093132,1689501.560000000288710,9763957.750000000000000
FS( 35 ),2028909.100000000325963,1957995.500000000000000,2058822.769999999785796,1984660.340000000083819,1692308.960000000195578,9722696.669999999925494
FS( 36 ),2056241.340000000083819,1922151.659999999916181,2025115.339999999850988,1984660.340000000083819,1581697.400000000372529,9569866.080000000074506
FS( 37 ),2034690.920000000158325,1921871.629999999888241,1996695.349999999860302,2002921.840000000083819,1579451.480000000214204,9535631.219999998807907
FS( 38 ),2019973.560000000055879,1896668.930000000167638,1966953.500000000000000,1978086.199999999953434,1549131.560000000288710,9410813.750000000000000
FS( 39 ),2002628.100000000325963,1887988.000000000000000,1974884.659999999683350,1949598.260000000009313,1512073.880000000121072,9327172.900000000372529
FS( 40 ),2014717.360000000102445,1885467.729999999981374,1929280.489999999990687,1960555.159999999916181,1510389.440000000176951,9300410.179999999701977
FS( 41 ),1923785.100000000325963,1861105.119999999878928,1892268.409999999683350,1954711.480000000214204,1487368.760000000242144,9119238.870000001043081
FS( 42 ),1888568.560000000055879,1844583.350000000093132,1877067.019999999785796,1913805.719999999972060,1499159.840000000083819,9023184.490000000223517
FS( 43 ),1865966.900000000139698,1868105.869999999878928,1840715.869999999878928,1921110.320000000065193,1491299.120000000111759,8987198.080000000074506
FS( 44 ),1854403.260000000242144,1852144.159999999916181,1870457.719999999972060,1958363.780000000027940,1480069.520000000251457,9015438.439999999478459
