代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12142192.069999998435378
真實報酬,2142192.069999998435378

夏普值報酬,0.205519207000000
夏普值風險,0.053099746121835
夏普值,3.870436715995671

二次趨勢線,67.101607404755043 x^2 + 7988.491697461156946 x + 10000000.000000000000000
二次加權預期報酬,19127.358526650492422
風險,150618.969550555280875
二次加權趨勢值,0.126991696887359
一次趨勢線,14254.003232242512240 x + 10000000.000000000000000
一次預期報酬,14254.003232242512240
一次風險,190423.630175325699383
一次趨勢值,0.074854172347826
找到最佳解世代,3615
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,3
AXP[1](6),CAT[3](2),MRK[17](1),
Stock#,AXP[1](6),CAT[3](2),MRK[17](1),
張數,46021,40399,70606,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,31.969999999739230,11.509999999776483,23.739999999757856,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3366007.909999999683350,3374943.970000000204891,3366517.819999999832362,10107470.699999999254942
FS( 3 ),3396381.769999999552965,3351108.560000000055879,3354514.799999999813735,10102006.129999998956919
FS( 4 ),3375672.319999999366701,3368884.119999999646097,3353102.679999999701977,10097660.119999999180436
FS( 5 ),3389938.829999999608845,3457761.919999999925494,3370754.179999999701977,10218455.929999999701977
FS( 6 ),3433198.569999999366701,3498968.899999999906868,3387699.619999999646097,10319868.089999997988343
FS( 7 ),3459890.750000000000000,3519976.379999999422580,3398996.579999999608845,10378864.709999999031425
FS( 8 ),3464953.060000000055879,3508260.669999999925494,3378520.839999999850988,10351735.570000000298023
FS( 9 ),3465413.269999999552965,3515128.500000000000000,3374284.479999999515712,10354827.250000000000000
FS( 10 ),3479219.569999999366701,3521996.330000000074506,3402526.879999999422580,10403743.779999999329448
FS( 11 ),3539967.290000000037253,3517552.439999999478459,3389817.799999999813735,10447338.529999999329448
