代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12026040.830000000074506
真實報酬,2026040.830000000074506

夏普值報酬,0.193904083000000
夏普值風險,0.067197002996165
夏普值,2.885606118639943

二次趨勢線,59.369326687196036 x^2 + 12531.838191287153677 x + 10000000.000000000000000
二次加權預期報酬,22466.305523611288663
風險,163269.158352551196003
二次加權趨勢值,0.137602874604763
一次趨勢線,18119.887366526290862 x + 10000000.000000000000000
一次預期報酬,18119.887366526290862
一次風險,193981.464711177599384
一次趨勢值,0.093410405955565
找到最佳解世代,1607
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
BA[2](11),MCD[15](9),MMM[16](2),MRK[17](1),MSFT[18](6),NKE[19](23),UNH[23](7),
Stock#,BA[2](11),MCD[15](9),MMM[16](2),MRK[17](1),MSFT[18](6),NKE[19](23),UNH[23](7),
張數,32623,25912,19802,47587,59948,100887,52213,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,9.830000000074506,42.439999999944121,54.719999999972060,9.260000000009313,10.160000000149012,11.080000000074506,23.320000000065193,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1440641.510000000009313,1425461.559999999823049,1426392.780000000027940,1420005.340000000083819,1424974.120000000111759,1451775.010000000242144,1406119.410000000149012,9995372.730000000447035
FS( 3 ),1436400.520000000018626,1427534.520000000018626,1422432.379999999888241,1409060.330000000074506,1427372.040000000037253,1438659.699999999953434,1366959.660000000149012,9928422.150000000372529
FS( 4 ),1485008.790000000270084,1421056.520000000018626,1433719.520000000018626,1397163.580000000074506,1406390.240000000223517,1453792.750000000000000,1356517.060000000055879,9953651.460000000894070
FS( 5 ),1523177.699999999953434,1430384.840000000083819,1443620.520000000018626,1432377.959999999962747,1412385.040000000037253,1464890.320000000065193,1384189.950000000186265,10091029.330000001937151
FS( 6 ),1493164.540000000270084,1458110.679999999934807,1404214.539999999804422,1456171.459999999962747,1403992.320000000298023,1441686.310000000055879,1413429.229999999981374,10070772.080000000074506
