代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11700371.629999998956919
真實報酬,1700371.629999998956919

夏普值報酬,0.161337163000000
夏普值風險,0.052199059040566
夏普值,3.090805964042704

二次趨勢線,40.221547029492761 x^2 + 10006.082711679471686 x + 10000000.000000000000000
二次加權預期報酬,16790.116977320587466
風險,99576.187825328743202
二次加權趨勢值,0.168615783994191
一次趨勢線,13822.042369185070129 x + 10000000.000000000000000
一次預期報酬,13822.042369185070129
一次風險,122937.457509067156934
一次趨勢值,0.112431496870396
找到最佳解世代,2285
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),PFE[20](2),VZ[26](11),XOM[29](5),
Stock#,JNJ[12](1),PFE[20](2),VZ[26](11),XOM[29](5),
張數,23953,82863,49251,32769,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,25.389999999664724,23.290000000037253,19.240000000223517,52.989999999757856,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2477005.119999999646097,2497514.109999999869615,2458136.649999999906868,2444292.699999999720603,9876948.579999998211861
FS( 3 ),2494490.809999999590218,2458568.500000000000000,2493104.859999999869615,2571764.109999999869615,10017928.279999999329448
FS( 4 ),2488742.089999999850988,2403050.290000000037253,2483747.170000000391155,2616002.259999999776483,9991541.810000000521541
FS( 5 ),2408260.009999999776483,2405536.180000000167638,2510342.709999999962747,2624194.509999999776483,9948333.410000000149012
FS( 6 ),2443231.389999999664724,2366590.569999999832362,2499014.980000000447035,2659585.029999999795109,9968421.969999998807907
FS( 7 ),2442512.799999999813735,2411336.590000000316650,2469956.890000000130385,2624194.509999999776483,9948000.790000000968575
FS( 8 ),2436764.079999999608845,2443653.159999999683350,2461584.220000000204891,2600273.139999999664724,9942274.599999997764826
FS( 9 ),2436045.489999999757856,2413822.479999999981374,2432526.130000000353903,2608465.389999999664724,9890859.489999998360872
