代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12471716.020000001415610
真實報酬,2471716.020000001415610

夏普值報酬,0.238471602000000
夏普值風險,0.067381820032353
夏普值,3.539108944897905

二次趨勢線,67.672609906308708 x^2 + 11319.846037036004418 x + 10000000.000000000000000
二次加權預期報酬,22824.189721108494268
風險,114323.369410976301879
二次加權趨勢值,0.199645880266691
一次趨勢線,17790.939840782768442 x + 10000000.000000000000000
一次預期報酬,17790.939840782768442
一次風險,168093.050746091583278
一次趨勢值,0.105839829557597
找到最佳解世代,2114
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),DIS[6](3),INTC[11](1),PG[21](20),
Stock#,AAPL[0](2),DIS[6](3),INTC[11](1),PG[21](20),
張數,33160,31462,102040,32266,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,67.600000000093132,29.479999999981374,20.000000000000000,30.319999999832362,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2516580.000000000000000,2570789.500000000000000,2511224.399999999906868,2531298.020000000018626,10129891.919999999925494
FS( 3 ),2521885.600000000093132,2601307.640000000130385,2500000.000000000000000,2510970.439999999478459,10134163.679999999701977
FS( 4 ),2514258.799999999813735,2622072.560000000055879,2513265.199999999720603,2518714.279999999795109,10168310.839999997988343
FS( 5 ),2512932.399999999906868,2586520.500000000000000,2514285.600000000093132,2529039.399999999906868,10142777.900000000372529
FS( 6 ),2515253.600000000093132,2578969.620000000111759,2534693.600000000093132,2533879.299999999813735,10162796.120000001043081
FS( 7 ),2539460.399999999906868,2550024.580000000074506,2523469.200000000186265,2547431.020000000018626,10160385.200000001117587
FS( 8 ),2542113.200000000186265,2560407.040000000037253,2526530.400000000372529,2556788.159999999683350,10185838.800000000745058
FS( 9 ),2513927.200000000186265,2514787.140000000130385,2507142.799999999813735,2555174.859999999869615,10091032.000000000000000
FS( 10 ),2485741.199999999720603,2519191.819999999832362,2500000.000000000000000,2548399.000000000000000,10053332.019999999552965
FS( 11 ),2495357.600000000093132,2560721.660000000149012,2520408.000000000000000,2576147.759999999776483,10152635.019999999552965
FS( 12 ),2517243.200000000186265,2579598.859999999869615,2532652.799999999813735,2573889.139999999664724,10203384.000000000000000
FS( 13 ),2516580.000000000000000,2533349.719999999739230,2553060.799999999813735,2541945.799999999813735,10144936.320000000298023
FS( 14 ),2504642.399999999906868,2542473.700000000186265,2594897.200000000186265,2527103.439999999478459,10169116.739999998360872
FS( 15 ),2524206.800000000279397,2528001.179999999701977,2568366.800000000279397,2512906.399999999906868,10133481.180000001564622
