代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11260752.130000000819564
真實報酬,1260752.130000000819564

夏普值報酬,0.117375213000000
夏普值風險,0.060583524460255
夏普值,1.937411433978265

二次趨勢線,360.811441807995379 x^2 + -33064.287959369852615 x + 10000000.000000000000000
二次加權預期報酬,25868.247535936061468
風險,177862.364517036854522
二次加權趨勢值,0.145439692124740
一次趨勢線,84.710994328805754 x + 10000000.000000000000000
一次預期報酬,84.710994328805754
一次風險,632088.591736722155474
一次趨勢值,0.000134017597274
找到最佳解世代,1811
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](7),DIS[6](10),MSFT[18](2),PG[21](4),
Stock#,AAPL[0](7),DIS[6](10),MSFT[18](2),PG[21](4),
張數,11250,21533,23602,27904,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,25.000000000000000,18.700000000186265,76.160000000149012,80.640000000130385,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2334175.000000000000000,2480189.640000000130385,2505664.479999999981374,2506138.880000000353903,9826168.000000001862645
FS( 3 ),2267912.500000000000000,2486003.550000000279397,2537527.180000000167638,2544925.440000000409782,9836368.670000001788139
FS( 4 ),2292437.500000000000000,2513135.129999999888241,2542483.600000000093132,2553575.680000000167638,9901631.910000000149012
FS( 5 ),2361962.500000000000000,2520456.350000000093132,2642556.080000000074506,2547436.800000000279397,10072411.730000000447035
FS( 6 ),2345537.500000000000000,2497846.700000000186265,2637599.660000000149012,2549390.080000000074506,10030373.940000001341105
FS( 7 ),2300312.500000000000000,2540912.700000000186265,2586147.299999999813735,2578689.280000000260770,10006061.780000001192093
FS( 8 ),2184437.500000000000000,2512919.800000000279397,2522421.900000000372529,2586781.440000000409782,9806560.640000000596046
FS( 9 ),2162612.500000000000000,2516149.750000000000000,2524074.040000000037253,2608267.520000000018626,9811103.810000000521541
FS( 10 ),2101525.000000000000000,2521963.660000000149012,2477578.100000000093132,2608825.600000000093132,9709892.359999999403954
FS( 11 ),2153387.500000000000000,2521748.330000000074506,2532098.720000000204891,2618312.959999999962747,9825547.510000001639128
FS( 12 ),2177237.500000000000000,2501937.970000000204891,2555936.740000000223517,2618033.919999999925494,9853146.130000000819564
FS( 13 ),2090950.000000000232831,2485357.560000000055879,2469317.400000000372529,2603244.800000000279397,9648869.760000001639128
FS( 14 ),1991050.000000000000000,2408915.410000000149012,2400635.580000000074506,2570039.040000000037253,9370640.030000001192093
FS( 15 ),1988800.000000000000000,2433893.690000000409782,2433678.380000000353903,2550785.280000000260770,9407157.350000001490116
FS( 16 ),1938287.500000000000000,2413437.340000000316650,2432734.299999999813735,2554412.800000000279397,9338871.939999999478459
FS( 17 ),1964500.000000000000000,2423557.850000000093132,2512981.100000000093132,2565574.399999999906868,9466613.349999999627471
FS( 18 ),1960225.000000000000000,2452627.400000000372529,2528794.439999999944121,2587339.520000000018626,9528986.359999999403954
FS( 19 ),2035600.000000000000000,2500000.000000000000000,2622730.400000000372529,2595431.680000000167638,9753762.080000000074506
FS( 20 ),2019962.500000000232831,2510981.830000000074506,2600780.540000000037253,2590129.919999999925494,9721854.789999999105930
FS( 21 ),2009050.000000000232831,2486864.870000000111759,2617301.939999999944121,2637287.680000000167638,9750504.490000000223517
FS( 22 ),2079250.000000000000000,2492248.120000000111759,2645624.340000000316650,2604081.919999999925494,9821204.380000000819564
FS( 23 ),1987787.500000000000000,2430448.410000000149012,2561365.200000000186265,2603802.880000000353903,9583403.990000000223517
FS( 24 ),1965625.000000000000000,2461886.590000000316650,2577178.540000000037253,2610499.839999999850988,9615189.969999998807907
FS( 25 ),1895537.500000000000000,2411284.040000000502914,2474037.799999999813735,2579805.440000000409782,9360664.780000001192093
FS( 26 ),1908025.000000000000000,2408700.080000000074506,2539415.340000000316650,2595989.760000000242144,9452130.179999999701977
FS( 27 ),1897112.500000000000000,2411068.709999999962747,2563017.340000000316650,2620545.280000000260770,9491743.830000001937151
FS( 28 ),1902400.000000000000000,2416236.629999999888241,2574582.320000000298023,2623893.760000000242144,9517112.710000000894070
FS( 29 ),1923212.499999999767169,2441645.570000000298023,2583315.060000000055879,2692537.600000000093132,9640710.730000000447035
FS( 30 ),1861675.000000000000000,2416021.300000000279397,2502596.220000000204891,2696723.200000000186265,9477015.720000002533197
FS( 31 ),1844350.000000000000000,2381999.160000000149012,2428485.939999999944121,2588734.720000000204891,9243569.820000000298023
FS( 32 ),1868312.500000000000000,2356805.550000000279397,2453976.100000000093132,2580921.600000000093132,9260015.750000000000000
FS( 33 ),1810037.499999999767169,2351852.959999999962747,2447367.540000000037253,2560551.680000000167638,9169809.679999999701977
FS( 34 ),1764362.500000000232831,2304049.700000000186265,2395915.180000000167638,2538786.560000000055879,9003113.940000001341105
FS( 35 ),1695737.500000000000000,2244187.959999999962747,2318500.620000000111759,2538507.520000000018626,8796933.599999999627471
FS( 36 ),1651862.500000000232831,2160855.250000000000000,2221732.419999999925494,2437774.080000000074506,8472224.250000000000000
FS( 37 ),1768187.499999999767169,2278856.090000000316650,2373493.280000000260770,2513952.000000000000000,8934488.870000001043081
FS( 38 ),1756712.500000000000000,2293713.859999999869615,2388126.520000000484288,2567806.720000000204891,9006359.600000001490116
FS( 39 ),1757612.500000000000000,2310509.600000000093132,2369480.939999999944121,2544367.360000000335276,8981970.400000000372529
FS( 40 ),1774600.000000000000000,2361112.150000000372529,2397331.299999999813735,2565016.320000000298023,9098059.769999999552965
FS( 41 ),1776624.999999999767169,2346469.709999999962747,2386710.400000000372529,2547157.760000000242144,9056962.870000001043081
FS( 42 ),1599662.500000000000000,2289622.590000000316650,2298910.960000000428408,2529299.200000000186265,8717495.250000000000000
FS( 43 ),1667950.000000000000000,2360250.830000000074506,2405828.020000000484288,2580921.600000000093132,9014950.450000001117587
FS( 44 ),1664237.500000000000000,2380707.180000000167638,2408896.280000000260770,2570597.120000000111759,9024438.080000001937151
FS( 45 ),1695962.500000000000000,2399225.560000000055879,2426361.760000000242144,2580084.479999999981374,9101634.300000000745058
FS( 46 ),1724762.500000000000000,2426141.810000000055879,2461056.700000000186265,2537949.440000000409782,9149910.449999999254942
FS( 47 ),1730275.000000000232831,2428941.100000000093132,2445243.359999999869615,2544088.320000000298023,9148547.780000001192093
FS( 48 ),1713287.500000000000000,2425711.150000000372529,2426361.760000000242144,2560830.720000000204891,9126191.130000000819564
FS( 49 ),1687525.000000000000000,2420758.560000000055879,2408660.260000000242144,2543530.240000000223517,9060474.060000000521541
FS( 50 ),1722062.500000000000000,2406546.780000000260770,2478522.180000000167638,2567527.680000000167638,9174659.140000000596046
FS( 51 ),1743100.000000000000000,2388243.729999999981374,2487254.919999999925494,2549669.120000000111759,9168267.769999999552965
FS( 52 ),1753450.000000000232831,2390397.030000000260770,2504720.400000000372529,2529299.200000000186265,9177866.630000000819564
FS( 53 ),1764250.000000000000000,2391043.020000000484288,2542247.580000000074506,2551064.320000000298023,9248604.920000001788139
FS( 54 ),1724650.000000000232831,2381568.500000000000000,2494335.520000000484288,2523718.399999999906868,9124272.419999999925494
FS( 55 ),1731624.999999999767169,2392765.660000000149012,2518645.580000000074506,2646496.000000000000000,9289532.240000000223517
FS( 56 ),1717899.999999999767169,2380491.850000000093132,2506608.560000000055879,2631427.839999999850988,9236428.250000000000000
FS( 57 ),1774825.000000000000000,2392119.670000000391155,2529502.500000000000000,2611895.040000000037253,9308342.210000000894070
FS( 58 ),1758400.000000000232831,2386090.430000000167638,2480174.320000000298023,2609662.720000000204891,9234327.470000000670552
FS( 59 ),1740175.000000000000000,2388028.400000000372529,2429666.040000000037253,2610220.800000000279397,9168090.240000000223517
FS( 60 ),1859087.500000000000000,2371447.990000000223517,2510856.919999999925494,2637566.720000000204891,9378959.130000000819564
FS( 61 ),1872475.000000000000000,2401378.859999999869615,2464833.020000000484288,2691979.520000000018626,9430666.400000000372529
FS( 62 ),1873375.000000000000000,2396641.600000000093132,2425889.720000000204891,2719883.520000000018626,9415789.839999999850988
FS( 63 ),1926587.500000000000000,2407408.100000000093132,2495751.640000000130385,2735509.760000000242144,9565257.000000000000000
FS( 64 ),1959550.000000000000000,2425926.479999999981374,2530682.600000000093132,2719046.399999999906868,9635205.480000000447035
FS( 65 ),1960225.000000000000000,2399010.229999999981374,2502596.220000000204891,2732440.320000000298023,9594271.770000001415610
FS( 66 ),1923100.000000000000000,2389105.050000000279397,2484658.700000000186265,2710675.200000000186265,9507538.950000001117587
FS( 67 ),1917137.500000000000000,2401163.530000000260770,2494099.500000000000000,2726580.479999999981374,9538981.009999999776483
FS( 68 ),1906112.500000000000000,2356590.220000000204891,2484186.660000000149012,2742206.720000000204891,9489096.100000001490116
FS( 69 ),1922537.499999999767169,2351422.300000000279397,2522893.939999999944121,2769831.680000000167638,9566685.419999999925494
FS( 70 ),1914550.000000000000000,2372955.300000000279397,2521005.780000000260770,2769273.600000000093132,9577784.680000001564622
FS( 71 ),1921525.000000000232831,2382860.479999999981374,2523129.960000000428408,2747508.479999999981374,9575023.920000001788139
FS( 72 ),1917249.999999999767169,2424419.170000000391155,2554284.600000000093132,2748066.560000000055879,9644020.330000000074506
FS( 73 ),1922987.500000000000000,2444229.530000000260770,2553104.500000000000000,2790201.600000000093132,9710523.130000000819564
FS( 74 ),1935362.500000000000000,2447890.140000000130385,2529030.460000000428408,2770389.760000000242144,9682672.860000001266599
FS( 75 ),1924450.000000000000000,2461025.270000000484288,2582370.979999999981374,2784341.760000000242144,9752188.009999999776483
FS( 76 ),1945937.500000000000000,2481696.950000000186265,2619190.100000000093132,2797456.640000000130385,9844281.190000001341105
FS( 77 ),1960112.500000000000000,2445952.170000000391155,2633823.340000000316650,2778481.919999999925494,9818369.929999999701977
FS( 78 ),1961237.500000000232831,2444014.200000000186265,2651996.880000000353903,2785736.959999999962747,9842985.539999999105930
FS( 79 ),1967312.500000000000000,2428510.440000000409782,2647512.500000000000000,2760065.280000000260770,9803400.720000000670552
FS( 80 ),1947962.500000000000000,2429802.420000000391155,2644208.220000000204891,2750019.839999999850988,9771992.980000000447035
FS( 81 ),1968437.500000000000000,2454996.030000000260770,2656009.220000000204891,2746950.399999999906868,9826393.150000000372529
FS( 82 ),1978337.500000000000000,2461886.590000000316650,2649636.680000000167638,2758949.120000000111759,9848809.890000000596046
FS( 83 ),1974737.500000000000000,2454780.700000000186265,2636419.560000000055879,2765088.000000000000000,9831025.759999999776483
FS( 84 ),1963375.000000000000000,2473083.750000000000000,2637599.660000000149012,2760623.360000000335276,9834681.769999999552965
FS( 85 ),1940650.000000000000000,2454996.030000000260770,2605500.939999999944121,2750019.839999999850988,9751166.810000000521541
FS( 86 ),1945262.500000000000000,2450689.430000000167638,2608333.180000000167638,2746113.280000000260770,9750398.390000000596046
FS( 87 ),2012650.000000000000000,2470930.450000000186265,2663089.820000000298023,2778760.959999999962747,9925431.230000000447035
FS( 88 ),2035262.500000000000000,2470499.790000000502914,2681735.400000000372529,2791875.839999999850988,9979373.530000001192093
FS( 89 ),2044262.500000000000000,2456718.670000000391155,2702505.160000000149012,2823407.360000000335276,10026893.690000001341105
FS( 90 ),2066987.500000000000000,2465116.540000000502914,2704629.340000000316650,2827313.919999999925494,10064047.300000000745058
FS( 91 ),2093875.000000000000000,2475452.379999999888241,2735783.979999999981374,2858566.399999999906868,10163677.759999999776483
FS( 92 ),2115250.000000000000000,2435831.660000000149012,2774963.299999999813735,2832615.680000000167638,10158660.640000000596046
FS( 93 ),2098487.500000000000000,2368648.700000000186265,2776851.460000000428408,2843498.240000000223517,10087485.900000000372529
FS( 94 ),2116825.000000000000000,2368433.370000000111759,2773783.200000000186265,2838475.520000000018626,10097517.089999999850988
FS( 95 ),2194787.500000000000000,2339794.479999999981374,2837508.600000000093132,2859961.600000000093132,10232052.179999999701977
FS( 96 ),2149337.500000000000000,2330535.290000000502914,2762690.260000000242144,2836801.280000000260770,10079364.330000001937151
FS( 97 ),2123350.000000000000000,2321060.770000000484288,2777087.479999999981374,2845172.479999999981374,10066670.730000000447035
FS( 98 ),2101412.500000000000000,2371663.320000000298023,2782987.979999999981374,2874750.720000000204891,10130814.520000001415610
FS( 99 ),2120312.500000000000000,2374677.940000000409782,2756081.700000000186265,2871402.240000000223517,10122474.380000000819564
FS( 100 ),2123125.000000000000000,2383937.129999999888241,2759858.020000000484288,2889539.839999999850988,10156459.990000000223517
FS( 101 ),2136962.500000000000000,2390827.690000000409782,2783696.040000000037253,2903491.839999999850988,10214978.070000000298023
FS( 102 ),2151475.000000000000000,2422696.530000000260770,2809186.200000000186265,2892051.200000000186265,10275408.929999999701977
FS( 103 ),2182750.000000000000000,2410853.379999999888241,2813198.540000000037253,2895120.640000000130385,10301922.560000000521541
FS( 104 ),2197712.500000000000000,2422911.859999999869615,2831608.100000000093132,2893446.399999999906868,10345678.859999999403954
FS( 105 ),2201537.500000000000000,2470930.450000000186265,2817210.880000000353903,2886191.360000000335276,10375870.190000001341105
FS( 106 ),2216275.000000000000000,2476313.700000000186265,2829719.939999999944121,2892330.240000000223517,10414638.880000000819564
FS( 107 ),2251150.000000000000000,2475452.379999999888241,2830664.020000000484288,2929163.520000000018626,10486429.919999999925494
FS( 108 ),2244400.000000000000000,2516365.080000000074506,2815322.720000000204891,2920513.280000000260770,10496601.080000001937151
FS( 109 ),2257000.000000000000000,2522824.979999999981374,2836800.540000000037253,2920234.240000000223517,10536859.760000001639128
FS( 110 ),2238212.500000000000000,2510766.500000000000000,2840104.820000000298023,2923024.640000000130385,10512108.460000000894070
FS( 111 ),2237312.500000000000000,2800600.680000000167638,2854738.060000000055879,2931674.880000000353903,10824326.120000001043081
FS( 112 ),2241362.500000000000000,2843236.020000000018626,2857098.260000000242144,2950370.560000000055879,10892067.339999999850988
FS( 113 ),2241587.500000000000000,2797155.400000000372529,2850489.700000000186265,2969624.320000000298023,10858856.920000001788139
FS( 114 ),2285237.500000000000000,2836991.450000000186265,2874091.700000000186265,2953719.040000000037253,10950039.690000001341105
FS( 115 ),2293450.000000000000000,2852064.549999999813735,2911854.900000000372529,2959299.839999999850988,11016669.289999999105930
FS( 116 ),2300987.500000000000000,2835484.140000000130385,2921059.680000000167638,2958183.680000000167638,11015715.000000000000000
FS( 117 ),2334175.000000000000000,2871659.580000000540167,2960711.040000000037253,2878657.280000000260770,11045202.900000000372529
FS( 118 ),2330575.000000000000000,2909127.000000000000000,2950562.180000000167638,2893446.399999999906868,11083710.580000000074506
FS( 119 ),2309425.000000000000000,2955207.620000000577420,3048274.460000000428408,2882005.760000000242144,11194912.840000001713634
FS( 120 ),2298400.000000000000000,3012916.060000000055879,3065739.939999999944121,2953998.080000000074506,11331054.080000000074506
FS( 121 ),2301887.500000000000000,2999565.600000000558794,3062907.700000000186265,2923861.760000000242144,11288222.560000000521541
FS( 122 ),2257562.500000000000000,2949393.709999999962747,3082497.359999999869615,2971298.560000000055879,11260752.130000000819564
