代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11444520.229999998584390
真實報酬,1444520.229999998584390

夏普值報酬,0.135752023000000
夏普值風險,0.053055704980267
夏普值,2.558669667107247

二次趨勢線,93.118906498632001 x^2 + 2060.282346940541174 x + 10000000.000000000000000
二次加權預期報酬,17890.496451707982487
風險,117471.634954328430467
二次加權趨勢值,0.152296309306188
一次趨勢線,10964.640841303838897 x + 10000000.000000000000000
一次預期報酬,10964.640841303838897
一次風險,206281.836412222008221
一次趨勢值,0.053153690271560
找到最佳解世代,1796
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](2),PFE[20](3),PG[21](6),TRV[22](1),WMT[28](11),
Stock#,HD[9](2),PFE[20](3),PG[21](6),TRV[22](1),WMT[28](11),
張數,38226,87796,31461,30959,33858,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,15.679999999934807,7.119999999878928,24.229999999981374,48.600000000093132,7.939999999944121,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2014908.139999999897555,1989464.479999999981374,2012899.009999999776483,2004334.260000000009313,1997968.519999999785796,10019574.410000000149012
FS( 3 ),2005733.899999999906868,1984196.719999999972060,2029573.340000000083819,2004643.850000000093132,1997291.360000000102445,10021439.169999999925494
FS( 4 ),1986238.639999999897555,1964881.599999999860302,2022337.310000000055879,1996904.100000000093132,1987472.540000000037253,9957834.190000001341105
FS( 5 ),1964449.820000000065193,1971027.319999999832362,2021393.479999999981374,1999690.410000000149012,2004062.959999999962747,9960623.989999998360872
FS( 6 ),1935015.799999999813735,1968393.439999999944121,2018561.989999999757856,1993498.610000000102445,1999322.839999999850988,9914792.679999999701977
FS( 7 ),1915520.539999999804422,1971027.319999999832362,2003146.100000000093132,1978947.880000000121072,1998645.679999999934807,9867287.519999999552965
FS( 8 ),1935015.799999999813735,2004389.799999999813735,2017932.770000000018626,2001238.360000000102445,2004062.959999999962747,9962639.689999999478459
FS( 9 ),1924312.520000000018626,1988586.519999999785796,2003460.709999999962747,2000619.180000000167638,2011850.300000000046566,9928829.230000000447035
FS( 10 ),1906728.560000000055879,1983318.759999999776483,2000314.609999999869615,1996284.920000000158325,2000000.000000000000000,9886646.849999999627471
FS( 11 ),1860475.100000000093132,1957857.919999999925494,2004719.149999999906868,1986068.450000000186265,2009480.239999999990687,9818600.859999999403954
FS( 12 ),1864297.699999999953434,1987708.559999999823049,2022651.920000000158325,1969350.590000000083819,2004062.959999999962747,9848071.730000000447035
FS( 13 ),1797402.199999999953434,1980684.879999999655411,2012269.790000000037253,1941177.900000000139698,2088369.379999999888241,9819904.149999998509884
FS( 14 ),1798548.979999999748543,1981562.839999999850988,1998426.950000000186265,1925079.219999999972060,2113762.879999999888241,9817380.869999999180436
FS( 15 ),1819955.539999999804422,1978928.959999999729916,1994337.020000000018626,1941177.900000000139698,2134416.259999999776483,9868815.679999999701977
FS( 16 ),1844802.439999999944121,1964003.639999999897555,1986786.379999999888241,1944892.980000000214204,2157778.279999999795109,9898263.720000000670552
FS( 17 ),1844802.439999999944121,1964003.639999999897555,1962876.020000000018626,1944892.980000000214204,2157778.279999999795109,9874353.359999999403954
FS( 18 ),1900230.139999999897555,1943810.559999999823049,1968539.000000000000000,1956347.810000000055879,2203147.999999999534339,9972075.509999999776483
FS( 19 ),1889909.119999999878928,1942932.599999999860302,1966022.120000000111759,1938082.000000000232831,2211273.919999999925494,9948219.759999999776483
FS( 20 ),1902905.959999999962747,1947322.399999999906868,1980494.180000000167638,1946750.520000000251457,2223801.380000000353903,10001274.440000001341105
FS( 21 ),1900230.139999999897555,1935030.959999999729916,1960673.750000000000000,1916101.110000000102445,2215675.459999999962747,9927711.419999999925494
FS( 22 ),1886086.520000000018626,1920105.639999999897555,1959729.919999999925494,1934676.510000000242144,2228541.499999999534339,9929140.089999999850988
FS( 23 ),1833334.639999999897555,1899912.559999999823049,1936448.779999999795109,1875544.820000000065193,2219399.839999999850988,9764640.640000000596046
FS( 24 ),1863915.439999999944121,1897278.679999999934807,1931729.629999999888241,1869353.020000000251457,2234297.359999999869615,9796574.130000000819564
