代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11815551.019999999552965
真實報酬,1815551.019999999552965

夏普值報酬,0.172855102000000
夏普值風險,0.056780231126518
夏普值,3.044283169873760

二次趨勢線,46.433840723285819 x^2 + 11071.633606624845925 x + 10000000.000000000000000
二次加權預期報酬,18841.562954321336292
風險,92028.491650138515979
二次加權趨勢值,0.204736192199592
一次趨勢線,15442.149491436157405 x + 10000000.000000000000000
一次預期報酬,15442.149491436157405
一次風險,123210.836233257359709
一次趨勢值,0.125331098818303
找到最佳解世代,2556
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
KO[14](8),MCD[15](1),PG[21](4),TRV[22](6),V[25](2),WMT[28](7),
Stock#,KO[14](8),MCD[15](1),PG[21](4),TRV[22](6),V[25](2),WMT[28](7),
張數,34223,9431,17099,13176,11892,17756,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,5.899999999906868,19.679999999934807,26.469999999972060,33.760000000009313,2.199999999953434,87.840000000083819,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1685488.649999999906868,1674493.729999999981374,1676241.439999999944121,1660736.800000000046566,1682720.199999999953434,1682823.959999999962747,10062508.780000001192093
FS( 3 ),1685830.879999999888241,1674682.349999999860302,1666153.030000000027940,1662581.440000000176951,1694968.959999999962747,1697561.439999999944121,10081782.099999999627471
FS( 4 ),1685830.879999999888241,1661573.260000000009313,1674360.550000000046566,1654280.560000000055879,1682601.280000000027940,1698271.680000000167638,10056922.210000000894070
FS( 5 ),1691306.560000000055879,1653085.359999999869615,1661023.330000000074506,1670223.520000000018626,1666903.839999999850988,1717625.720000000204891,10060172.330000000074506
FS( 6 ),1694044.399999999906868,1648086.929999999934807,1670769.759999999776483,1657442.800000000046566,1669401.159999999916181,1697206.320000000065193,10036955.369999999180436
FS( 7 ),1697808.929999999934807,1643465.739999999757856,1680345.199999999953434,1652567.679999999934807,1674395.800000000046566,1708215.040000000037253,10056802.390000000596046
FS( 8 ),1699520.079999999841675,1640730.750000000000000,1697273.209999999962747,1676811.520000000018626,1688547.280000000027940,1721887.160000000149012,10124774.000000000000000
FS( 9 ),1703969.069999999832362,1642428.330000000074506,1696931.229999999981374,1687088.799999999813735,1706385.280000000027940,1739110.479999999981374,10175917.189999999478459
FS( 10 ),1560232.469999999972060,1658649.649999999906868,1683594.009999999776483,1672463.440000000176951,1702460.919999999925494,1749408.959999999962747,10026813.449999999254942
FS( 11 ),1548254.419999999925494,1697316.750000000000000,1683935.989999999990687,1696312.000000000232831,1723271.919999999925494,1775510.280000000027940,10124605.359999999403954
FS( 12 ),1534222.989999999757856,1690526.429999999934807,1709755.479999999981374,1701055.359999999869615,1717682.679999999934807,1814751.040000000037253,10167997.980000000447035
FS( 13 ),1543463.199999999953434,1702220.870000000111759,1697615.189999999944121,1709488.000000000232831,1721131.359999999869615,1773557.120000000111759,10147479.739999998360872
FS( 14 ),1569472.679999999934807,1724100.790000000037253,1706164.689999999944121,1710542.079999999841675,1712450.199999999953434,1764856.680000000167638,10187591.119999999180436
FS( 15 ),1549623.339999999850988,1727495.949999999720603,1714201.219999999972060,1726353.280000000027940,1734688.239999999990687,1767697.640000000130385,10220063.669999999925494
FS( 16 ),1537987.519999999785796,1722214.590000000083819,1702573.899999999906868,1745722.000000000232831,1736947.719999999972060,1760062.560000000055879,10205512.290000000968575
FS( 17 ),1529431.769999999785796,1727873.189999999944121,1707019.639999999897555,1755999.280000000027940,1748601.879999999888241,1752427.479999999981374,10221357.240000000223517
FS( 18 ),1537987.519999999785796,1729287.840000000083819,1691288.559999999823049,1747434.880000000121072,1750742.439999999944121,1742129.000000000000000,10198874.240000000223517
FS( 19 ),1551676.719999999972060,1733814.719999999972060,1685132.919999999925494,1751255.919999999925494,1761445.239999999990687,1757754.280000000027940,10241083.799999998882413
FS( 20 ),1553045.639999999897555,1745226.229999999981374,1683252.030000000027940,1752837.040000000037253,1777499.439999999944121,1738932.920000000158325,10250797.300000000745058
FS( 21 ),1562285.849999999860302,1703163.969999999972060,1690604.600000000093132,1741242.160000000149012,1759542.520000000018626,1737512.439999999944121,10194355.539999999105930
FS( 22 ),1560574.699999999953434,1710331.529999999795109,1694366.380000000121072,1748357.199999999953434,1759423.599999999860302,1746212.880000000121072,10219270.290000000968575
FS( 23 ),1555441.250000000000000,1716744.609999999869615,1691630.540000000037253,1736630.560000000055879,1757758.719999999972060,1744792.400000000139698,10203002.080000001937151
