代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11072932.669999999925494
真實報酬,1072932.669999999925494

夏普值報酬,0.098593267000000
夏普值風險,0.053928439263416
夏普值,1.828224001039920

二次趨勢線,246.025214235691067 x^2 + -19570.996773837858200 x + 10000000.000000000000000
二次加權預期報酬,21269.188789286858082
風險,226738.561200614349218
二次加權趨勢值,0.093804903218329
一次趨勢線,3401.237085518847834 x + 10000000.000000000000000
一次預期報酬,3401.237085518847834
一次風險,483631.121575250814203
一次趨勢值,0.007032709298030
找到最佳解世代,1897
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
IBM[10](6),INTC[11](3),PG[21](7),
Stock#,IBM[10](6),INTC[11](3),PG[21](7),
張數,21786,71761,39839,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,75.000000000000000,34.549999999813735,3.870000000111759,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3349672.500000000000000,3451738.649999999906868,3360821.910000000149012,10162234.060000000521541
FS( 3 ),3338125.919999999925494,3499100.909999999683350,3307836.040000000037253,10145063.870000001043081
FS( 4 ),3296514.660000000149012,3453891.479999999981374,3263614.750000000000000,10014021.890000000596046
FS( 5 ),3246842.580000000074506,3374954.379999999888241,3272777.720000000204891,9894575.679999999701977
FS( 6 ),3232899.539999999571592,3374954.379999999888241,3282737.470000000204891,9890592.390000000596046
FS( 7 ),3207845.640000000130385,3340509.099999999627471,3274769.670000000391155,9823125.410000000149012
FS( 8 ),3108719.339999999850988,3214927.349999999627471,3244492.029999999795109,9568139.719999998807907
FS( 9 ),3028764.720000000204891,3174023.579999999608845,3142105.800000000279397,9344895.099999999627471
FS( 10 ),3068633.100000000093132,3220668.229999999981374,3149675.210000000428408,9438977.540000000968575
FS( 11 ),3074733.179999999701977,3195551.879999999888241,3192302.939999999944121,9462589.000000000000000
FS( 12 ),3161659.320000000298023,3296734.889999999664724,3227361.260000000242144,9685756.470000000670552
FS( 13 ),2920488.300000000279397,3293146.839999999850988,3261224.410000000149012,9474860.550000000745058
FS( 14 ),2844237.300000000279397,3227126.719999999739230,3196685.229999999981374,9268050.250000000000000
FS( 15 ),2812647.600000000093132,3157518.549999999813735,3477948.569999999832362,9448115.720000000670552
FS( 16 ),2832690.720000000204891,3229997.159999999683350,3450061.270000000018626,9512750.150000000372529
FS( 17 ),2858616.060000000055879,3193399.049999999813735,3472371.109999999869615,9524387.219999998807907
FS( 18 ),2771472.060000000055879,3044136.169999999925494,3564000.810000000055879,9379610.040000000968575
FS( 19 ),2754914.700000000186265,3179764.459999999962747,3545674.870000000111759,9480355.030000001192093
FS( 20 ),2718749.939999999944121,3278794.639999999664724,3500258.410000000149012,9497803.990000000223517
FS( 21 ),2606552.040000000037253,3257983.949999999720603,3515397.229999999981374,9379934.220000000670552
FS( 22 ),2514179.399999999906868,3427339.909999999683350,3553244.279999999795109,9494764.589999999850988
FS( 23 ),2514832.979999999981374,3364190.229999999981374,3532926.390000000596046,9411950.600000001490116
FS( 24 ),2545333.379999999888241,3460349.969999999739230,3569179.880000000353903,9574864.230000000447035
FS( 25 ),2520061.620000000111759,3380695.259999999776483,3577944.460000000428408,9478702.339999999850988
FS( 26 ),2615702.160000000149012,3442409.719999999739230,3633320.670000000391155,9691433.550000000745058
FS( 27 ),2682367.320000000298023,3390741.799999999813735,3645670.760000000242144,9718780.880000000819564
FS( 28 ),2719839.240000000223517,3496230.469999999739230,3636906.180000000167638,9852976.890000000596046
FS( 29 ),2688031.679999999701977,3515605.939999999944121,3639694.910000000149012,9843333.529999999329448
FS( 30 ),2691517.439999999944121,3452456.259999999776483,3681525.859999999869615,9825500.559999998658895
