代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11368960.910000000149012
真實報酬,1368960.910000000149012

夏普值報酬,0.128196091000000
夏普值風險,0.056178893493692
夏普值,2.281926236485852

二次趨勢線,247.979792036808419 x^2 + -20483.535035092172620 x + 10000000.000000000000000
二次加權預期報酬,22003.669333881003695
風險,214868.183325722144218
二次加權趨勢值,0.102405432918494
一次趨勢線,3415.155584237290441 x + 10000000.000000000000000
一次預期報酬,3415.155584237290441
一次風險,506500.755186861031689
一次趨勢值,0.006742646579031
找到最佳解世代,2267
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](3),INTC[11](2),MCD[15](1),
Stock#,HD[9](3),INTC[11](2),MCD[15](1),
張數,29849,98299,34642,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,95.169999999925494,13.910000000149012,79.760000000242144,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3330945.080000000074506,3270421.640000000596046,3335757.940000000409782,9937125.660000000149012
FS( 3 ),3377808.009999999776483,3217340.179999999701977,3343725.600000000093132,9938874.789999999105930
FS( 4 ),3327064.709999999962747,3176054.600000000558794,3336450.780000000260770,9839571.089999999850988
FS( 5 ),3294529.300000000279397,3129854.070000000298023,3309776.440000000409782,9734160.810000002384186
FS( 6 ),3281395.740000000223517,3076772.610000000335276,3302155.200000000186265,9660324.550000000745058
FS( 7 ),3269456.140000000130385,3071857.660000000149012,3281716.420000000391155,9623031.220000000670552
FS( 8 ),3312737.189999999944121,3127888.090000000316650,3301462.360000000335276,9742088.640000000596046
FS( 9 ),3321990.379999999888241,3130837.060000000055879,3311508.540000000502914,9764336.980000000447035
FS( 10 ),3301394.569999999832362,3078738.590000000316650,3293148.280000000260770,9673282.440000001341105
FS( 11 ),3283783.660000000149012,3085619.520000000018626,3266820.360000000335276,9636224.539999999105930
FS( 12 ),3290350.439999999944121,3110194.270000000018626,3278252.220000000204891,9678797.929999999701977
FS( 13 ),3297514.199999999720603,3140666.959999999962747,3298691.000000000000000,9736873.160000000149012
FS( 14 ),3338705.819999999832362,3182935.530000000260770,3331600.900000000372529,9853243.250000000000000
FS( 15 ),3356018.240000000223517,3152462.840000000316650,3328483.120000000111759,9836965.199999999254942
FS( 16 ),3375121.599999999627471,3171139.649999999906868,3355850.300000000279397,9902112.550000000745058
FS( 17 ),3378404.990000000223517,3154428.820000000298023,3366589.320000000298023,9899424.130000000819564
FS( 18 ),3353630.319999999832362,3136735.000000000000000,3347882.640000000130385,9838248.960000000894070
FS( 19 ),3350346.929999999701977,3144598.919999999925494,3318436.940000000409782,9813383.789999999105930
FS( 20 ),3361092.569999999832362,3049248.890000000130385,3370399.940000000409782,9780742.400000000372529
FS( 21 ),3299603.629999999888241,2987320.520000000018626,3306312.240000000223517,9593237.390000000596046
FS( 22 ),3317214.539999999571592,2990269.490000000223517,3293494.700000000186265,9600979.730000000447035
FS( 23 ),3345272.599999999627471,2966677.729999999981374,3317397.680000000633299,9629349.010000001639128
FS( 24 ),3327960.179999999701977,3004031.350000000093132,3331600.900000000372529,9663593.429999999701977
FS( 25 ),3322885.849999999627471,2952915.870000000111759,3313587.060000000521541,9589389.780000001192093
FS( 26 ),3355122.770000000018626,2939154.010000000242144,3349268.320000000298023,9643546.100000001490116
FS( 27 ),3313334.169999999925494,2899834.410000000149012,3320169.040000000502914,9533338.620000001043081
FS( 28 ),3324676.789999999571592,2843803.979999999981374,3342686.339999999850988,9511168.109999999403954
