訓練日期,20110615 - 20110915
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10383796.369999999180436
真實報酬,383796.369999999180436

夏普值報酬,0.029679637000000
夏普值風險,0.030095049035398
夏普值,0.986196665275078

預期報酬,3986.774119575079112
風險,331833.386514492507558
趨勢值,0.012014385175197
找到最佳解世代,50
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](2),BA[2](25),CVX[5](12),HD[9](16),KO[14](3),MCD[15](1),NKE[19](8),PG[21](14),V[25](4),VZ[26](9),WMT[28](11),
Stock#,AAPL[0](2),BA[2](25),CVX[5](12),HD[9](16),KO[14](3),MCD[15](1),NKE[19](8),PG[21](14),V[25](4),VZ[26](9),WMT[28](11),
張數,19142,12179,9036,26160,27707,11158,44216,14037,47897,25550,17181,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,36.419999999925494,49.439999999944121,68.400000000023283,30.000000000000000,23.329999999958090,47.739999999990687,9.040000000037253,53.879999999888241,4.939999999944121,21.000000000000000,43.290000000037253,
20110615,893584.979999999864958,899468.589999999850988,889301.160000000032596,886330.800000000046566,900223.760000000009313,906523.659999999916181,888750.640000000130385,895052.999999999883585,896157.809999999939464,897336.999999999883585,898953.210000000079162,9851694.609999999403954
20110616,889182.319999999948777,901417.229999999981374,898517.880000000121072,902550.000000000000000,907150.510000000009313,912883.719999999972060,887424.160000000032596,902071.500000000000000,896636.779999999911524,900403.000000000000000,907715.520000000018626,9905962.619999999180436
20110617,875782.919999999925494,903244.079999999958090,896168.520000000018626,903334.800000000046566,909090.000000000000000,920805.899999999906868,896709.520000000135042,908107.409999999799766,891368.109999999869615,907301.500000000000000,907543.710000000079162,9919466.470000002533197
20110620,862383.519999999902211,907628.519999999902211,902855.160000000032596,909613.200000000069849,912137.770000000018626,922702.760000000009313,920144.000000000000000,913722.209999999962747,886578.410000000032596,910878.500000000000000,911323.530000000027940,9959977.580000000074506
20110621,889565.159999999916181,901051.859999999986030,918035.640000000013970,926878.800000000046566,917956.239999999990687,923930.140000000013970,934293.119999999995343,901510.019999999902211,898073.689999999944121,919565.500000000000000,915618.780000000027940,10046488.949999999254942
20110622,882291.199999999953434,878398.920000000041910,913336.919999999925494,913798.800000000046566,919895.729999999981374,922256.440000000060536,905994.880000000004657,899264.099999999976717,894241.930000000051223,918288.000000000000000,910808.099999999976717,9958585.019999999552965
