訓練日期,20110627 - 20110927
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10627118.580000001937151
真實報酬,627118.580000001937151

夏普值報酬,0.054011858000000
夏普值風險,0.030536202533242
夏普值,1.768781103059651

預期報酬,9963.560002669093592
風險,446333.293270726979245
趨勢值,0.022323138678847
找到最佳解世代,16
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
AAPL[0](1),CVX[5](10),HD[9](18),INTC[11](15),KO[14](3),MCD[15](2),MSFT[18](6),NKE[19](7),PG[21](9),V[25](4),VZ[26](12),XOM[29](16),
Stock#,AAPL[0](1),CVX[5](10),HD[9](18),INTC[11](15),KO[14](3),MCD[15](2),MSFT[18](6),NKE[19](7),PG[21](9),V[25](4),VZ[26](12),XOM[29](16),
張數,17875,8512,23755,39308,25664,10182,34293,41050,13314,45438,23148,10853,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,0.500000000000000,8.199999999953434,7.600000000093132,3.400000000023283,22.920000000041910,38.119999999995343,13.099999999976717,18.000000000000000,9.739999999990687,0.079999999958090,5.000000000000000,39.660000000032596,
20110627,847811.750000000000000,841845.000000000000000,836183.600000000209548,838836.119999999995343,836669.320000000065193,838220.359999999869615,864196.699999999953434,837848.500000000000000,836395.219999999972060,839239.939999999944121,842592.199999999953434,845705.420000000041910,10105548.129999998956919
20110628,856034.250000000000000,854187.399999999906868,856612.900000000139698,844732.319999999948777,847448.200000000069849,858889.819999999948777,884772.500000000000000,922822.000000000000000,835063.819999999948777,855143.239999999990687,846527.359999999986030,864264.049999999930151,10326501.859999999403954
20110629,852995.500000000000000,862103.559999999939464,854712.500000000000000,840801.520000000018626,855917.320000000065193,861129.859999999869615,878599.760000000009313,921590.500000000000000,832800.439999999944121,983278.400000000023283,849999.559999999939464,870992.910000000032596,10464925.830000000074506
20110630,857106.750000000000000,875382.280000000027940,860413.700000000069849,871068.680000000051223,863616.520000000018626,858584.359999999869615,891631.099999999976717,923643.000000000000000,846380.719999999972060,957378.739999999990687,861805.039999999920838,883256.799999999930151,10550271.689999997615814
20110701,876590.500000000000000,886022.280000000027940,872528.750000000000000,885612.640000000013970,873882.119999999995343,872126.420000000041910,892316.959999999962747,942526.000000000000000,855700.519999999902211,999181.699999999837019,874999.399999999906868,890094.190000000060536,10721585.479999998584390
20110705,892320.500000000000000,894789.640000000013970,869203.050000000162981,882074.920000000041910,876448.520000000018626,872024.599999999976717,892659.890000000013970,941705.000000000000000,855567.380000000004657,1003271.119999999878928,875462.359999999986030,885644.459999999962747,10741175.439999997615814
20110706,898219.250000000000000,894449.159999999916181,868727.950000000069849,894260.400000000023283,879528.200000000069849,874264.640000000013970,902947.789999999920838,947862.500000000000000,861425.540000000037253,1001907.979999999981374,868980.919999999925494,885318.869999999995343,10777897.199999999254942
20110707,912161.750000000000000,907302.280000000027940,880130.349999999976717,913128.239999999990687,882351.240000000107102,876301.040000000037253,918036.709999999962747,961409.000000000116415,864754.040000000037253,1024172.599999999976717,866203.160000000032596,893892.739999999990687,10899847.150000000372529
20110708,918596.750000000000000,901343.880000000004657,869915.700000000069849,907625.119999999995343,881324.680000000167638,871617.319999999948777,923180.660000000032596,956893.500000000000000,864487.760000000125729,1019174.419999999925494,867592.039999999920838,894543.920000000041910,10876299.750000000000000
20110711,903939.250000000000000,888746.119999999878928,863739.400000000023283,898191.200000000069849,873882.119999999995343,869071.819999999948777,913235.689999999944121,938421.000000000000000,861691.819999999948777,998727.319999999948777,859258.759999999892898,888900.360000000102445,10757808.859999999403954
20110712,903403.000000000000000,888575.880000000004657,857800.650000000023283,882468.000000000000000,870545.800000000046566,865406.299999999930151,910149.319999999948777,936368.500000000000000,859162.160000000032596,996455.419999999925494,858564.320000000065193,888791.830000000074506,10717695.180000001564622
20110713,914306.750000000000000,894534.280000000027940,858275.750000000116415,883647.239999999990687,873368.840000000083819,865100.839999999967404,913235.689999999944121,944578.500000000116415,860626.699999999953434,1008269.300000000046566,855092.119999999995343,895195.100000000093132,10766235.109999999403954
20110714,913591.750000000000000,890959.239999999990687,854237.400000000139698,875392.560000000055879,868492.680000000167638,873755.540000000037253,907748.809999999939464,943757.499999999883585,860094.139999999897555,999181.699999999837019,853703.240000000107102,892590.380000000004657,10733508.940000001341105
20110715,931824.250000000000000,903897.479999999981374,853049.650000000023283,879323.360000000102445,866696.200000000069849,870395.479999999981374,918379.640000000013970,941294.500000000000000,863156.359999999986030,1008269.300000000046566,852314.359999999986030,900838.660000000032596,10789443.240000000223517
20110718,954525.500000000000000,904237.959999999962747,847823.550000000046566,875785.640000000013970,861306.760000000125729,869580.920000000041910,911863.969999999972060,930211.000000000000000,859428.439999999944121,1000544.839999999967404,849768.080000000074506,897040.110000000102445,10762120.769999999552965
20110719,962390.500000000116415,914877.959999999962747,857800.650000000023283,906445.880000000004657,889537.159999999916181,877828.339999999967404,944442.319999999948777,931442.500000000000000,860227.280000000027940,1013267.479999999981374,855786.559999999939464,907676.049999999930151,10921726.680000001564622
20110720,987951.750000000000000,911643.399999999906868,864927.150000000023283,903694.319999999948777,883891.079999999958090,878439.260000000009313,927981.679999999934807,929800.499999999883585,854768.540000000037253,1006906.159999999916181,864119.839999999967404,904094.560000000055879,10918222.239999998360872
20110721,989024.250000000000000,931476.359999999986030,872291.200000000069849,896618.880000000004657,889793.800000000046566,881188.400000000023283,929353.400000000023283,942526.000000000000000,858629.599999999976717,1000090.460000000079162,869675.359999999986030,922761.719999999972060,10983433.430000001564622
20110722,1004396.750000000000000,927560.839999999967404,867540.200000000186265,909197.439999999944121,894926.599999999976717,901756.040000000037253,944099.390000000013970,941294.500000000000000,855434.239999999990687,1016902.519999999902211,850462.520000000018626,924932.320000000065193,11038507.359999999403954
20110725,1017624.250000000000000,920155.399999999906868,870628.350000000093132,905266.640000000013970,888767.240000000107102,897275.960000000079162,957130.729999999981374,933084.500000000000000,842919.080000000074506,1011904.339999999967404,838425.559999999939464,917877.869999999995343,11001063.919999999925494
20110726,1030136.750000000000000,915644.039999999920838,864452.050000000162981,900156.599999999976717,887997.320000000065193,896257.760000000009313,962960.539999999920838,926926.999999999883585,839990.000000000000000,1013267.479999999981374,839814.440000000060536,915707.270000000135042,10993315.250000000000000
20110727,1002430.500000000000000,899130.759999999892898,846398.250000000116415,885612.640000000013970,881581.320000000065193,886788.500000000000000,937240.789999999920838,910507.000000000000000,828140.540000000037253,996909.800000000046566,838194.080000000074506,904203.090000000083819,10817141.269999999552965
20110728,1000464.250000000000000,894023.559999999939464,834995.850000000093132,886398.800000000046566,883121.159999999916181,883632.079999999958090,950615.059999999939464,928569.000000000000000,824412.619999999995343,987367.819999999948777,825462.679999999934807,884125.039999999920838,10783191.919999998062849
20110729,997068.000000000000000,885426.439999999944121,829769.750000000116415,877751.039999999920838,872855.559999999939464,880577.479999999981374,939641.299999999930151,925285.000000000000000,818687.599999999976717,971918.900000000023283,816897.919999999925494,866000.530000000144355,10681883.519999997690320
20110801,1013155.500000000000000,897002.759999999892898,813616.350000000093132,874213.319999999948777,869262.599999999976717,879661.099999999976717,935183.209999999962747,917075.000000000000000,817888.760000000009313,973282.040000000037253,830323.759999999892898,863938.459999999962747,10684606.859999999403954
20110802,993135.500000000000000,880574.599999999976717,779646.700000000069849,853773.160000000032596,860536.840000000083819,866119.040000000037253,919065.500000000000000,873562.000000000000000,810432.919999999925494,949199.900000000023283,821527.520000000018626,844837.180000000051223,10452414.859999999403954
20110803,1002430.500000000000000,874701.319999999948777,782734.850000000209548,857310.880000000004657,877731.720000000088476,871006.400000000023283,923180.660000000032596,893676.500000000000000,808568.959999999962747,993729.140000000013970,832638.559999999939464,843534.820000000065193,10561248.310000000521541
20110804,963641.749999999883585,824310.280000000027940,753041.100000000093132,819575.200000000069849,844625.159999999916181,858177.079999999958090,889573.520000000018626,837027.500000000000000,793257.859999999986030,965557.579999999958090,808333.160000000032596,801425.180000000051223,10158549.369999999180436
20110805,953989.250000000000000,830864.519999999902211,730236.300000000046566,817216.719999999972060,856943.880000000004657,866322.679999999934807,880657.339999999967404,860836.500000000000000,806705.000000000000000,947382.380000000004657,811342.399999999906868,812061.119999999995343,10174562.089999999850988
20110808,901973.000000000000000,768216.199999999953434,687239.750000000116415,790487.280000000027940,835642.760000000125729,836082.140000000013970,839505.739999999990687,812808.000000000000000,789396.799999999930151,900126.859999999869615,766666.759999999892898,761811.729999999981374,9689961.020000001415610
20110809,955061.750000000000000,795029.000000000000000,716220.850000000093132,809748.200000000069849,855660.680000000167638,875282.839999999967404,877228.039999999920838,846879.500000000000000,801778.819999999948777,940112.300000000046566,793749.919999999925494,777548.580000000074506,10044304.480000000447035
20110810,928785.500000000000000,770940.039999999920838,677262.650000000139698,783411.839999999967404,820757.640000000013970,856140.679999999934807,829903.699999999953434,814039.499999999883585,779011.880000000004657,900581.239999999990687,779166.679999999934807,738369.250000000000000,9678374.600000001490116
20110811,954346.750000000000000,800732.039999999920838,713845.350000000093132,816037.480000000097789,853094.280000000144355,878541.079999999958090,863853.770000000018626,854268.500000000000000,804841.040000000037253,960105.019999999902211,801388.759999999892898,776897.400000000023283,10077955.470000000670552
20110812,962748.000000000000000,815968.519999999902211,726435.500000000000000,811713.599999999976717,861563.400000000023283,880781.119999999995343,860767.400000000023283,864531.000000000000000,814027.699999999953434,952380.559999999939464,793981.399999999906868,781455.660000000032596,10126357.860000001266599
20110815,979014.250000000000000,843547.399999999906868,747339.900000000139698,821147.520000000018626,875165.320000000065193,884039.359999999869615,874827.530000000027940,873562.000000000000000,823880.060000000055879,975553.939999999944121,811342.399999999906868,806309.030000000144355,10315732.709999999031425
20110816,971506.750000000000000,835375.880000000004657,786773.200000000069849,817216.719999999972060,874908.680000000167638,882512.060000000055879,869340.650000000023283,854268.500000000000000,820418.419999999925494,975099.559999999939464,807407.240000000107102,797735.160000000032596,10292566.820000002160668
20110817,971506.750000000000000,831460.359999999986030,793662.150000000023283,812499.760000000125729,889023.880000000004657,890963.119999999995343,865911.349999999976717,847290.000000000000000,821084.119999999995343,954198.079999999958090,824305.280000000027940,804898.140000000013970,10306806.990000000223517
20110818,934684.250000000000000,793667.079999999958090,763968.400000000023283,777122.560000000055879,869519.240000000107102,871719.140000000013970,846021.410000000032596,820197.000000000000000,810299.780000000027940,911940.739999999990687,811805.359999999986030,769951.479999999981374,9980900.439999999478459
20110819,909123.000000000000000,794092.680000000051223,757317.000000000116415,754323.920000000041910,861050.119999999995343,888213.979999999981374,824759.750000000000000,806650.499999999883585,811631.180000000051223,904216.279999999911524,803472.080000000074506,757579.060000000055879,9872433.550000000745058
20110822,910195.500000000000000,794177.799999999930151,766819.000000000116415,761792.439999999944121,863359.880000000004657,893610.440000000060536,822359.239999999990687,813218.500000000000000,821616.680000000051223,906488.179999999934807,806018.359999999986030,761703.200000000069849,9921363.219999998807907
20110823,953989.250000000000000,828481.159999999916181,786535.650000000023283,774764.080000000074506,886200.840000000083819,911632.579999999958090,847736.059999999939464,857962.999999999883585,839058.020000000018626,951471.800000000046566,832407.080000000074506,799471.640000000013970,10269715.160000002011657
20110824,960603.000000000000000,830694.280000000027940,816466.950000000069849,778301.800000000046566,894156.680000000167638,917741.779999999911524,853908.799999999930151,880540.500000000000000,842919.080000000074506,981460.880000000004657,844212.559999999939464,798169.280000000144355,10399179.590000001713634
20110825,954346.750000000000000,816819.719999999855645,803876.800000000162981,763364.760000000125729,872342.280000000144355,903283.339999999967404,842592.109999999986030,859605.000000000000000,832534.160000000032596,955561.219999999972060,828008.960000000079162,778959.469999999972060,10211298.570000002160668
20110826,979550.500000000000000,824395.399999999906868,807677.600000000093132,777122.560000000055879,879014.920000000041910,915705.380000000121072,865911.349999999976717,885466.500000000000000,833066.719999999972060,975099.559999999939464,827777.479999999981374,788401.580000000074506,10359193.550000000745058
20110829,995816.750000000000000,840483.079999999958090,807440.050000000162981,797955.800000000046566,894926.599999999976717,924461.900000000023283,886144.219999999972060,908865.000000000000000,839990.000000000000000,983732.779999999911524,836573.719999999972060,804464.020000000135042,10520857.919999999925494
20110830,995816.750000000000000,837589.000000000000000,797462.950000000069849,795597.319999999948777,896466.440000000060536,924360.079999999958090,899518.489999999990687,886287.500000000000000,845448.739999999990687,998727.319999999948777,840508.880000000004657,802184.890000000013970,10519972.360000001266599
20110831,982768.000000000000000,841334.280000000027940,792949.500000000116415,791273.439999999944121,904165.640000000013970,920592.739999999990687,912206.900000000023283,889161.000000000000000,847845.260000000009313,998272.939999999944121,837268.160000000032596,803378.719999999972060,10521220.580000001937151
20110901,972936.750000000000000,838610.439999999944121,782259.750000000116415,785770.319999999948777,904165.640000000013970,917130.859999999869615,898832.630000000004657,888340.000000000000000,842253.380000000004657,996455.419999999925494,830555.240000000107102,797626.630000000004657,10454941.060000000521541
20110902,955240.500000000000000,820650.119999999878928,764443.500000000116415,772012.520000000018626,894926.599999999976717,907152.500000000000000,884772.500000000000000,862478.500000000116415,832800.439999999944121,971918.900000000023283,823147.880000000004657,782975.080000000074506,10272523.040000000968575
20110906,969719.250000000000000,813840.519999999902211,761355.349999999976717,768081.719999999972060,891077.000000000000000,904403.359999999869615,874827.530000000027940,859605.000000000000000,830537.060000000055879,975553.939999999944121,815277.559999999939464,772230.610000000102445,10236512.899999998509884
20110907,980444.250000000000000,845164.680000000051223,780834.450000000069849,789308.039999999920838,908528.520000000018626,909188.900000000023283,891631.099999999976717,887929.500000000000000,835063.819999999948777,1005088.640000000013970,824536.759999999892898,799363.110000000102445,10457085.769999999552965
20110908,980980.500000000000000,837674.119999999878928,771094.900000000139698,782232.599999999976717,913404.680000000167638,902265.140000000013970,899175.559999999939464,875614.499999999883585,837593.479999999981374,993729.140000000013970,818981.240000000107102,790355.119999999995343,10403104.980000000447035
20110909,963999.250000000000000,810265.479999999981374,757079.450000000069849,774371.000000000000000,890307.079999999958090,865813.579999999958090,882714.919999999925494,846879.500000000000000,823347.500000000000000,981006.500000000000000,815740.520000000018626,770711.190000000060536,10182239.969999998807907
20110912,970255.500000000000000,816394.119999999878928,768481.850000000093132,797169.640000000013970,890307.079999999958090,877624.699999999953434,887858.869999999995343,865762.500000000000000,823214.359999999986030,993274.759999999892898,815972.000000000000000,779719.180000000051223,10286038.560000000521541
20110913,982231.750000000000000,816564.359999999986030,775845.900000000023283,816037.480000000097789,886714.119999999995343,876911.960000000079162,893002.819999999948777,880951.000000000000000,824678.899999999906868,996909.800000000046566,821759.000000000000000,777657.110000000102445,10349268.199999999254942
20110914,994029.250000000000000,828310.919999999925494,796750.300000000046566,830188.360000000102445,895439.880000000004657,883326.619999999995343,908777.599999999976717,897781.500000000000000,830004.500000000000000,1017811.279999999911524,824073.800000000046566,788401.580000000074506,10494899.589999999850988
20110915,1003503.000000000000000,844909.319999999948777,814329.000000000116415,846697.719999999972060,911351.559999999939464,896766.859999999869615,925581.169999999925494,903528.500000000116415,835862.660000000032596,1028262.019999999902211,837731.119999999995343,803270.190000000060536,10651797.119999997317791
20110916,1022629.250000000000000,848058.759999999892898,822168.150000000023283,863600.160000000032596,914174.599999999976717,899006.900000000023283,930039.260000000009313,921180.000000000000000,856499.359999999986030,1031897.059999999939464,849999.559999999939464,809130.810000000055879,10768387.870000001043081
20110919,1051050.500000000000000,840227.719999999855645,815991.850000000093132,862027.839999999967404,904422.280000000144355,904301.540000000037253,933125.630000000004657,925695.500000000000000,849576.080000000074506,1022809.460000000079162,839814.440000000060536,799905.760000000009313,10748952.599999999627471
20110920,1055698.000000000000000,832396.680000000051223,826919.150000000139698,872641.000000000000000,906732.040000000037253,909392.540000000037253,925238.239999999990687,918306.500000000000000,853170.859999999986030,1054616.060000000055879,842823.679999999934807,803270.190000000060536,10801208.939999999478459
20110921,1052480.500000000000000,802434.439999999944121,803876.800000000162981,862420.920000000041910,889023.880000000004657,891166.760000000009313,891288.169999999925494,880130.000000000000000,839058.020000000018626,1038712.759999999892898,829629.320000000065193,781130.070000000065193,10561355.640000000596046
20110922,1026025.500000000000000,767535.239999999990687,785110.349999999976717,849842.360000000102445,870289.159999999916181,875588.299999999930151,859395.679999999934807,864120.500000000000000,814427.119999999995343,1003271.119999999878928,823842.320000000065193,751501.380000000004657,10290953.030000001192093
20110923,1032460.500000000000000,766173.319999999948777,801026.200000000069849,871068.680000000051223,865156.360000000102445,889639.460000000079162,859395.679999999934807,909686.000000000000000,815492.239999999990687,1023263.839999999967404,830555.240000000107102,752261.090000000083819,10416182.610000001266599
20110926,1029600.500000000000000,778771.079999999958090,807677.600000000093132,874213.319999999948777,882351.240000000107102,909698.000000000000000,872427.020000000018626,916664.499999999883585,832667.299999999930151,1025535.739999999990687,841666.280000000027940,778416.820000000065193,10549693.399999998509884
20110927,1019590.500000000000000,796220.680000000051223,804827.000000000116415,886005.719999999972060,892616.840000000083819,913770.799999999930151,880314.410000000032596,929800.499999999883585,842253.380000000004657,1016448.140000000013970,853934.719999999972060,791331.890000000013970,10627118.580000001937151
