訓練日期,20151020 - 20160122
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9849207.560000000521541
真實報酬,-150792.439999999478459

夏普值報酬,-0.023779244000000
夏普值風險,0.025513875517137
夏普值,-0.932012229346642

預期報酬,6277.594023167670457
風險,346345.468716340314131
趨勢值,0.018125237920491
找到最佳解世代,14
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
CSCO[4](27),DD[7](11),HD[9](7),INTC[11](17),JPM[13](12),MCD[15](1),MRK[17](10),MSFT[18](2),NKE[19](22),PG[21](4),TRV[22](8),VZ[26](6),WMT[28](3),
Stock#,CSCO[4](27),DD[7](11),HD[9](7),INTC[11](17),JPM[13](12),MCD[15](1),MRK[17](10),MSFT[18](2),NKE[19](22),PG[21](4),TRV[22](8),VZ[26](6),WMT[28](3),
張數,27229,11397,6248,22900,12363,7361,14965,16153,11548,10234,7235,17208,13071,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,10.750000000000000,46.470000000088476,101.200000000069849,18.999999999883585,4.140000000013970,79.109999999986030,29.000000000000000,24.140000000013970,17.719999999972060,42.560000000055879,4.800000000046566,32.399999999906868,1.650000000023283,
20151020,776037.250000000000000,774016.740000000107102,767668.000000000000000,765794.999999999883585,772938.900000000023283,764445.349999999976717,754115.349999999976717,771652.950000000069849,764379.839999999967404,761759.180000000167638,788258.050000000046566,778522.319999999948777,767922.900000000023283,10007521.830000001937151
20151021,770046.869999999995343,770711.610000000102445,770479.600000000093132,764191.999999999767169,767251.920000000041910,754876.050000000046566,757108.350000000093132,762445.740000000107102,764957.239999999874271,753162.620000000111759,800919.300000000046566,771983.279999999911524,766485.090000000083819,9974629.669999999925494
20151022,789924.040000000037253,810259.200000000069849,777102.480000000097789,787778.999999999883585,781222.109999999986030,816193.180000000051223,778358.650000000023283,775852.729999999981374,764610.799999999930151,766057.459999999962747,812640.000000000000000,789707.519999999902211,769883.550000000046566,10219600.720000000670552
20151023,799181.900000000023283,816755.490000000107102,778664.480000000097789,799228.999999999883585,789628.949999999953434,828854.099999999976717,791378.200000000069849,854033.250000000000000,753755.679999999934807,788367.580000000074506,812350.600000000093132,794353.679999999818392,762040.949999999953434,10368603.859999999403954
20151026,788290.299999999930151,818920.920000000041910,781163.680000000051223,792130.000000000000000,789999.839999999967404,825836.090000000083819,791827.149999999906868,876324.390000000013970,758605.839999999967404,793075.219999999972060,815895.750000000000000,797795.279999999911524,758381.070000000065193,10388255.529999999329448
20151027,791013.200000000069849,822795.900000000023283,777789.760000000009313,789381.999999999883585,786785.460000000079162,821861.150000000023283,800207.549999999930151,867278.709999999962747,755372.399999999906868,791028.420000000158325,820526.150000000023283,794525.759999999892898,751322.729999999981374,10369899.190000001341105
20151028,799454.189999999944121,833850.990000000107102,773728.560000000055879,794877.999999999883585,809780.640000000013970,831430.449999999953434,824600.500000000000000,871963.079999999958090,758143.920000000041910,783045.900000000139698,826675.900000000139698,799860.239999999874271,753414.090000000083819,10460836.460000000894070
20151029,793463.810000000055879,826215.000000000000000,772541.440000000060536,779305.999999999883585,806195.369999999878928,829074.930000000051223,821158.549999999930151,861948.219999999972060,757104.599999999976717,788265.239999999990687,826892.950000000069849,798483.599999999860302,757596.810000000055879,10418256.519999999552965
20151030,785567.400000000023283,838637.730000000097789,772603.920000000041910,775412.999999999883585,794326.890000000013970,826351.359999999986030,818015.899999999906868,850318.060000000055879,756642.679999999934807,781715.479999999981374,816763.950000000069849,806743.439999999944121,748185.690000000060536,10371295.500000000000000
20151102,783389.079999999958090,837384.060000000055879,777414.880000000004657,781137.999999999883585,810275.160000000149012,825320.819999999948777,824750.150000000023283,860009.860000000102445,757566.519999999902211,783966.959999999962747,823854.250000000116415,805022.639999999897555,753021.959999999962747,10423124.339999999850988
20151103,779032.439999999944121,843652.410000000032596,785224.880000000004657,785717.999999999883585,813242.280000000027940,825099.989999999990687,824750.150000000023283,874709.089999999967404,758721.319999999948777,788572.260000000009313,822551.950000000069849,799344.000000000000000,759557.459999999962747,10460186.230000000447035
20151104,775220.380000000004657,833964.960000000079162,783475.440000000060536,782053.999999999883585,814107.689999999944121,827455.510000000009313,831035.450000000069849,878747.339999999967404,752716.360000000102445,788674.600000000093132,825373.599999999976717,794009.519999999902211,762955.920000000041910,10449800.769999999552965
20151105,774131.219999999972060,837725.970000000088476,785599.760000000009313,778618.999999999883585,821401.859999999986030,830767.959999999962747,823852.250000000000000,878424.280000000027940,761377.360000000102445,781817.820000000065193,824577.750000000000000,795042.000000000000000,766092.959999999962747,10459440.190000001341105
20151106,774675.799999999930151,841373.010000000009313,787224.240000000107102,774955.000000000000000,846375.119999999878928,834154.020000000018626,817267.650000000023283,887146.900000000023283,760915.439999999944121,773425.939999999944121,818283.300000000046566,787814.639999999897555,768315.030000000027940,10471936.089999999850988
20151109,767323.969999999972060,839207.580000000074506,777977.200000000069849,763733.999999999883585,833146.710000000079162,831356.840000000083819,811730.599999999976717,874870.619999999995343,753409.239999999874271,771686.160000000149012,816329.849999999976717,779554.799999999813735,764524.440000000060536,10384862.009999999776483
20151110,761878.170000000041910,839321.550000000046566,782725.680000000051223,760527.999999999883585,836731.980000000097789,833491.530000000027940,814573.949999999953434,864371.169999999925494,750637.719999999972060,775472.739999999990687,825156.550000000046566,776113.199999999953434,767007.930000000051223,10388020.169999999925494
20151111,757521.530000000027940,839207.580000000074506,779289.280000000027940,752512.999999999883585,832652.189999999944121,838128.959999999962747,803948.799999999930151,866632.589999999967404,735740.799999999930151,777417.199999999953434,827544.099999999976717,779898.959999999962747,752629.829999999958090,10343134.819999998435378
20151112,757793.819999999948777,818579.010000000009313,773666.080000000074506,741978.999999999883585,815962.140000000013970,825320.819999999948777,793622.950000000069849,861302.099999999976717,727426.239999999990687,764113.000000000000000,812567.650000000023283,771467.039999999920838,744395.100000000093132,10208204.949999999254942
20151113,713682.839999999967404,830089.980000000097789,749861.200000000069849,735337.999999999883585,810522.420000000041910,809568.280000000027940,793622.950000000069849,853548.660000000032596,703637.359999999986030,756949.199999999953434,810324.800000000046566,761142.239999999874271,737467.470000000088476,10065765.400000002235174
20151116,729475.660000000032596,838295.820000000065193,755109.520000000135042,735108.999999999883585,822267.270000000135042,817591.770000000018626,803649.500000000000000,868570.950000000069849,712875.759999999892898,770662.760000000009313,816763.950000000069849,775080.719999999855645,756420.420000000041910,10201883.099999999627471
20151117,730020.239999999990687,838295.820000000065193,788473.840000000083819,747474.999999999883585,817569.329999999958090,816708.449999999953434,803799.150000000023283,855648.550000000046566,707794.640000000013970,768308.939999999944121,815678.699999999953434,775769.039999999920838,783215.970000000088476,10248767.669999999925494
20151118,738461.229999999981374,862799.370000000111759,790723.120000000111759,759382.999999999767169,833888.490000000107102,828412.439999999944121,811580.949999999953434,869863.190000000060536,726271.439999999944121,776803.160000000149012,829714.600000000093132,780931.439999999944121,796417.680000000051223,10405260.109999999403954
20151119,745268.479999999981374,865420.680000000167638,792722.480000000097789,785488.999999999767169,836484.719999999972060,834080.409999999916181,812329.200000000069849,871316.959999999962747,726271.439999999944121,780078.040000000037253,832174.500000000000000,787470.479999999864958,793411.350000000093132,10462527.740000000223517
20151120,750714.280000000027940,865420.680000000167638,813653.280000000144355,793732.999999999767169,835001.160000000149012,838570.619999999995343,809635.500000000000000,875355.209999999962747,765996.559999999939464,775984.439999999944121,838034.849999999976717,781103.519999999902211,785176.619999999995343,10528389.719999998807907
20151123,746902.219999999972060,860292.030000000144355,827961.200000000069849,789610.999999999767169,826841.579999999958090,842692.780000000027940,808288.650000000023283,875355.209999999962747,764841.760000000009313,777519.540000000037253,836587.849999999976717,774220.319999999948777,787660.109999999986030,10518784.250000000000000
20151124,742545.579999999958090,866446.410000000032596,834834.000000000000000,786862.999999999883585,825605.280000000027940,841294.189999999944121,800357.199999999953434,876324.390000000013970,765188.200000000069849,782431.860000000102445,835213.200000000069849,777661.919999999925494,783215.970000000088476,10517991.200000001117587
20151125,741728.709999999962747,842740.650000000023283,841394.400000000139698,788924.000000000000000,826594.319999999948777,842177.510000000009313,803948.799999999930151,867278.709999999962747,774542.079999999841675,776803.160000000149012,830582.800000000046566,773015.759999999892898,787398.690000000060536,10497139.589999999850988
20151127,743907.030000000027940,844222.260000000009313,841956.720000000088476,789152.999999999883585,830426.850000000093132,840926.140000000013970,807540.400000000023283,871155.430000000051223,775696.880000000004657,774756.360000000102445,830944.550000000046566,778350.239999999874271,782823.840000000083819,10511869.700000001117587
20151130,742001.000000000000000,846159.750000000000000,836583.440000000060536,796252.000000000000000,824368.980000000097789,840410.869999999995343,793323.650000000023283,877939.690000000060536,763802.439999999944121,765955.120000000111759,828918.750000000000000,782136.000000000000000,769099.290000000037253,10466960.980000000447035
20151201,750714.280000000027940,867016.260000000009313,840019.840000000083819,803580.000000000000000,835866.569999999948777,842545.560000000055879,816669.050000000046566,891992.800000000046566,769807.399999999906868,777212.520000000018626,836949.600000000093132,784373.039999999920838,771059.940000000060536,10587816.859999997541308
20151202,747174.510000000009313,848781.060000000055879,836146.080000000074506,797625.999999999883585,824121.719999999972060,837172.030000000027940,805445.300000000046566,891831.270000000018626,765996.559999999939464,775677.420000000158325,829931.650000000023283,773015.759999999892898,762694.500000000000000,10495623.859999999403954
20151203,733832.299999999930151,841714.920000000041910,818151.840000000083819,779534.999999999883585,813489.539999999920838,834742.900000000023283,787038.350000000093132,875516.740000000107102,745556.599999999976717,775165.719999999972060,805187.950000000069849,766820.879999999888241,771713.489999999990687,10348476.229999998584390
