訓練日期,20160212 - 20160516
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11441908.460000000894070
真實報酬,1441908.460000000894070

夏普值報酬,0.135490846000000
夏普值風險,0.035053256685446
夏普值,3.865285534403886

預期報酬,29391.422483424976235
風險,244381.809256694948999
趨勢值,0.120268454402646
找到最佳解世代,98
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,14
AXP[1](5),CSCO[4](21),CVX[5](3),DIS[6](12),DD[7](16),HD[9](13),JNJ[12](1),MCD[15](2),MMM[16](6),PFE[20](8),UTX[24](14),V[25](11),WMT[28](22),XOM[29](4),
Stock#,AXP[1](5),CSCO[4](21),CVX[5](3),DIS[6](12),DD[7](16),HD[9](13),JNJ[12](1),MCD[15](2),MMM[16](6),PFE[20](8),UTX[24](14),V[25](11),WMT[28](22),XOM[29](4),
張數,13975,28941,8606,7909,11195,6306,7023,6119,4740,24520,8437,10432,10935,8973,
分配資金,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,
剩餘資金,22.750000000000000,21.119999999995343,73.060000000055879,23.209999999962747,44.000000000000000,4.380000000004657,45.900000000023283,14.130000000004657,109.200000000069849,17.400000000023283,8.580000000074506,5.959999999962747,10.800000000046566,34.200000000069849,
20160212,735946.250000000000000,726729.630000000004657,735283.640000000130385,720928.560000000055879,733540.399999999906868,733518.299999999930151,715127.760000000009313,721627.800000000046566,729879.600000000093132,719924.599999999976717,725168.730000000097789,734627.400000000023283,723689.100000000093132,727116.390000000130385,10183118.160000000149012
20160216,743213.250000000000000,747856.559999999939464,729947.920000000041910,734848.399999999906868,746638.549999999930151,753129.960000000079162,718639.260000000009313,729276.550000000046566,737321.400000000023283,730958.599999999976717,729640.340000000083819,741721.159999999916181,720627.300000000162981,728821.260000000009313,10292650.509999999776483
20160217,749222.500000000000000,765799.979999999981374,760068.920000000041910,755332.709999999962747,765110.300000000046566,764354.640000000013970,719903.400000000023283,725972.290000000037253,742488.000000000116415,726545.000000000000000,743477.020000000135042,751422.919999999925494,722923.650000000023283,735820.200000000069849,10428451.529999999329448
20160218,756769.000000000000000,764931.750000000000000,746471.440000000060536,752722.739999999990687,758393.299999999930151,756535.199999999953434,732123.420000000041910,716977.359999999986030,743246.400000000023283,724583.400000000023283,745501.900000000023283,743181.639999999897555,701163.000000000116415,739858.050000000046566,10382468.600000001490116
20160219,764595.000000000000000,768404.670000000041910,744492.060000000055879,751457.300000000046566,750668.750000000000000,767381.520000000018626,731561.579999999958090,713061.199999999953434,741682.200000000069849,723112.199999999953434,744405.090000000083819,746206.919999999925494,707067.900000000023283,740306.700000000069849,10394413.090000001713634
20160222,777452.000000000000000,770719.949999999953434,764457.979999999981374,762213.540000000037253,763543.000000000000000,774696.479999999981374,735705.150000000023283,720036.859999999986030,747607.200000000069849,736843.400000000023283,779334.270000000135042,762167.880000000004657,717674.849999999976717,739319.670000000041910,10551782.230000000447035
20160223,770185.000000000000000,755960.040000000037253,730808.520000000018626,754383.629999999888241,748989.500000000116415,785290.560000000055879,730999.739999999990687,715325.229999999981374,740355.000000000000000,734636.600000000093132,772837.780000000027940,752674.760000000009313,726969.600000000093132,728910.990000000107102,10448336.950000001117587
20160224,763616.750000000000000,761748.239999999990687,733906.680000000051223,754779.080000000074506,752348.000000000000000,792101.040000000037253,737179.979999999981374,716304.270000000018626,745332.000000000116415,736107.800000000046566,789796.150000000023283,749545.159999999916181,733968.000000000116415,731513.160000000032596,10498256.309999998658895
20160225,774098.000000000000000,769851.720000000088476,734164.859999999986030,756519.060000000055879,766901.500000000000000,799983.540000000037253,747152.640000000013970,724320.160000000032596,753721.800000000162981,750084.200000000069849,827425.170000000041910,764358.599999999976717,744028.200000000069849,735909.930000000167638,10648529.379999998956919
20160226,773958.250000000000000,764352.930000000051223,725989.160000000032596,753830.000000000000000,777088.949999999953434,796199.940000000060536,742938.840000000083819,716304.270000000018626,750309.000000000116415,741257.000000000000000,824219.110000000102445,758725.319999999948777,727297.650000000139698,733576.950000000069849,10586057.369999999180436
20160229,776753.250000000000000,757696.500000000000000,718157.700000000069849,755490.889999999897555,775073.850000000093132,782705.099999999976717,738935.729999999981374,717099.739999999990687,743673.000000000116415,727525.800000000046566,815191.520000000135042,755178.439999999944121,725438.700000000069849,719220.150000000139698,10508150.369999999180436
20160301,793802.750000000000000,776508.149999999906868,741307.839999999967404,772337.060000000055879,798247.500000000000000,792668.580000000074506,753051.959999999962747,727257.280000000027940,756565.800000000046566,736598.199999999953434,801945.430000000051223,778650.439999999944121,726750.900000000023283,729359.640000000130385,10685061.530000001192093
20160302,798274.750000000000000,778534.019999999902211,749999.900000000023283,767196.209999999962747,791082.699999999953434,791974.920000000041910,751787.820000000065193,724993.250000000000000,755712.600000000093132,735127.000000000000000,805995.190000000060536,775103.559999999939464,724017.150000000023283,742101.300000000046566,10691910.370000001043081
20160303,811830.500000000000000,777665.790000000037253,753356.240000000107102,781590.589999999850988,790746.849999999976717,799605.179999999934807,749048.850000000093132,714040.239999999990687,755570.400000000023283,732920.200000000069849,810888.650000000023283,771035.079999999958090,723251.700000000069849,739409.400000000139698,10710969.669999999925494
20160304,814625.500000000000000,775639.920000000041910,756798.640000000130385,778901.530000000027940,801829.900000000023283,791785.739999999990687,747995.400000000023283,717038.550000000046566,758841.000000000000000,728506.600000000093132,818397.580000000074506,770930.760000000009313,730250.100000000093132,738422.370000000111759,10729973.589999999850988
20160307,824547.750000000000000,785479.859999999986030,780379.080000000074506,786098.719999999972060,793321.699999999953434,795632.400000000023283,749680.920000000041910,716854.979999999981374,761211.000000000000000,730468.199999999953434,817722.620000000111759,750484.039999999920838,742387.950000000069849,757893.780000000027940,10792172.999999998137355
20160308,830557.000000000000000,782875.170000000041910,763769.500000000000000,773681.589999999850988,778544.300000000046566,799100.699999999953434,746028.959999999962747,724626.109999999986030,759457.200000000069849,719924.599999999976717,817553.880000000121072,736713.800000000046566,744028.200000000069849,741473.190000000060536,10718344.199999999254942
20160309,825246.500000000000000,799082.130000000004657,798881.979999999981374,772416.149999999906868,782238.650000000023283,794749.560000000055879,750383.220000000088476,732091.290000000037253,758935.800000000046566,729242.199999999953434,815022.780000000027940,737339.720000000088476,738451.350000000093132,739409.400000000139698,10773500.730000000447035
20160310,821054.000000000000000,792425.699999999953434,808520.700000000069849,767512.570000000065193,783358.150000000023283,793866.719999999972060,752490.119999999995343,734171.750000000000000,757987.800000000046566,725564.200000000069849,811479.240000000107102,732541.000000000000000,737139.150000000023283,737435.340000000083819,10755556.439999999478459
20160311,830976.250000000000000,806317.380000000004657,814028.540000000037253,774630.669999999925494,807091.550000000046566,810073.140000000013970,756493.229999999981374,743778.579999999958090,767420.400000000023283,747877.400000000023283,816288.330000000074506,747250.119999999878928,734514.750000000116415,737525.070000000065193,10894275.410000000149012
20160314,832513.500000000000000,801686.819999999948777,811274.620000000111759,781511.500000000000000,801605.999999999883585,812469.420000000041910,756142.079999999958090,752039.229999999981374,767088.600000000093132,738069.400000000023283,816963.290000000037253,745789.639999999897555,736592.400000000023283,739499.130000000004657,10893255.630000002682209
20160315,827762.000000000000000,800529.180000000051223,811360.680000000051223,777003.369999999878928,800262.600000000093132,817955.640000000013970,756844.380000000004657,755282.300000000046566,769932.600000000093132,724338.199999999953434,812407.310000000172295,750171.079999999958090,744574.950000000069849,743178.060000000055879,10891612.349999999627471
20160316,834330.250000000000000,806896.199999999953434,821085.460000000079162,778585.169999999925494,807651.300000000046566,822622.079999999958090,754386.329999999958090,755833.010000000009313,772207.800000000046566,712078.199999999953434,822531.710000000079162,754969.800000000046566,743481.449999999953434,743626.710000000079162,10930295.470000000670552
20160317,839640.750000000000000,815867.910000000032596,833908.400000000023283,787759.609999999869615,819518.000000000000000,825333.660000000032596,749680.920000000041910,753630.170000000041910,776284.200000000069849,719434.200000000069849,833921.660000000149012,763002.439999999944121,737576.550000000046566,754663.500000000000000,11010231.970000000670552
20160318,855572.250000000000000,819919.649999999906868,840793.200000000069849,784596.010000000009313,823660.149999999906868,828297.479999999981374,755018.400000000023283,759259.650000000023283,783773.400000000139698,722131.400000000023283,835693.430000000051223,769678.919999999925494,732109.050000000046566,755560.800000000046566,11066073.790000002831221
20160321,855432.500000000000000,815867.910000000032596,830035.700000000069849,778743.349999999860302,821757.000000000116415,826153.439999999944121,753473.340000000083819,757607.520000000018626,781450.800000000046566,737333.800000000046566,836705.870000000111759,769574.599999999976717,743262.750000000000000,750356.460000000079162,11057765.040000000968575
20160322,847047.500000000000000,818472.599999999976717,821946.060000000055879,771783.429999999934807,817055.100000000093132,823504.920000000041910,754175.640000000013970,757668.709999999962747,781782.600000000093132,744935.000000000000000,832403.000000000000000,761124.679999999934807,742169.250000000116415,754842.960000000079162,11028921.450000001117587
