訓練日期,20180928 - 20190102
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9678048.720000002533197
真實報酬,-321951.279999997466803

夏普值報酬,-0.040895128000000
夏普值風險,0.031007532177591
夏普值,-1.318877225242518

預期報酬,1546.908458015280303
風險,323145.478011590137612
趨勢值,0.004787034209898
找到最佳解世代,81
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AXP[1](14),BA[2](22),JPM[13](19),KO[14](4),MCD[15](3),MRK[17](2),PFE[20](10),UNH[23](11),VZ[26](5),WBA[27](7),WMT[28](8),
Stock#,AXP[1](14),BA[2](22),JPM[13](19),KO[14](4),MCD[15](3),MRK[17](2),PFE[20](10),UNH[23](11),VZ[26](5),WBA[27](7),WMT[28](8),
張數,8429,2474,7938,19758,5459,12854,20708,3435,16963,12316,9657,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,22.350000000093132,167.140000000013970,30.239999999990687,24.420000000041910,2.729999999981374,55.119999999995343,8.800000000046566,17.250000000116415,42.829999999958090,46.039999999920838,76.590000000083819,
20180928,897626.560000000055879,920247.739999999990687,895754.160000000032596,912646.439999999944121,913238.839999999967404,911917.880000000004657,912610.360000000102445,913864.650000000139698,905697.400000000023283,897882.439999999944121,906965.460000000079162,9988461.930000001564622
20181001,909511.450000000186265,945952.600000000093132,900993.239999999990687,913436.760000000009313,909854.259999999892898,919501.739999999990687,916751.960000000079162,924375.750000000232831,913330.750000000000000,892463.399999999790452,911697.390000000130385,10057879.300000000745058
20181002,913641.660000000149012,956046.520000000018626,904724.099999999976717,918969.000000000000000,901720.349999999976717,922329.619999999995343,915716.560000000055879,929631.300000000046566,923169.290000000037253,905148.879999999888241,918940.140000000130385,10110047.420000001788139
20181003,914147.400000000139698,970717.340000000083819,913217.760000000009313,906323.880000000004657,898881.669999999925494,917445.100000000093132,927934.280000000144355,930558.750000000000000,920964.099999999976717,908966.839999999850988,908510.580000000074506,10117677.700000001117587
20181004,908162.810000000055879,965002.400000000023283,915043.500000000000000,905928.720000000088476,905104.930000000051223,915517.000000000000000,925656.400000000139698,921696.450000000069849,933347.089999999967404,903301.479999999981374,909862.560000000055879,10108633.340000001713634
20181005,903864.020000000135042,956293.920000000041910,909883.800000000046566,906521.460000000079162,909308.359999999986030,913074.739999999990687,930005.079999999958090,924719.250000000116415,931990.049999999930151,893079.199999999953434,901171.260000000125729,10079921.140000000596046
20181008,901841.060000000055879,954562.119999999995343,915440.399999999906868,918376.260000000009313,915859.160000000032596,918601.959999999962747,937667.040000000037253,924066.600000000093132,933347.089999999967404,913277.439999999944121,914497.920000000041910,10147547.049999998882413
20181009,899059.490000000107102,953745.699999999953434,909090.000000000000000,916598.040000000037253,927104.700000000069849,929913.479999999981374,941601.560000000055879,927845.100000000209548,932838.199999999953434,906011.000000000000000,937578.150000000023283,10181395.420000001788139
20181010,873013.880000000004657,909287.920000000041910,884879.099999999976717,902569.859999999986030,919134.560000000055879,905619.420000000041910,921721.880000000004657,903697.050000000046566,921642.619999999878928,890616.000000000000000,924830.910000000149012,9957023.199999999254942
20181011,856240.170000000041910,886131.280000000027940,858366.179999999934807,882021.540000000037253,889655.959999999962747,878883.100000000093132,886518.280000000144355,883224.450000000186265,904679.619999999878928,873250.439999999944121,907062.030000000144355,9706043.050000000745058
20181012,868209.350000000093132,891079.280000000027940,848999.339999999967404,882811.859999999986030,894296.109999999986030,897392.859999999986030,906605.040000000037253,891777.600000000209548,911464.819999999948777,905272.039999999920838,915656.760000000125729,9813575.060000000521541
20181015,865006.330000000074506,888036.260000000009313,844157.160000000032596,887356.199999999953434,893477.259999999892898,892893.959999999962747,892937.760000000009313,893976.000000000116415,909259.630000000004657,920297.559999999939464,906096.330000000074506,9793504.449999999254942
20181016,878914.180000000051223,911217.640000000013970,862255.800000000046566,898815.840000000083819,895660.859999999986030,915517.000000000000000,909711.239999999990687,936295.200000000069849,910955.930000000051223,939510.519999999902211,925313.760000000125729,9984177.970000000670552
20181017,879504.210000000079162,904414.140000000013970,871860.780000000027940,906126.300000000046566,910400.160000000032596,923229.399999999906868,922964.360000000102445,918192.750000000116415,915366.309999999939464,948131.719999999972060,932556.510000000125729,10032756.640000000596046
20181018,866860.710000000079162,889199.040000000037253,858048.660000000032596,901186.800000000046566,910618.520000000018626,928242.459999999962747,911160.800000000046566,916509.600000000093132,927070.779999999911524,943205.319999999948777,928790.280000000144355,9980902.969999998807907
20181019,899649.520000000135042,881554.380000000004657,856619.819999999948777,915412.560000000055879,914330.640000000013970,930042.019999999902211,921514.800000000046566,911322.750000000116415,931311.529999999911524,952688.639999999897555,938254.140000000130385,10052710.800000000745058
20181022,880937.140000000130385,880861.660000000032596,844315.920000000041910,908299.680000000051223,909635.899999999906868,932869.899999999906868,918822.760000000009313,900639.900000000139698,932668.569999999948777,956383.439999999944121,938157.570000000065193,10003602.440000001341105
20181023,879841.370000000111759,866190.840000000083819,835504.739999999990687,916005.300000000046566,967064.579999999958090,926828.519999999902211,913231.600000000093132,909811.350000000209548,970496.059999999939464,951580.199999999953434,944531.190000000060536,10081095.749999998137355
