訓練日期,20120905 - 20121207
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10640959.950000001117587
真實報酬,640959.950000001117587

夏普值報酬,0.055395995000000
夏普值風險,0.014273992650008
夏普值,3.880903987992967

預期報酬,9740.883808893397145
風險,203477.774341320968233
趨勢值,0.047871979337427
找到最佳解世代,1
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
BA[2](9),DD[7](12),HD[9](2),IBM[10](17),MRK[17](10),TRV[22](3),UNH[23](18),UTX[24](19),V[25](1),
Stock#,BA[2](9),DD[7](12),HD[9](2),IBM[10](17),MRK[17](10),TRV[22](3),UNH[23](18),UTX[24](19),V[25](1),
張數,15678,27239,19565,5711,25690,17189,20364,14181,34581,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,11.139999999897555,32.189999999944121,14.649999999906868,93.060000000055879,18.500000000000000,14.040000000037253,51.159999999916181,29.650000000139698,23.469999999972060,
20120905,1127572.899999999906868,1103756.469999999972060,1106219.750000000000000,1113966.500000000000000,1115992.099999999860302,1109220.209999999962747,1105409.079999999841675,1106573.080000000074506,1103157.369999999878928,9991868.459999999031425
20120906,1141683.099999999860302,1145432.139999999897555,1127936.899999999906868,1137153.159999999916181,1136544.100000000093132,1123143.300000000046566,1117831.119999999878928,1126001.050000000279397,1119756.250000000000000,10175482.120000001043081
20120907,1142780.559999999823049,1176484.599999999860302,1120306.549999999813735,1139437.560000000055879,1131663.000000000000000,1120908.729999999981374,1117627.479999999981374,1126142.860000000102445,1121485.300000000046566,10196837.640000000596046
20120910,1114403.379999999888241,1175395.039999999804422,1121089.149999999906868,1147718.510000000009313,1137057.899999999906868,1122627.630000000121072,1094412.520000000018626,1114798.060000000055879,1112494.239999999990687,10139997.430000001564622
20120911,1117382.199999999720603,1172943.530000000027940,1109741.449999999953434,1160968.030000000027940,1138856.199999999953434,1150817.590000000083819,1075270.359999999869615,1116925.210000000195578,1136700.939999999944121,10179606.509999999776483
20120912,1112522.019999999785796,1170764.409999999916181,1116197.899999999906868,1163823.530000000027940,1143994.199999999953434,1160959.100000000093132,1075677.639999999897555,1117917.880000000121072,1153991.439999999944121,10215849.119999999180436
20120913,1122242.379999999888241,1219249.829999999841675,1140654.149999999906868,1178615.020000000018626,1147333.899999999906868,1176601.090000000083819,1097467.119999999878928,1142025.580000000074506,1166786.410000000149012,10390976.480000000447035
20120914,1117538.979999999981374,1251119.459999999962747,1163349.549999999813735,1181184.969999999972060,1120616.300000000046566,1178835.659999999916181,1104798.159999999916181,1169253.100000000093132,1160561.830000000074506,10447259.009999999776483
20120917,1096216.899999999906868,1207537.059999999823049,1152588.799999999813735,1183126.710000000195578,1130378.500000000000000,1177116.760000000009313,1109481.879999999888241,1164998.800000000279397,1157449.540000000037253,10378895.949999999254942
20120918,1104526.239999999990687,1203451.209999999962747,1151610.549999999813735,1182669.830000000074506,1132433.699999999953434,1176772.979999999981374,1122718.479999999981374,1155497.530000000260770,1155720.489999999990687,10385402.009999999776483
20120919,1095903.340000000083819,1200999.699999999953434,1163545.199999999953434,1179014.790000000037253,1143480.399999999906868,1172819.510000000009313,1119052.959999999962747,1158900.970000000204891,1165403.170000000158325,10399121.039999999105930
20120920,1095119.439999999711290,1198003.409999999916181,1159827.849999999860302,1177587.040000000037253,1153242.600000000093132,1176601.090000000083819,1118849.319999999832362,1147556.170000000158325,1163674.119999999878928,10390462.039999999105930
20120921,1097000.799999999813735,1173760.699999999953434,1162566.949999999953434,1176444.840000000083819,1153756.399999999906868,1179351.330000000074506,1144100.679999999934807,1145145.400000000139698,1167132.219999999972060,10399260.320000000298023
20120924,1097941.479999999981374,1172398.750000000000000,1161980.000000000000000,1172504.250000000000000,1159665.100000000093132,1176085.420000000158325,1140027.879999999888241,1134935.080000000074506,1156412.109999999869615,10371951.070000000298023
20120925,1087750.779999999795109,1155510.570000000065193,1168436.449999999953434,1170733.840000000083819,1158894.399999999906868,1177116.760000000009313,1144507.959999999962747,1117067.020000000018626,1163328.310000000055879,10343347.089999999850988
20120926,1101390.639999999897555,1128816.349999999860302,1157675.699999999953434,1165137.060000000055879,1156325.399999999906868,1165084.459999999962747,1135955.079999999841675,1113663.580000000074506,1145692.000000000000000,10269741.269999999552965
20120927,1099038.939999999711290,1130723.079999999841675,1171566.849999999860302,1176045.070000000065193,1161977.199999999953434,1175913.530000000027940,1145322.520000000018626,1111111.000000000000000,1157795.349999999860302,10329494.539999999105930
20120928,1091199.939999999711290,1123096.159999999916181,1181153.699999999953434,1184840.010000000009313,1158637.500000000000000,1173335.180000000167638,1128420.399999999906868,1110260.140000000130385,1160907.639999999897555,10311851.670000001788139
20121001,1097627.919999999925494,1137260.439999999944121,1185066.699999999953434,1202087.229999999981374,1161720.300000000046566,1187258.270000000018626,1149802.599999999860302,1111111.000000000000000,1182002.050000000046566,10413937.509999999776483
20121002,1090102.479999999981374,1131267.859999999869615,1180371.099999999860302,1198489.300000000046566,1168142.800000000046566,1180898.340000000083819,1156726.359999999869615,1111678.240000000223517,1175777.469999999972060,10393454.949999999254942
20121003,1095276.219999999972060,1113834.899999999906868,1208544.699999999953434,1202315.669999999925494,1176106.699999999953434,1186226.930000000167638,1157948.199999999953434,1114089.010000000242144,1197563.500000000000000,10451906.830000001937151
20121004,1096530.459999999962747,1132085.030000000027940,1207957.750000000000000,1201630.350000000093132,1184841.300000000046566,1190867.959999999962747,1180552.239999999990687,1113663.580000000074506,1207591.989999999990687,10515721.660000000149012
20121005,1111424.559999999823049,1132629.809999999823049,1236522.649999999906868,1202772.550000000046566,1188951.699999999953434,1195680.880000000121072,1163446.479999999981374,1113379.960000000195578,1212779.139999999897555,10557588.730000000447035
20121008,1106407.599999999860302,1125002.889999999897555,1210696.849999999860302,1198375.080000000074506,1190493.100000000093132,1195337.100000000093132,1173017.560000000055879,1111394.620000000111759,1199292.550000000046566,10510018.350000001490116
20121009,1107505.059999999823049,1101577.349999999860302,1192501.399999999906868,1187923.950000000186265,1186125.800000000046566,1191555.520000000018626,1170370.239999999990687,1096646.380000000121072,1182347.859999999869615,10416554.560000000521541
20121010,1102801.659999999916181,1089319.800000000046566,1168827.750000000000000,1175531.080000000074506,1171482.500000000000000,1192930.640000000130385,1163039.199999999953434,1078069.270000000018626,1187880.820000000065193,10329883.720000000670552
20121011,1110483.879999999888241,1094767.599999999860302,1154545.299999999813735,1175188.419999999925494,1167629.000000000000000,1188805.280000000027940,1174239.399999999906868,1078494.700000000186265,1202059.029999999795109,10346213.609999997541308
20121012,1126475.439999999711290,1089319.800000000046566,1165306.050000000046566,1186838.860000000102445,1171996.300000000046566,1181242.120000000111759,1162224.639999999897555,1077218.410000000149012,1202750.649999999906868,10363373.270000001415610
20121015,1132746.639999999897555,1098581.059999999823049,1186631.899999999906868,1193292.290000000037253,1196915.600000000093132,1199634.350000000093132,1170777.520000000018626,1079912.800000000279397,1209321.040000000037253,10467814.199999999254942
20121016,1152030.580000000074506,1160141.199999999953434,1190740.549999999813735,1205114.060000000055879,1211815.800000000046566,1211666.649999999906868,1158355.479999999981374,1100475.250000000000000,1220386.959999999962747,10610727.530000001192093
20121017,1154382.279999999795109,1172943.530000000027940,1201110.000000000000000,1145890.989999999990687,1217467.600000000093132,1226964.859999999869615,1140231.520000000018626,1113805.390000000130385,1232490.310000000055879,10605287.480000000447035
20121018,1164259.419999999925494,1172398.750000000000000,1209131.649999999906868,1113509.620000000111759,1232110.899999999906868,1270968.699999999953434,1140638.799999999813735,1123590.280000000260770,1226611.540000000037253,10653220.660000000149012
20121019,1160339.919999999925494,1158234.469999999972060,1210892.500000000000000,1104372.020000000018626,1208219.199999999953434,1263577.430000000167638,1133511.399999999906868,1106005.840000000083819,1210012.660000000149012,10555166.440000001341105
20121022,1155479.739999999990687,1153603.840000000083819,1213827.250000000000000,1110311.460000000195578,1194089.699999999953434,1271828.149999999906868,1151431.719999999972060,1103736.880000000121072,1201713.219999999972060,10556022.960000000894070
20121023,1141683.099999999860302,1107569.929999999934807,1208153.399999999906868,1092321.810000000055879,1178932.600000000093132,1261342.859999999869615,1144100.679999999934807,1092959.320000000065193,1181310.429999999934807,10408375.129999998956919
20121024,1139958.519999999785796,1159051.639999999897555,1198957.849999999860302,1089294.979999999981374,1178675.699999999953434,1257905.060000000055879,1138806.040000000037253,1104729.550000000279397,1179927.189999999944121,10447307.529999999329448
