訓練日期,20190530 - 20190829
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11068620.719999996945262
真實報酬,1068620.719999996945262

夏普值報酬,0.098162072000000
夏普值風險,0.023829934954224
夏普值,4.119275700439996

預期報酬,20711.470954999185778
風險,337043.645159252628218
趨勢值,0.061450412290708
找到最佳解世代,39
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AAPL[0](4),DD[7](18),HD[9](6),KO[14](3),MCD[15](2),MSFT[18](7),PG[21](1),V[25](5),XOM[29](25),
Stock#,AAPL[0](4),DD[7](18),HD[9](6),KO[14](3),MCD[15](2),MSFT[18](7),PG[21](1),V[25](5),XOM[29](25),
張數,6264,16881,5848,22857,5668,8893,10664,6827,15397,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,2.679999999934807,3.580000000074506,49.479999999981374,32.229999999981374,69.639999999897555,19.580000000074506,28.840000000083819,153.290000000037253,63.479999999981374,
20190530,1116873.880000000121072,1113980.770000000018626,1117485.320000000065193,1125739.479999999981374,1129361.959999999962747,1118136.470000000204891,1123267.959999999962747,1111315.810000000055879,1108185.570000000065193,10064348.220000000670552
20190531,1096641.159999999916181,1090853.800000000046566,1110292.280000000027940,1122996.640000000130385,1123864.000000000000000,1099905.820000000065193,1097461.080000000074506,1101553.200000000186265,1089709.169999999925494,9933278.150000000372529
20190603,1085553.880000000121072,1284647.679999999934807,1108654.839999999850988,1142425.089999999850988,1126754.679999999934807,1065756.700000000186265,1106952.040000000037253,1082915.489999999990687,1106799.839999999850988,10110461.240000000223517
20190604,1125267.639999999897555,1251054.489999999990687,1141871.479999999981374,1142882.229999999981374,1131572.479999999981374,1095281.459999999962747,1116336.360000000102445,1108380.200000000186265,1133128.709999999962747,10245776.050000000745058
20190605,1143433.239999999990687,1263715.239999999990687,1150292.599999999860302,1160710.689999999944121,1134406.479999999981374,1119025.770000000018626,1138197.560000000055879,1129270.819999999832362,1123736.540000000037253,10362789.940000001341105
20190606,1160220.760000000009313,1226577.040000000037253,1153099.639999999897555,1174882.030000000027940,1150957.040000000037253,1136722.840000000083819,1145129.160000000149012,1139716.129999999888241,1144214.550000000046566,10431520.190000001341105
20190607,1191102.280000000027940,1243120.420000000158325,1153859.880000000121072,1176939.159999999916181,1164730.279999999795109,1168559.780000000027940,1159952.120000000111759,1161084.640000000130385,1148371.739999999990687,10567721.300000000745058
20190610,1206323.800000000046566,1244977.330000000074506,1158245.880000000121072,1174424.890000000130385,1141038.040000000037253,1179231.380000000121072,1159418.920000000158325,1166341.429999999934807,1153452.750000000000000,10583455.419999999925494
20190611,1220292.520000000018626,1244639.710000000195578,1158011.959999999962747,1173282.040000000037253,1152147.319999999832362,1174784.880000000121072,1166457.160000000149012,1162859.660000000149012,1152374.959999999962747,10604851.210000000894070
20190612,1216408.839999999850988,1240081.840000000083819,1163450.599999999860302,1180367.709999999962747,1161612.879999999888241,1169360.150000000139698,1169656.360000000102445,1171598.219999999972060,1139903.389999999897555,10612440.990000000223517
20190613,1216158.280000000027940,1263208.810000000055879,1183392.280000000027940,1168710.640000000130385,1159118.959999999962747,1176741.340000000083819,1182773.080000000074506,1156305.739999999990687,1149911.440000000176951,10656321.569999998435378
20190614,1207326.040000000037253,1267429.060000000055879,1203392.439999999944121,1172824.900000000139698,1163653.359999999869615,1177897.429999999934807,1185865.640000000130385,1158422.110000000102445,1144830.429999999934807,10681642.410000000149012
20190617,1214529.639999999897555,1261858.330000000074506,1210468.520000000018626,1162767.819999999832362,1155264.719999999972060,1181454.630000000121072,1183626.199999999953434,1157739.410000000149012,1156224.209999999962747,10683934.480000000447035
20190618,1243093.479999999748543,1253417.830000000074506,1213392.520000000018626,1157510.709999999962747,1159232.319999999832362,1201997.459999999962747,1168803.239999999990687,1155827.850000000093132,1166232.260000000009313,10719508.669999998062849
20190619,1239460.359999999869615,1231810.150000000139698,1216082.599999999860302,1168482.069999999832362,1159459.040000000037253,1206710.750000000000000,1177547.720000000204891,1165453.919999999925494,1159765.519999999785796,10724773.129999998956919
