訓練日期,20171124 - 20180228
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11321312.310000000521541
真實報酬,1321312.310000000521541

夏普值報酬,0.123431231000000
夏普值風險,0.037813113484404
夏普值,3.264244057842790

預期報酬,23688.164090642185329
風險,247831.549256043857895
趨勢值,0.095581713311928
找到最佳解世代,54
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
BA[2](1),CSCO[4](3),GS[8](7),INTC[11](22),JPM[13](2),MCD[15](27),NKE[19](4),TRV[22](10),UNH[23](11),
Stock#,BA[2](1),CSCO[4](3),GS[8](7),INTC[11](22),JPM[13](2),MCD[15](27),NKE[19](4),TRV[22](10),UNH[23](11),
張數,4190,30483,4699,24884,11264,6572,18810,8546,5260,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,132.500000000000000,5.649999999906868,126.429999999934807,40.400000000139698,30.040000000037253,114.399999999906868,4.300000000046566,45.540000000037253,93.800000000046566,
20171124,1114169.699999999953434,1112330.320000000065193,1108855.479999999981374,1113599.400000000139698,1107506.520000000018626,1111505.320000000065193,1115813.500000000000000,1109572.720000000204891,1117896.399999999906868,10011250.360000001266599
20171127,1112912.699999999953434,1123913.859999999869615,1104908.320000000065193,1107129.560000000288710,1103113.560000000055879,1110519.520000000018626,1121644.600000000093132,1115127.619999999878928,1117317.800000000046566,10016588.539999999105930
20171128,1123010.600000000093132,1150129.239999999757856,1125114.020000000018626,1113101.719999999972060,1141749.080000000074506,1126160.879999999888241,1120704.100000000093132,1136749.000000000000000,1136990.199999999953434,10173709.839999999850988
20171129,1128499.500000000000000,1142508.489999999757856,1134277.070000000065193,1093692.200000000186265,1168444.760000000009313,1120180.359999999869615,1135375.900000000139698,1149738.920000000158325,1172442.600000000093132,10245160.799999998882413
20171130,1159924.500000000000000,1137021.549999999813735,1163786.789999999804422,1115838.960000000195578,1177343.320000000065193,1130301.239999999990687,1136504.500000000000000,1158626.760000000009313,1200268.000000000000000,10379616.620000001043081
20171201,1137214.699999999953434,1146166.449999999953434,1169942.479999999981374,1111857.520000000018626,1180384.600000000093132,1136216.040000000037253,1126347.100000000093132,1164096.200000000186265,1192956.600000000093132,10365182.689999999478459
20171204,1164826.800000000046566,1149824.409999999916181,1177930.780000000027940,1107129.560000000288710,1204714.840000000083819,1121626.199999999953434,1130485.300000000046566,1165378.100000000093132,1164763.000000000000000,10386679.990000000223517
20171205,1154645.100000000093132,1137326.379999999888241,1167029.100000000093132,1081001.360000000102445,1190860.120000000111759,1137004.679999999934807,1136504.500000000000000,1156490.260000000009313,1157767.199999999953434,10318629.699999999254942
20171206,1166083.799999999813735,1140374.679999999701977,1155845.479999999981374,1081250.200000000186265,1181961.560000000055879,1140224.959999999729916,1123337.500000000000000,1156832.100000000093132,1156978.199999999953434,10302889.480000000447035
20171207,1181586.800000000046566,1140069.849999999860302,1168109.869999999878928,1072043.120000000111759,1178469.720000000204891,1136478.919999999925494,1139890.300000000046566,1147004.200000000186265,1158082.800000000046566,10321736.580000000074506
20171208,1198053.500000000000000,1146471.279999999795109,1176521.079999999841675,1078761.800000000279397,1193225.560000000055879,1138056.199999999953434,1153057.300000000046566,1143073.040000000037253,1177860.400000000139698,10405081.160000002011657
