訓練日期,20100309 - 20100609
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9724886.100000001490116
真實報酬,-275113.899999998509884

夏普值報酬,-0.036211390000000
夏普值風險,0.034729810008842
夏普值,-1.042660181290383

預期報酬,8612.723427427530623
風險,450726.156805450038519
趨勢值,0.019108550274674
找到最佳解世代,94
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](1),CAT[3](5),CSCO[4](24),DIS[6](7),HD[9](3),INTC[11](6),JNJ[12](19),MCD[15](2),NKE[19](4),UTX[24](13),VZ[26](21),
Stock#,AAPL[0](1),CAT[3](5),CSCO[4](24),DIS[6](7),HD[9](3),INTC[11](6),JNJ[12](19),MCD[15](2),NKE[19](4),UTX[24](13),VZ[26](21),
張數,29044,15431,34791,27390,28444,43769,14160,13960,52854,12847,32819,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,12.799999999930151,49.790000000037253,1.170000000041910,15.900000000023283,19.760000000009313,7.869999999995343,18.000000000000000,14.799999999930151,1.200000000069849,36.279999999911524,3.700000000069849,
20100309,925354.639999999897555,913256.369999999995343,909090.000000000000000,912376.800000000046566,901125.680000000051223,916530.730000000097789,910081.199999999953434,908810.799999999813735,910675.620000000111759,922193.939999999944121,917622.940000000060536,10047128.719999998807907
20100310,932906.079999999841675,907083.970000000088476,900044.340000000083819,912924.599999999976717,901979.000000000000000,927472.980000000097789,910364.400000000139698,906577.199999999953434,913318.320000000181608,922322.410000000032596,912700.090000000083819,10047703.390000000596046
20100311,935520.039999999920838,908935.690000000060536,903523.440000000060536,926071.800000000046566,913925.480000000097789,930099.119999999995343,909373.199999999953434,910346.399999999790452,921774.960000000195578,925534.160000000032596,915653.800000000046566,10100768.089999999850988
20100312,940167.079999999841675,931464.950000000069849,900392.250000000000000,922785.000000000000000,923027.560000000055879,930974.500000000000000,908806.800000000046566,914813.599999999976717,923889.120000000111759,918982.189999999944121,912371.900000000139698,10127684.949999999254942
20100315,928839.919999999925494,917731.359999999986030,907350.449999999953434,923606.699999999953434,929854.119999999995343,926597.600000000093132,914329.199999999953434,920397.599999999976717,930231.600000000093132,922964.760000000009313,916310.180000000167638,10138223.490000000223517
20100316,931163.439999999944121,917422.740000000107102,909785.819999999948777,924428.400000000023283,925871.959999999962747,963363.560000000055879,913762.800000000046566,922351.999999999883585,930231.600000000093132,930159.079999999958090,918279.320000000065193,10186830.720000000670552
20100317,930001.680000000051223,929304.609999999986030,913612.830000000074506,924428.400000000023283,925018.640000000130385,973430.429999999934807,915462.000000000116415,926679.599999999860302,936574.079999999958090,927461.209999999846332,925171.310000000055879,10227154.789999999105930
20100318,932034.760000000009313,922360.660000000032596,916396.109999999986030,925250.100000000093132,921605.359999999986030,971679.669999999925494,921267.599999999976717,930867.599999999976717,986785.380000000121072,931443.779999999911524,929765.969999999972060,10289466.990000000223517
20100319,922159.799999999930151,916188.260000000009313,909785.819999999948777,921415.500000000000000,920467.599999999976717,962488.179999999934807,921975.599999999976717,928773.599999999976717,971457.719999999972060,940950.559999999823049,933047.870000000111759,10248720.509999997913837
20100322,932615.639999999897555,925138.240000000107102,914308.650000000023283,929906.400000000139698,929285.240000000107102,973430.429999999934807,921833.999999999883585,935474.400000000023283,976214.579999999958090,932856.949999999953434,940596.240000000107102,10311670.769999999552965
20100323,947428.079999999841675,963098.500000000000000,926833.410000000032596,931549.799999999930151,927009.720000000088476,992251.100000000093132,925515.599999999976717,940220.799999999813735,984142.680000000167638,939023.510000000009313,950441.940000000060536,10427525.139999998733401
20100324,951784.680000000051223,957697.650000000023283,920223.119999999995343,941958.000000000000000,919329.839999999967404,981746.540000000037253,916878.000000000000000,932542.799999999930151,969872.100000000093132,938381.160000000032596,934688.820000000065193,10365112.710000000894070
20100325,940457.520000000018626,958932.130000000004657,919527.300000000046566,961131.000000000116415,927863.039999999920838,978245.020000000018626,914329.199999999953434,933938.800000000046566,971986.260000000125729,941335.969999999855645,930094.160000000032596,10377850.400000000372529
20100326,958174.359999999986030,963561.430000000051223,920918.940000000060536,967156.800000000046566,931560.760000000009313,973430.429999999934807,911638.799999999930151,938964.400000000023283,976214.579999999958090,945832.419999999925494,931735.110000000102445,10419198.029999999329448
20100329,964273.599999999976717,979609.670000000041910,922310.580000000074506,963048.299999999930151,927294.160000000032596,977369.639999999897555,917869.199999999953434,936311.999999999883585,977271.660000000032596,950714.279999999911524,934360.630000000004657,10450443.719999998807907
20100330,978505.159999999916181,974671.750000000000000,927181.319999999948777,961404.900000000023283,929854.119999999995343,977807.329999999958090,919002.000000000116415,938685.199999999837019,975157.500000000000000,952384.389999999897555,958318.500000000000000,10492982.170000001788139
20100331,975019.879999999888241,969888.140000000013970,905610.900000000023283,956200.799999999930151,920183.160000000032596,975618.880000000004657,923250.000000000000000,931425.999999999883585,971457.719999999972060,945703.949999999953434,951754.700000000069849,10426124.129999998956919
20100401,979086.039999999920838,987479.480000000097789,898652.699999999953434,973730.399999999906868,921036.480000000097789,979995.780000000027940,931321.199999999953434,943431.599999999860302,977800.200000000069849,952384.389999999897555,959631.260000000009313,10504559.529999999329448
20100405,989541.879999999888241,1002910.479999999981374,910481.640000000130385,964691.699999999953434,929000.799999999930151,988749.579999999958090,926082.000000000116415,949713.599999999976717,979385.820000000181608,961634.229999999864958,965210.490000000107102,10567412.220000000670552
20100406,993898.479999999864958,1007539.780000000144355,912221.190000000060536,971539.199999999953434,925871.959999999962747,980433.469999999972060,924807.599999999976717,946642.399999999906868,976743.120000000111759,959321.769999999902211,957333.930000000167638,10556362.899999998509884
20100407,998255.079999999841675,994886.359999999986030,916396.109999999986030,967430.700000000069849,927578.599999999976717,982621.919999999925494,923533.199999999953434,945106.799999999930151,972514.800000000046566,950585.809999999823049,927796.830000000074506,10506716.210000000894070
20100408,995641.119999999995343,995040.670000000041910,914308.650000000023283,977017.200000000069849,937818.439999999944121,976494.259999999892898,919426.800000000046566,959904.400000000023283,977800.200000000069849,946860.179999999934807,925499.500000000000000,10525821.419999999925494
20100409,1003192.559999999939464,1007231.160000000032596,925441.770000000135042,992081.699999999953434,945782.760000000009313,986998.820000000065193,922400.400000000023283,958787.599999999976717,993656.400000000139698,950585.809999999823049,922873.980000000097789,10609042.960000000894070
20100412,1005225.639999999897555,1029760.420000000041910,923006.400000000023283,983043.000000000000000,952324.879999999888241,986561.130000000004657,921975.599999999976717,956693.599999999976717,997884.719999999972060,947631.000000000000000,918607.510000000009313,10622723.899999998509884
