訓練日期,20120216 - 20120518
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10165129.690000001341105
真實報酬,165129.690000001341105

夏普值報酬,0.007812969000000
夏普值風險,0.016067336529738
夏普值,0.486264103919124

預期報酬,9855.669104468055593
風險,147611.290379554237006
趨勢值,0.066767718642159
找到最佳解世代,55
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AXP[1](3),HD[9](4),KO[14](1),MCD[15](26),MMM[16](19),MRK[17](16),NKE[19](11),PFE[20](2),PG[21](17),UNH[23](13),VZ[26](8),
Stock#,AXP[1](3),HD[9](4),KO[14](1),MCD[15](26),MMM[16](19),MRK[17](16),NKE[19](11),PFE[20](2),PG[21](17),UNH[23](13),VZ[26](8),
張數,17645,19888,26581,9219,10448,23910,34112,43064,14083,16643,24030,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,19.599999999976717,9.520000000018626,19.799999999930151,4.410000000032596,9.519999999902211,31.799999999930151,5.200000000069849,8.960000000079162,32.350000000093132,49.340000000083819,35.100000000093132,
20120216,932910.749999999883585,913465.359999999986030,915203.629999999888241,915082.350000000093132,915776.719999999972060,911959.199999999953434,905337.680000000051223,918564.079999999958090,918243.950000000186265,911919.310000000055879,914376.599999999976717,10072849.629999998956919
20120217,932734.299999999930151,928978.000000000000000,917861.729999999981374,921812.219999999972060,914836.399999999906868,922001.400000000023283,909772.240000000107102,912535.120000000111759,914159.880000000004657,910088.580000000074506,924228.900000000139698,10109018.770000001415610
20120221,932557.849999999976717,933154.480000000097789,914672.009999999892898,926421.719999999972060,915254.319999999832362,911720.099999999976717,895104.080000000074506,913827.040000000037253,907259.210000000079162,920740.100000000093132,924949.800000000162981,10095670.709999999031425
20120222,931499.149999999906868,926193.680000000051223,920519.829999999958090,927988.949999999953434,916926.000000000000000,913871.999999999883585,901585.360000000102445,919856.000000000000000,907540.870000000111759,918410.080000000074506,918221.400000000139698,10102623.320000002160668
20120223,929381.750000000000000,933751.120000000111759,919456.589999999967404,929371.800000000046566,918388.719999999972060,920805.899999999906868,905337.680000000051223,905644.880000000121072,935425.210000000079162,914415.760000000009313,916299.000000000116415,10128288.409999998286366
20120224,941027.449999999953434,934347.760000000009313,917064.299999999930151,924854.489999999990687,921523.119999999878928,913393.800000000046566,906361.040000000037253,912104.480000000097789,939509.280000000027940,926232.290000000037253,916539.300000000162981,10152967.310000002384186
20120227,956025.699999999953434,933353.359999999986030,914937.819999999948777,925223.250000000000000,920164.879999999888241,912198.299999999930151,913865.680000000051223,915549.600000000093132,939368.450000000186265,927563.729999999981374,916299.000000000116415,10174559.769999999552965
20120228,948614.799999999930151,939319.760000000009313,914937.819999999948777,919876.230000000097789,917030.479999999864958,917697.599999999976717,916253.520000000018626,913827.040000000037253,949085.720000000088476,929394.460000000195578,916779.600000000093132,10182827.029999999329448
