訓練日期,20100310 - 20100610
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9903203.910000000149012
真實報酬,-96796.089999999850988

夏普值報酬,-0.018379609000000
夏普值風險,0.036386353284790
夏普值,-0.505123688987074

預期報酬,5882.578132813745469
風險,450981.777653094031848
趨勢值,0.013043937525429
找到最佳解世代,93
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](1),AXP[1](8),CVX[5](10),DD[7](28),HD[9](3),IBM[10](9),JPM[13](23),MCD[15](2),MSFT[18](21),NKE[19](4),TRV[22](19),
Stock#,AAPL[0](1),AXP[1](8),CVX[5](10),DD[7](28),HD[9](3),IBM[10](9),JPM[13](23),MCD[15](2),MSFT[18](21),NKE[19](4),TRV[22](19),
張數,28533,22898,12235,21847,28696,7240,21430,13964,31565,52762,16970,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,28.619999999995343,39.399999999906868,29.500000000000000,36.329999999958090,0.719999999972060,108.000000000000000,29.399999999906868,33.600000000093132,18.000000000000000,0.739999999990687,7.099999999976717,
20100310,916508.579999999958090,909547.959999999846332,904930.099999999976717,904065.190000000060536,909950.880000000004657,909596.800000000046566,920019.299999999930151,906855.760000000009313,914456.049999999930151,911728.100000000093132,897550.400000000023283,10005219.119999999180436
20100311,919076.550000000046566,918478.179999999934807,905297.149999999906868,914770.219999999855645,922003.200000000069849,923932.000000000000000,925376.799999999930151,910626.040000000037253,921084.699999999953434,920170.020000000018626,909938.499999999883585,10090763.359999999403954
20100312,923641.829999999958090,933361.879999999888241,901993.699999999953434,928315.359999999986030,931185.920000000041910,926393.599999999976717,924733.899999999906868,915094.520000000135042,923925.549999999930151,922280.500000000000000,902132.299999999930151,10133069.060000000521541
20100315,912513.959999999962747,931988.000000000000000,900158.449999999953434,933340.169999999925494,938072.959999999962747,925597.199999999953434,923019.499999999883585,920680.120000000228174,924556.849999999976717,928611.940000000060536,894835.199999999953434,10133384.349999999627471
20100316,914796.600000000093132,937025.559999999939464,905174.800000000046566,947103.780000000027940,934055.519999999902211,931678.799999999930151,926662.599999999976717,922635.079999999958090,927082.050000000046566,928611.940000000060536,896871.599999999976717,10171708.329999998211861
20100317,913655.280000000027940,939086.379999999888241,913616.950000000069849,946885.310000000055879,933194.640000000013970,925090.400000000023283,938449.099999999860302,926963.920000000041910,935288.949999999953434,934943.379999999888241,899247.400000000023283,10206431.709999999031425
