訓練日期,20091112 - 20100217
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10511147.969999998807907
真實報酬,511147.969999998807907

夏普值報酬,0.042414797000000
夏普值風險,0.021476111866804
夏普值,1.974975603733971

預期報酬,8932.734483745267426
風險,171242.383058317034738
趨勢值,0.052164273377948
找到最佳解世代,94
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](20),BA[2](1),INTC[11](13),MCD[15](16),MMM[16](8),MRK[17](2),NKE[19](22),TRV[22](28),UNH[23](3),UTX[24](11),V[25](6),
Stock#,AAPL[0](20),BA[2](1),INTC[11](13),MCD[15](16),MMM[16](8),MRK[17](2),NKE[19](22),TRV[22](28),UNH[23](3),UTX[24](11),V[25](6),
張數,31304,17937,45821,14469,11660,27365,56012,16738,30953,13574,45004,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,21.840000000083819,42.839999999967404,1.359999999986030,2.729999999981374,76.400000000023283,24.700000000069849,15.239999999990687,49.219999999972060,0.390000000013970,39.219999999972060,9.200000000069849,
20091112,903455.280000000027940,901915.199999999953434,901758.640000000013970,899540.459999999962747,900345.000000000000000,902522.400000000023283,897327.479999999981374,889506.540000000037253,890208.670000000041910,905425.020000000018626,899189.120000000111759,9891203.810000002384186
20091113,914411.680000000167638,909090.000000000000000,908173.579999999958090,919941.750000000000000,901627.599999999976717,905806.200000000069849,902368.559999999939464,891849.859999999986030,900113.630000000004657,922935.479999999864958,900089.200000000069849,9976417.539999999105930
20091116,924115.920000000041910,941376.599999999860302,926960.190000000060536,933687.300000000046566,909789.599999999976717,925235.350000000093132,925333.479999999981374,886158.939999999944121,902280.339999999967404,941260.380000000004657,895138.760000000125729,10111346.859999999403954
20091117,925681.120000000111759,942273.449999999953434,931084.079999999958090,919797.059999999939464,918651.200000000069849,938370.550000000046566,909650.119999999878928,889673.919999999925494,896708.799999999930151,949269.040000000037253,906389.760000000125729,10127559.099999999627471
20091118,920985.520000000135042,933125.580000000074506,921919.880000000004657,925729.349999999976717,907224.400000000023283,961630.800000000046566,902368.559999999939464,889673.919999999925494,893613.500000000000000,934066.160000000032596,904589.600000000093132,10094937.269999999552965
20091119,896568.400000000139698,922542.750000000000000,884346.660000000032596,917482.019999999902211,900811.400000000023283,966830.150000000023283,890045.920000000041910,881807.059999999939464,886184.780000000027940,923206.960000000079162,902339.400000000139698,9972175.500000001862645
20091120,894064.080000000074506,927385.739999999990687,881597.399999999906868,925584.659999999916181,893698.800000000046566,997752.600000000093132,895087.000000000000000,876785.660000000032596,884018.069999999948777,922664.000000000000000,900089.200000000069849,9998737.209999999031425
20091123,920672.480000000097789,944067.150000000023283,888928.759999999892898,925874.040000000037253,906408.200000000069849,996658.000000000116415,902928.680000000051223,886661.079999999958090,900113.630000000004657,932980.239999999990687,905039.640000000013970,10110341.900000000372529
20091124,914411.680000000167638,932228.729999999981374,888470.550000000046566,929201.909999999916181,905009.000000000000000,991185.000000000000000,903488.799999999930151,888669.640000000013970,914971.069999999948777,926736.199999999953434,907289.840000000083819,10101672.419999999925494
20091125,913159.520000000135042,949448.250000000000000,886179.500000000000000,932529.780000000027940,908507.000000000000000,1000762.750000000116415,920292.400000000023283,883146.099999999976717,914352.010000000009313,927279.160000000032596,920341.000000000000000,10156007.469999998807907
20091127,897194.480000000097789,940838.489999999990687,875640.669999999925494,920231.130000000004657,894981.400000000023283,993100.550000000046566,910770.360000000102445,864566.919999999925494,911256.710000000079162,912212.020000000018626,903689.520000000018626,10024492.250000000000000
20091130,894064.080000000074506,940121.009999999892898,879764.559999999939464,915166.979999999981374,903026.800000000046566,990911.350000000093132,908529.879999999888241,876953.040000000037253,887422.900000000023283,912754.979999999864958,911340.200000000069849,10020065.779999999329448
20091201,880916.400000000139698,963618.479999999981374,900842.219999999972060,919362.989999999990687,916902.199999999953434,1009245.900000000139698,915811.440000000060536,880468.020000000018626,888351.489999999990687,923071.219999999972060,933392.160000000032596,10131992.520000001415610
20091202,877472.960000000079162,964694.699999999953434,903591.479999999981374,904315.229999999981374,914337.000000000000000,1007056.699999999953434,915251.319999999948777,881304.919999999925494,875660.760000000009313,925107.320000000065193,925291.440000000060536,10094093.830000000074506
20091203,878725.120000000111759,964515.330000000074506,910464.630000000004657,896646.659999999916181,899645.400000000139698,1006235.750000000116415,905729.280000000144355,861051.939999999944121,845945.880000000004657,913026.460000000079162,900539.240000000107102,9982535.690000001341105
20091204,864638.320000000065193,980838.000000000000000,937499.020000000018626,891148.440000000060536,912354.799999999930151,1004320.200000000186265,900688.199999999837019,854356.739999999990687,849969.770000000018626,927414.899999999906868,903239.480000000097789,10026477.870000001043081
20091207,844916.800000000046566,1001286.179999999934807,933375.130000000004657,896067.900000000023283,908507.000000000000000,1004320.200000000186265,904048.920000000041910,846489.880000000004657,875970.290000000037253,934744.859999999986030,899189.120000000111759,10048926.280000001192093
20091208,848986.320000000065193,998416.259999999892898,915963.149999999906868,876968.819999999948777,899179.000000000000000,994742.450000000069849,889485.800000000046566,835610.180000000051223,880922.770000000018626,926193.239999999990687,900089.200000000069849,9966567.189999999478459
20091209,884672.880000000121072,995008.229999999981374,916879.570000000065193,876824.130000000004657,929844.799999999930151,1016634.450000000069849,867641.119999999995343,838623.020000000018626,882160.890000000013970,915062.559999999939464,919890.960000000079162,10043252.610000001266599
20091210,878412.080000000074506,986757.209999999962747,923294.509999999892898,883335.179999999934807,940805.200000000069849,1027306.800000000046566,878283.400000000023283,849670.099999999976717,938185.819999999948777,922121.040000000037253,926191.520000000018626,10154372.859999999403954
20091211,870586.080000000074506,997340.040000000037253,911839.259999999892898,892161.269999999902211,953281.400000000023283,1014445.250000000116415,894526.880000000004657,848665.820000000065193,943447.830000000074506,942074.820000000065193,915390.560000000055879,10183769.210000000894070
20091214,880916.400000000139698,1005411.689999999944121,915504.940000000060536,899106.390000000013970,955147.000000000000000,1033600.750000000116415,898447.719999999972060,854021.979999999981374,957995.739999999990687,948997.559999999939464,953643.960000000079162,10302804.130000000819564
