訓練日期,20100219 - 20100521
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10188586.019999999552965
真實報酬,188586.019999999552965

夏普值報酬,0.010158602000000
夏普值風險,0.036342444525644
夏普值,0.279524455016553

預期報酬,17848.905131372437609
風險,309006.886092033819295
趨勢值,0.057762159792311
找到最佳解世代,73
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](1),CAT[3](6),CSCO[4](13),DIS[6](5),HD[9](2),INTC[11](10),JNJ[12](23),KO[14](27),MCD[15](3),UTX[24](9),WMT[28](18),
Stock#,AAPL[0](1),CAT[3](6),CSCO[4](13),DIS[6](5),HD[9](2),INTC[11](10),JNJ[12](23),KO[14](27),MCD[15](3),UTX[24](9),WMT[28](18),
張數,31358,15725,37441,29306,30002,43622,14087,32513,14098,13347,17001,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,21.580000000074506,27.750000000000000,22.519999999902211,17.880000000004657,29.400000000023283,7.520000000018626,55.890000000013970,26.520000000018626,50.959999999962747,25.829999999958090,46.530000000027940,
20100219,903445.560000000055879,916009.000000000000000,912085.279999999911524,915244.260000000009313,904589.699999999953434,908217.560000000055879,898947.360000000102445,905838.699999999953434,912755.479999999864958,914562.269999999902211,909430.020000000018626,10001135.189999999478459
20100222,897801.119999999995343,912549.500000000000000,909838.819999999948777,912020.599999999976717,909690.040000000037253,910398.660000000032596,894439.520000000018626,900311.490000000107102,913178.419999999925494,912960.630000000004657,915210.359999999986030,9988409.160000000149012
20100223,882749.280000000027940,891006.250000000000000,900478.569999999948777,906159.400000000023283,922590.900000000023283,889460.100000000093132,891903.860000000102445,891532.980000000097789,914588.219999999972060,904818.960000000079162,911640.150000000023283,9906938.670000001788139
20100224,899055.440000000176951,895723.750000000000000,911336.459999999846332,919933.219999999972060,940892.119999999995343,902982.920000000041910,893876.040000000037253,896735.059999999939464,920086.440000000060536,915896.969999999972060,916740.450000000069849,10013268.869999999180436
20100225,905013.460000000079162,893050.500000000000000,910962.049999999813735,919054.040000000037253,940892.119999999995343,899929.380000000004657,891481.250000000000000,863571.799999999930151,907680.199999999953434,916564.319999999948777,920650.680000000051223,9968859.799999998882413
20100226,916615.920000000041910,897139.000000000000000,910962.049999999813735,915537.319999999948777,936091.800000000046566,895567.180000000051223,887536.890000000013970,857069.199999999953434,900208.260000000009313,916297.380000000004657,919290.599999999976717,9952325.599999999627471
