訓練日期,20100308 - 20100608
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9655517.800000000745058
真實報酬,-344482.199999999254942

夏普值報酬,-0.043148220000000
夏普值風險,0.033076497559824
夏普值,-1.304497851441482

預期報酬,6924.331276143711875
風險,402572.544446819985751
趨勢值,0.017200207444992
找到最佳解世代,21
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](1),BA[2](11),CVX[5](8),DIS[6](7),HD[9](3),JNJ[12](19),MMM[16](12),NKE[19](4),TRV[22](22),UTX[24](16),
Stock#,AAPL[0](1),BA[2](11),CVX[5](8),DIS[6](7),HD[9](3),JNJ[12](19),MMM[16](12),NKE[19](4),TRV[22](22),UTX[24](16),
張數,31969,14721,13458,30102,31446,15615,12130,58548,18539,14035,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,9.679999999934807,2.469999999855645,70.600000000093132,11.560000000055879,17.199999999953434,15.399999999906868,2.800000000046566,0.160000000149012,6.340000000083819,6.250000000000000,
20100308,1000639.380000000004657,989842.509999999776483,1004575.720000000088476,999096.939999999944121,1005031.359999999986030,1002498.399999999906868,986293.100000000093132,1007025.760000000125729,997404.540000000037253,993122.850000000093132,9985530.560000000521541
20100309,1018542.019999999902211,997939.059999999939464,1000000.000000000000000,1002709.180000000167638,996226.479999999981374,1003591.449999999837019,994541.500000000000000,1008782.200000000186265,993140.570000000065193,1007438.550000000046566,10022911.010000001639128
20100310,1026853.959999999846332,1030619.679999999934807,995424.280000000027940,1003311.219999999972060,997169.859999999986030,1003903.750000000000000,989325.600000000093132,1011709.600000000209548,980534.050000000046566,1007578.900000000139698,10046430.900000000372529
20100311,1029731.169999999925494,1031502.939999999711290,995828.020000000018626,1017760.180000000167638,1010377.180000000051223,1002810.699999999837019,985686.600000000093132,1021077.280000000260770,994067.520000000018626,1011087.650000000139698,10099929.240000002086163
20100312,1034846.209999999846332,1027969.899999999790452,992194.360000000102445,1014147.939999999944121,1020439.900000000023283,1002186.099999999976717,987142.199999999953434,1023419.200000000186265,985539.580000000074506,1003929.800000000046566,10091815.190000001341105
20100315,1022378.299999999930151,1021639.869999999995343,990175.660000000032596,1015051.000000000000000,1027986.939999999827705,1008275.949999999837019,985686.600000000093132,1030444.960000000195578,977567.810000000055879,1008280.650000000023283,10087487.740000000223517
