訓練日期,20100216 - 20100518
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10797826.339999999850988
真實報酬,797826.339999999850988

夏普值報酬,0.071082634000000
夏普值風險,0.031604166093566
夏普值,2.249153918175099

預期報酬,21133.287042331710836
風險,222402.979465512209572
趨勢值,0.095022499667586
找到最佳解世代,23
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](2),CAT[3](4),CVX[5](6),HD[9](3),IBM[10](14),INTC[11](11),JNJ[12](16),MCD[15](1),MMM[16](7),NKE[19](5),PG[21](21),UNH[23](29),VZ[26](25),
Stock#,AAPL[0](2),CAT[3](4),CVX[5](6),HD[9](3),IBM[10](14),INTC[11](11),JNJ[12](16),MCD[15](1),MMM[16](7),NKE[19](5),PG[21](21),UNH[23](29),VZ[26](25),
張數,26867,13687,10832,26525,6203,37651,12264,12096,9714,49246,12455,23903,28437,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,27.790000000037253,20.599999999976717,49.679999999934807,5.000000000000000,58.000000000000000,20.070000000065193,31.920000000041910,45.359999999986030,75.479999999981374,7.479999999981374,9.200000000069849,31.459999999962747,9.150000000023283,
20100216,780782.810000000055879,781822.039999999920838,790677.359999999869615,780901.000000000000000,776859.690000000060536,780148.790000000037253,780144.960000000079162,774310.320000000065193,781761.059999999939464,783511.339999999967404,782556.850000000093132,756083.349999999976717,775770.510000000009313,10125340.079999998211861
20100217,777558.770000000018626,787023.099999999976717,789052.559999999939464,796285.500000000000000,783682.989999999990687,777889.730000000097789,784682.640000000013970,777334.320000000065193,778555.439999999944121,793853.000000000000000,782805.950000000069849,778074.109999999869615,774633.030000000027940,10181441.139999998733401
20100218,778902.119999999995343,791266.070000000065193,797501.520000000018626,803712.500000000000000,792863.430000000051223,784666.910000000032596,791427.840000000083819,779995.440000000060536,787978.020000000018626,793360.539999999920838,789531.650000000023283,781420.529999999911524,774917.400000000023283,10247553.969999998807907
20100219,774066.060000000055879,797288.349999999976717,802159.279999999911524,799733.750000000000000,789017.569999999948777,783913.890000000130385,782597.760000000125729,783140.399999999906868,791960.759999999892898,792375.619999999995343,790278.950000000069849,763493.280000000027940,771504.959999999962747,10221540.629999998956919
20100222,769230.000000000000000,794277.209999999962747,790352.399999999906868,804243.000000000000000,786908.549999999930151,785796.440000000060536,778673.280000000027940,783503.279999999911524,783801.000000000000000,791883.159999999916181,789905.300000000046566,790742.699999999953434,770936.219999999972060,10220262.540000000968575
20100223,756333.839999999967404,775526.019999999902211,780386.959999999962747,815648.750000000000000,784489.380000000004657,767723.960000000079162,776465.760000000125729,784712.880000000004657,774378.419999999925494,789420.859999999986030,787289.750000000116415,784288.890000000013970,764111.340000000083819,10140786.810000000521541
20100224,770304.680000000051223,779632.119999999995343,783636.559999999939464,831829.000000000000000,791498.770000000018626,779395.770000000018626,778182.720000000088476,789430.320000000065193,777875.459999999962747,799270.060000000055879,795759.150000000023283,803650.319999999948777,770083.109999999986030,10250558.040000000968575
20100225,775409.410000000032596,777305.329999999958090,781145.199999999953434,831829.000000000000000,788273.209999999962747,776760.200000000069849,776097.840000000083819,778785.839999999967404,774669.839999999967404,814536.319999999948777,793392.700000000069849,799586.810000000055879,767808.150000000023283,10235609.849999999627471
20100226,785350.200000000069849,780863.949999999953434,783203.279999999911524,827585.000000000000000,788831.479999999981374,772995.100000000093132,772663.920000000041910,772374.959999999962747,778652.580000000074506,832264.879999999888241,788161.600000000093132,809387.039999999920838,769230.000000000000000,10261573.989999998360872
20100301,802276.410000000032596,791813.550000000046566,788727.599999999976717,833685.750000000000000,797577.709999999962747,785796.440000000060536,777446.880000000004657,773947.439999999944121,782829.599999999976717,840144.239999999874271,791026.250000000000000,813689.579999999958090,770651.850000000093132,10349623.299999998882413
20100302,801739.070000000065193,795919.649999999906868,794251.919999999809079,831829.000000000000000,790444.260000000009313,779395.770000000018626,778060.079999999958090,775036.079999999958090,788172.299999999930151,837681.940000000060536,793517.250000000116415,811538.310000000055879,778045.469999999972060,10355641.100000001490116
20100303,803351.089999999967404,801668.189999999944121,792193.839999999850988,834746.750000000000000,787094.640000000013970,772618.590000000083819,777569.520000000018626,769713.839999999967404,786909.479999999981374,832757.339999999967404,791524.450000000069849,815123.760000000009313,774348.660000000032596,10339630.149999998509884
20100304,808724.490000000107102,800025.750000000000000,791652.239999999874271,833951.000000000000000,786102.160000000032596,772995.100000000093132,779654.400000000023283,767294.640000000013970,787103.759999999892898,832757.339999999967404,793019.050000000046566,787635.310000000055879,778329.840000000083819,10319255.080000000074506
20100305,840427.550000000046566,810701.609999999986030,804867.279999999911524,843500.000000000000000,789389.750000000000000,782784.359999999986030,785418.480000000097789,770197.680000000051223,800897.640000000013970,841129.159999999916181,793268.150000000023283,806518.680000000051223,777192.359999999986030,10446302.699999999254942
20100308,840964.890000000013970,806321.769999999902211,808550.159999999916181,847744.000000000000000,784179.229999999981374,782031.340000000083819,787380.720000000088476,787736.880000000004657,789920.819999999948777,847038.679999999934807,787040.650000000023283,791220.760000000009313,787714.050000000046566,10447853.949999999254942
20100309,856010.410000000032596,810017.260000000009313,804867.279999999911524,840317.000000000000000,778844.650000000023283,788432.010000000125729,788239.199999999953434,787494.959999999962747,796526.339999999967404,848516.060000000055879,788410.700000000069849,790742.699999999953434,795107.670000000041910,10473536.239999998360872
20100310,862995.829999999958090,804542.459999999962747,801184.399999999906868,841112.750000000000000,779278.859999999986030,797844.760000000125729,788484.480000000097789,785559.599999999976717,792349.319999999948777,850978.359999999986030,784798.750000000000000,794567.180000000051223,790842.119999999995343,10474548.869999999180436
20100311,865413.860000000102445,806184.899999999906868,801509.359999999869615,852253.250000000116415,791560.799999999930151,800103.820000000065193,787626.000000000000000,788825.519999999902211,789435.119999999995343,858857.720000000088476,786791.550000000046566,800781.959999999962747,793401.449999999953434,10522755.309999998658895
20100312,869712.579999999958090,826167.919999999925494,798584.719999999972060,860741.250000000116415,793669.819999999948777,800856.840000000083819,787135.440000000176951,792696.239999999990687,790600.799999999930151,860827.560000000055879,788659.800000000046566,786679.189999999827705,790557.750000000000000,10546899.910000000149012
20100315,859234.450000000069849,813986.489999999990687,796959.919999999809079,867107.249999999883585,792987.489999999990687,797091.740000000107102,791918.399999999906868,797534.640000000013970,789435.119999999995343,866737.080000000074506,793392.700000000069849,777596.050000000046566,793970.190000000060536,10537961.519999999552965
20100316,861383.810000000055879,813712.750000000000000,801401.039999999920838,863393.749999999883585,798198.009999999892898,828718.580000000074506,791427.840000000083819,799228.079999999958090,793320.719999999972060,866737.080000000074506,791275.350000000093132,790025.609999999869615,795676.410000000032596,10594509.029999999329448
20100317,860309.130000000121072,824251.739999999990687,808875.119999999995343,862598.000000000116415,792553.280000000027940,837378.310000000055879,792899.520000000135042,802977.839999999967404,798372.000000000000000,872646.599999999976717,797253.750000000116415,782854.709999999962747,801648.180000000051223,10634628.179999999701977
20100318,862189.820000000181608,818092.589999999967404,809850.000000000000000,859415.000000000000000,796399.140000000013970,835872.270000000018626,797927.760000000125729,806606.640000000013970,812845.859999999986030,919430.300000000046566,793766.349999999976717,802933.230000000097789,805629.359999999986030,10720968.320000000298023
20100319,853055.040000000037253,812617.789999999920838,812233.039999999920838,858354.000000000000000,792243.130000000004657,827965.560000000055879,798540.960000000079162,804792.239999999990687,796234.919999999925494,905148.959999999962747,795136.400000000139698,822055.630000000004657,808473.060000000055879,10686860.730000002309680
20100322,862727.160000000032596,820556.250000000000000,806600.399999999906868,866576.750000000000000,793917.940000000060536,837378.310000000055879,798418.319999999948777,810598.320000000065193,795069.239999999990687,909581.099999999976717,795634.600000000093132,796001.359999999869615,815013.570000000065193,10708083.320000000298023
20100323,876429.329999999958090,854226.269999999902211,809958.319999999948777,864454.750000000116415,802540.109999999986030,853568.240000000107102,801606.960000000079162,814710.959999999962747,800023.379999999888241,916968.000000000000000,803730.350000000093132,792654.939999999827705,823544.670000000041910,10814426.279999999329448
20100324,880459.380000000121072,849435.820000000065193,800859.440000000060536,857293.000000000000000,797329.589999999967404,844532.000000000000000,794125.920000000041910,808058.159999999916181,792835.020000000018626,903671.580000000074506,792271.750000000116415,782137.619999999878928,809894.910000000032596,10712914.189999999478459
20100325,869981.250000000116415,850530.780000000027940,799451.279999999911524,865250.499999999883585,801733.720000000088476,841519.920000000158325,791918.399999999906868,809267.760000000009313,786229.500000000000000,905641.420000000041910,792396.300000000046566,791698.819999999948777,805913.729999999981374,10711543.380000000819564
20100326,886370.120000000111759,854636.879999999888241,806275.440000000060536,868698.750000000000000,801857.779999999911524,837378.310000000055879,789588.239999999990687,813622.320000000065193,786909.479999999981374,909581.099999999976717,793268.150000000023283,779986.349999999976717,807335.580000000074506,10735518.500000000000000
20100329,892012.190000000060536,868871.359999999986030,814941.039999999920838,864720.000000000000000,797701.770000000018626,840766.900000000023283,794984.399999999906868,811324.079999999958090,790406.520000000018626,910566.019999999902211,793766.349999999976717,785005.980000000097789,809610.540000000037253,10774687.149999998509884
20100330,905177.020000000018626,864491.519999999902211,815699.279999999911524,867107.249999999883585,798818.310000000055879,841143.410000000032596,795965.520000000135042,813380.399999999906868,818771.400000000023283,908596.179999999934807,792894.500000000000000,790264.640000000013970,830369.550000000046566,10842688.980000002309680
20100331,901952.980000000097789,860248.550000000046566,821440.239999999874271,858088.750000000000000,795592.750000000000000,839260.859999999986030,799644.720000000088476,807090.479999999981374,811874.459999999962747,905148.959999999962747,788037.050000000162981,780942.469999999972060,824682.150000000023283,10794014.420000001788139
20100401,905714.360000000102445,875851.729999999981374,830755.759999999892898,858884.500000000116415,795592.750000000000000,843025.960000000079162,806635.199999999953434,817493.039999999920838,814594.379999999888241,911058.479999999981374,789158.000000000116415,788591.430000000051223,831507.030000000027940,10868872.619999999180436
