訓練日期,20100526 - 20100826
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10344626.729999998584390
真實報酬,344626.729999998584390

夏普值報酬,0.025762673000000
夏普值風險,0.027822760004841
夏普值,0.925956770482757

預期報酬,12563.507684193666137
風險,227532.125440522999270
趨勢值,0.055216412451075
找到最佳解世代,90
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
CAT[3](3),DIS[6](12),GS[8](17),KO[14](2),MRK[17](6),PG[21](21),UNH[23](4),UTX[24](11),V[25](19),VZ[26](1),XOM[29](20),
Stock#,CAT[3](3),DIS[6](12),GS[8](17),KO[14](2),MRK[17](6),PG[21](21),UNH[23](4),UTX[24](11),V[25](19),VZ[26](1),XOM[29](20),
張數,15353,28127,6376,35918,28355,14890,31489,13740,49840,35483,15225,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,38.869999999995343,25.359999999986030,127.439999999944121,5.420000000041910,28.699999999953434,55.500000000000000,2.569999999948777,51.600000000093132,8.400000000023283,15.539999999920838,5.250000000000000,
20100526,917073.559999999939464,930185.250000000000000,894680.239999999990687,899392.140000000013970,919297.800000000046566,900007.099999999976717,906570.879999999888241,908952.600000000209548,914572.400000000139698,893477.479999999864958,903000.000000000000000,9987219.450000001117587
20100527,952846.050000000046566,966750.349999999860302,924328.639999999897555,920224.580000000074506,953323.799999999930151,907601.000000000000000,923260.049999999930151,935883.000000000116415,918061.200000000069849,915122.109999999869615,935733.750000000000000,10253144.529999999329448
20100528,932887.149999999906868,940029.700000000069849,919929.199999999837019,923098.020000000018626,955308.649999999906868,909685.600000000093132,915387.799999999930151,925852.800000000046566,902610.800000000046566,912993.129999999888241,920508.750000000000000,10158301.599999999627471
20100601,910011.180000000051223,937498.269999999902211,904626.800000000046566,921302.119999999995343,950771.849999999976717,910727.899999999906868,912553.789999999920838,907578.600000000093132,890649.200000000069849,902703.059999999939464,902086.500000000000000,10050519.269999999552965
20100602,934422.449999999953434,977157.340000000083819,923563.520000000018626,941416.200000000069849,974306.499999999883585,919364.099999999976717,941838.559999999939464,926952.000000000000000,887658.799999999930151,915122.109999999869615,925228.500000000000000,10267040.079999998211861
20100603,938260.699999999953434,976313.530000000027940,918526.479999999864958,947522.260000000009313,972321.649999999906868,920257.500000000000000,959157.510000000009313,932310.599999999976717,907594.800000000046566,916896.259999999892898,937256.250000000000000,10326427.539999999105930
